TCT Pro-Elite Challenge East 2023,Club - Men ,15,7,2023
Fredericksburg,VA,2023-07-15,2023-07-16
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-East-2023/schedule/Men/Club-Men/
Chicago Machine,1
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,Alex Champe
01,Andrew Sjogren
03,Jesse Johnson
04,Henry Goldenberg
10,Victor Luo
12,Kyle Rutledge
13,Benjamin Preiss
14,Jake Steslicki
18,Jeffrey Gao
19,Paul Arters
23,Xavier Payne
31,Walden Nelson
32,Tim Schoch
55,Johnny Bansfield
61,Raymond Lu
71,Malik Auger-Semmar
74,Luke Brennan
91,Joe White
94,Jason  Vallee
96,Asher Lantz
b,r,e,a,k
Tanasi,10
teamInfo,,"Tennessee, Tennessee",,,https://twitter.com/TanasiUltimate
0,Alex Stevenson
0,Ben Anderson
0,Braden Beebe
0,Chris Walls
0,Cody Havens
0,Isaiah Mason
0,Jeffrey Flanagan
0,Neil Taylor
0,Nicholas Amendolare
0,Philip Throckmorton
0,Pryce Bevins
0,Steele Davies
2,James Russnogle
4,Jeremiah Branson
7,Daniel Robinson
10,Jared Beazley
11,Ethan Baughman
12,Nicolas Lanas
18,Yanni Killebrew
18,Jacob Flowers
20,LUKE HUDGIN
20,David Wilkins
21,Carson Chamberlain
23,Matthew Smith
24,Fletcher Hare
28,Charles Cianciolo
b,r,e,a,k
Pittsburgh Temper,7
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,Christie Lawry,Ben Morgenstern,Hensley Sejour
0,Aiden Landis
0,Matthew Viscido
0,Matthew Duffy
0,Maxwell Olesen
0,Michael Dillard
0,Phil Martone
4,Jacky Chung
10,Reid Duncan
11,Timothy  Chango Gasset 
15,Connor Newell
18,Elliot Hare
21,Dillon Garrett
22,Connor Tipping
24,Will Hoffenkamp
41,Harry McNamara
47,Marcel Oliart
49,Dan Nichols
84,Daniel Friedman-Brown
b,r,e,a,k
Red Wolves,16
teamInfo,,"Washington D.C., District of Columbia",https://instagram.com/redwolvesultimate,,
0,Beau De Koninck
0,Jeffrey  Zhou
0,Matthew Callen
0,Noah Sawyer
0,Rhys Gretsch
0,Vincent Chen
2,Jacob  Sheedy
4,Samuel Morrall
5,Andrew Sington
9,Charles Baird
12,Xavier Schafer
14,Devin Holland
17,Christopher King
21,August Wagner
22,Patrick Vorathiankul
23,Ryan Ward
24,Gregory Cho
28,Matthew Thornton
28,Roger Zeng
31,Kobe Oley
32,Marcus Lee
44,Matthew Chamberlain
44,Eric Yoon
44,Cole Snavely
63,Jon Pressimone
80,Liam Dunn
b,r,e,a,k
Omen,8
teamInfo,,"Cincinnati, Ohio",,,https://twitter.com/omen_ultimate
0,Chris Ellis
0,Jared Regruth
0,Kyle Romard
0,Matthew Imm
0,Michael Ames
0,Noah Krumme
0,Rick Gross
0,Ryan Hummel
0,Stephen Conner Henderson
1,Elliot Skindzier
2,Nicholas Betsch
3,Nate Berman
5,Jake Kenniv
7,Bryan Walsh
10,Calvin Caldwell
10,Reece Stoughton
11,Christopher Misleh
12,Mike Finke
13,Carter Rae
16,Dylan Hall
18,Michael Bruggeman
26,Jack Havey
30,Zachary Ford
99,Joshua Venegas
b,r,e,a,k
Ring of Fire,2
teamInfo,,"Raleigh, North Carolina",https://ringultimate.org/,,https://twitter.com/ringultimate
0,Brian Trowbridge
0,Jack McCleary
0,Matthew Nightingale
03,Suhas Madiraju
04,Suraj Madiraju
05,Andrew Li
07,John McDonnell
09,Matt Tucker
12,Liam Searles-Bohs
13,Sean Wiles
