Dust Bowl 2023,College - Men ,25,2,2023
Tulsa,OK,2023-02-25,2023-02-26
https://play.usaultimate.org/events/Dust-Bowl-2023/schedule/Men/CollegeMen/
Texas-Dallas,1
0,Anthony Nguyen
0,Boris Strots
0,Bowen Liu
0,Bryant Hargreaves
0,Daniel Vayman
0,Jacob Wolf
0,Jeremy Allen
0,Eric Holliday
0,Naved Yekanizaree
0,Nicholas Gross
0,Nikhil Jeeva
0,Reid Smith
0,ryan neumann
0,Zain Khan
1,Nathan Armour
4,Daniel Welkener
5,Nand Patel
8,Tyler Hustad
10,Jorge Alvarez
12,Lucas Morgan
13,Victor Lopez
13,Thomas Avery
19,Cole Zlomke
21,Gerson Fuentes
23,Andrew Sullivan
26,Thach Huynh
27,Marshall Mao
28,Samuel Chen
37,Jwalin Shah
48,Christian Parker
50,David Piersall
b,r,e,a,k
John Brown,9
0,Andrew Ragsdale
0,Andrew Headley
0,Caleb Schwing
0,Aaron Spangler
0,Luke Medcalf
0,Luke Fields
0,Levi Will
1,Lukas Croson
5,Samuel Johnson
8,Luke Dishman
10,Ethan Tolley
11,Corban Samoff
16,Connor Walsh
17,Andrew Graham
47,Jackson Macdonald
50,Jacob Wakefield
57,Matthew Alberg
97,Theodore Stegall
b,r,e,a,k
Missouri S&T,8
0,Calvin Curran
0,Carson Kempf
0,Colin Munch
0,Gino Lanasa
0,Austin King
0,Kevin Wyle
0,Nicholas Mincemeyer
0,Nicholas Mincemeyer
0,Shane Keeton
0,Steven Holden
02,Ray Mauntel
03,Wesley Fransen
07,Owen Thoms
11,Nick Gentry
16,Sam Papin
21,Ben Murray
22,Aidan Byrne
27,Brandyss Sherman-Hall
28,Zachary Sanders
32,Kyle Johnson
34,Thomas O'Hanlon
40,Michael Lahmeyer
64,Kenneth Stanley
81,Zachary Szatkowski
b,r,e,a,k
Luther,16
0,Benjamin Hughes
0,Carter Thompson
0,Darren Kremer
0,Evan Poeschel
0,Jacob Vandermoss
0,Jacob Wenger
0,Joshua Hartl
0,Lars Marquardt 
0,Liam Edberg
0,Malachi Mcelroy
0,Mark McCollor
0,peter McBride
0,Sam Liska
0,Simon McDonald
0,Solomon Thompson
7,Griffin Glassel
13,Benjamin Tuckman
16,Blair Koontz
17,Claire Larson
24,Samuel Nelson
27,Isaac Habben
55,Christian Johnson
76,Jackson Meehan
b,r,e,a,k
Kansas State,17
0,Cory Wrolson
07,Ethan Christy
08,John Davis
10,Alexander Dimino
12,William Ouellette
13,Corey Bowen
15,Braden Nielson
20,Tyler Price
21,Austyn Smith
23,Timothy  Keesecker 
28,Evan Lindsay
29,Bryan Symons
33,TIMOTHY PEARCE
77,Spencer Pennington
b,r,e,a,k
Oklahoma Christian,2
0,Aaron Smith
0,alex santai
0,Branson Seaton
0,Caleb Lance
0,Christian Johnson
0,Daniel Griffin
0,Javin Smith
0,Joab Edmerson
0,John Murrie
0,John Liaz
0,Michael Schrader
0,Ryan  Loui-Ying
0,Samuel Roberts
0,Surafel Sharpe
0,Logan Hammersmith
0,TJ Lee
0,Zach Simpson
0,Zachary Payne
2,Thomas Preston
2,Emmanuel Bilolo
8,Mason Kelley
10,Cameron White
12,Evan Card
13,Garrett Houston
17,Logan Krehbiel
21,Kevin van Roosmalen
26,Elijah Johnson
60,Emmanuel Kameri
69,Couper Kerns
b,r,e,a,k
Texas A&M (B),15
0,Gabriel Perello
0,Gareth May
0,Gavin Graham
0,Ian Thorn
0,Jacob Forrester
0,John Rogers
0,Alexander Webster
0,Andrew Zertuche
0,Anthony Peterman
0,Arjun Agarwal
0,Kyle  Dixon
0,Luke Rain
0,Noah Goodman
0,Tanner Hawkins
0,Tyler Peyton
0,Victoriano Garcia lll
6,Diego Mercado
7,Robert Hendrix
13,Robert  Dingwall
14,Kyle Rzasnicki
24,Ryan Mohammadian
57,Dhruv Pant
60,John McKelvey
73,Justin Petre
b,r,e,a,k
Kansas,7
0,Henry Haw
0,Nickolas Krehbiel
0,Zain Brittain
1,John David Thor
2,Connor Looney
3,Andrew Pottinger
9,Luke Wirtz
11,Seppo Hoijarvi
17,Elijah Ditto
21,Manu Redd
22,Benjamin Abell
24,David Marx
25,Dylan Mcgarr
31,Ryan Klahr
