JPC (Just Plain Chilly),College - Men ,4,2,2023
Norman,OK,2023-02-04,2023-02-05
https://play.usaultimate.org/events/JPC-Just-Plain-Chilly/schedule/Men/CollegeMen/
Oklahoma Christian,4
teamInfo,Eagles,"Edmond, Oklahoma",https://oceagles.com/sports/ultimate,,twitter.com/@OCltimate1
0,Aaron Smith
0,alex santai
0,Branson Seaton
0,Caleb Lance
0,Christian Johnson
0,Daniel Griffin
0,Javin Smith
0,Joab Edmerson
0,John Murrie
0,John Liaz
0,Logan Hammersmith
0,Michael Schrader
0,Ryan  Loui-Ying
0,Samuel Roberts
0,Surafel Sharpe
0,TJ Lee
0,Zach Simpson
0,Zachary Payne
2,Thomas Preston
2,Emmanuel Bilolo
8,Mason Kelley
10,Cameron White
12,Evan Card
13,Garrett Houston
17,Logan Krehbiel
21,Kevin van Roosmalen
26,Elijah Johnson
60,Emmanuel Kameri
69,Couper Kerns
b,r,e,a,k
John Brown,2
teamInfo,Ironfist,"Siloam Springs, Arkansas",,https://www.facebook.com/jbultimate,https://twitter.com/JBUIronfist
0,Aaron Spangler
0,Andrew Ragsdale
0,Andrew Headley
0,Caleb Schwing
0,Levi Will
0,Luke Fields
1,Lukas Croson
5,Samuel Johnson
8,Luke Dishman
10,Ethan Tolley
11,Corban Samoff
16,Connor Walsh
47,Jackson Macdonald
50,Jacob Wakefield
57,Matthew Alberg
97,Theodore Stegall
b,r,e,a,k
Oklahoma,1
teamInfo,Apes of Wrath,"NORMAN, Oklahoma",modules/common/oklahomaultimate.com,https://www.facebook.com/OklahomaUltimate/,@wrathfulapes
0,Andrew Kenny
0,Andrew Davis
0,Carson Nowland
0,Jackson Morton
0,Jose Saldivar 
0,Keon Moradi
0,Luke Terry
9,Adam Hanizeski
24,Aidan Callahan
30,William Wilson
47,Sebastian Puerta
b,r,e,a,k
Oklahoma State University,3
teamInfo,Ultimato,"Stillwater, Oklahoma",,,
00,Antonio Baldeon
00,Justin Arney
00,Macormick Lyne
00,Matthew Nare
00,Matthew Greene
00,Michael Tate
00,Stuart Wire
00,Will Jones
00,William Faust
23,Ryan Whisenhunt
b,r,e,a,k
s,t,a,g,e,s
pools,JPC Group 1
pool,Pool A
Oklahoma,Oklahoma State University,10,9,"02/05/2023, 11:00",Pool A,Final
John Brown,Oklahoma Christian,9,11,"02/05/2023, 11:00",Pool A,Final
Oklahoma,Oklahoma Christian,3,13,"02/05/2023, 12:45",Pool A,Final
John Brown,Oklahoma State University,13,7,"02/05/2023, 12:45",Pool A,Final
Oklahoma,John Brown,8,13,"02/05/2023, 14:30",Pool A,Final
Oklahoma State University,Oklahoma Christian,2,13,"02/05/2023, 14:30",Pool A,Final
b,r,e,a,k
