Easterns 2023,College - Men ,1,4,2023
Little River,SC,2023-04-01,2023-04-02
https://play.usaultimate.org/events/Easterns-2023/schedule/Men/CollegeMen/
Pittsburgh,8
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",pittultimate.org,,@PittUltimateM
coaches,Christie Lawry,Ari Weitzman,Hensley Sejour
0,Aaron Toh
0,Adam Ricci
0,Aiden Landis
0,Henry Everett
0,Jay Suggs
0,Maxwell Olesen
0,Michael Sun
0,Morey Averill
0,Dylan Staples
0,Fletcher Hayden
0,Peter Kotz
0,Scott Heyman
0,Will Roper
0,William Litchholt
10,Reid Duncan
11,Timothy  Chango Gasset 
17,Kevin Tsui
21,Dillon Garrett
28,Roger Zeng
34,Henry Ing
41,Harry McNamara
46,Tristan Yarter
47,Marcel Oliart
68,Nicky Troilo
84,William McGlynn
b,r,e,a,k
Massachusetts,1
teamInfo,Zoodisc,"Amherst, Massachusetts",,https://www.facebook.com/UMassUltimate/,https://twitter.com/UMassUltimateM
0,Isaac Kaplan
1,Andrew Zhu
3,Bryan Dole
4,Griffin Yas
4,Leo Narbonne
5,Daniel Kang
6,Asa Thomson
8,Jaden Busch
9,Jae Lee
10,Wyatt Kellman
15,Jonah Stang-Osborne
18,Sam Green
19,Griffin Gee
19,Charlie Leightheiser
22,Arthur Aucoin
24,Lyle Berkley
35,Nima Lhamo
35,Christopher Streilein
39,Carter Hawkins
41,Noel Sierra
42,Aidan O'Neill
87,Alberto Morales-Fernandez
88,Caelan McSweeney
93,Will Christian
94,Gavin Abrahamsson
95,Luca  Harwood
99,Tobias Paperno
b,r,e,a,k
California,13
teamInfo,California-Berkeley,"Berkeley, California",,https://www.facebook.com/CalMensUltimate/,https://twitter.com/calmensultimate?lang=en
0,Aditya  Vunnum
0,Carter Lankford
0,Gavin May
0,Lawson Graham
0,Ridge Huang
1,Renzo Soatto
4,Samuel Laur
5,Robert McCabe
6,Kushal Khangaonkar
8,Drew Palmer
9,Evan Kandell
13,Emery Goulet
14,Dexter Clyburn
20,Owen Zuidema
28,Donovan Mierlak
29,Vincent Su
33,Lucas Intagliata
43,Gabriel Gatewood-Wolfe
69,Camden Mah
97,Eric Johnson
99,Vikram Deepak
b,r,e,a,k
North Carolina State,12
teamInfo,NC State Alpha,"Raleigh, North Carolina",,https://www.facebook.com/NCSUalpha/,https://twitter.com/ncsualpha
0,Henry Kennedy
1,Nicholas  Khot
2,Suhas Madiraju
3,Tommaso Piccorossi
5,Nico Field
6,Henri Lessard
8,Jacob Green 
9,Alexander Tayyeb
10,Rishi Rajesh  Jeswani
11,Townsend Dierauf
12,Hiatt von Alten
14,Srikara Prithvi
15,Matti Lee
16,Seiji Kakefuda
17,John Laney
18,Sebastian Boccieri
19,Justin-Cooper Williams
20,Brennan Kramling
22,John Bradley
24,Christopher Nelson
25,Allen MacMillan
27,Leonardo Tapia
31,Sean Wiles
35,Blake Stratton
37,Vincent Zhang
39,Feliks Ciesielski
42,Zac Kuelz
49,Daniel Ferriter
59,Sathvik Avulapati
80,Will Scudder
87,Ari Izzo
95,Jack Hartingh
99,Nathan Khot
b,r,e,a,k
Auburn,17
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Colton Van Vossen
0,David Perry
0,Gavin Collins
0,Grant Koch
0,Gray King
0,Grayson Smith
0,James Keffer
0,Jared Eudy
0,John Williamson
0,Hugh Fournier
0,Lee Thomas
0,Patrick Haney
0,Ron Warren
0,Ruston Bassett
0,Sidney  Warren
0,Tomas Restrepo
0,Zack Newsom
1,Garrett Nix
2,Justin Evans
3,David Yancey
4,Hudson James
9,Carson Taylor
11,Isaac Warren
12,Jonathan Holladay
16,Azim Kanjiyani
17,Carson Owen
23,Joshua Thomas
25,Marcus Evans
26,Kody Shively
42,Clark Rice
43,Kyle Longley
47,Andrew Counce
55,Austin Lyall
77,Jonah Reeks
89,Joshua Reed
b,r,e,a,k
North Carolina,2
teamInfo,Darkside,"Chapel Hill, North Carolina",http://www.uncdarkside.com/,https://www.facebook.com/UNCDarkside,https://twitter.com/UNC_Darkside
coaches,David Allison,Matt Gouchoe-Hanas
0,Thomas Harley
1,Alex Fiordalisi
2,Elijah Danley
4,Samuel Redinbo
5,Andrew Li
6,Dylan Hawkins
7,Eli Fried
9,Clell Hamm
10,Ben Dameron
11,Luke Duan
12,Max Goetz
13,Jack McCleary
14,Bodhi Harmony
15,Rutledge Smith
18,Jake Schwartz
19,Frederick Huang
21,Josh Singleton
22,Lucien Noël
25,Jayden Feagans
27,Jason Manning
38,Hayden Naylor
50,Matthew McKnight
51,Kevin Pignone
52,Bailey Roberts
61,Brian Trowbridge
77,Daniel Zhu
80,John McDonnell
87,Aaron Wei
88,Henry Chen
95,Noah Bush
b,r,e,a,k
Minnesota,7
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,@1Duck1Love
coaches,Kevin Bruns,Kristian Johnson,Blake Trantina
0,Alex Tsvetkov
0,Austin Gin
0,Drew Bonnabeau
0,Jacob Markus
0,Jedidiah Pratt
0,Kenji Her
