2023 USA Ultimate Masters Championships,Grand Masters - Men ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Endless Sunset,10
00,Jeffrey Hsu
00,Jeremy Forrest
00,Joe Kleffner
00,John Russell
00,John Thornton
00,Justin Cole
00,Justin Wilkes
00,Keith Bucher
00,Kellen Russell
00,Kevin Stout
00,Kyle Christoph
00,Markus Brown
00,Matt Ryan
00,Michael Freels
00,Michael Baysinger
00,Mike Payne
00,MILES KUSCH
00,Robert Staniforth
00,Samuel Charles Tsen
00,Seth Merritt
00,Terry Cussen
00,Xi Xia
b,r,e,a,k
Johnny Walker,3
teamInfo,,"Denver, Colorado",,,
00,Andrew Thompson
00,Andrew Mangan
00,Bart Watson
00,Bob Krier
00,Brett Kolinek
00,Brian Carroll
00,C Ryan Morgan
00,Chris Gwinner
00,Darin Delay
00,Joe Iannacone
00,Justin Salvia
00,Keith Borsheim
00,Kiran Thomas
00,Ryan Segal
00,Scott Salvati
00,Steven Rouisse
00,Theodore Tripoli
00,Michael Natenberg
00,Mitchell Schminke
04,Lenny Correll
10,Aaron Moredock
12,Ryan Balch
17,David Bacci
18,Kevin Walsh
23,Jeff Berget
33,Jamian Jacobs
77,Kelly Swiryn
88,Michael Lun
b,r,e,a,k
NSOM GM,14
teamInfo,,"Montreal , Quebec CA",,,
00,ALEXIS PAPADIMITRIOU
00,Benoit Theriault
00,Christian Monette
00,ERIC DION
00,francis trudeau
00,FREDERICK GUAY
00,Jean-Francois Trudel
00,Jean-Levy Champagne
00,Jean-Philippe Gérin
00,JEAN-SEBASTIEN CHOUINARD
00,LUC LIVE
00,Marc-Antoine Fortin
00,MARIANNE ROBERGE
00,MATHIEU TREMBLAY
00,Mathieu Bordeleau
00,Philippe Thivierge
00,Pierre-Yves Lavertu
00,RYAN JAREMA
00,STEFAN AEBI
00,VINCENT BERGERON
00,Yohan Baril
b,r,e,a,k
Reckon,12
teamInfo,,"Nashville, Tennessee",https://www.twitter.com/ReckonUltimate,,https://www.twitter.com/ReckonUltimate
02,David Lavender
03,John Riddle
06,Christopher Billman
08,William Moore
10,Scott Stone
12,Don Clark
13,Daniel West
14,Boe Quisenberry
18,Andrew Appell
20,Shannon Randol
21,Sean Geran
22,John Markham
24,Chung Lee
25,Larry Brad Smith
31,Zach Harter
32,Ryan Belline
34,Lucius Howell
41,Matthew Sledge
42,David Henry
43,Anthony Gutierrez
44,Jon Meade
81,Sean Murray
b,r,e,a,k
Shadows,4
teamInfo,,"Oakland, California",,https://www.facebook.com/Shadows-GM-Ultimate-2131866620156686/?ti=as,@shadowsult
00,Adam Koren
00,Adam Leventhal
00,Andrew Berry
00,Bhavin Parikh
00,Bob Madden
00,David Bixler
00,Doug Fowler
00,Eric Richardson
00,Jason Edelman
00,Joel Conn
00,Kief Zangaro
00,Kyle Smith
00,Louis Eisenberg
00,Matthew Natali
00,Ryan Reynolds
00,Spencer Massey
00,Tyler Grant
02,Adam Brown
03,Christopher Doyle
05,Matthew Elliott
06,Joshua Wiseman
09,Shaun Webb
12,Daniel Olstein
20,Eric Hartge
29,Jason Draut
40,Rocky Beach
69,Jon Moldover
b,r,e,a,k
No Country,6
teamInfo,,"Burlington, Vermont",,,
7,Jonathan Gilbert
00,Pavel Pepeliaev
00,Raymond Coffey
00,Ben Friedenson
00,Bryan Cho
00,Chris Farina
03,Alexander Rosati
05,Travis Norsen
08,Nathan (Nate) Eisinger
10,Ben Faust
11,Troy Goddu
13,Jeremy Foster
15,Heng-Scheng Chuang
16,Dylan McPhetres
19,David Kallin
21,Jeff Graham
23,Alberto Morales
27,Alex Vorce
29,Eric Stevens
31,Andrew Murphy
33,Jason Dolan
37,Michael Fife
43,Jeremy Gray
51,Ryan Scribner
71,Andrew (Andy) Aikens
75,Paul Batten
b,r,e,a,k
Bighorn,13
teamInfo,,"Boulder, Colorado",,,https://twitter.com/bighornultimate
00,Allan Jong
00,Charles Stone
00,Curtis Manning
00,Eric Traister
00,Gerald Chen
00,Jason Howard
00,Jeff Gonder
00,Jordan Irvin
00,Nick Voakes
00,Robert Borger
00,Steve Limburg
02,Michael Keglovits
03,Austin Outhavong
05,David Alexander
09,Nathan Dauchy
11,Jake Frye
12,Nathan Speer
13,Jeffrey Kenney
14,Mike D'Onofrio
18,Pete Clapp
23,Gabe Hamilton
26,Justin Brumbaugh
33,Ernest Toney
43,Yusuke Igarashi
64,Patrick Gilman
71,Ian McClellan
75,Stanley Strunk
99,Bobby Lee
b,r,e,a,k
Gravemaker,11
teamInfo,,"Chicago , Illinois",,,
00,Joseph (Joey) Shapiro
00,Richard Aycock
02,cameron berry
04,Richard Stacklin
05,Martin Wasserman
06,Christopher Martin
07,Benjamin Davis
09,Robert Berg
10,Brian Keefe
13,Joshua Lavelle
15,Doug Ishikawa
17,James Quill
21,Todd Grace
23,Keith Hernandez
31,Adam Zingsheim
34,Joshua Cooper
37,Jacob Schumacher
40,Joshua Swanson
47,Dan Kang
57,"Russell ""Ty"" Adams"
71,Marc Furigay
74,JACOB COOPER
79,Charles Cooper
81,Mati Chessin
83,Ed Mack
92,Anthony Panozzo
96,Daniel Baker
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Surly GM,Endless Sunset,12,15,"07/22/2023, 08:30",Pool A,Final
Black Cans,Peralta,15,3,"07/22/2023, 08:30",Pool A,Final
Surly GM,Peralta,15,3,"07/22/2023, 10:45",Pool A,Final
Black Cans,Endless Sunset,12,15,"07/22/2023, 10:45",Pool A,Final
Surly GM,Black Cans,15,11,"07/22/2023, 13:00",Pool A,Final
Endless Sunset,Peralta,15,4,"07/22/2023, 13:00",Pool A,Final
pool,Pool B
Junkyard,Kalakala,11,15,"07/22/2023, 08:30",Pool B,Final
Eldors,Scor'n,15,5,"07/22/2023, 08:30",Pool B,Final
Junkyard,Scor'n,15,7,"07/22/2023, 10:45",Pool B,Final
Eldors,Kalakala,10,15,"07/22/2023, 10:45",Pool B,Final
Junkyard,Eldors,10,15,"07/22/2023, 13:00",Pool B,Final
Kalakala,Scor'n,15,11,"07/22/2023, 13:00",Pool B,Final
pool,Pool C
Johnny Walker,Reckon,15,5,"07/22/2023, 08:30",Pool C,Final
Bburnside 40,NSOM GM,15,9,"07/22/2023, 08:30",Pool C,Final
Johnny Walker,NSOM GM,15,10,"07/22/2023, 10:45",Pool C,Final
Bburnside 40,Reckon,15,8,"07/22/2023, 10:45",Pool C,Final
Johnny Walker,Bburnside 40,11,15,"07/22/2023, 13:00",Pool C,Final
Reckon,NSOM GM,12,13,"07/22/2023, 13:00",Pool C,Final
pool,Pool D
Shadows,Gravemaker,15,7,"07/22/2023, 08:30",Pool D,Final
No Country,Bighorn,13,9,"07/22/2023, 08:30",Pool D,Final
Shadows,Bighorn,15,10,"07/22/2023, 10:45",Pool D,Final
No Country,Gravemaker,13,12,"07/22/2023, 10:45",Pool D,Final
Shadows,No Country,15,10,"07/22/2023, 13:00",Pool D,Final
Gravemaker,Bighorn,10,12,"07/22/2023, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Eldors,Johnny Walker,6,8,"07/23/2023, 13:00",Semis,In Progress
Bburnside 40,Surly GM,6,8,"07/23/2023, 13:00",Semis,In Progress
Endless Sunset,Eldors,11,15,"07/23/2023, 10:45",Quarters,Final
Johnny Walker,Shadows,13,12,"07/23/2023, 10:45",Quarters,Final
Bburnside 40,No Country,15,9,"07/23/2023, 10:45",Quarters,Final
Surly GM,Kalakala,15,14,"07/23/2023, 10:45",Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,3rd Place
b,r,e,a,k
brackets,Placement
bracket,5th Place
Endless Sunset,Shadows,8,7,"07/23/2023, 13:00",Semis,In Progress
No Country,Kalakala,8,15,"07/23/2023, 13:00",Semis,In Progress
b,r,e,a,k
brackets,Placement
bracket,7th Place
b,r,e,a,k
brackets,Placement
bracket,9th Place
Black Cans,Junkyard,0,0,"07/24/2023, 08:30",9th Place,Scheduled
Black Cans,Bighorn,15,10,"07/23/2023, 10:45",Semis,Final
NSOM GM,Junkyard,10,15,"07/23/2023, 10:45",Semis,Final
Black Cans,Scor'n,15,8,"07/23/2023, 08:30",Quarters,Final
Reckon,Bighorn,9,12,"07/23/2023, 08:30",Quarters,Final
NSOM GM,Gravemaker,11,9,"07/23/2023, 08:30",Quarters,Final
Peralta,Junkyard,4,15,"07/23/2023, 08:30",Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,11th Place
Bighorn,NSOM GM,0,0,"07/24/2023, 08:30",11th Place,Scheduled
b,r,e,a,k
brackets,Placement
bracket,13th Place
Scor'n,Reckon,14,14,"07/23/2023, 10:45",Semis,In Progress
Gravemaker,Peralta,15,6,"07/23/2023, 10:45",Semis,Final
b,r,e,a,k
brackets,Placement
bracket,15th Place
b,r,e,a,k
