2023 Northeast Men's Regional Championship,Club - Men ,23,9,2023
Devens,MA,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Northeast-Mens-Regional-Championship/schedule/Men/Club-Men/
PoNY,1
61,Adam O'Donnell
74,Gaël Ancelin
83,Jason Huynh
92,Adam Turcotte
b,r,e,a,k
Sprout,9
teamInfo,,"Amherst, Massachusetts",,,
0,Calan Kirkpatrick
0,Carter Hawkins
0,Casey Thornton
0,Griffin Yas
0,Isaac Kaplan
0,Luca  Harwood
0,Matthew Xia
0,Taylor Hanson
0,Will Christian
0,Zachary Burpee
4,Gavin Abrahamsson
5,Daniel Kang
9,Dillon Monti
10,Rustin Ingold-Smith
13,Alex Evangelides
15,James Cairn
18,Sam Green
21,Ben Ayres
24,Lyle Berkley
33,William Thornton
41,Noel Sierra
42,Liam Gallinagh
47,Caleb Seamon
77,Nima Lhamo
80,Chris Bartoli
81,Geir Hartl
b,r,e,a,k
Blueprint,6
teamInfo,,"Brooklyn, New York",,,https://twitter.com/nyc_blueprint
0,Carter Wang
0,Christopher Bond
0,Dillon Cooke
0,Evan Ma
0,Jeffrey Voss
0,Jesse Gan
0,John Kern
0,Johnny Frohlichstein
0,Max Cohen
0,Noam Fisherman
0,Owen Marschall
0,Ruozhou Ye
0,Samuel Pollack
0,Samuel Ross
1,Sam Alston
4,Jordan Richmond
7,Walter Roosa
10,Andrew Edelman
11,Patrick Stegemoeller
15,Daniel Meiland
16,Joseph Copeland
24,Jacob  Cowan
25,Drew Schnaudigel
34,Ray Ye
35,Gary Delia
69,Garrett Wibbelsman
b,r,e,a,k
Alibi,16
teamInfo,,"Albany, New York",,,
00,Adam Kohn
00,Alec Myers
00,Ben Kleinman
00,Benjamin Tandlmayer
00,Caleb Bashant
00,Connor Braddock
00,Devin Hendricks
00,Griffin Malcolm
00,Jared Gregorek
00,John Angerame
00,Josh Bates
00,Joshua Glick
00,Kevin Roux
00,Logan Stone
00,Matt Smith
00,Matthew Lustbader
00,Mitchell McDonald
00,Nate Belluche
00,Thomas Horvath
00,Thomas Danz
00,Tyler Sprague
00,Vincent Manolis
00,William Vasoll Jr.
00,Xavier Ortiz-Reyes
41,Jacob Grabois
99,Matthew Stuts
b,r,e,a,k
Phoenix,4
teamInfo,,"Ottawa, ON, Ontario CA",ottawaopenultimate%20AT%20gmail%20DOT%20com,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
coaches,Luke Phelan
0,Brandon Adibe
0,Eric Zhuang
0,Martin Gallant
0,Mike Lee
0,Nick Boucher
0,Paul Mensah
0,Ryan Wallace
0,Samuel Dupont-Gratton
0,Samuel Tremblay-Larochelle
0,Kayle Campbell
0,Thomas Stanton
4,Alec Arsenault
9,David Colic
10,Geoff Bevan
19,Simon Walker
22,Marcus Bordage
22,Liam Daigeler
23,Desmond Staples
29,Carson Turner
30,Greg Ellis
65,Jonah Munoz
71,Ben Simmonds
78,Ian Wallace
94,Logan Keillor
96,Patrick Mapp
97,Cameron Kennedy
b,r,e,a,k
Red Circus,10
teamInfo,,"Halifax, Nova Scotia CA",,https://www.facebook.com/rcultimate/,https://twitter.com/rcultimate?lang=en
0,Breton McPhee
0,Devon Asemota
0,Ben Wortman
0,Joey Njeim
0,JOHN WALSH
0,Kyle Chapman
0,Liam Archibald
0,Ryan Molin
6,Dylan  MacDonald
02,Oliver Porter
09,Grant MacDonald
16,Martin James
19,Greer Hunt
21,Tyler Smith
23,Joshua Turner
24,Luke Dyer
27,Brent Wallace
30,James McKenna
40,Will Dickson
44,Travis Foster
80,Hannes Becker
83,Garrett Jung
88,Scott Hansen
91,Andrew Johnston
b,r,e,a,k
Scoop,5
teamInfo,,"Boston, Massachusetts",,,https://twitter.com/Scoopultimate
coaches,Jonathan Stout,Nathaniel Wicks
01,Jerry  Wang
02,Benjamin Kass-Mullet
05,Kristof Rohaly-Medved
08,Cory McCormack
09,Matthew Orr
10,Ben Chamis
11,Luca Duclos-Orsello
12,Mark Donohue
13,Jackson McGuinness
16,Eric Impink
17,Owen Cordes
20,Dallon Archibald
21,David Pinto
22,Ethan Wang
23,Thomas Griffin
26,Calvin Wicks
34,Colin Sunde
35,Dan Goldstein
36,Henry Laseter
66,Eli Chang
88,Griffin Gee
91,Joseph Michaud
b,r,e,a,k
Mystery Box,15
teamInfo,,"Somerville, Massachusetts",,,
0,Aaron Berger
0,Alex Kapinos
0,Anders Olsen
0,Carter Thallon
0,Charles Weinberg
0,Eric Shaw
0,John Lithio
0,Julian Li
0,Nicholas Thompson
0,Ram Sundaram
0,Reuben Philip
0,Seth Fortin
0,Jacob Taylor
2,Angelo Olcese
5,Zadoc Gee
7,Jason (Jay) Clark
8,Connor Fortin
8,Nick Patel
9,Jason Tapper
10,Braden Eberhard
12,Camen Piho
18,Connor Boyle
22,Elijah Shell
30,Caleb Moran
53,David O'Dea
99,Henry Egan
b,r,e,a,k
s,t,a,g,e,s
pools,Clipped Pools
pool,Pool A
PoNY,Magma Bears,13,2,"09/23/2023, 08:00",Pool A,Final
TireBizFriz,Big Wrench,13,8,"09/23/2023, 08:00",Pool A,Final
PoNY,Big Wrench,0,0,"09/23/2023, 09:45",Pool A,Scheduled
TireBizFriz,Magma Bears,0,0,"09/23/2023, 09:45",Pool A,Scheduled
PoNY,TireBizFriz,13,6,"09/23/2023, 09:45",Pool A,Final
Big Wrench,Magma Bears,0,0,"09/23/2023, 09:45",Pool A,Scheduled
pool,Pool B
DiG,Shade,13,5,"09/23/2023, 08:00",Pool B,Final
Mephisto,Colt,13,7,"09/23/2023, 08:00",Pool B,Final
DiG,Colt,0,0,"09/23/2023, 09:45",Pool B,Scheduled
Mephisto,Shade,0,0,"09/23/2023, 09:45",Pool B,Scheduled
DiG,Mephisto,0,0,"09/23/2023, 09:45",Pool B,Scheduled
Colt,Shade,0,0,"09/23/2023, 09:45",Pool B,Scheduled
pool,Pool C
GOAT,Alibi,13,2,"09/23/2023, 08:00",Pool C,Final
Blueprint,Sprout,10,12,"09/23/2023, 08:00",Pool C,Final
GOAT,Sprout,0,0,"09/23/2023, 09:45",Pool C,Scheduled
Blueprint,Alibi,0,0,"09/23/2023, 09:45",Pool C,Scheduled
GOAT,Blueprint,0,0,"09/23/2023, 09:45",Pool C,Scheduled
Sprout,Alibi,0,0,"09/23/2023, 09:45",Pool C,Scheduled
pool,Pool D
Phoenix,Mystery Box,13,7,"09/23/2023, 08:00",Pool D,Final
Scoop,Red Circus,11,13,"09/23/2023, 08:00",Pool D,Final
Phoenix,Red Circus,0,0,"09/23/2023, 09:45",Pool D,Scheduled
Scoop,Mystery Box,0,0,"09/23/2023, 09:45",Pool D,Scheduled
Phoenix,Scoop,0,0,"09/23/2023, 09:45",Pool D,Scheduled
Red Circus,Mystery Box,0,0,"09/23/2023, 09:45",Pool D,Scheduled
b,r,e,a,k
clusters,Crossovers
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
bracket,3rd Place Bracket
bracket,5th Place Game
bracket,7th Place Game
bracket,9th Place Bracket
bracket,11th Place Bracket
bracket,13th Place Bracket
bracket,15th Place Bracket
b,r,e,a,k
