2023 USA Ultimate Masters Championships,Masters - Mixed ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Mixed/Masters-Mixed/
Atlanta Fawkes,7
teamInfo,,"Nashville, Tennessee",,,
00,Alex Dagley
00,Andy Barnhart
00,CHRIS TINGLE
00,Colleen Wright
00,Demetri Miller
00,Derek Youel
00,J. Zachary Saffa
00,Jackie Sullivan
00,Jake Wright
00,Jenn Stewart
00,Jessica Knox Brandon
00,Jonathan Williams
00,Kayla Ferguson
00,Lauren Bryant
00,Leah Berry
00,Mariana Rodríguez
00,Mark Ullom
00,Matthew Gallin
00,Maureen Gleason
00,Melanie Thomas
00,Nick Thomas
00,Noel Holmes
00,Ray Davenport
00,Rob Ferguson
00,Sara Gibson
00,Stephen Brandon
b,r,e,a,k
Rocko's Mountain Life,14
teamInfo,,"Denver, Colorado",,,
00,Andrew Schwartz
00,Benjamin Gray
00,Brian Moore
00,Caleigh Moore
00,Ciaran Shaughnessy
00,Courtney Iversen
00,Emily Brixey
00,Iris Ng
00,Jacob Maynard
00,Jeffrey Adams
00,Jimmy Wiesbrock
00,John Stavinga
00,John Marcy
00,Madison Asher
00,Matthew Anderson
00,Meagan Fairchild
00,Melissa Revotskie
00,Sam Wilson-Moses
01,Steven Shea
03,ELIZABETH WAY
04,Devlin Lynch
05,Michael Stowe
09,Luke Perkins
14,Natalie Kallhoff
21,Kelly Moses
23,Dan  McCune
27,Courtney Remm
b,r,e,a,k
regret.,4
teamInfo,,"Fort Collins, Colorado",,,
02,Hugh Carey
03,Kelcie Glick
05,Patrick (Ted) Barnett
07,Janie Mockrish
08,Lauren Foster
10,Andrew Ngo
11,Jon Snyder
14,Jade McLaughlin
15,Alyse Doperalski
17,SAM Coulter
22,Allysha Dixon
23,Peter Raines
25,Marilyn Reich
29,Haley Sanner
30,Marvin Vuong
33,Alexandra Daniels
35,Ryan Pesch
42,Ben Lohre
44,Kathryn Moore
47,Rebecca Miller
48,Aubree Dietrich
52,Nicholas Snuszka
56,Jacob Juszak
69,Derek Belka
77,Matt Bristol
80,Ryan Wortman
97,Sarah Pesch
b,r,e,a,k
Super Drosts,6
teamInfo,,"New York, New York",,,
00,Brittany Kaplan
00,Caitlyn Hauswirth
00,Chuck Cantone
00,Elly Ouellette
00,Emily Prader
00,Francoise Delisle
00,Gary Dixon
00,Hannah Garfield
00,Jacqueline Lee
00,Joe Babbino
00,Joseph Ouellette
00,Karen Chalif
00,Katherine Cole
00,Laura Marrin
00,Matthew Mclaughlin
00,Matthew Auletta
00,Michael Drost
00,Ryan Drost
00,Ryan Delaney
00,Samuel Taylor
00,Sarah Kay Dela Cruz
00,Seneca Gray
00,Taylor Brooks
00,Tricia Smit
12,Matthew Lemar
b,r,e,a,k
Portland Prime,11
teamInfo,,"Portland, Oregon",,,
0,Kristin Moore
9,John Staskal
00,Joseph Leo Pepper
00,Katie Blise
00,Kayla Nowlin
00,Michelle Hendrick
00,Miguel Rodriguez
00,Pete Overright
00,Rigel Berg
00,Tahlia Hodes
00,Valerie Peacock
00,Alice White-Cyr
00,Amir Kaghazwala
00,Brandy Turcotte
00,Cheri Young
00,Christine Beaulieu
00,Daniel Young
00,Danielle Lindberg
00,Elizabeth Herzfeldt-Kamprath
00,Enrique Carranza
00,Jacob Artz
b,r,e,a,k
Shipwreck,13
teamInfo,,"Cincinnati, Ohio",https://cincyultimate.org/teams/shipwreck,https://www.facebook.com/shipwreckulty/,https://twitter.com/shipwreckulty
00,Dan Cunningham
00,Hannah Hainje
01,Scott Schriner
02,Kathleen Dyer
03,Maggie Chen
04,Kristol Das
06,Nicholas Wetzel
07,Michael Partusch
10,Jennifer Golan
12,Lori Gromen
13,Kristin Baxter
19,Chelsea Partusch
21,Sydney Olund
23,Andriana Tompary
24,Michael Settles
27,Christopher Powers
28,Jeff Haney
30,Emma Schroder
33,Austin Winner
34,Joseph Cari
38,Joe Mozloom Jr
42,Kelly Kerker
44,Nicholas Kolderman
45,Kristen Kaweck
81,Elizabeth (Beth) Sherling
85,John Jones
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
SOS,Hey Babe,15,12,"07/21/2023, 08:30",Pool A,Final
Atlanta Fawkes,Beached Whales,15,6,"07/21/2023, 08:30",Pool A,Final
SOS,Beached Whales,15,6,"07/21/2023, 10:45",Pool A,Final
Atlanta Fawkes,Hey Babe,15,7,"07/21/2023, 10:45",Pool A,Final
SOS,Atlanta Fawkes,8,9,"07/21/2023, 13:00",Pool A,Final
Hey Babe,Beached Whales,10,9,"07/21/2023, 13:00",Pool A,Final
pool,Pool B
Slower,Day Shift,15,6,"07/21/2023, 08:30",Pool B,Final
Cool Biz,Soldout,15,6,"07/21/2023, 08:30",Pool B,Final
Slower,Soldout,13,12,"07/21/2023, 10:45",Pool B,Final
Cool Biz,Day Shift,15,7,"07/21/2023, 10:45",Pool B,Final
Slower,Cool Biz,11,14,"07/21/2023, 13:00",Pool B,Final
Day Shift,Soldout,14,6,"07/21/2023, 13:00",Pool B,Final
pool,Pool C
Drag'n Rust,Dollytown Lollypops,15,6,"07/21/2023, 08:30",Pool C,Final
SaLT,Rocko's Mountain Life,15,6,"07/21/2023, 08:30",Pool C,Final
Drag'n Rust,Rocko's Mountain Life,15,11,"07/21/2023, 10:45",Pool C,Final
SaLT,Dollytown Lollypops,15,3,"07/21/2023, 10:45",Pool C,Final
Drag'n Rust,SaLT,11,14,"07/21/2023, 13:00",Pool C,Final
Dollytown Lollypops,Rocko's Mountain Life,14,10,"07/21/2023, 13:00",Pool C,Final
pool,Pool D
regret.,Portland Prime,15,9,"07/21/2023, 08:30",Pool D,Final
Super Drosts,Shipwreck,15,9,"07/21/2023, 08:30",Pool D,Final
regret.,Shipwreck,15,8,"07/21/2023, 10:45",Pool D,Final
Super Drosts,Portland Prime,12,11,"07/21/2023, 10:45",Pool D,Final
regret.,Super Drosts,15,11,"07/21/2023, 13:00",Pool D,Final
Portland Prime,Shipwreck,15,12,"07/21/2023, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Atlanta Fawkes,SaLT,0,0,"07/23/2023, 10:30",1st Place,Scheduled
Atlanta Fawkes,Drag'n Rust,15,13,"07/22/2023, 13:00",Semis,Final
SaLT,Cool Biz,15,11,"07/22/2023, 13:00",Semis,Final
Atlanta Fawkes,Slower,15,11,"07/22/2023, 08:30",Quarters,Final
Drag'n Rust,regret.,15,14,"07/22/2023, 08:30",Quarters,Final
SaLT,Super Drosts,15,10,"07/22/2023, 08:30",Quarters,Final
SOS,Cool Biz,9,15,"07/22/2023, 08:30",Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,3rd Place
Drag'n Rust,Cool Biz,0,0,"07/23/2023, 08:30",3rd Place,Scheduled
b,r,e,a,k
brackets,Placement
bracket,5th Place
regret.,SOS,0,0,"07/23/2023, 08:30",5th Place,Scheduled
Slower,regret.,12,15,"07/22/2023, 13:00",Semis,Final
Super Drosts,SOS,8,15,"07/22/2023, 13:00",Semis,Final
b,r,e,a,k
brackets,Placement
bracket,7th Place
Slower,Super Drosts,0,2,"07/23/2023, 08:30",7th Place,Scheduled
b,r,e,a,k
brackets,Placement
bracket,9th Place
Portland Prime,Shipwreck,0,0,"07/23/2023, 08:30",9th Place,Scheduled
Soldout,Portland Prime,1,15,"07/22/2023, 15:15",Semis,Final
Shipwreck,Day Shift,13,11,"07/22/2023, 15:15",Semis,Final
Hey Babe,Soldout,12,13,"07/22/2023, 10:45",Quarters,Final
Rocko's Mountain Life,Portland Prime,10,15,"07/22/2023, 10:45",Quarters,Final
Dollytown Lollypops,Shipwreck,8,15,"07/22/2023, 10:45",Quarters,Final
Beached Whales,Day Shift,5,15,"07/22/2023, 10:45",Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,11th Place
Soldout,Day Shift,0,0,"07/23/2023, 08:30",11th Place,Scheduled
b,r,e,a,k
brackets,Placement
bracket,13th Place
Hey Babe,Dollytown Lollypops,0,0,"07/23/2023, 08:30",13th Place,Scheduled
Hey Babe,Rocko's Mountain Life,14,12,"07/22/2023, 15:15",Semis,Final
Dollytown Lollypops,Beached Whales,15,7,"07/22/2023, 15:15",Semis,Final
b,r,e,a,k
brackets,Placement
bracket,15th Place
Rocko's Mountain Life,Beached Whales,0,0,"07/23/2023, 08:30",15th Place,Scheduled
b,r,e,a,k
