Metro East D-I College Men's Regionals,College - Men ,29,4,2023
Batavia,NY,2023-04-29,2023-04-30
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2023/schedule/Men/CollegeMen/
Rutgers,1
teamInfo,Machine,"New Brunswick, New Jersey",,,
00,Alan Wu
00,Arthur Liaw
00,Christopher Iglesias
00,Christopher McLaughlin
00,Gianluca Pagano
00,Jason Furbee
00,Tyler Mackey
00,William Wu
06,Noah Lewis
07,Timothy Pupalaikis
08,Brian DiNicola
09,Gerard Bryson
10,Christopher Ng
15,Patrick Chirichella
16,Matthew Luo
18,Shiloh Duan
20,Jakob Lehmann
21,Alec Bakholdin
23,Daniel Han
24,Mohammed Danish
37,Patrick Zong
47,Declan Alvidrez
66,Oscar Sucre
77,Vishal Anand
b,r,e,a,k
SUNY-Binghamton,13
teamInfo,SUNY-Binghamton,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
coaches,Matthew Reiman
0,Kaleb Istvan
2,Sam Schultz
6,Ryan LaBonte
6,Ari Wechsler
7,Ren Kondo
9,Tyler Leitner
12,Andrew Zambrotta
14,Drew Holahan
15,Hillel Rosenheim
17,Christopher Wells
18,Adam Cohen
20,Michael Levy
23,Luke Smith
30,Ari Solomon
33,Ian Burks
36,Billy Daniels
40,James Pardo
55,Garrett Barth
72,Neil  Costa
73,Charles  Simonsen
77,Matthew Nieto
80,Jack Molloy
88,Edward  Wong
99,Bryan Campagna
b,r,e,a,k
NYU,8
teamInfo,New York University,"New York, New York",,https://www.facebook.com/nyuhaze,https://twitter.com/NYUpurplehaze
coaches,Joanna Chen,Joseph Copeland
0,Andy Shi
0,Ashan Kiridena
0,Braden Dahl
0,Christopher Bond
0,Danny Cigale
0,David Parajon
0,Deven Bender
0,Eddie Kim
0,Ethan Chi
0,Gavin Zhao
0,Ian Joseph David Quimio
0,Jack Gordon
0,Jack Tinker
0,Jacob Bergstein
0,Jake Nemiroff
0,Jason Li
0,Jed Higdon
0,Reyen Bender
0,Richard Yuan
0,Riley Brady
0,Rishi Gupta
0,Sahil Mulji
0,Tamir Gray
0,Tom  Patterson
9,Liam Tsang
13,Wilson Cai
14,Constantine Stake
96,Edward DiTolla
b,r,e,a,k
Rowan,12
teamInfo,Ruf Riders,"Glassboro, New Jersey",https://www.instagram.com/rowan.ultimate/,https://www.facebook.com/RowanUltimate,https://twitter.com/Rowan_Ultimate
2,Adam Becker
3,Matt Miles
4,Jack Prancl
5,Kevin Curtin
6,John Hayes
7,Matt Fernandes
8,Brenden Hershman
9,William Jones
11,Matthew Labush
12,Ian Gustavson
13,Tanish Jain
18,Brandon Jones
19,Aidan Burtnick
22,Ryan Cook
24,Jimmy Virya
31,Timothy Jennings
42,Maxwell Rutka
64,Sean Carpenter
66,Matthew Hann
67,Anthony Abbonizio
68,Jake Ward
69,Jared McCallion
88,Andrzej Porter
91,Nicholas A Rochino
99,Joseph Prancl
b,r,e,a,k
Carleton University,7
teamInfo,Ravens,"Ottawa, Ontario CA",https://goravens.ca/clubs/mens-ultimate-frisbee/,https://www.facebook.com/ravensultimate/,
1,Jake Lochhead
3,Christopher Lay
