Ski Town Classic,Club - Men ,19,8,2023
Salt Lake City,UT,2023-08-19,2023-08-20
https://play.usaultimate.org/events/Ski-Town-Classic-2023/schedule/Men/Club-Men/
Dark Star,1
teamInfo,,"Eugene, Oregon",http://www.darkstarultimate.com,,https://twitter.com/eugenedarkstar
coaches,Taylor White
0,Antonio Rueda
0,Beckett Sessums
0,Braedon Petrus
0,Cole Eustis
0,Collin Kaperick
0,David Barram
0,Emmett Warner
0,Mason  Weybright
0,Max Massey
0,Nathan  Knutson 
0,Jesse Sample
0,Kaenan Combs
0,Sam Anderson
0,Seiji Koenigsberg
4,Scott Radlauer
6,Jackson Knox
6,Conner Stillwell
11,Sam McCarty
12,Dan Baumgartner
13,Callahan Bosworth
15,Nikolaus Elsaesser
15,Mario Bundy
31,Henry Wayte
57,Gunter Przystawik
62,Quinn Buermeyer
b,r,e,a,k
Sundance Kids,9
teamInfo,,"Provo, Utah",,,
0,Austin Baird
0,Brock Jensen
0,Cade Barnes
0,Evan Miller
0,Jonathan Hicken
0,Jonathan Miller
0,Kale Winterton
0,Kimball Pew
0,Matt Jamison
0,Tyler Jensen
1,Alex Merrifield
5,Jensen Wells
7,Brody Dobson
14,Zachary Burnside
15,Eric Jamison
17,Porter Oyler
19,Zachary Saetrum
23,Trevor Kelley
23,Bryce Kerr
67,Benjamin McBride
91,Kalten Toone
b,r,e,a,k
OC Crows,16
teamInfo,,"Irvine, California",,,
coaches,Jacob Walsh
0,Christopher Reichel
02,Cory Yonemura
03,Jacob Walsh
05,Miguel Hector
06,Mahmoud Morsy
07,Tyler Emig
08,Brandon Yee
09,Liam Bestian
10,Andrew Calinescu
12,Shun Iwata
17,Robert Gallagher
18,Isaac Hsu
22,Frederick Rawlins-Buchanan
23,Reid Westwood
25,Christian Go
31,Ethan Falat
33,Tomas Fong
55,Spencer Sih
99,Isamu Kawaguchi
b,r,e,a,k
Drought,8
teamInfo,,"Scottsdale, Arizona",,,https://twitter.com/DroughtUltimate
01,Brandon Varney
02,Thomas Verner
03,Ryan Blackman
05,Samuel Besse
06,Tyler Sessions
07,Tymur Vidyakin
08,Dustin Udall
09,Joshua Saad
11,Kris Kaufman
13,Sam Dreyfuss
14,Adam Whitton
15,Mason Varney
19,Zac Petty
21,Brendan Carriel
22,Carson Nelson
24,Logan Waskiewicz
25,Braden Distel
30,Kevin Doherty
31,Kellen Potocsnak
33,Phillip Samuels
43,Nicholas Kelly
49,Jake Hadziev
57,Connor Vincent
86,Mark Mendelevitz
b,r,e,a,k
ISO Atmo,2
teamInfo,,"Boulder, Colorado",,,
0,Christopher Ward
0,Daniel Miller
0,Jacob Marsh
0,Ryan Allenson
0,Shane Eckert
0,Theodore Carr
0,Tommy Harris
0,Zacary Parkhill
1,Sam Sincere
7,Anthony Rice
11,Caleb Bevers
11,Jordan  Huntoon 
13,Noah Pollack
13,Brett Prill
14,Kyle Rogers
21,Christopher Baines
21,Sarang Mittal
25,Ryan Courtney
25,Chris Fox
42,Tyler Carr
53,Jerry Swider
64,Eric Gillwald
69,Samuel Williams
99,Samuel Freedman
b,r,e,a,k
Sawtooth,10
teamInfo,,"Boise, Idaho",https://boiseultimatescene.com/sawtooth,https://www.facebook.com/Sawtooth-Boise-Ultimate-619500648417608/,https://twitter.com/SawtoothUlti
0,Emmett Poole
0,Jacob Kemmer
0,Jay Everett
0,Joe Dawson
0,Joshua Letsinger
0,Matt Stegemann
0,Scott Kaltenecker
0,Trenton Pearsall
4,Nathaniel Dryden
4,John Martin
5,Jacob Bechler
7,Mathew Gossard
8,Hudson Thornton
9,Thayne Casper
11,Archey Charnou
13,James Dahl
22,Jai Bansal
28,Daniel White
31,Tanner Cleveland
47,Daniel Kwok
71,Harper Poole
b,r,e,a,k
Brawl,7
teamInfo,,"Dallas, Texas",,,@dallasbrawl
0,Benjamin Price
0,Brian Honea
0,Aaron Smith
0,Eian Brent
0,Jordan Penn-White
0,Jotony Guerra
0,Kevin Bowman
0,Marshall Mao
0,Peter Rethwisch
0,Scott Zachary
0,Steven Niemczynski
0,Thomas Trompeter
0,Willy Goal
1,Eric VerPloeg
5,Nand Patel
8,Mason Kelley
11,Matthew Sutton
12,Andrew Dorf
16,Jeremy Wilson
17,Darren Phillips
25,Alvaro Guzman
27,Dylan Patton
42,Watson Anderson
89,Jack Wooldridge
99,Tanner Roberts
b,r,e,a,k
Fat Stacks,15
teamInfo,,"St George, Utah",,,
0,Brady Christensen
0,Doug Andrews
0,Gab Tremblay
0,Sean Gray
3,Brycen Williams
4,Brennon Williams
5,Cole Loveland
7,Jacob Moody
8,Daniel Shannon Smith Davidson
10,Walker Heaton
11,Jarom Bush
13,Ryan Logan
14,Chris Cooley
17,Ryan Frump
20,Parker Smith
25,Nayland Stuart
31,Stephen Wilson
33,Raine Christensen
56,Grant Johnson
63,Saathvik  Koka
77,Josiah Scheaffer
b,r,e,a,k
Shrimp,3
teamInfo,,"Salt Lake, Utah",,,https://twitter.com/saltlakeshrimp
0,Travis Wright
01,Nathan Huff
02,Oscar Brown
04,Kevin Castell
05,Chase Stein
06,Dominic Camperchioli
07,Elijah Watchalotone
08,Will Selfridge
10,Alex Walker
11,Ethan Wimmer
15,Alex Yannelli
18,Joey Ginsburg 
22,Jace Duennebeil
23,John Mismash
25,Alex Forsberg
31,Nathan De Morgan
32,Karl Staber
34,Kyle Weinberg
35,Cameron Hartman
37,Jarom Brandow
50,Ryan Hahn
51,Alexander Knock
66,Jack Valentine
88,Christian Berger
98,Cole Stenseth
99,Grayson Rettberg
b,r,e,a,k
Hazard,6
teamInfo,,"Los Angeles, California",https://www.instagram.com/hazardultimate/,,
coaches,Julia Johnson
02,Louis Gosart
05,Grady Watkins
06,Royce Grundy
08,Dylan Greenleaf
09,Thomas Anderson
11,Cy Toriello
12,Adam Sprachman
13,James Ivey
16,David Gardiner
17,John Fogg
18,Anthony Phan
20,Thomas Lin
21,Connor Dowd
23,Ian Geertsen
27,Cory Oskardmay
33,Tucker Lemos
42,Edwin Finley
44,Remy Smith
46,Eric Owens
54,Jack Carmichael
61,Timothy Predmore
63,Victor Zhivich
69,Jiheng Nie
b,r,e,a,k
Green River Swordfish,11
teamInfo,,"Davis, California",,,
0,Adrian Pagan
0,Alejandro Pagan
0,Alexander Clare
0,Austin Joseph
0,Ethan Klein
0,John Butler
0,Kavi McKinney
0,Scott Ballinger
0,Sebastian Westerink
0,Steven Swartz
24,Peter DeBrine
37,Trevor Ryder
37,Logan Dolim
62,Benjamin Narwold
62,Elliot Wilde
70,Peter Reifenstein
b,r,e,a,k
Sonoran Dog,14
teamInfo,,"Tucson, Arizona",,,
0,Christopher Pastore
0,Dylan South
0,Ian Janis
0,Leonardo  Echeverria
0,Mario Weiler
0,Matt Varney
0,Matthew Northway
0,Patrick Gaetz
0,Sam Freitas
0,Tim McConnell
0,William Chan
8,Brian Palomo
19,Michael Montiel
23,Alexander Prescott
38,Nathaniel Cabrera
87,Pavel Mazza
b,r,e,a,k
Fungi,5
teamInfo,,"Denver, Colorado",,https://www.facebook.com/fungiUltimate,
0,christian saralegui
0,Fabian Galván
0,Flynn Nyman
0,Greg Olson
0,Hayden McAdoo
0,James Miller
0,Joseph Patterson
0,Joshua Morris
0,Max Van Sickle
0,Morgan Scott
0,Oliver Cunningham
0,Omar  Semrin
0,Patrick Ellsworth
0,Aaron Wida
0,Rory Lenny
0,Sam Ruiz Harding
0,Spencer Hawkins
0,Stiveen Gualdron
2,Rodrigo  Gould Rodriguez
3,John Miller
15,Abe Gambert
33,Adam Federbusch
36,Bryan Downey
85,Jorge Delgado
b,r,e,a,k
Utah Hatu,12
teamInfo,,"Orem, Utah",,,
0,Jacob Quinn
0,Jared Sorensen
0,Joseph Cash
0,Joshua Rust
0,Justin Mecham
0,Koven Card
0,Landon Walters
0,Mason Gordon
0,Clark DeFranco
0,RJ Christensen
0,Ryan McCready
0,Sawyer Ransom
5,Sam Pugh
7,Will Honey
11,Taylor Barton
16,Bernie Lee
17,David Kroupa
20,Nate McMurdie
32,Nacody de la Rosa
73,JACOB LINDOW
b,r,e,a,k
Switchback,4
teamInfo,,"Seattle, Washington",https://switchbackultimate.com/,,https://twitter.com/Switchback_Ulti
0,Arthur Abbate
0,Bobby Eleveld
0,Brendan Bogel
0,Brendan Wallace
0,Christopher Mark
0,Connor Hanify
0,Erik Johansson
0,Jacob Helfrich
0,Jacob Dreves
0,Jacob Keister
0,Samuel Hinson
0,Shawn Cooper
0,Zach Sadow-Hasenberg
7,Sahaj Olivar
14,Steven Benaloh
15,Alex Semaca
17,Max Bommarito
27,Aaron Glickman
32,Souma Yabuki
37,Jack Landrigan
38,Conor Babcock O'Neill
39,Phillip Korolog
69,Nolan Stoppel
b,r,e,a,k
PowderHogs,13
teamInfo,,"Salt Lake City, Utah",,,https://twitter.com/powderhogs
01,Omar Alsolaiman
