Northwest Fruit Bowl 2023,Club - Mixed ,26,8,2023
Federal Way,WA,2023-08-26,2023-08-27
https://play.usaultimate.org/events/Northwest-Fruit-Bowl-2023/schedule/Mixed/Club-Mixed
Red Flag,1
teamInfo,,"Vancouver, British Columbia CA",,https://www.instagram.com/redflagultimate/,https://twitter.com/redflagulti
0,Connie  Xiong 
00,Rex Yuen
01,William Vu
03,Katie Wong
06,Brayden Gee
07,Filip Kragl
08,Justin Podnar
09,Julia Zhou
10,Gagan Chatha
11,Julie Lee
12,Ryan Hoy
14,Davis Toth
14,Avery Lee-Pii
20,Collefas Mot
24,Peter Yu
48,Zellema Mot
67,Danae Jan
69,Karie Holst
73,Jamie Jung
74,Sam Creed
79,Zoe Luke
86,Samson Hoy
93,Mika Kurahashi
98,Lauren Szeto-Fung
99,Abeer Lamba
b,r,e,a,k
Loco,8
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/wcmixed/,https://twitter.com/loco_ultimate
0,Alison Joyce
0,Brandon Pastor
0,Haley Young
0,Jackie Weiss
0,Janet  Ro
0,Elena Lopez
0,Emily Smulowitz
0,Leo Warren
0,Sabrina Bonaci
0,Sarah Roberts
0,Shawn Dacey
6,Victoria Wischerth
6,Jessica Brand
9,Sam Gilden-Weiner
10,Belle Sullivan
12,Justin Keller
14,Joshua Norton
21,Becklin Davis
21,Regina Esser
36,Ethan Holmgren
37,Max Trifillis
69,Steven Broome
84,Matt Lubitz
85,Chase Rawlins
91,Kenneth Wells
b,r,e,a,k
BW Ultimate,13
teamInfo,,"Sunnyvale, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Cullen Coyne
0,Emma Morimoto
0,Gary Dixon
0,Gretchen Berndt
0,Hidemasa Kato
0,James Pollard
0,Jessica Lee
0,Jessie Moore
0,Bettina Chen
0,Cecilia Bao
0,Kelly Liu
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Monica Hsiue
0,Shirley Saunders
0,William Chang
7,Michelle Slaughter
7,Angela Louh
16,John Dugan
23,Vincent Su
27,Aaron Hom
44,Conor Bauman
98,Wyatt Berreman
b,r,e,a,k
Wild Card,12
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
0,Aidan McLeod
0,Alex Kapiamba
0,Charlie Bushman
0,Christina Stellwagen
0,Christopher Layden
0,Emma Bushman
0,Fernanda Brena
0,Hannah Marr
0,Iris Rukshin
0,Katherine Connelly
0,Matthew Yee
0,Maxwell Rick
0,Natalie Wheeler
0,Seth Fortin
0,Tamar Austin
4,Hannah Crowley
4,Alexander Curreri
8,Jason Freedman
10,Annika Chan
11,Scott Dollen
13,Carolina Brager
16,Jacob Arons
24,Pablo Reimers
27,Kaitlyn Thibault
38,Will Burks
42,Anthony Lamanna
b,r,e,a,k
Mile High Trash,7
teamInfo,,"Denver, Colorado",,,
coaches,Michael Stevens,Jason Thompson
0,Tess Warner
1,Jack “Moneyball” Hinchsliff
5,"Son ""Womp Womp"" Nguyen"
9,Charles Cannon
10,"Tristan ""Baby T"" Weber"
12,James Shanahan
16,"Abigail ""Froot Loop"" Thorpe"
17,"Zane ""Oscar T Grouch"" Barber"
19,Jonathan “Mustache Cowgirl” Costello
20,Arielle “Tatted Maverick” Nelson
21,Fern Beetle Moorcroft
21,"Will ""Sink or Swim"" McDonald"
22,Allysha Dixon
24,"Megan ""Who Me??"" Jameson"
27,Tyler “Three Mango Smoothies”  Nguyen
28,"Austin ""Big Nasty"" Gould"
29,Haley “Fresh Cut” Sanner
30,"Jonathan ""Fashion Icon"" Stirk"
31,Courtney Ngai
34,Ingrid “zoom zoom” Petterson
51,"Maxwell ""Danger Can"" Hamilton"
69,"Bristol ""Mittens"" Lovoy"
77,Janie Mockrish
84,"Hallie ""As In Hallie's Dad's Daughter?"" Dunham"
b,r,e,a,k
Oregon Scorch,2
teamInfo,,"Oregon, Oregon",,,
0,Alberta Clough
0,Amir Kaghazwala
0,AVI TAYLOR
0,Benjamin Whitenack
0,Eric Zimmerman
0,Genichi Nakano
0,Jon Snyder
0,Kristin Moore
0,Kyra Ratusnik
0,Lillian Weaver
3,Keali Mccarter
4,Amanda Ullrick
7,Zoey Hughes
9,Josh Moore
11,Jackie Matonis
12,Danielle Lindberg
13,Kelly Hansen
13,Erik Lindberg
15,Kelsey Salvo
17,Chris Larberg
17,Nicholas Redmond
19,Raina Kamrat
21,Kevin Christian
26,Austin Kelly
81,Ryan Wolfe
88,Rebecca Hamilton
b,r,e,a,k
Donuts,14
teamInfo,,"Bay Area, California",http://www.instagram.com/donutsultimate,https://www.facebook.com/DonutsUltimate/?pnref=story,https://twitter.com/donuts_ultimate
0,Chris Yan
02,Emily Beck
06,Christina Casler
07,Jonathan Goldsmith
08,Adam Koren
12,Visakha Hoang
13,Trevor Hawks
16,Thomas Murray
18,Joseph Gagliano
19,Megan Nguyen
21,Alexander You
22,Andrew Ouyang
22,Karin  Lin
27,Rachel Anderson
28,Katie Palmer
29,Judith Wang
29,Jackson Allen
32,Helen Yuan
33,Samantha Hing
44,Ella Dzenitis
53,Matthew Ferrari
64,Marcello Molinaro
77,Alec Surmani
88,Isabelle Deputy
97,Jeremie Gabor
b,r,e,a,k
California Burrito,11
teamInfo,,"San Diego, California",https://www.instagram.com/california_burrito_ultimate/,,
0,Aaron Coble
0,Abe Shklar
0,Alistair McIntyre
0,Anders Ruden
0,Casey Shugarman
0,Catherine Trevino
0,Catherine Lindeman
0,Christina Debowski 
0,Elliott Eve
0,Ethan Li
0,Jordan Denecour
0,Julia McIntyre
0,Mazden Mastromauro
0,Peter Osseward
0,Theresa Zettner
0,Tim Klacik
15,Jessica Wan
16,Lauren Stuart
18,Emma Smith
21,Nicole Love
23,Zoe Tessler
27,Sam Weaver
29,Nolan Schmalenberger
37,Hannah Walter
49,Denika Hallin
b,r,e,a,k
Seattle Mixtape,3
teamInfo,,"Seattle, Washington",,https://www.facebook.com/206ghettobirds/,https://twitter.com/SeattleMIXtape
0,Alex Nelson
0,Ciona Antolin
0,David Shipway
0,Marc Anthony Munoz
0,Mario O'Brien
0,Stephanie Lim
7,Frances Gellert
8,Kahyee Fong
11,Bert Cherry
11,Sadie Jezierski
17,Aimie Kawai
19,Emily Decker
19,Husayn Carnegie
19,Alexa Romersa
21,Jesse Bolton
23,William Katz
27,Dominic Cavalero
29,Michael Buyco
38,Cori Bigham
49,Kristin (Charlie) Eide
58,Paige Kercher
71,Cassandra Wong
73,Chackgarin Brown
88,Brandon Li
99,Khalif El-Salaam
b,r,e,a,k
Classy,6
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Alex Pien
0,Amanda Loh
0,Anne Hemmelgarn
0,Ashwin Anantharaman
0,Betsy Siegal
0,Cappy Pitts
0,Jayna Wu 
0,Justin Hinman
0,Mitch Frauenheim
0,Monica Donegan
0,Philip Chang
0,Zachary Bruno
1,Matthew Zelin
5,Suk lyn Lim
6,Courtney Greenley
7,Theo Gonzales-Tapley
8,Jenna Ray
11,Joel Miller
12,Payton Laurie
15,Juleon Robinson
16,Sarah Kaufman
17,Sheila Robles
26,Mackenzie Smith
45,Jacob Hobbie
55,Tyler Condit
b,r,e,a,k
Lotus,10
teamInfo,,"Los Angeles, California",,,https://twitter.com/LALotusUltimate
02,Jason Lee
04,Amy Lee
05,Sharon Tseng
07,Andrew McRae
12,Bryan Nguyen
14,Lu Wang
16,Karlin Steiner
18,Charlotte Zhu
19,Sophie Havranek
20,Brandon Nadres
22,Ryan Van Hook
23,Grant Mitchell
25,Cameron Helm
28,Stephanie Pritchard
30,Walter Kasprzycki
31,Alyssa Abbey
42,Devin Cox
46,Owen Bell
71,Riley Swift
77,Greta Becker
81,Daniel DeTone
84,Jesse Cohen
93,Naomi Guzman
95,Leo Kitchell
b,r,e,a,k
Pegasus,15
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
coaches,Trudy Philip
0,Adam Elder
0,Caroline Passalacqua
0,Clara Amorosi
0,Eric Huynh
0,Erica Stamboulian
0,Jason Dick
0,Jordan Listo
0,Kalissa Feinberg
0,Livia Amorosi
0,Lorenzo Lalimarmo
0,Meghan Gannon
0,Nathan Narita
0,Peter Frost
0,Samuel Stearns
0,Suji Kim
0,Zifei Feng
10,Benjamin Ostman
11,Jacqueline Chipkin
12,Courtney Cash
14,Knox Borges
27,Marlie Somers
27,Jason Angell
27,Goda Tarcijonas
36,Kamal Raslan
50,Lauren Pichard
95,Connor Dougherty
b,r,e,a,k
MOONDOG,4
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
0,Addie Thompson
0,Albany Jessop
0,Andrew Shanafelt
0,Anika Thomas-Toth
0,Ashley Ludack
0,Becca Holdhusen
0,Caleb Stanek
0,Carolyn Lober
0,Chaz Harris
0,Ethan Yourd
0,Genesea Meha
0,Jake Ralston
0,john hofacre
0,Kyla Crisp
0,Lisa Keller
0,Sam Hines
0,Talon Johnson
3,Jay Kinzel
4,Abbey Hustis
10,William Stewart
