Southwest D-I College Men's Regionals,College - Men ,6,5,2023
Santa Barbara,CA,2023-05-06,2023-05-07
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2023/schedule/Men/CollegeMen/
UCLA,1
teamInfo,Smaug,"Los Angeles, California",,,https://twitter.com/smaugultimate
0,Loic Billaut
00,Louis Gosart
00,Luca Adams
00,Luca Spycher
00,Marshall Wildmann
00,Matthew Barcellos
00,Meelan Shari
00,Michael Tao
00,Nathaniel Dudley
00,Riley Kirkman-Davis
00,Sam Hirschhorn
00,Varun Patro
00,Zachary Rosen
00,Zack  Hirschhorn
00,Akhil Nori
00,Alan Ramsey
00,Ben Uribe
00,Brandon Van Deusen
00,Bryan  Cloutier
00,Calvin Bird
00,Calvin Wicks
00,Cameron Gray
00,Daniel Lin
00,Devon Stuart
00,Ian Tsai
00,Jackson Jewett
00,Jacob Snodgress
b,r,e,a,k
California-Santa Barbara,8
teamInfo,Black Tide,"Santa Barbara, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Ayaaz Shah
0,Derek Rojas
0,Luke Weaver
3,Max Combs
4,Everett Grass
6,Colin Baylis
7,Cole Bushner
8,Ryan Ridenour
9,Christian Van Stralen
10,Daniel Hwang
11,Brendan McGuinness
12,Dosym Kunhardt
13,Ralph Martini
14,Maxwell Fong
15,Michael Demonteverde
15,Leo Ford
23,Grayson Arensdorf
23,Alex Cheng
24,Austin Thornburgh
26,Rowan King
27,Phillip Loo
30,Elijah Geduldig
31,Jackson Hill
32,Isaac Duan
33,Liam Kilbridge
38,Ryan Grossklaus
69,Sam Nosler
77,Charlie Rous
88,Caden Lane
b,r,e,a,k
Southern California,11
teamInfo,USC Lockdown,"Los Angeles, California",https://www.uscmensultimate.org/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
coaches,Jacob Barr
0,Bicheng Si
0,Calvin Ryan
0,Daniel Brunker
0,Eli Dorn
0,Giancarlo Rodriguez
0,Junzhe(Jimmy) Feng
0,Mike DiLoreto
0,Yutian Qian
2,Dox Raskin
5,Mateusz Pienkowski
6,Noah Schlenk
8,Dylan Baker
10,Daniel Hochberg
13,Thomas Johnson
14,Jack Fassett
28,Quinn Booth
35,Valentin Post
36,Christian Barrett
41,Emilio Fassett
72,Hari Sridhara
77,Clay Kaufman
99,Alexander Zambidis
b,r,e,a,k
Cal Poly-SLO (B),14
teamInfo,SLOB,"San Luis Obispo, California",,,
00,Caleb Rosen
00,Cole Aymond
00,Colin Schmitt
00,Colin Moore
00,Daniel Monge
00,Drew Larson
00,Garrett Kunkler
00,Alec Gibbs
00,Jasper Mors
00,Layne Sutton
00,Luca Perri
00,Matthew Lu
00,Joshua Hutchinson
00,Kamron Kelley
00,Owen  Lutz
00,Owen Peay
00,Pierce Spielman
00,Quintan Davis
00,Robert Cushing
00,Tate Johnson
00,Zach Kwast
01,Jack Toyama
03,Paul Nassar
16,Zachary Wallpe
20,Josh Hall
27,Landon Block
28,Wyatt Barnes
69,Ryan Porch
70,Aleksandr Breit
77,Matthew Chak
b,r,e,a,k
California-Santa Cruz,2
teamInfo,Slugs,"Santa Cruz, California",http://www.slugultimate.com/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
coaches,Johnny Ortberg
0,Andrew Grosso
0,Blake Sanchez
0,Devin Acuna
0,Ethan Kleinman
0,Ethan Rogers
0,Gang Xu
0,Kien Warren
0,Liam Jay
0,Milan Moslehi
0,Noah Chang-Linenberg
0,Selim Jones
0,Toby Warren
0,William Snyder
1,Charlie Jia
3,Xaul  Starr
4,Louis Loduha
9,Dylan Burns
12,Davin Sieu
21,Benjamin Pratt
24,Aaron Mercado
26,Zack Renick
27,Samuel Kaplan
44,Aidin Terris
45,Tyler Weng
71,Aidan Curry
77,Mario Ambrose
b,r,e,a,k
California-San Diego,7
teamInfo,Air Squids,"San Diego, California",,,
00,John Loftus
00,Jonathan McGurrin
00,joseph duran
00,Joshua Creasman
00,Matthew Deckerman
00,Max Gibson
00,Nate Becker
00,Nilesh Mukundan
00,Param Shah
00,Ryan Barry
00,Spencer Rebman
00,Sumedh Prasad
00,Trey Scheid
00,Tyler Kurpanek
00,Tyler May
00,Tynan Sander
00,Bradley Zanteson
00,Caleb Robinson
00,Charlie Wilson-Jackson
00,Cireus Eghtessadi-Reed
00,Ethan Wang
00,Ghislain Demeester
09,Dylan  Ryfe
12,Hillel Avital
40,Adam Tran
53,Daniel Pryke
76,Andrew Shen
b,r,e,a,k
California-Irvine,13
teamInfo,Nightlife,"Irvine, California",https://www.instagram.com/nightlife_ultimate/,,
00,Paolo Brinas
00,Trevor Walker
02,Cory Yonemura
07,Jackson Camacho
08,Neel Gore
10,Ernesto  Balcazar
12,Shun Iwata
14,Joel Akiyoshi
15,Zach Howell
17,Kyle Conniff
20,Joshua Faith
22,George Higgins
25,Tomas Fong
27,Bingqian Pan
28,Nathan Leslie
33,Michael Cazarez
36,Cheng-Yu Liu
44,Vincent Ton
55,Spencer Sih
60,Arnav Sareen
69,Kobi McCracken
77,Peifeng Wang
88,bo wilson
99,Christopher Schultz
b,r,e,a,k
Arizona State,12
teamInfo,Prime,"Tempe, Arizona",,,https://twitter.com/ASU_Ultimate
0,Adam Douillet
0,Alex Van Der Geest
0,Alvin Miles
0,Brendan Keith
0,Caleb Christensen
0,Daniel Maldonado
0,Derek Benavidez
0,Emory Koeppel
0,Hainuo Jiang
0,Jaiden McGuinness-Cook
0,Jayson Herrera
0,Clinton Warner
0,Ke Li
0,Martin Fuller
0,Maxwell Bregman
0,Nathaniel  Goodman
0,Prakash Wiese
0,Sashit Vijay
1,Roman Smith
2,Braden Distel
3,Joshua Saad
7,Austin  Cottarel
8,Santiago Duque-Baird
13,Andrew MacIsaac
21,Robert Davenport
22,Khoji Ybarra
42,Christopher Sowards
66,Andrew Brandenburg
76,Connor Garrison
b,r,e,a,k
Cal Poly-SLO,3
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
coaches,Tim Gilligan
00,Carson Crouch
00,Charles Camilli
00,Dodger Middlebrook
00,Emmet Holton
00,Garrett Bush
00,James Whealan
00,Jamieson Rear
00,Joseph Thachet
00,Keaton Orser
00,Kyle Lew
00,Leo Lauritzen
00,Martin  Doherty
00,Max Gade
00,Rafael Castillo
00,Sander Fogarty
00,Seamus Robinson
00,Wyatt Colburn
00,Zach Riley
00,Alex Herman
00,Alex Yannelli
00,Alex Nelson
00,Anton Orme
00,Bailey Prochaska
81,Calvin Brown
b,r,e,a,k
Stanford,6
teamInfo,Stanford Bloodthirsty,"Stanford, California",,https://www.facebook.com/stanfordbloodthirsty/,https://twitter.com/stanfordblood
coaches,Lucas Dallmann,Lily Steponaitis,Christian Cortes
0,Alexander Belfiore
0,Egan Tardif
0,Eli Meyers
0,Everett Lee
0,Josh Walensky
0,Langston Nashold
0,Leo Jacoby
0,Mathurin LeDorze
0,Morgan Wyatt
0,Owen Camp
0,Sepehr Asgari
0,Simon Covington
6,Sean Sewell
9,Isandro Malik
10,Charles Shi
12,Charlie Shors
14,Baker Sharp
20,Matan Abrams
21,Tee Monsereenusorn
22,Aristotle Marangu
26,Max Vandervelden
34,Toby Frager
41,William Hartog
48,Brendon Gu
88,Shiley Einav
89,Jerred Smith
b,r,e,a,k
Nevada-Reno,16
teamInfo,Elevation Ultimate,"Reno, Nevada",https://nevadaultimate.weebly.com/,https://www.facebook.com/NevadaUltimate/,https://twitter.com/nevadaultimate
0,Brody Moreno-McClure
0,David Leonhardt
0,Davis Berry
0,Erick Bandala Sanchez
0,Logan Beffort
0,Malachite Nelson
0,Marcus Fredrickson
0,Michael Caliz
0,Moeses Chavez
0,Nicholas Kutter
0,Nicolas Olson
0,Rodney Wolfgang
0,Thomas Kolvet
0,Zachary Wilhite
2,Douglas Pieplow
8,Spencer Lee
33,Jeremiah Haumeder
35,Christopher Carter
42,Richard Scheen-Stribling
55,Jonathon Lau
77,Jack Stinson
95,Justin MacQuiddy
b,r,e,a,k
Santa Clara,9
teamInfo,SCAB,"Santa Clara, California",,,https://twitter.com/SCABUltiFris
coaches,Ryan Messersmith
0,Jonah Lewis
0,Joshua Colleran
0,Liam Reese
0,Matthew Rothrock
0,Owen Duffy
2,Kieran Greeley
5,Peyton Clark
10,Gavin Malone
11,William Bennett
14,Keaton Viadro
15,Skyler Weight
16,Willy Martinez
17,James Freeman
18,Agustin Pace
20,Mason Gerwig
22,Rowan Olds
23,David Cummings
24,Daniel Flores
27,Jonah Engelmann
29,Miles Falcone
31,Will DeGasparis
33,Ambrose Vellequette
37,Holden Abramonte
41,Declan Bernal
68,Logan Barnes
88,Declan Lavery
98,David Rogers
99,Zachary Harvey
b,r,e,a,k
California,4
teamInfo,California-Berkeley,"Berkeley, California",,https://www.facebook.com/CalMensUltimate/,https://twitter.com/calmensultimate?lang=en
coaches,Daniel Silverstein
0,Aditya  Vunnum
0,Carter Lankford
0,Gavin May
0,Lawson Graham
0,Ridge Huang
1,Renzo Soatto
4,Samuel Laur
5,Robert McCabe
6,Kushal Khangaonkar
8,Drew Palmer
9,Evan Kandell
13,Emery Goulet
14,Dexter Clyburn
20,Owen Zuidema
28,Donovan Mierlak
29,Vincent Su
33,Lucas Intagliata
43,Gabriel Gatewood-Wolfe
69,Camden Mah
97,Eric Johnson
99,Vikram Deepak
b,r,e,a,k
Grand Canyon,5
teamInfo,Lopes,"Phoenix, Arizona",https://clubsports.gcu.edu/club-sports/ultimate-frisbee/,https://www.facebook.com/gculopesultimate/,https://twitter.com/GCUUltimate
0,Carter Hallahan
0,Trevor Gurski
1,Martin Mason
2,Carlos Villegas
3,Brayden Beeman
4,Nikolas  Rivera
8,Elijah Salmon
9,Jake Paulson
11,Shane Davidson
13,Timothy Coulby
18,Ethan Lee
20,Cael Kubly
22,Nathan Paauw
23,Luke Paulson
29,Everitt Meer
33,Jonah  Rominski
55,Ryan Williams
80,Caleb Yaso
81,Caden Sigerud
92,Caleb  Webster 
b,r,e,a,k
San Diego State,15
teamInfo,Federales,"San Diego, California",,,https://twitter.com/SDSUFederales?s=20
00,Luke Joseph
01,Ryley Peterson
02,Connor Reding
04,Zachary Register
05,Lucas Theaker
06,Kyle Sands
08,Ethan DeForest
09,Anthony Yolles
10,Ryan McKnight
11,Christian Vicars
13,Gavin Henry
17,Garrett Griffin
19,Joshua Blanchard
22,Cole Schuster
23,Nicholas Hon
26,Jake Hooper
27,Tzu-Jen Su
28,Nathan Machak
32,Logan Hall
44,Nicholas  DePhilippis
47,Landon  McDowell
63,David Klunder
69,Joseph Hibbs
89,Kaia Yamamoto
99,Kyle Loutzenhiser
b,r,e,a,k
California-Davis,10
teamInfo,Davis Dogs,"Davis, California",https://davisdogsultimate.weebly.com/,https://www.facebook.com/davis.dogz?fref=ts&ref=br_tf,https://twitter.com/dogsultimate
0,Aaron Li
0,Aidan McKelvey
0,Alexandro Murillo
0,Cooper Bass
0,Julian Korchin
0,Kaden Brownie
0,Keenan McKelvey
0,Kincaid  Johnson 
0,Landen Sudduth
0,Liam Ginsberg
0,Patrick Hong
0,Peter Reifenstein
0,Reilly Berberian
0,Timo Williamson
2,Gannon Janisch
3,Leo Rapoport
4,Abrahan Cortes
7,Eli Fischberg-Robinson
19,Adam Vera
22,Yahir Mariles Guzman
26,Alec White
28,Ian Morritse
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
UCLA,Cal Poly-SLO (B),15,6,"05/06/2023, 13:15",Pool A,Final
California-Santa Barbara,Southern California,12,7,"05/06/2023, 13:15",Pool A,Final
UCLA,California-Santa Barbara,15,4,"05/06/2023, 15:00",Pool A,Final
Southern California,Cal Poly-SLO (B),13,6,"05/06/2023, 15:00",Pool A,Final
pool,Pool B
California-Santa Cruz,California-Irvine,11,3,"05/06/2023, 13:15",Pool B,Final
California-San Diego,Arizona State,13,4,"05/06/2023, 13:15",Pool B,Final
California-Santa Cruz,California-San Diego,12,7,"05/06/2023, 15:00",Pool B,Final
Arizona State,California-Irvine,10,12,"05/06/2023, 15:00",Pool B,Final
pool,Pool C
Cal Poly-SLO,Nevada-Reno,15,0,"05/06/2023, 13:15",Pool C,Final
Stanford,Santa Clara,11,7,"05/06/2023, 13:15",Pool C,Final
Cal Poly-SLO,Stanford,14,4,"05/06/2023, 15:00",Pool C,Final
Santa Clara,Nevada-Reno,9,10,"05/06/2023, 15:00",Pool C,Final
pool,Pool D
California,San Diego State,13,2,"05/06/2023, 13:15",Pool D,Final
Grand Canyon,California-Davis,8,6,"05/06/2023, 13:15",Pool D,Final
Grand Canyon,San Diego State,0,0,"05/06/2023, 15:00",Pool D,Scheduled
California-Davis,San Diego State,10,11,"05/06/2023, 15:00",Pool D,Final
b,r,e,a,k
clusters,Post Pool Play Crossovers
cluster,Crossovers
UCLA,Cal Poly-SLO,4,15,"05/06/2023, 16:45",,Final
California-Santa Cruz,California,8,9,"05/06/2023, 16:45",,Final
Grand Canyon,California-Irvine,11,9,"05/06/2023, 16:45",,Final
Stanford,Southern California,9,5,"05/06/2023, 16:45",,Final
California-San Diego,San Diego State,10,4,"05/06/2023, 16:45",,Final
California-Santa Barbara,Nevada-Reno,12,7,"05/06/2023, 16:45",,Final
b,r,e,a,k
pools,4 Seed Consolation
pool,Pool E
Cal Poly-SLO (B),Santa Clara,10,8,"05/06/2023, 16:45",Pool E,Final
Arizona State,Santa Clara,0,0,"05/07/2023, 08:00",Pool E,Scheduled
Cal Poly-SLO (B),Arizona State,0,0,"05/07/2023, 11:30",Pool E,Scheduled
b,r,e,a,k
brackets,Championship
bracket,Finals
Cal Poly-SLO,Grand Canyon,0,0,"05/06/2023, 18:30",Quarters,In Progress
California-Santa Barbara,California-Santa Cruz,6,12,"05/06/2023, 18:30",Quarters,Final
UCLA,California-San Diego,15,8,"05/06/2023, 18:30",Quarters,Final
Stanford,California,0,0,"05/06/2023, 18:30",Quarters,In Progress
bracket,3rd Place Game to Go
bracket,5th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
California-Irvine,Southern California,0,0,"05/07/2023, 11:30",9th Place Semis,In Progress
San Diego State,Nevada-Reno,0,0,"05/07/2023, 11:30",9th Place Semis,In Progress
bracket,11th
b,r,e,a,k
