2023 USA Ultimate Masters Championships,Masters - Women ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Women/Masters-Women/
Reboot Squad,1
teamInfo,,"Somerville, Massachusetts",,,
01,Lauren Nelson
02,Shellie Cohen
03,Sara Jacobi
06,Claudia Tajima
07,Kameryn Groom
08,Amber Sinicrope
09,Andrea Desabato
10,Nikki Ross
11,Becky Malinowski
12,Dory Ziperstein
13,Vicki Chen
21,Melissa Ellis
22,Victoria Negus
23,Jodi Robert
24,Casey Gorman
25,Clare Frantz
26,Elana Schwam
31,Courtney Ngai
33,Laura Bitterman
44,Sarah Meckstroth
66,Jackie Wang
83,Alyson Steinfeld
b,r,e,a,k
Ghost Town,7
teamInfo,,"Denver, Colorado",,,
00,Alexandra Guy
00,Alexandra (Ola) Czastkiewicz
00,Ana  Prada
00,Becky Nevin
00,Brady Cowiestoll
00,Candace Yeh
00,Catherine Smith
00,Christine Kamin
00,Claire Morrissy
00,Emily Harrell
00,Emma Boyd
00,Julia  Messing 
00,Lillian Caldwell
00,Melinda Alvey
00,Molly Clay
00,Rebecca Mitchell
06,Jessica Larson
08,Emily Kraus
15,Rebecca Roden
36,Julie Kafka
41,Katherine Macri
b,r,e,a,k
Mint,10
teamInfo,,"Seattle, Washington",,,
coaches,Aslyn Blohm
00,Kaela Wuesthoff 
03,Kate Propp
04,Andrea Fox
06,Emily Slack
07,Summer (Salsa) Jackson
08,Hannah Sherwood
09,Clara Amorosi
12,Sari Ellis
14,Anna Meyendorff
15,Noel Hanzel
17,Ellen Smith
19,Gabby Markoff
22,Shannon Bradley
24,Emma Stoltze
25,Anh-Thu Chang
28,Jennifer Ng
32,Fiona Cahill
33,Catherine (Cate) Roscoe
57,Lena Kuchera
77,Marlie Somers
88,Janelle Heinig
99,Xunantunich Andrews Haley
b,r,e,a,k
Rusting Bridge Face,16
teamInfo,,"Pittsburgh, Pennsylvania",,,
03,Maria Bajzek
05,Rachel Parlock
07,Ashley Miller
13,Kelly Rigsbee
15,VALERIE HUGHES
23,Elissa Picozzi
26,Kelsey Cowles
30,Christiana Chang
34,Melissa May
39,Jeannine Opie
41,Chelsea Grindle
51,Bridget McCoy
77,Sarah Lorang
88,Elise Garton
b,r,e,a,k
Soar! *sore,2
teamInfo,,"Dallas/Fort Worth, Texas",,,
00,Brooke Wooldridge
01,Chinwe Obi
02,Ivy Byun
03,Madeline Hill
04,Rachel Hundley
05,Hien Le
06,Meredith Wooley
07,Lindsey Kappen
08,Katie Metzler
09,Krystina Morris
11,Veronica Coombs
12,Megan Tormey
13,Julie Eagle Malecek
15,Wendy Hogg
18,Elizabeth McCullagh
19,Emma Ackels
24,Jenna Bigbie
26,Amy Broome
27,Annaliza Bittner
31,Christen McClure
42,Allegra Donadio
55,Bethani Eberhart
77,Maria del Carmen Lafita Navarro
b,r,e,a,k
PDXtra,8
teamInfo,,"Portland, Oregon",,,
00,Alison Wheeler
00,Annalise Heuser
00,Ashley Brown
00,Caitlin Winterbottom
00,Carly Lochala
00,Colleen Scott
00,"Dana ""Zuul"" Nelson"
00,Dayna Stierley
00,Grace Whitmore
00,Hayley Shanks
00,Holly Gibson
00,Isabelle  Bartter
00,Kaitlyn Harris
00,Kathleen Johnston
