Summer Solstice 2023,Club - Men ,24,6,2023
Eugene,OR,2023-06-24,2023-06-25
https://play.usaultimate.org/events/Summer-Solstice-2023/schedule/Men/Club-Men/
Rhino Slam!,1
0,Dylan Schroeder
0,Vaughn Dillender-Kinast
0,Zach McKee
10,Taylor Lange
15,Dylan Brack
b,r,e,a,k
Anchor,13
teamInfo,,"San Francisco, California",,,
0,Bo Rasmussen
0,Boris Strots
0,Daniel Heynen
0,Dillon Einck
0,Edward Cao
0,Enoch Wang
0,SAMSON BAILEY
0,Stephen Chait
0,Thomas McCrone
0,Kevin Hallman
3,Alex Rossmeissl
7,Vibhav Parimi
9,Ben McAuliffe
10,Jamison Klang
33,William Fuller
46,Maozhi Liu
75,Bodie Shargel
b,r,e,a,k
Make it Rain,16
teamInfo,,"Seattle, Washington",,,
0,Griffin Righi
0,James Holtz
0,Jeremy Liu
0,Joseph Cirnigliaro
0,Joseph Hess
0,Arseniy Minasov
0,Connor Concannon
0,Matias Korfmacher
0,Paul DeGennaro
0,Trevor Griffin
0,Tyler Shanahan
1,Keir Hichens
2,Kevin Mosey
11,Robin Boudard
12,Ryan Brady
18,Caleb Akiyama
21,Kevin Rogers
36,Will Troop
42,Daniel Moore
60,Aidan Malone
84,Scott Sivola
b,r,e,a,k
ONI,17
teamInfo,,"Vancouver, British Columbia CA",,,
69,Aaron Klymasz- Swartz
69,Ace  Suasola
69,Achinth Bharadwaj
69,Baron Tran
69,Diego Foot Epp
69,Dylan Chin
69,Ender Sotelo
69,Ethan Lee
69,Felix Brunner
69,Ian Chan
69,Jonathan Aaron Fos-oy
69,Joshua Misa
69,Liam Pon
69,Mark Chow
69,Owen Chan
69,Quinn Huizinga
69,Ray Li
69,SHOTARO KITAMI
69,Silas Huizinga
69,Simon Lee
69,Stanley Chung
b,r,e,a,k
Blackfish,10
teamInfo,,"Vancouver, British Columbia CA",,,
0,Austin Yen
0,Bowen Liu
0,David Guo
0,Eli Shapera
0,Erez Kassirer
0,Ethan  Low
0,Jack  Hou 
0,Jia De Zhang
0,Jordan Wu
0,JOSH TAN
0,Justin Chan
0,Keaton Wong
0,Marcus Yeung
0,Matt Furze
0,Mikael Zappetti
0,Nicholas Cheng
0,Rowan Sivanandam
0,Russell Hamilton
0,Ryan  Loui-Ying
0,Taiga Komiyama
0,Wesley  Wong
17,Vincent Lee
b,r,e,a,k
SOUF,11
teamInfo,,"Seattle , Washington",,,
0,Achilles Abella
0,Derin Cropp
0,Joshua Robancho
0,Justin Jones
0,Kevin Tellez
0,Matthew Liu
0,Nico Binuya
0,Quinnan Mack
0,Jack Salazar
0,Jae Doza
0,John Le
0,Zachary Sanders
0,Zhi Chen
1,Isaac Woldemariam
1,Stephan Keo
2,Jalil Morris
9,Abraham Gebreyesus
10,Alan Huang
12,Jordan Smith
23,Hai Trang
34,Akash Shrestha
69,Stephen Oun
74,Adam Jemal
77,Austin Hasbrook
b,r,e,a,k
Heartbreak,14
teamInfo,,"Coeur d'Alene, Idaho",https://cdaultimate.wixsite.com/frisbee/heartbreak,https://www.facebook.com/Heartbreakultimate,
0,Kira Belnap
1,Graysen Ludiker
2,Cameron  Milbrath
4,Cole Dinwoodie
7,Edna Roseberry
05,Samuel Hedrick
09,Anna Ediger
10,James Robin
11,Mitchell Whitehead
12,Riley Sikes
15,Daniel Gimbel
18,Shemiah Ediger
21,Ian Kinder-Pyle
23,Jon Rubertas
24,Kyle Jones
53,Eli Lathrop
54,Alex Stumphauzer
55,Sean Chapel
81,Amit Tzivion
b,r,e,a,k
Green River Swordfish,15
teamInfo,,"Davis, California",,,
0,Aidan McKelvey
0,Alejandro Pagan
0,Austin Joseph
0,Ben Mattison
0,Charles Barnes
0,David Croft
0,Scott Ballinger
0,Steven Swartz
24,Peter DeBrine
28,Ian Morritse
37,Logan Dolim
37,Trevor Ryder
62,Elliot Wilde
70,Peter Reifenstein
b,r,e,a,k
Oregon Donors,18
teamInfo,,"Eugene, Oregon",,,
0,Eric Rosenfeld
0,Jack Omlin
0,Josh Mitts
0,Justin Grishkin
0,Lucas Spiegel
0,Luke Weinstein
0,Matthew Reed
0,Nicholas Roy
0,Ted Shorack
0,Thad Arnold
0,Trevor Langston
2,Dylan Darling
3,Shane Mount-Rubenfeld
11,Joe (Jerome) Millon
24,Nam Vo
81,Benjamin Mew
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Rhino Slam!,Sawtooth,0,0,"06/24/2023, 10:15",Pool A,Scheduled
Dark Star,Skipjack,0,0,"06/24/2023, 10:15",Pool A,Scheduled
Rhino Slam!,Skipjack,0,0,"06/24/2023, 12:00",Pool A,Scheduled
Dark Star,Sawtooth,0,0,"06/24/2023, 12:00",Pool A,Scheduled
Sawtooth,Skipjack,0,0,"06/24/2023, 13:45",Pool A,Scheduled
Rhino Slam!,Dark Star,0,0,"06/24/2023, 17:00",Pool A,Scheduled
pool,Pool B
Sockeye,Zyzzyva,0,0,"06/24/2023, 10:15",Pool B,Scheduled
Furious George,Switchback,0,0,"06/24/2023, 10:15",Pool B,Scheduled
Sockeye,Switchback,0,0,"06/24/2023, 12:00",Pool B,Scheduled
Furious George,Zyzzyva,0,0,"06/24/2023, 12:00",Pool B,Scheduled
Sockeye,Furious George,0,0,"06/24/2023, 13:45",Pool B,Scheduled
Zyzzyva,Switchback,0,0,"06/24/2023, 13:45",Pool B,Scheduled
pool,Pool C
Ghost Train,ONI,0,0,"06/24/2023, 08:30",Pool C,Scheduled
Anchor,Make it Rain,0,0,"06/24/2023, 08:30",Pool C,Scheduled
Ghost Train,Anchor,0,0,"06/24/2023, 10:15",Pool C,Scheduled
Oregon Trainwreck,Make it Rain,0,0,"06/24/2023, 10:15",Pool C,Scheduled
Make it Rain,ONI,0,0,"06/24/2023, 12:00",Pool C,Scheduled
Oregon Trainwreck,Anchor,0,0,"06/24/2023, 12:00",Pool C,Scheduled
Ghost Train,Make it Rain,0,0,"06/24/2023, 13:45",Pool C,Scheduled
Oregon Trainwreck,ONI,0,0,"06/24/2023, 13:45",Pool C,Scheduled
Ghost Train,Oregon Trainwreck,0,0,"06/24/2023, 15:30",Pool C,Scheduled
Anchor,ONI,0,0,"06/24/2023, 15:30",Pool C,Scheduled
pool,Pool D
Blackfish,Oregon Donors,0,0,"06/24/2023, 08:30",Pool D,Scheduled
Heartbreak,Green River Swordfish,0,0,"06/24/2023, 08:30",Pool D,Scheduled
Blackfish,Heartbreak,0,0,"06/24/2023, 10:15",Pool D,Scheduled
SOUF,Green River Swordfish,0,0,"06/24/2023, 10:15",Pool D,Scheduled
Green River Swordfish,Oregon Donors,0,0,"06/24/2023, 12:00",Pool D,Scheduled
SOUF,Heartbreak,0,0,"06/24/2023, 12:00",Pool D,Scheduled
Blackfish,Green River Swordfish,0,0,"06/24/2023, 13:45",Pool D,Scheduled
SOUF,Oregon Donors,0,0,"06/24/2023, 13:45",Pool D,Scheduled
Blackfish,SOUF,0,0,"06/24/2023, 15:30",Pool D,Scheduled
Heartbreak,Oregon Donors,0,0,"06/24/2023, 15:30",Pool D,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
b,r,e,a,k
brackets,Consolation Brackets
bracket,Third Place
bracket,Fivals
bracket,Seventh Place
bracket,Ninals
bracket,Eleventh Place
b,r,e,a,k
pools,Consolation Pool
pool,Pool E
b,r,e,a,k
