Stanford Invite (Mens),College - Men ,4,3,2023
Stanford,CA,2023-03-04,2023-03-05
https://play.usaultimate.org/events/Stanford-Invite-Mens/schedule/Men/CollegeMen/
California-Santa Cruz,5
teamInfo,Slugs,"Santa Cruz, California",http://www.slugultimate.com/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Andrew Grosso
0,Blake Sanchez
0,Devin Acuna
0,Ethan Kleinman
0,Ethan Rogers
0,Gang Xu
0,Kien Warren
0,Liam Jay
0,Milan Moslehi
0,Noah Chang-Linenberg
0,Selim Jones
0,Toby Warren
0,William Snyder
0,William Walby
1,Charlie Jia
3,Xaul  Starr
4,Louis Loduha
9,Dylan Burns
12,Davin Sieu
21,Benjamin Pratt
24,Aaron Mercado
26,Zack Renick
27,Samuel Kaplan
44,Aidin Terris
45,Tyler Weng
71,Aidan Curry
77,Mario Ambrose
b,r,e,a,k
Cal Poly-SLO,2
teamInfo,SLOCORE,"San Luis Obispo, California",http://slocore.com,https://www.facebook.com/slocoreultimate/,https://twitter.com/CORE_ultimate
coaches,Tim Gilligan
0,Alex Yannelli
0,Alex Nelson
0,Bailey Prochaska
0,Carson Crouch
0,Charles Camilli
0,James Whealan
0,Joseph Thachet
0,Kyle Lew
0,Leo Lauritzen
0,Martin  Doherty
0,Max Gade
0,Rafael Castillo
0,Wyatt Colburn
6,Keaton Orser
8,Jamieson Rear
14,Emmet Holton
16,Garrett Bush
17,Sander Fogarty
22,Dodger Middlebrook
25,Anton Orme
30,Seamus Robinson
36,Zach Riley
81,Calvin Brown
88,Alex Herman
b,r,e,a,k
Oregon,1
teamInfo,Ego,"Eugene, Oregon",,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
coaches,Braedon Petrus
0,Jack Gleason
03,Keali Mccarter
04,Daniel Ritthaler
05,Itay Chang
06,Jackson Knox
08,Adam Wulkan
09,Marcus Beidler
11,Mason  Weybright
11,Benjamin Keigwin
14,Nicholas Cao
15,Chander Boyd-Fliegel
17,Max Arquilevich
18,Marco Muralles
23,Julian Saunt
24,Mica Glass
28,Max Massey
34,Adam McNichols
45,Beckett Sessums
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
b,r,e,a,k
Washington,3
teamInfo,Sundodgers,"Seattle, Washington",,https://www.facebook.com/uwultimate,https://twitter.com/sundodgers
coaches,Nick Stuart,Dongyang Chen
0,Andrei (Andy) Stanciu
0,Elijah Espinola
0,Landon Grassy
0,Vivek Shah
1,Isaac Woldemariam
