2023 Northwest Mixed Regional Championship,Club - Mixed ,23,9,2023
Lacey,WA,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Northwest-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
BFG,1
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleBFG
0,Jason Yun
02,Kimberly Schlesinger
08,Jennifer Ricaurte
11,Reid Koss
12,Kaitlynne Roling
14,Mohammud Tilmo
15,Eliana Moskovitz
16,Samantha Rodenberg
17,Thomas Li
18,Conor Belfield
19,Derek Mourad
20,Alexa Kirkland
22,Jack Verzuh
23,Linnea Soo
24,Cheryl Hsu
25,Tommy Lin
27,Jeffrey Pape
28,Leah Bar-On Simmons
29,Sam Pickel
30,Sarah Benditt
32,Alissa Soo
35,AnnaMaria Pape
51,Sam Harkness
66,Crystal Koo
88,Linh Hoang
95,Jamie Kauffman
b,r,e,a,k
Seattle Mixtape,3
teamInfo,,"Seattle, Washington",,https://www.facebook.com/206ghettobirds/,https://twitter.com/SeattleMIXtape
0,Alex Nelson
0,Marc Anthony Munoz
0,Mario O'Brien
0,Peter Lenz
0,Stephanie Lim
7,Frances Gellert
8,Kahyee Fong
10,Lexi Garrity
11,Sadie Jezierski
11,Bert Cherry
16,Zach Sabin
17,Aimie Kawai
19,Alexa Romersa
19,Husayn Carnegie
19,Emily Decker
21,Jesse Bolton
23,William Katz
27,Dominic Cavalero
29,Michael Buyco
38,Cori Bigham
58,Paige Kercher
71,Cassandra Wong
71,Arianne Lozano
73,Chackgarin Brown
88,Brandon Li
99,Khalif El-Salaam
b,r,e,a,k
Red Flag,2
teamInfo,,"Vancouver, British Columbia CA",,https://www.instagram.com/redflagultimate/,https://twitter.com/redflagulti
coaches,Jonathan He
0,Connie  Xiong 
0,Edward Guo
0,Koji Suzuki
1,William Vu
3,Katie Wong
6,Brayden Gee
7,Filip Kragl
8,Justin Podnar
9,Julia Zhou
10,Gagan Chatha
11,Julie Lee
13,Kevin Tong
14,Avery Lee-Pii
14,Davis Toth
20,Collefas Mot
21,Ellen Au-Yeung
24,Peter Yu
25,Bryn McColl
48,Zellema Mot
70,Miu Shiraiwa
74,Sam Creed
79,Zoe Luke
86,Samson Hoy
93,Mika Kurahashi
98,Lauren Szeto-Fung
99,Abeer Lamba
b,r,e,a,k
MOONDOG,4
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
0,Addie Thompson
0,Andrew Shanafelt
0,Ashley Ludack
0,Becca Holdhusen
0,Caleb Stanek
0,Carolyn Lober
0,Chaz Harris
0,Ethan Yourd
0,Genesea Meha
0,Hallie Widner
0,Jake Ralston
0,Kevin Ryder
0,Kyla Crisp
0,Lisa Keller
0,john hofacre
0,Sam Hines
0,Talon Johnson
3,Jay Kinzel
4,Abbey Hustis
10,William Stewart
12,Kari Shelkey
22,Liz Grimes
29,Zach Baumann
34,Tara Santi
34,Davis Mossman
34,Ben Perkel
b,r,e,a,k
Spoke,6
teamInfo,,"Seattle, Washington",,,
0,Alexander Trautman
0,Ky Lewis IV
0,Lane Conner
0,Lindsay Lang
0,Maddy Grassy
0,Julia Ting
0,Kate Crawford
0,Oliver Hirn
0,Tarik Akyuz
3,Gabriel Ryan
10,Melanie Lindsey
12,Brent Lo
17,Jacob Lambert
17,Molly Wieringa
21,Kelsey Foster
24,Andrew Lynch
24,Stephen Burkot
25,Emily Harrell
27,Tom Crawford
29,Ada Wright
29,Max Sevier
44,Grace Young
b,r,e,a,k
Hive,11
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
0,Azen Jaffe
0,Blake Murray
0,Cameron Lamont
0,Agnes Lee
0,Crystal Still
0,Jack Carol
0,Jacob Artz
0,Jamie Johnson
0,Jeremy Randolph-Flagg
0,Kim Dorr
0,Lauren Lynch
0,Leo Finley
0,SJ Kim
0,Tadao Kumasaka
0,Timothy Wood
2,Colleen Nakanishi
4,Abby VanLeuven
7,Devon Graham
8,Kenzie Wingard
9,Andrew Akins
14,Haley Bartolomei
18,Ellen Kalenscher
19,Owen Heh
29,Dean Romine
32,Hal Robinson
80,Nathan Braun
b,r,e,a,k
Grit City,10
teamInfo,,"Tacoma, Washington",www.gritcityultimate.com,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
01,Nicholas Mahan
02,Hunter Hill
03,Andrew Page
04,Melissa Ostendorf
05,Lydia Carle
07,Zachery Laycock
08,Sarah Ciambrone
09,Zac Nix
10,CB Wolf
11,Nicholas Poolman
12,Veronica Tse
13,Jessica Haga
15,Molly Russell
16,Christina Chelf
22,Maryjo Sampang
23,Ophir Klein
30,Brandon Ishise
31,Traci Leaumont
35,Jeffrey Abeshima
39,Michael Leaumont
42,Riley Meinershagen
44,Eugenia Prezhdo
45,Alexander Lichtenstein
57,Matthew Ostendorf
b,r,e,a,k
Igneous Ultimate,12
teamInfo,,"Bend, Oregon",https://sites.google.com/view/bendultimate/club-teams/igneous-ultimate,,
0,Caleb Campbell
0,Chloe Quinn
0,Clarissa Orton
0,Elizabeth Madura
0,Emily Lasselle
0,Gemma Munck
0,James Palmiter
0,Josephine Bourne
0,Keith Bucher
0,Leo Wolf
0,Holland Bills
0,Nathan Motl
0,Quinn Hanson
0,Troy Abbott
0,Zach Heiden
4,Sidra Pierson
11,Jack McGinnis
15,Michaela Loar
18,Zac Scheuerman
24,Douglas Taylor
30,Ethan Oglesby
40,Geoffrey Zath
82,Lucas Henry
84,Anna Tinker
b,r,e,a,k
Pegasus,8
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
coaches,Trudy Philip
0,Adam Elder
0,Anya Meleshuk
0,Caroline Passalacqua
0,Eric Huynh
0,Erica Stamboulian
0,Jason Dick
0,Jordan Listo
0,Kyra Wortley
0,Livia Amorosi
0,Meghan Gannon
0,Nathan Yeazel
0,Nathan Narita
0,Peter Frost
0,Samuel Stearns
0,Suji Kim
0,Zifei Feng
10,Benjamin Ostman
11,Jacqueline Chipkin
12,Courtney Cash
14,Knox Borges
27,Goda Tarcijonas
27,Marlie Somers
27,Jason Angell
36,Kamal Raslan
50,Lauren Pichard
95,Connor Dougherty
b,r,e,a,k
Lights Out,9
teamInfo,,"Seattle, Washington",,https://www.facebook.com/Lights-Out-Ultimate-982520691925825/,https://twitter.com/LightsOutUlti
coaches,Charlie Mercer
01,Jessica Spaulding
02,Patrick Brady
03,Nathaniel Wipfler
05,Claudia Vasquez
06,Roy Fang
08,Michael Shum
09,John Mattes
10,Katherine Speck
11,Tony Ngo
13,Krysia Davis
14,Jessica Zaslove
16,Lily Zhang
19,Bridget Wipfler
21,Maya Kalmus
23,Emily Traylor
24,Jacob Cohen
25,Spencer Land
25,Gavin Sing
28,Julia Downing
33,Kristine Kornmann
36,Caleb Sherman
37,Daniel Zakaria
38,Victor Taggart
42,Cameron Jewett
47,Aakar Mehra
77,Evan Reding
b,r,e,a,k
Quick Draw,7
teamInfo,,"Logan, Utah",,https://instagram.com/cvquickdraw?utm_source=qr&igshid=NGExMmI2YTkyZg%3D%3D,https://twitter.com/quickdrawult23?t=9RttYv3voIVyBVu_9xjmzg&s=09
0,Olivia Munns
01,Seth Wilson
02,Zach Balls
03,Stella Anhder
05,Lucy Leary
06,Breesen Hoehne
07,Conrad Anhder
08,Sydney Yorgason
09,Dallin Opperman
11,Abbie Davis
13,Kysen Lyons
16,Truman Phillips
17,Jackson Egbert
18,Kylee Hoffman
19,Brigham Radmall
21,Benjamin Hoffman
23,Anthony Mounga
24,Jonny Hoffman
25,Henry Nguyen
26,Madelyn Seedall
30,Kaitlyn Radmall
38,Chase Smith
95,Brock Hyatt
97,Elisabeth Burdette
b,r,e,a,k
Oregon Scorch,5
teamInfo,,"Oregon, Oregon",,,
0,Alberta Clough
0,Amir Kaghazwala
0,Avi Taylor
0,Benjamin Whitenack
0,Bram Allahdadi
0,Eric Zimmerman
0,Genichi Nakano
0,Jon Snyder
0,Kristin Moore
0,Kyra Ratusnik
0,Lillian Weaver
3,Keali Mccarter
4,Amanda Ullrick
7,Zoey Hughes
9,Josh Moore
11,Jackie Matonis
13,Kelly Hansen
15,Kelsey Salvo
17,Chris Larberg
17,Nicholas Redmond
19,Raina Kamrat
21,Kevin Christian
26,Austin Kelly
26,Adriana Cvitkovic
81,Ryan Wolfe
88,Rebecca Hamilton
b,r,e,a,k
Bullet Train,14
teamInfo,,"Seattle, Washington",http://bullettrainultimate.com,,https://twitter.com/BulletTrainUlti
0,Abbey Estrada
0,Devon Chapman
0,Hannah DeVault
0,Madeline Goss
0,Manish Tulzapur
0,Megan Baunsgard
0,Melinda Ding
0,Ryan Shin
0,Sarah Teichman
0,Vincent Chase
0,Xin Shu
0,Yonatan Tadesse
0,Janelle Heinig
4,Brian Wandrei
7,Allen Rishel
10,Jack Baba
18,Chris Roach
20,Caitlin Durston
21,Jake Dunoyer
30,Daniel Boynton
42,Chauncey Holland
63,Louie Bertoncin
66,Ziqi Zhao
b,r,e,a,k
Squid Inc.,13
teamInfo,,"Bellingham, Washington",,,
0,Colin Bogar
01,Derrick Hirsch
04,Mary Nozykowski
05,Patrick Taylor
06,Neal Schobbe
09,Darren Duquette
10,Trish Benson
11,Brianne Pacey
13,Erik Bell
15,Delaney Adams
16,Niko Butt
17,Brian Roach
19,Zach Schneider
21,Scott Maxa
23,Lindsey Miller
28,Elsa Lindenmeyr
32,Emma  Mickelson
33,Margo Heffron
42,Nathan Brown
56,Catherine Heggie
71,Christopher Penuelas
73,Ruby Volker
77,Emma Lindsay
89,James Kozanitis
93,Abigail Tankersley
b,r,e,a,k
Stump,15
teamInfo,,"Portland, Oregon",,,
0,Brennan Johnson
0,Caeden Newby
0,Carey Jacquinot
0,Cheri Young
0,Elizabeth Herzfeldt-Kamprath
0,Joseph Leo Pepper
0,Pete Overright
0,Rigel Berg
0,Scotty Sparkles
0,Liz Nichols
0,Lucas Spiegel
0,Valerie Peacock
2,Alexander Vencill
3,Kendall Jorgensen
5,Spencer Magnusson
9,John Staskal
11,Christine Beaulieu
15,Rachel Auerbach
20,Reza  Refaei
23,Rheggie  enrique carranza
24,Nam Vo
28,Tahlia Hodes
