2023 USA Ultimate South Central Great Grand Masters Men's Regionals (NC/SC Super Regional),Great Grand Masters - Men ,10,6,2023
Longmont,CO,2023-06-10,2023-06-11
https://play.usaultimate.org/events/2023-USA-Ultimate-South-Central-Great-Grand-Masters-Mens-Regionals-NCSC-Super-Regional/schedule/Men/great-grand-masters-men/
BLU Skies,5
teamInfo,,"Boulder, Colorado",,,
0,Brandon Protas
0,Christopher Wirth
0,Daniel Esquibel
0,David Choi
0,Erik Mondrow
0,Gavin Kistner
0,Gregory Pierce
0,Gregory Haarburger
0,Jay  Austern 
0,Jeffrey White
0,Kurt Nordback
0,Lawrence Strebel
0,Lisa Rodriguez
0,Mark Toukan
0,Mike Cohen
0,Mike Lyle
0,Randy Russell
0,Stuart  Buchmann
31,Brad Kalil
b,r,e,a,k
Surly GGM,1
teamInfo,,"Minneapolis, Minnesota",https://www.surlyultimate.org/,,
0,Seth Grossinger
00,Pericles Nacionales
00,Richard (Ricky) Eikstadt
00,Trent Troyer
00,Britt Atack
00,Daniel Terlouw
00,David Remucal
00,David Boardman
00,Eric Enge
00,Nicholas Rahn
06,Andrew Rutledge
07,Paul Anderson
08,Joe Cesario
10,Don Tom
11,Mark Enright
13,Jeremy Alden
16,David Steglich
17,Tom Kremer
19,Sean McCall
34,John Hock
36,Russ Adams
76,Mike Helmecki
91,Matty Spillum
b,r,e,a,k
Silverhorn,2
teamInfo,,"Boulder, Colorado",,,
03,Dave Rosenthal
05,Philip Polzer
07,John Hardt
08,Greg Berbaum
09,Chris Fontes
10,Jeremy Friedman
11,Justin Childs
15,Jayson Ayers
16,Eric Hutton
17,Mark Piper
19,Dean Marrone
20,John Spencer
21,David Gochis
22,Patrick Alexander
31,Drew O'Connor
37,Louis Bair
40,Michael Galloy
44,Aaron Ketchum
50,Joseph Feinstein
54,Andrew Jones
58,Kenneth Lambert
66,Jamal Yusof
69,Marc Anievas
71,Kevin Reardon
73,William (Tad) Miller
77,Travis Frazier
88,Ken Snyder
99,Jerald Keister
b,r,e,a,k
SICK,3
teamInfo,,"Texas, Texas",,,
01,Max  Norton
03,Sean Tenney
04,Derek Unger
05,Jack Chen
07,Chris Cosgrove
09,Rob Seidenberg
10,David Edwards
13,Hunter McDonald
16,Ramiro Santana
18,Francisco Puga
19,Dan Wachter
20,Eugene Downing
21,Jay Banner
25,Jeff Vilord
27,Bradley Strahan
30,Chris Conley
32,Marcus (Mark) May
34,Mike Jaris
42,Joseph Knize
44,Tom Blinn
49,James Kirwin
50,Scott Cilento
54,Mark Jenesse
56,Tim Allen
73,Greg Lopp
88,DAVID ARMSTRONG
b,r,e,a,k
Throwback,4
teamInfo,,"Madison, Wisconsin",,,
0,Derek Jacobs
0,Douglas Alexander
0,James Royea
0,Jim Shope
0,Mark Palmer
0,Mel Greiser
0,Philip Crawford
0,RICHARD WAGNER
2,Kevin Kinneavy
7,Tom Coffin
8,Robert Popp
9,"Geoffrey ""G"" Nourse"
10,Michael Hixenbaugh
11,Samson Sackett
12,Brian Jakubowski
14,Keith Pollock
15,Jeff McFarland
23,Joe Bendix
27,Miguel Cline
31,Ken Rosenberg
37,Michael Janney
42,David Fawcett
43,David Toland
97,Jim Schewe
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Throwback,BLU Skies,9,12,"06/10/2023, 09:00",Pool A,Final
Silverhorn,SICK,0,0,"06/10/2023, 09:00",Pool A,Scheduled
Surly GGM,SICK,0,0,"06/10/2023, 11:00",Pool A,Scheduled
Silverhorn,Throwback,0,0,"06/10/2023, 11:00",Pool A,Scheduled
Surly GGM,BLU Skies,0,0,"06/10/2023, 13:00",Pool A,Scheduled
SICK,Throwback,0,0,"06/10/2023, 13:00",Pool A,Scheduled
Surly GGM,Throwback,0,0,"06/10/2023, 15:00",Pool A,Scheduled
Silverhorn,BLU Skies,0,0,"06/10/2023, 15:00",Pool A,Scheduled
Surly GGM,Silverhorn,0,0,"06/11/2023, 09:00",Pool A,Scheduled
SICK,BLU Skies,0,0,"06/11/2023, 09:00",Pool A,Scheduled
b,r,e,a,k
brackets,Bracket
bracket,2nd/3rd Place
bracket,4th Place
b,r,e,a,k
