Philly Open 2023,Club - Men ,5,8,2023
Allentown,PA,2023-08-05,2023-08-06
https://play.usaultimate.org/events/Philly-Open-2023/schedule/Men/Club-Men/
Magma Bears,1
teamInfo,,"ALL OF NEW YORK, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
0,Anthony Havens
0,Christopher Novielli
0,Christopher Wells
0,Deven Amann-Rao
0,Elan Kane
0,Jacob Margolis
0,John Maher
0,Joshua Friedman
0,Justin Ondrof
0,Lee Martel
0,Noam Brenner
0,Owen Robinson
0,Reece Nelson
0,Ricky Chen
0,Sal Pepe
0,Sam Masling
0,Thomas Santiago
0,Zachary Michael
8,Drew Woods
19,Andrew Marshall
20,James McEwan
22,Ian Soderlund
28,Jared Kim
35,Ryan Blazejewski
43,Tyler McCarthy
88,Michael Lovisa
b,r,e,a,k
Winc City Fog of War,12
teamInfo,,"Winchester, Virginia",,http://facebook.com/winccity,http://twitter.com/winccity
0,Jason Eisen
0,John Maxwell
0,Luke Willis
0,Nathan Morgan
3,Shawn Miller
5,Nathaniel Belk
6,Josh Bollinger
10,Paul Froeschle
11,Neill Hensler
12,Jeffrey Gale
13,Joshua Carter
14,John Hall
15,Brendan Jarrell
16,Ryan Heenan
18,Goutham Kommanaboyina
20,Quinn Redick
24,Kyle Derr
31,William Anderson
43,Jacob Ham
44,Andrew Baratz
45,Daniel Hillgren
47,Bryan Frumkin
50,Timothy Rugg
51,Jonathan Payne
55,Ryan Godfrey
77,Jonathan (Charlie) Smedberg
b,r,e,a,k
SUPA FC,13
teamInfo,,"Stewartstown , Pennsylvania",https://centralpaultimate.com/supa-ultimate-league,@stewartstownupa,@stewartstownupa
0,Eric Grosh
0,Jacob Farnham
0,Jesse Heindel
0,Bobby Leiphart
0,Josh Miller
0,Kevin Boyd
0,Ryan Donelson
0,Steven Whiteford
1,Spencer Grogan
2,Mark Farnham
8,Silas Angelino
10,Derek Rabold
11,Cody Mohar
11,Tim Hushon
14,Josh Heindel
20,Ryan Hushon
24,Jon White
27,Daniel Naylor
40,Sean Hermanns
46,Wesley Morgan
b,r,e,a,k
Deepfake,24
teamInfo,,"New York City, New York",,,
0,Benjamin Shulman
0,Caleb Kaufman
0,Daniel Ricci
0,Diego Gomez
0,Dylan Maraj
0,Emma Alatzas
0,Emmanuel Abayev
0,Gavin Kelly
0,Jonathan Walls
0,Joshua Schmidt
0,Nadav Atik
0,Pedro Godoy 
0,William Jaffe
0,Zaj Vidal-Burgie
9,Aidan Gold
18,Albert Rosario-Pichardo
19,Sophie Krichevsky
43,Dan McManus
81,Jake O'Brien
99,Timon Hruschka
b,r,e,a,k
Oakgrove Boys,2
teamInfo,,"ARLINGTON, Virginia",n/a,https://www.facebook.com/OakgroveBoys/,https://twitter.com/OakGroveBoyz
0,Charles Stimpson
0,Daniel Koenig
0,Daniel Gribbin
0,Dennis Maclaine
0,Ian Connerney
0,Jace Dean
0,John McGrath
0,Leif Hansen
0,Matt Thomas
0,Mike Vignali
0,Raymond Tann
0,Travis Terrell
1,Gunnar Biebighauser
11,Adam Bronstein
12,Kyle Flynn
13,Nicholas Albright
15,Daniel Bredehorst
16,Christopher Selwood
17,Jacob Shade
22,Brett Schoppert
23,Jacob Loveranes
28,Joe Novak
55,Hunter Lang
66,Joseph Evans
72,Michael Gostomski
89,Sean Phippen
b,r,e,a,k
Dirty Laundry,11
teamInfo,,"Albany, New York",,,
0,Antoine Mathieu
0,Chris Cooney
0,Daniel Ault
0,Eric von Allmen
0,Isaac Miller
0,Jared Meisel
0,LaMar Anderson
0,Leon Tan
0,Matthew Swaggerty
0,Nick Mendes
0,Spencer Li
2,Jonathan Kelly
5,David Workman
6,Sam Phippen
6,Matthew O'Brien
13,Summer Zheng
14,Alden Rosakranse
15,Matthew Miller
18,Simon Phippen
27,Tyler Fitzgerald
b,r,e,a,k
Chimney,14
teamInfo,,"Cleveland, Ohio",,,
