2023 Women's Rocky Mountain Sectional Championship,Club - Women ,9,9,2023
Arvada,CO,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Womens-Rocky-Mountain-Sectional-Championship/schedule/Women/Club-Women/
COSMOS,5
teamInfo,,"Colorado Springs, Colorado",,,
coaches,Monica Weindling
01,Shannon Bryant
02,Charis Thompson
03,Cari Hanrahan
04,Tracy Potter
05,Caitlin Tamblyn
06,Alestra Lask
07,Emily King
07,Kelly Modrick
09,Mona Lara
12,Emily Buford
13,Erin Low
14,Lara Kreuter
15,Grace Huang
16,Carolina Gonzalez-Llanos
20,Ashley Gitchel
21,Brittney Iasiello
21,Rebecca Tankersley
23,Rachael Maxwell
32,JULIANNA YAHN
33,Gajee Parsons
35,Leah Mickelson
37,Sarah Johnsen
38,Carissa Lee
42,Ali Hartley
48,Jamilah Toure
50,Kiana Adams
b,r,e,a,k
Colorado Small Batch,1
teamInfo,,"Denver, Colorado",,https://www.facebook.com/SmallBatchUltimate/,https://twitter.com/SmallBatchUlti
2,Alexis  Rosas
3,Amaya Krutsinger
5,Hannah Mimmack
6,Alexandra Guy
7,Carolyn Vlach
8,Kirsten Fahlbusch
9,Emily Kraus
10,Annie Geoghegan
11,Nori Catalano
12,Taylor Smith
13,Emma Massey
14,Claire Morrissy
19,Rachel Litz
21,Elyse Bartucci
22,Erin O'Connor
26,Jessica Larson
31,Kelsey Mueller
37,Molly Clay
38,Katie Ciaglo
41,Katherine Macri
44,Aelish Aoki
55,Charlotte Bokhof
77,Emma Williamson
84,Nicole Havel
b,r,e,a,k
Trainwreck,2
teamInfo,,"Fort Collins, Colorado",,https://www.facebook.com/groups/791490607622995/,@FOCOTrainwreck
0,Cassandra  Banuelos
0,Cice Kim
0,Elizabeth Cravens
0,Alex Hasenkamp
0,Kiana Henny
0,Kiera Schreiber
0,Madeline Guimond
0,Marie Haas
0,Miranda Jaster
0,Kathryn Moore
0,Rachel Ericson
0,Stacey Parr
0,Stephanie Freier
0,Taylor Abrams
0,Willow Purvis
8,Rebecca Everette
8,Genevieve Reyland-Slawson
11,Katie Sheridan
12,Alison Kingston
21,Rachel Street
23,Hannah Renstrom
23,Hannah Hinchsliff
27,Sutton Ballard
35,Sarah Hoistad
51,Grace Brown
73,Kaitlyn Christiansen
b,r,e,a,k
Colorado Cutthroat: Youth Club U-20 Girls,3
teamInfo,,"Denver, Colorado",,,
coaches,Jana Krutsinger,Elizabeth Cravens
01,Stella Thoreson
02,Jada Abdalati
05,Jacqueline Speth
08,Tessa Miller
16,Bella Fletcher
20,Erin Daur
22,Petra Pearcy-Kahn
25,Lara Melbourne
27,Isa Brady
28,Sarah Miller
31,Megan Doyle
32,Liya  Mei
33,Summer Tenpas
42,Chloe Mosher
43,Alexa Miller
49,Elizabeth Swanson
56,Cailin Kennedy
88,Chloe Whiton
89,Maia Meadows
92,Luna Sanders
b,r,e,a,k
Jackwagon,4
teamInfo,,"Boulder/Denver, Colorado",,,
0,Claudia Kramer
0,Daniela Pereira
0,Daphne West
0,Grace Deibert
0,Hanlu Ye
0,Kaitlin Norris
0,Katherine Hurley
0,Audrey Schneider
0,Caity Mensch
0,Lena Nyblade
0,Lena Freebury
0,Leyla Williams
0,Liza Scher
3,Mey McLean
5,Leilani Nelson
31,Abby Hyde
33,Maya Otsuki
47,Brianna Hibner
77,Carrera Horton
88,Sarah Litz
99,Kelsey Bennett
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Jackwagon,COSMOS,5,10,"09/09/2023, 09:00",Pool A,Final
Trainwreck,Colorado Cutthroat: Youth Club U-20 Girls,0,0,"09/09/2023, 09:00",Pool A,Scheduled
Colorado Small Batch,Colorado Cutthroat: Youth Club U-20 Girls,0,0,"09/09/2023, 10:45",Pool A,Scheduled
Trainwreck,Jackwagon,0,0,"09/09/2023, 10:45",Pool A,Scheduled
Colorado Small Batch,COSMOS,0,0,"09/09/2023, 12:30",Pool A,Scheduled
Colorado Cutthroat: Youth Club U-20 Girls,Jackwagon,0,0,"09/09/2023, 12:30",Pool A,Scheduled
Colorado Small Batch,Jackwagon,0,0,"09/09/2023, 14:15",Pool A,Scheduled
Trainwreck,COSMOS,0,0,"09/09/2023, 14:15",Pool A,Scheduled
Colorado Small Batch,Trainwreck,0,0,"09/09/2023, 16:00",Pool A,Scheduled
Colorado Cutthroat: Youth Club U-20 Girls,COSMOS,0,0,"09/09/2023, 16:00",Pool A,Scheduled
b,r,e,a,k
