TCT Elite-Select Challenge 2023 - Indy Invite,Club - Women ,19,8,2023
Indianapolis,IN,2023-08-19,2023-08-20
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2023/schedule/Women/Club-Women/
BENT,1
teamInfo,,"New York, New York",https://www.instagram.com/bentstagram_/,https://www.facebook.com/bentultimate,https://www.twitter.com/BentUltimateNYC
coaches,Jimmy Leppert,Avery Feingold
0,Jane Frankel
0,Sophia Wang
3,Renata Pepi
4,Amanda Dobbyn
5,Kyla Dayer
8,Wei Gao
9,Chelsea Leeder
10,Ella Juengst
11,Abby Hecko
12,Nancy Cheng
13,Alison Hill
15,Caroline Turner
15,Elizabeth Mosquera
18,Lisa Kowalski
19,Braanah Craig
20,Yina Paola Cartagena
24,Julie Xia
25,Iris Malfetano
27,Akina Younge
50,Kalli Poletto
52,Sydney Harris
55,Tiffany Phan
57,Ximena Montaña 
64,Tracey Lum
99,Veronica Kolegue-Spalaris
b,r,e,a,k
Parcha,7
teamInfo,,"Pittsburgh, Pennsylvania",https://pittsburghclubw.wixsite.com/pghclubw,https://facebook.com/PghClubW/,https://twitter.com/pghparcha
coaches,James Ranii,Kayla Emrick
0,Claire Stout
0,Emily Heyman
0,Gabrielle Doran
0,Helen Wu
0,Maria Stang
0,Shannon Haupt
0,Sophia Smith
2,Makenzie Priest
3,Domenica Sutherland
6,Celeste Picone
8,Rachel Hidek
9,Annelise Peters
10,Erin McCann
11,Sara Liang
12,Natalie Barnhart
16,Rosanna Vitiello
16,Jessie Chan
17,Kristin Dudley
20,Charlotte Koerner
24,Morgan Johnson
26,Kelsey Cowles
28,Madison Pisone
32,Shani Rosenthal
36,Carolyn Normile
71,Linn Bjanes
b,r,e,a,k
Tabby Rosa,10
teamInfo,,"Gainesville, Florida",,https://www.facebook.com/TabbyRosaUltimate,https://twitter.com/TabbyRosaFL
01,Camryn Curvey
02,Bowen Xu
04,Michelle Floyd
05,Lindsi Allman
06,Natalie Wilson
07,Kaylen Chiang
11,Andrea Jacoski
12,Larissa Ferreira
13,Jaylynne Hocutt
16,Ellie Thomson
17,Ava DuBose
20,Melani Morales
21,Catherine Euliano
22,Danielle Cordes
23,Sonya (Sunny) Harris
24,Katelyn Travaglini
25,Erin Goding
31,Harley Peters
44,Anna Hanson
52,Erynn Schroeder
66,Jemima Tolentino
69,Jennifer Collins
77,Carrie  Fisher
80,Kelsea LeBeau
b,r,e,a,k
FAB,16
teamInfo,,"Bay Area, California",,https://www.facebook.com/FABultimate/,https://twitter.com/FABultimate
0,Allegra Mayer
0,Allyson Lutz
0,Asma Ali
0,Charissa Doerr
