2023 Northeast Mixed Regional Championship,Club - Mixed ,23,9,2023
Devens,MA,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Northeast-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
XIST,1
teamInfo,,"New York, New York",https://www.xistultimate.com/,https://www.facebook.com/xistultimate/,https://twitter.com/XIST_Ultimate
coaches,Isaiah Bryant,Judy Jarvis,Zara Cadoux
0,Natalia De Jesus
03,Abagael Cheng
06,Ryan Drost
07,Luisa Maria Neves
08,Michael Drost
10,Tricia Smit
11,Nina Finley
12,Matthew Lemar
16,Elias Levey-Swain
17,Oliver Chartock
19,Eliot Bemis
21,Anne Worth
24,Jolie Krebs
26,Cara Sieber
27,Griffin Kao
29,Oscar Kohut
30,Josue Alorro
36,Matt Wiener
42,Daniel Thornton
45,Colton Doering
46,Benjamin Levy
56,Leila Denniston
66,Janine Hlavaty
74,Sam Harris
80,Hannah Garfield
88,Nicole Hair
b,r,e,a,k
Townies,11
teamInfo,,"Ithaca, New York",,https://www.facebook.com/towniesultimate,
0,Aaron Krupp
0,Claire Sleigh
0,Claudia Miner
0,David Menard
0,Eve Lesburg
0,Jon Hirschberger
0,Kameron Chambliss
0,Elisabeth Strayer
0,Emily Kulp
0,Madelyn Hill
0,Michael Brenner
0,Nicholas Dzialo
0,Raymond Yee
0,Sophia Hulbert
1,Simon Alford
2,Eli Robinson
4,Ashley Yao
4,Dave Tedeyan
7,Lena DeTar
9,Katie Mihalenko
24,Emily Zitek
31,Davith  Chan
36,Alison Davis
36,Tanner Yuhas
91,Daniel Vandam
92,Sam Garncarz
b,r,e,a,k
Darkwing,8
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Alexander Donadio
0,Alicia Chang
0,Elle Burstein
0,Emet Schwartz
0,Etta Robb
0,Jacob Arwe
0,James Sabean
0,Jodi Robert
0,Mitch Giroux
0,Nikki Chang
0,Nilos Makino
0,Anna Glass
0,Chloe de Campos
0,Sophie Shen
0,Sydney Curran
0,Thomas Barry
3,Steven Her
5,Conor Dowling
9,Sara Rudolph
11,Allegra Donadio
14,Amelia Chalfant
19,Jacob Herz
35,Pierre-Yves Lavertu
40,Alex Jenkins
99,Jordan Kaufman
99,Kunzang Namgyal
b,r,e,a,k
Obscure,14
teamInfo,,"Boston, Massachusetts",,,
0,Adrian Banerji
0,Alex Grintsvayg
0,Anna Shanedling
0,Ariella Korn
0,Benjamin Duffy
0,Diana Cornell
0,Jacqueline Willwerth
0,Kim DiMascio
0,Kimberly Levins
0,Luke Arnone
0,Luke Ding
0,Luke Diorio
0,Sarah Cook
0,Shellie Cohen
0,Shi-Min Chin
0,Zach DiNardo
4,Nick DiOrio
7,Tom Bassett
11,Ryan Levins
14,Eli Inkelas
16,Frank Qin
22,Lauren Ding
33,Samantha Gray
48,David Miller
68,Benjamin Nelson
82,Alyson Steinfeld
b,r,e,a,k
Sprocket,2
teamInfo,,"Lexington, Massachusetts",,https://www.facebook.com/sprocket.ultimate,
coaches,Tom Matthews,Kate Patterson,Anthony Clericuzio
1,Amanda Giles
1,Andrew Pillsbury
1,Britney DeRoehn
1,Ethan Lavallee
1,Kayla Huddell
1,Leo Blooston
1,Lily Huang
1,Michael Shriver
1,Montana Roberts
1,Nicole Chan
1,Olivia Player
1,Patrick Barron
1,Rebecca Kestin
1,Tess Johnson
1,Yigit Demiralp
2,Rocco Essex-Linehan
6,Zach Singer
7,Ivan Tran
10,Wilhelmina Graff
11,Brett Tan
11,Ryan Flamberg
15,Tannor Johnson
30,Jean Huang
60,Caitlin Go
72,Felipe Delgado
73,Clara Stewart
b,r,e,a,k
The Buoy Association,7
teamInfo,,"Portland, Maine",,,
0,Adelle Pitsas
0,Andrew Applegate
0,Andy Schachter
0,Emma Schwartz
0,Eva Fury
0,Frank Weng
0,Devany Pitsas
0,Ian Engler
0,Joe Newlin
0,Julian Erickson-Watson
0,Lauren Baecher
0,Nicholas Nelsonwood
0,Olivia Phillips
0,Robby Perkins-High
0,Walker Hatchett
0,William Neff
2,Ian McClelland
5,Pearce Kelley
13,Samantha Munson
19,Kathleen Janosik
42,Anna Barron
42,Mark Lessard
44,Emily Pozzy
47,Alex Rowell
56,Landis Hackett
99,Jared Jandreau
b,r,e,a,k
Deadweight,12
teamInfo,,"Hartford, Connecticut",,,
0,Abigail Baer
0,Alex Grande
0,Barb Banz
0,Ben Chaimberg
0,Bobby Elston
0,Bryan Bausinger
0,Carl Lasker
0,Celina Daigle
0,Christopher Cox
0,Colin Dunn
0,Ellie Mamantov
0,Ellie Jose
0,Iris Lam
0,Jonathan Figueroa
0,Kayla Olson
0,Nadya Ponthempilly
0,Savannah Kandigian
0,Sophia DeLuca
4,Aidan Wolff-King
7,Ricky Lewandowski
11,John Clyde
18,Caitlyn Hauswirth
28,Katherine Overstrum
52,Ryan Strobel
69,Kenny Harvey
69,Alouette Batteau
b,r,e,a,k
Grand Army,13
teamInfo,,"Brooklyn, New York",https://linktr.ee/grandarmyultimate,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
0,Connor Chin
0,Ella Park-Chan
0,Jae Lee
0,Jimmy Wang
0,John Watters
0,Kayla Seeger
0,Lily Gould
0,Henry Zhang
0,Ivy Tsang
0,Ruthie Tabatchnick
0,Tiffany Tai
0,Tomaso Mukai
5,Emily Wang
7,Dena Behar
9,Stephenie Wang
11,Mei Reffsin
12,Antonio Brewer
12,Casey Banta-Ryan
16,Jack McGovern
25,TJ Dingco
35,Alex Rafkin
39,David Chen
69,Peter Luo
87,Emma Chin
b,r,e,a,k
Slow,3
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/SlowWhiteUltimate/,https://twitter.com/SlowWhite_
coaches,Marshall Goff,Courtney Verhaalen
2,Dory Ziperstein
03,Jon Cox
04,Ryan Woodhouse
06,Chloe Rowse
10,Ryan Turner
12,Judah Newman
13,Langston Lee
14,Hannah Baranes
