TCT Select Flight Invite - West 2021,Club - Mixed ,14,8,2021
https://play.usaultimate.org/events/TCT-Select-Flight-Invite---West-2021/schedule/Mixed/Club-Mixed
Mischief,1
0,Alexi Zalk
0,Anna MacNaughton
0,Beth Daviess
0,Brett Petersen
0,Claire Toth
0,Cody Kirkland
0,Connie Chan
0,Devin Drewry
0,Gina Schumacher
0,Jeffrey He
0,Jordan Jeffery
0,Julia Ting
0,Julia Mankoff
0,Julia Kwasnick
0,Kyle Johnson
0,Lily Steponaitis
0,Mac Taylor
0,Piers MacNaughton
0,Robin Meyers
0,Max de Visser
5,Matthew Crawford
14,Sean Childers
25,Han Chen
32,Vivian Chu
74,Jacob Greenberg
96,Patricia Anderson
b,r,e,a,k
Buckwild,13
0,J Tyler Walker
0,Kevin Cocks
0,Larissa Wohl
0,Shane Earley
0,Sonny Zaccaro
7,Kief Zangaro
02,Raymond Hutten-Czapski
04,Angela Haas
05,Nick Shepard
07,Rebecca Zangaro
08,Annie Mills
09,Jonathan Martindill
12,Rachel Widner
14,Daniela Jimenez
15,Jonathan Yeoh
16,Austin Anderson
19,Valorie Smart
23,Richard Pollock
28,Megan Richter
29,Zack Thompson
33,Adam Schobinger
42,Haley Williams
64,Quinn Fujii
73,Steven Zurawski
84,Morgan Morris
95,Brandon Widner
b,r,e,a,k
Family Style,12
0,Andrew McRae
0,Avalon Igawa
0,Cheryl Lee
0,Corey Howard
0,Eric Owens
0,Kelsey Turner
0,Madeline Spolin
0,James Ivey
0,Sean Gai
00,Moe Ishihara
00,Devin Feigelson
02,Jason Lee
07,Rebecca Velez
09,Chelsea Baldemor
11,Hudson Stuck
11,Emily Ash
20,Adam Paicely
27,Thomas Lin
35,Valentin Post
42,Bryan DeVore
46,Sarah Kibler
48,Alex Rubin
77,Greta Becker
b,r,e,a,k
Public Enemy,2
7,Lindsey Kappen
02,Griffin Miller
03,Jason Christian
04,Eric Carter
05,Chris Casey
06,Preston Howell
07,Cacey-Jane Bunch
08,Chris Pleshek
09,Jacob Sames
10,Katie Metzler
11,Veronica Coombs
12,Kevin Christian
13,Megan Tormey
15,Jason Dick
19,Emma Ackels
21,Chinwe Obi
22,Brian Casey
23,Carley Garrett
24,Jenna Bigbie
35,Matt Chambers
42,Gregory Guggenmos
55,Bethani Eberhart
b,r,e,a,k
California Burrito,11
00,Aaron Coble
00,Abe Shklar
00,Anders Ruden
00,Ava Hanna
00,Blair Messner
00,Catherine Trevino
00,Christina Debowski 
00,Dan Hunt
00,Donald Kleinhen
00,Emily-Anne Hylton
00,Ethan Li
00,Jessica Wan
00,Kristine Mendoza
00,Kylie Shen
00,Lauren Stuart
00,Leslie Willis
00,Mazden Mastromauro
00,Michael Noblett
00,Nolan Schmalenberger
00,Peter Osseward
00,Sara Zhang
00,Steven Brooks
00,Tim Klacik
00,Vincent Liang
00,Yana Rose
00,Zoe Tessler
b,r,e,a,k
DR,14
00,Cecilia Bao
00,Danielle Ngo
00,David Whiteneck
00,Eleanor Naiman
00,Forrest Dodds
00,Iris Chow
00,Jacob Maynard
00,Jonathan Marr
00,Joseph Gorelik
00,Kiana Hu
00,Linda Hamon
00,Maria Duke
00,Michael Suey
00,Mimi Broderson
00,Nic Domek
00,Samantha Kelley
00,Samuel Miles
00,Sylvia Liang
44,Jacob Buckley
80,Scott Beamer
b,r,e,a,k
Polar Bears,3
0,Allyson Tsuji
0,Cooper Joy
0,James Pollard
0,Jason Shnipes
4,Kristen Pojunis
5,Qingyun Lu
02,Molly Munson
04,Gabriel Edwards
05,Aaron Shi
10,Carolyn Drewry
13,Robert Yeagle
14,Keaton Viadro
15,Nikolaus Elsaesser
17,Margot Stert
22,Andrew Ouyang
23,Ryan Messersmith
29,Amanda Meroux
36,Sara Nolan
42,Matt Jaffe
52,Samantha Applegate
b,r,e,a,k
Donuts,10
0,Brianna Bright
0,Caylin Gentile
0,Christina Casler
0,Christopher Lung
0,Davin Lyons
0,Ellen Yuska
0,Geoff Rexroth
0,Jeremie Gabor
0,Kara Ramos
0,Karin  Lin
0,Marissa Lerner
0,Matthew Ferrari
0,Rachel Anderson
0,Samantha Hing
0,Sarafina Angstadt-Leto
0,Trevor Hawks
2,Scott Miller
6,Annie Chen
7,Jonathan Goldsmith
15,Juleon Robinson
20,Jennifer Thomas
37,Daniel Zakaria
58,Jaclyn Wataoka
64,Marcello Molinaro
77,Alec Surmani
88,Bill Liu
b,r,e,a,k
Davis Heatwave,15
00,Aidan McKelvey
00,Daniel Speer
03,Wyatt Todd
07,Keenan McKelvey
17,April Lu
18,Payton  Walsh
21,Anders Eckburg
23,Margo Donahue
26,Caitlyn Wagner
32,Sophia Acker
36,Everett Quock
37,Logan Dolim
77,Benjamin Souvey
79,Austin Joseph
b,r,e,a,k
Lawless,4
0,Brooke Wooldridge
0,Caden Sigerud
0,Cameron Helm
0,Carl Morgenstern
0,Andrew Kohl
0,John Patinella
0,Jordan Harn
0,Joshua Kohl
0,Laura Prelsnik
0,Merideth Byl
0,Ryan Lacy
0,Ryan Irvin
0,Seam Ham
5,Dakota Lippincott
7,Cynthia Thomas
8,Helen Eifert
8,Shelby Petty
11,Melissa Dunn
12,Christopher Bernard
15,Megan Maxfield
18,Rudy Jimenez
18,Jamie Eriksson
24,Benjamin Lacy
29,Marshall Crawford
49,Jake Hadziev
51,Kay Powell
b,r,e,a,k
Cutthroat,9
0,Aaron Nunn
0,Daniel Wang
0,Devin Mitchell
0,Eliza McCall
0,Justine Habibian
0,Monica Davis
0,Natalie Harmor
0,Rebecca Mills
0,Rodney Wolfgang
0,Sage Kruleski
2,R. Miguel Gonzales
2,Erik Atwell
3,Logan Greenwood
4,Pete Marshall
9,Thomas Fiock
10,Ryley Hill
12,Ryan Takayama
12,Daniel Ortiz
13,Brent Moore
20,Matthew Bonini
21,Kathleen Mills
24,Krista Takayama
27,Morgan Greenwood
27,Evan Kerr
44,Giovanni Danforth
94,Ryan Schoenfeld
b,r,e,a,k
Mango,16
0,Jake Rifkin
0,Michael Dirda
2,Jack Lyon
3,Brieana Polk-Perez
7,Emily Paris
10,Sarah Tenpas
11,Tom Nudell
12,James (Jim)  Boley
16,Katelyn Mann
16,Thomas Konogeris
17,Noelle Nelson
23,Lauren Byrne
25,Kathryn Stoltz
27,Audrey Love
29,Eric Shaw
30,Nick Goelz
42,Taylor Love
44,Alexander Lloyd-Evans
87,Charlie Capron
99,Amanda Karakoudas
b,r,e,a,k
Lotus,5
0,Alex Krueger
0,Alexandra Diaz
0,Amy Halvorsen
0,Avery Jones
0,Bryan Nguyen
0,Jake Coleman
0,Kelli Iwamoto
0,Maggie O'Connor
0,Nathan Warden
0,Rebeca Ellis
0,Sharon Tseng
0,Stephanie Pritchard
2,Daniel Oettinger
4,Amy Lee
12,Leo Kitchell
16,Jorie Moore
20,Brandon Nadres
23,Steven Wick
30,Walter Kasprzycki
39,Chris Mazur
40,Veronica Yee
42,Edwin Finley
43,Kevin Goldberg
84,Jesse Cohen
b,r,e,a,k
Octonauts,17
0,Cynthia Love
0,Janet Jin
0,Lean Deriada
0,Monica Donegan
0,Morgan Harwood
0,Meg Hofner
3,Michael Cazarez
7,Maryann Rose
01,Luke Hart-Moynihan
02,Nancy Bush
04,Matt Stein
10,Dylan Rivers
11,Victoria Purcell 
18,Christopher Moetell
20,Gabe Doble
38,Justin Marsh
44,Joseph Giampaoli
92,Alana Rung
97,Naomi Guzman
99,Brendan Mackel
b,r,e,a,k
Flagstaff Ultimate,8
0,Christopher Schmidt
0,Dawson Peters
0,Ian Brown
0,Meghan Kane
7,Paige Applegate
02,Bryan Esmond
04,Karlin Steiner
05,Chris Hancock
10,Caitlin Winterbottom
11,Mike  Hall
12,Chip Chang
13,Kari LaPlante
16,Samantha Myland
17,Erin Donahue
18,Eric Bay
27,Kylie McGinnis
28,Will  Hopkins
35,"Lily ""Thud"" Lin"
42,Joseph Huegerich
44,Andrew Rodman
51,Dustin Doyle
55,Brad Wylam
56,Catherine Heggie
58,Kathryn Ryerse
77,Jen Palmero
b,r,e,a,k
League of Shadows,7
0,Alicia Seeley
0,Alison Tassone
0,Amanda Giles
0,Charlie Bushman
0,Connor Coale
0,Emma Bushman
0,Jack Deschler
0,Meredith Duffy
0,Thomas Barry
2,Edward Tu
4,Theodore Bisdikian
5,David Shum
10,Patricia Neckowicz
13,Leo Blooston
17,Lillian Huang
17,Cici Wang
19,Karissa  Tabtieng
21,Charles Marokhovsky
29,Tate Tabtieng
40,Eve Robinson
54,Alex Hecht
99,Jordan Kaufman
b,r,e,a,k
BW Ultimate,6
0,Christopher Leung
0,Cullen Coyne
0,Hidemasa Kato
0,Benjamin Petroski
0,Bernadette Hsu
0,Jeff Roeder
0,Lucas Young
0,Matthew Yee
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Jordan Gatti
0,Monica Hsiue
0,Sarah Pihl
0,Xia Liu
7,Michelle Slaughter
16,John Dugan
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
30,Rachel Roberts
36,Pin-Wen Wang
43,Bettina Chen
85,Jacqueline Lee
b,r,e,a,k
Calamity,18
00,Abbey Estrada
00,Adam Wiechman
00,Adam Whitton
00,Ashley Stahl
00,Christopher Sowards
00,Dylan George-Sills
00,Emma Ressler
00,Ethan Gaiser
00,Georgia Sullivan
00,Jessica Reiter
00,Joe Nolan
00,John Dupee
00,Kelsey Bradley
00,Lisa Diethelm
00,Micah Gross
00,Michael Nassief
00,Michael Simeone
00,Nathan Brodie
00,Noelle Kiesz
00,Sabrina Roberts
00,Sierra Ross
00,Taylor Van Oosbree
00,Tiffany Ramos
00,Trevor Harper
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Mischief,Buckwild,15,3,"08/14/2021, 08:30",Pool A
Family Style,Buckwild,10,14,"08/14/2021, 10:30",Pool A
Mischief,Family Style,14,3,"08/14/2021, 12:30",Pool A
pool,Pool B
Public Enemy,DR,15,1,"08/14/2021, 08:30",Pool B
California Burrito,DR,12,4,"08/14/2021, 10:30",Pool B
Public Enemy,California Burrito,12,4,"08/14/2021, 12:30",Pool B
pool,Pool C
Polar Bears,Davis Heatwave,15,3,"08/14/2021, 08:30",Pool C
Donuts,Davis Heatwave,15,6,"08/14/2021, 10:30",Pool C
Polar Bears,Donuts,11,8,"08/14/2021, 12:30",Pool C
pool,Pool D
Lawless,Mango,15,7,"08/14/2021, 08:30",Pool D
Cutthroat,Mango,13,12,"08/14/2021, 10:30",Pool D
Lawless,Cutthroat,12,8,"08/14/2021, 12:30",Pool D
pool,Pool E
Lotus,Octonauts,9,7,"08/14/2021, 08:30",Pool E
Flagstaff Ultimate,Octonauts,8,10,"08/14/2021, 10:30",Pool E
