2021 USA Ultimate Masters Championships,Great Grand Masters - Men ,16,7,2021
Aurora,CO,2021-07-16,2021-07-18
https://play.usaultimate.org/events/2021-USA-Ultimate-Masters-Championships/schedule/Men/great-grand-masters-men/
Relics,1
14,Daniel Terlouw
15,Tim Duggan
16,David Steglich
17,Tom Kremer
18,Adam Smith
19,Sean McCall
21,Daniel Zelle
22,Christopher Hickman
23,Joe Bendix
29,Brian Corradi
32,Trent Troyer
33,Christopher Reynolds
34,John Hock
36,Russ Adams
45,Steve Raymond
70,Pericles Nacionales
88,Mike Helmecki
91,Matty Spillum
99,David Remucal
b,r,e,a,k
Silverhorn,12
teamInfo,,"Boulder, Colorado",,,
02,Gregory Pierce
03,Dave Rosenthal
04,Aaron Jacobs
07,John Hardt
08,Greg Berbaum
13,Steve Dunn
16,Joseph Scutero
17,Mark Piper
19,Dean Marrone
20,John Spencer
22,Patrick Alexander
23,Mike Lyle
24,Thomas Smith
29,Andrew Tulchin
31,Drew O'Connor
32,Eric Lyders
33,Reed Colfax
40,Michael Galloy
44,Aaron Ketchum
50,Joseph Feinstein
54,Andrew Jones
69,Marc Anievas
71,Kevin Reardon
80,Christopher Wirth
88,Ken Snyder
99,Jerald Keister
b,r,e,a,k
SICK,14
teamInfo,,"Texas, Texas",,,
0,DC Spath
0,Eugene Downing
0,Hunter McDonald
0,James Kirwin
0,Jay Banner
0,Joey Barcio
0,Chris Cosgrove
0,Daniel Benson
0,Marcus (Mark) May
0,Mark Newton
0,Ramiro Santana
0,Steve Milan
0,Scott Cilento
1,Max  Norton
2,Luis Montes
8,Robert Popp
9,Rob Seidenberg
11,Rick Scott
11,David Edwards
26,Paul Normandin
32,Mike Jaris
34,Mike Doughtie
44,Tom Blinn
58,Martin Krohn
b,r,e,a,k
Johnny Cashed,4
teamInfo,,"Denver, Colorado",,,
0,William (Tad) Miller
01,Coupar Lester
02,Wesley Williams
04,Kevin Monohan
05,Frank Phillips
07,Heath Mackay
08,Kevin Hamm
09,Jeremy Friedman
11,Matthew Krei
12,Britt Atack
13,David (Buzz) Ellsworth
14,Brian Oliver
15,Jim Nolte
17,Kip Weatherwax
19,Karl Mimmack
21,Jason Brask
22,Arnold Sanchez
23,Michael Knapp
24,Brendon Pardington
25,John Leach
31,Paul De Morgan
32,Tom Etchison
33,Sean Hart
42,Phil Lohre
50,Ry Koteen
66,Matthew Kuzmich
77,Charles Greaves
83,Ian Jipp
b,r,e,a,k
HURT,6
teamInfo,,"Chapel Hill, North Carolina",,,
4,Christoph Boshoff
5,Tim Lupo
8,Dwayne Purper
03,Richard Russell
06,Eric Davis
07,David Pitcher
09,Garrett Dyer
10,Christopher Weaver
11,John Boswell
14,Buck Schneider
15,Peter Winslett
17,Richard Dorff
21,Daran Edmonds
23,Louis Lessard
24,Andrew Brewer
25,Daniel McConville
28,Tim Ray
34,Augie Kreivenas
40,Dan Konisky
43,Richard (Jay) Pigford
53,Zemo Trevathan
65,Steve Widoff
68,Alan Ellis
72,Tim Coppinger
78,Rabah Sbitani
84,David Kaminski
88,Christopher Dawson
91,Ed Fox
b,r,e,a,k
Archive (GGM),13
teamInfo,GGM,"Chicago, Illinois",,,https://twitter.com/ArchiveGGM
0,Brian Sullivan
0,Paul Kretkowski
0,Scott Dietrich
0,Theodore Weldon III
00,Tim Monahan
00,Wayne Tang
00,Paul Grafing
00,Alan Villanueva
00,Angelo Artemakis
00,Chris Wreden
00,Danny Lee
00,Darrin Speegle
00,Dave Donat
00,Eric Newman
00,Frank Menendez
00,Jake Stake
00,John Asnis
00,Mark Abney
00,Mark Witherell
00,Mark Lonsway
00,Mike Tomaszewski
00,Murray Lantner
00,Noam Frankel
63,Alan Mather
b,r,e,a,k
Endless Sunset GGM,11
teamInfo,,"San Diego, California",http://www.dudeultimate.com/t/endless-sunset/,,
0,David Mallery
0,Eric Strukel
0,Gary Prunty
0,Allan Peterson
3,Brent Young
00,Charles (Chuck) Aramaki
00,James Trippe Cheek
00,Manoj Bhargaw
00,Mark Lukens
00,Nils Lassiter
00,Randolph (Randy) Sanchez
00,Scott Daeschner
00,Scott Holmberg
00,"Geoffrey ""G"" Nourse"
00,David Whitehead
00,David Carta
00,Dean Porter
00,Dennis Wenger
00,Tim Goldsmith
00,Tim Mills
00,Trey Paulissen
00,Alan Salzberg
23,Stephen Cook
27,Gus Estrano
96,Kao Wang
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Relics,Burnside Five-0,15,2,"07/16/2021, 12:30",Pool A,Final
Recycled,AGE Against the Machine GGM,15,5,"07/16/2021, 12:30",Pool A,Final
Relics,AGE Against the Machine GGM,15,1,"07/16/2021, 14:30",Pool A,Final
Recycled,Burnside Five-0,13,11,"07/16/2021, 14:30",Pool A,Final
Relics,Recycled,14,7,"07/16/2021, 16:30",Pool A,Final
Burnside Five-0,AGE Against the Machine GGM,15,5,"07/16/2021, 16:30",Pool A,Final
pool,Pool B
CHRONIC,Thirst'N'Howl,15,5,"07/16/2021, 12:30",Pool B,Final
TriAged,Oxymorons,12,10,"07/16/2021, 12:30",Pool B,Final
CHRONIC,Oxymorons,15,2,"07/16/2021, 14:30",Pool B,Final
TriAged,Thirst'N'Howl,10,13,"07/16/2021, 14:30",Pool B,Final
CHRONIC,TriAged,15,3,"07/16/2021, 16:30",Pool B,Final
Thirst'N'Howl,Oxymorons,13,5,"07/16/2021, 16:30",Pool B,Final
pool,Pool C
Surly GGM,Silverhorn,9,11,"07/16/2021, 12:30",Pool C,Final
No Country 50,SICK,15,2,"07/16/2021, 12:30",Pool C,Final
Surly GGM,SICK,15,7,"07/16/2021, 14:30",Pool C,Final
No Country 50,Silverhorn,14,8,"07/16/2021, 14:30",Pool C,Final
Surly GGM,No Country 50,11,8,"07/16/2021, 16:30",Pool C,Final
Silverhorn,SICK,11,8,"07/16/2021, 16:30",Pool C,Final
pool,Pool D
Johnny Cashed,Endless Sunset GGM,15,7,"07/16/2021, 12:30",Pool D,Final
HURT,Archive (GGM),15,5,"07/16/2021, 12:30",Pool D,Final
Johnny Cashed,Archive (GGM),15,5,"07/16/2021, 14:30",Pool D,Final
HURT,Endless Sunset GGM,15,4,"07/16/2021, 14:30",Pool D,Final
Johnny Cashed,HURT,12,9,"07/16/2021, 16:30",Pool D,Final
Endless Sunset GGM,Archive (GGM),2,14,"07/16/2021, 16:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Relics,No Country 50,15,3,"07/18/2021, 11:30",Finals,Final
Relics,Surly GGM,15,13,"07/17/2021, 14:30",Semifinals,Final
No Country 50,Recycled,13,12,"07/17/2021, 14:30",Semifinals,Final
Relics,Thirst'N'Howl,15,4,"07/17/2021, 10:30",Quarterfinals,Final
Surly GGM,Johnny Cashed,12,10,"07/17/2021, 10:30",Quarterfinals,Final
No Country 50,HURT,11,9,"07/17/2021, 10:30",Quarterfinals,Final
Recycled,CHRONIC,11,9,"07/17/2021, 10:30",Quarterfinals,Final
bracket,3rd Place
Surly GGM,Recycled,13,12,"07/18/2021, 11:15",3rd Place,Final
bracket,5th Place Bracket
Johnny Cashed,CHRONIC,7,13,"07/18/2021, 09:00",5th Place Finals,Final
Thirst'N'Howl,Johnny Cashed,4,15,"07/17/2021, 14:30",5th Place Semifinals,Final
HURT,CHRONIC,10,12,"07/17/2021, 14:30",5th Place Semifinals,Final
bracket,7th Place
Thirst'N'Howl,HURT,5,15,"07/18/2021, 09:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Silverhorn,Burnside Five-0,9,12,"07/18/2021, 09:00",9th Place Finals,Final
Silverhorn,Endless Sunset GGM,13,8,"07/17/2021, 16:30",9th Place Semifinals,Final
Burnside Five-0,Archive (GGM),12,8,"07/17/2021, 16:30",9th Place Semifinals,Final
Silverhorn,AGE Against the Machine GGM,13,7,"07/17/2021, 14:30",9th Place Quarterfinals,Final
Endless Sunset GGM,TriAged,13,12,"07/17/2021, 14:30",9th Place Quarterfinals,Final
Burnside Five-0,SICK,13,10,"07/17/2021, 14:30",9th Place Quarterfinals,Final
Oxymorons,Archive (GGM),8,12,"07/17/2021, 14:30",9th Place Quarterfinals,Final
bracket,11th Place
Endless Sunset GGM,Archive (GGM),9,11,"07/18/2021, 09:00",11th Place,Final
bracket,13th Place Bracket
AGE Against the Machine GGM,SICK,7,15,"07/18/2021, 09:00",13th Place Finals,Final
AGE Against the Machine GGM,TriAged,15,7,"07/17/2021, 16:30",13th Place Semifinals,Final
SICK,Oxymorons,15,8,"07/17/2021, 16:30",13th Place Semifinals,Final
bracket,15th Place
TriAged,Oxymorons,14,9,"07/18/2021, 09:00",15th Place,Final
b,r,e,a,k
