TCT Select Flight Invite - East 2021,Club - Mixed ,24,7,2021
Columbus,OH,2021-07-24,2021-07-25
https://play.usaultimate.org/events/TCT-Select-Flight-Invite---East-2021/schedule/Mixed/Club-Mixed
Columbus Cocktails,1
0,Caitlin Duffner
0,Cara Sieber
0,Christopher Wohl
0,Cody Petitt
0,David Picone
0,Eliot Alexander
0,Elizabeth Diamond
0,Emily Barrett
0,Jeffrey Brauning
0,Lexie Thomas
0,Lloyd Furuta
0,Nic Gill
0,Riley Dickson
2,Sion Agami Contreras
3,David Braden
4,David Valentine-Elam
7,Todd Grace
11,Sadie Jezierski
17,Benjamin Reith
18,Axel Agami Contreras
21,Kelsey Foster
22,Mallory Griffith
47,Penelope Wu
82,Katherine Sandstrom
b,r,e,a,k
Chalice,9
0,Bryan Dunbar
0,Luke Carron
0,Mandy Side
0,Katie Calfe
0,Kevin DeAngelis
0,Robert Kirkum
0,Tim Side
2,Devin Belvin
3,Daniel McDonald
00,Loren Goodrich
00,Eliza Hutchings
00,Elizabeth Honigfort
00,Emma Randolph
00,Gabriella Lavezzi
00,Grant Eschmann
00,Julia Hill
00,Kate Halloran
00,Mason Zetsch
00,Michael Kasper
00,Neil Wessling
00,Patrick Austermann
00,Ben Clark
13,Andrew Hilliard
21,William (Will) Imming
74,Collin McCartney
b,r,e,a,k
Minnesota Star Power,8
00,Alex Kensgaard
00,Alex Kraft
00,Cole Jensen
00,Donna Johnston
00,Grace Carlson
00,Jacob Raatz
00,Jedi Casas
00,Jessica Haller
00,Joey Tillman
00,Kajsa Beatty
00,Marin Ryan
00,Matthew Caballero
00,Michelle Christy
00,Steven Anderson
01,Tristan Grovender
11,Rachel Thompson
25,Joe Moravec
31,Bradley Malmsten
37,Ming Cheng Chew
76,Erin Moravec
97,Megan Asturias
b,r,e,a,k
POW!,16
00,Garrison Gracey
00,Jake Pruitt
00,Jessica Uganski
00,Maketa Mattimore
00,Matthew Martell
00,Megan Savoy
00,Megan Isherwood
00,Michael Parnas
00,Aiden Rudy
00,Alexander Krantz
00,Andrew Duquette
00,Audrey Jesue
00,Phil Ewing
00,Quinn Garner
00,Ryan Radawiec
00,Sophia Whelpley
00,Sydney Miller
00,Brian Hough
18,Neil Proefrock
28,Benjamin Clark
92,David Mohan
b,r,e,a,k
'Shine,7
00,Adam Carr
00,Ben Moody
00,Chris Peek
00,Christopher Calhoun
00,Claire Bidigare-Curtis
00,Eli Motycka
00,Grace Robinson
00,Grace Castro
00,Jack (John) Spiva
00,Mikeie Reiland
00,Nicholas Farren
00,Noel Holmes
00,Philip Throckmorton
00,Phillip Dougherty
00,Samuel Fisher
00,Tori Taylor
00,Trip Adams
00,Zachary Hipkens
00,Jesse Shofner
00,Margaret Quinn
00,Matt Ractliffe
04,Meaghan  Creamer
22,Mary Turner
23,Elizabeth Barnes
26,Jeffrey Burris
85,Aaron Wilder
b,r,e,a,k
Cleveland Crocs,2
0,Ethan Liaw
7,Suzy Becka
03,Joseph Marmerstein
04,Zach Byrnes
05,Amir Kaghazwala
08,Jonathon Grgat
10,Eric Zarobila
11,Jackie Matonis
12,Mitch Cihon
13,Charlie Vukovic
14,Michael O'Brien
15,Elizabeth Lehman
17,Adam Davenport
19,AJ Uthe
21,Rachel Mast
22,Chelsea Zhu
23,Chris Graber
26,Milo Korman
28,Katherine Hoffman
29,Jocelyn Palyo
36,Griffin Binkley
38,Meghan Drews
41,Brad Kotecki
78,Sophia Vaccaro
82,Dutch Kirkman
88,Madeleine Pletzke
b,r,e,a,k
Toast,10
00,Corie Auger
00,Dillon Lee
00,Emily Brereton
00,Hannah McCullough
00,Hunter Noorman
00,Jamie Petroelje
00,Jayleen Rossi
00,John Barber
00,Jonna Frayer
00,Justine Volz
00,Kaciana Champlin
00,Karmyn VonEhr
00,Lourdes Pimentel Soto
00,Malachi Neil
00,Aaron Schwieterman
00,Brendan Schwalm
00,Caleb Stanish
00,Mitchell DeNooyer
00,Nicole Foy
00,Ryan Lee
00,Stephen Hoffman
12,Carmella Vizza
16,Samantha Phillips
84,Michael Weber
85,Michael Stephen
b,r,e,a,k
CHImera,15
0,Annie Phan
0,Ben Foster
0,Briana Morales
0,Conrad Nguyen
0,Eric Hallow
0,Michelle Farb
0,Nathan King
0,Nick Longo
0,Jules Daugherty
0,Victoria  Snyder
1,Adam Klaus
4,Aaron Del Real
4,Joline Chang
9,Brandon Taitt
10,Hector Rivera
12,Amy Copper
16,Allison Chmaj
18,Erika Wagner
23,Kathryn Kembitzky
25,Jordan Lange
25,Elaine Sundberg
30,Jessica Johnson
33,Sara Putnam
91,Jake Smith
99,Benjamin Zhang
b,r,e,a,k
Hybrid,6
01,Michael Mansfield
02,Justin Perticone
03,Sara Nitz
06,Nora Mertz
07,Elizabeth Benedetto
09,Anna McClurkan
10,Brittany Wright
10,Connor Lukas
11,Bridget Connor
15,Jake Steslicki
19,Alexander Pan
20,Madalyn Simko
22,Michael Dagher-Margosian
24,Charlotte Wilson
27,Bailey Besser
30,James Highsmith
33,James Hill
35,Joseph Besser
48,Miranda Baltaxe
55,Sean Clark
61,Riely Kuznicki
66,Mya Hernandez
73,Maya Grumeretz
76,Adam Stautberg
84,Nathan Champoux
88,Mark Whitton
b,r,e,a,k
Steamboat,3
0,Chris Ellis
0,John Kammerer
3,Mary Timmons
7,Michael Partusch
01,Scott Schriner
04,Andriana Tompary
05,Ryan Gorman
06,Patrick McCarthy
13,Kristin Baxter
14,Tabetha Ridgway
19,Kate McInerney
20,Aaron Ho
23,Dorothy Chan
25,Gabriella  Enders
28,Jeff Haney
32,Victoria Smith
33,Austin Winner
44,Aislinn DeSieghardt
54,Jacob Fields
66,Daniel Conrad
77,Daniel Khoe
91,Noah Krumme
b,r,e,a,k
Ant Madness,11
0,Cassandra Skapek
0,Eliana Harnage
0,Emily  McGuire
0,Emily Kreisel
0,Henry Kapp
0,Jordan Tippitt
0,Katrien Hinderdael
0,Kylie Auble
0,Madalyn  Sica
0,Meaghan McSorley
0,Nicholas Kwan
0,Paige Cassell
7,Fia Hargil
10,Maximilian Cohen-Casado
11,Ryan Thornton
13,Jacob Harnage
19,Bridgette Heine
21,Harper James
24,Adam Shrager
29,Matthew Dennin
35,Alexander Brewster
37,Benjamin Butcher
53,Jackson Gode
77,Donovan Hambley
b,r,e,a,k
Pixel,14
0,Trevor Kyle
5,Claire Blazewicz
02,Hayley Banas
04,Tyler ODonnell
08,Trey Taliaferro
10,David  Cole
11,Jacob Scobey-Polacheck
12,Benjamin Williams
13,John Goodwin
14,Acacia Farber-Krug
15,Michael Giles
16,Alex Barton
17,Chad Dunne
19,Beth Quisenberry
20,Madison Nightingale
21,Channing Watson
23,Keara Crook
24,Kayla Sippin
26,Gretchen Mills
