Southwest D-I College Men's Regionals,College - Men ,14,11,2021
San Luis Obispo,CA,2021-11-13,2021-11-14
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2021/schedule/Men/CollegeMen/
Cal Poly-SLO,1
00,Alex Nelson
00,Anton Orme
00,Bailey Prochaska
00,Carson Crouch
00,Charles Camilli
00,Dodger Middlebrook
00,Evan Stock
00,Garrett Bush
00,Jack Combs
00,James Whealan
00,Joseph Thachet
00,Keaton Orser
00,Kyle Lew
00,Leo Lauritzen
00,Luca Lawson
00,Peter Lenz
00,Rafael Castillo
00,Sander Fogarty
00,Seamus Robinson
02,Chris Kaspar
05,Matt Miller
10,Jeremy Dolezal-Ng
13,Theodore Watkins
19,Conor Schofield
23,Jake Thorne
24,Nate Johnson
27,Kenrick Koo
28,Morgan Sommer
31,Samuel Wedegaertner
42,Keaton Bates
81,Calvin Brown
b,r,e,a,k
Stanford,2
00,Angel Ortiz
00,Baker Sharp
00,Cameron Kilpatrick
00,Charles Shi
00,Charlie Shors
00,Colin Grant
00,Guillermo Wenrich
00,Isandro Malik
00,James Reed
00,Jerred Smith
00,John Kulikowski
00,Jonathan Victorino
00,Langston Nashold
00,Matan Abrams
00,Max Vandervelden
00,Simon Covington
00,Tee Monsereenusorn
00,Toby Frager
00,William Hartog
00,Sean Sewell
09,Sean Vajanaphanich
10,Phillip Cathers
16,Sergio Licon
24,Kevin Tien
25,Ri Chen
32,Ryan Ressmeyer
33,Nicholas Hirning
99,Sam Masling
b,r,e,a,k
California-Santa Barbara,5
0,Austin Covey
0,Ben Hertzberg
1,Tyler Hattori
8,Ryan Ridenour
02,Stefan Crigler
03,Isaac Hsu
10,Lorenzo Yabut
15,Brice Redmond
17,Robert Odum
19,Liam Ereneta
21,Jason Zeidman
22,Duncan Brin
23,Grayson Arensdorf
23,Patrick Godfrey
27,Ryan Barry
32,Ryan Oswalt
37,Kyle Johnson
43,Xavier Prochaska
44,Trevor Arbab
55,Christian Go
57,Ricky Brokaw
64,Varun Iyer
77,Charlie Rous
81,Rhys Gretsch
b,r,e,a,k
