Southeast D-I College Men's Regionals,College - Men ,20,11,2021
Tallahassee,FL,2021-11-20,2021-11-21
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2021/schedule/Men/CollegeMen/
Georgia,1
0,Sam Hobbs
01,Sam Rose
02,Drew Di Francesco
03,Jared Bennett
05,Cole Krucke
06,Aidan Downey
07,Jack Stephenson
08,Sam Merritt
10,Isaac Huntington
11,Matthew Cook
12,Jeremy Sanders
13,Jake Powell
14,Ryan Flick
15,Adam Bell
17,Hayden Austin-Knab
18,Adam Miller
19,Jacob Croskey
21,Coleman Tappero
22,Jacob Peach
23,Jack Krugler
24,Carter Rathur
30,Cole Chanler
36,Zach Brennan
41,Theodore Sifnaios
42,Ryan Hill
69,Matthew Davidorf
81,Carter Neuman
99,Matthew Fazzalaro
b,r,e,a,k
Auburn,8
0,Grayson Smith
0,Hayden Miller
0,Hugh Fournier
0,John Williamson
0,John Digges
0,Lee Thomas
0,Marcus Evans
0,Ron Warren
0,Sam Neff
0,Wilson Coger
1,Garrett Nix
02,William Bianca
06,Brett Hulsmeyer
08,Ashton  Scott
09,Brandon Beers
12,Jonathan Holladay
13,Nicholas Smith
16,Jacob Cich
21,Matthew Green
23,Joshua Thomas
26,Kody Shively
34,John Shields
42,Clark Rice
52,John Tidwell
88,Ziyang Li
95,Carson Owen
98,Jasper Harrison
b,r,e,a,k
Jacksonville State,13
0,Andrew Record
0,Brandon Morgan
0,Brantley Bargerhuff
0,David Mejía
0,Jake Givens
0,Luke Simmons
0,Nathan Williams
0,Nathan  Bean
0,Noah Angles
0,Riley Stover
0,Spencer Barnard
0,Stuart Douglass
0,Tashaun Davis
0,Joshua  Logan
0,Trent Atkins
0,Wyatt Barton
1,Shane  Denman 
3,Tyler  Menix
12,Kennith Taylor
14,Tiernan Whytock
16,Seth O'Neal
39,Jarrett Swanson
b,r,e,a,k
Florida State,12
0,August Specht
0,Ben Brodie
0,Bradley Gonzalez
0,Caleb Colton
0,Chris Que
0,Chris McFarlin
0,Drew LaBelle
0,Ethan Hanson
0,Frazier Grade
0,Jayson Dickinson
0,Jerry Meyers
0,Joshua Major
0,Kelvyn Tan
0,Kenny Hill
0,Kevin Ziegler
0,Andres Duque Valencia
0,Andrew Dill
0,Nathan Lowrie
0,Ryan Yelin
0,Nicholas LoPresti
0,Travis Ward
0,Zachary Fisher
0,Zavier  Rodriguez 
2,Jack Powell
3,Nicholas Polo
8,Alex Petrolia
10,Seth Hibel
17,Sam Swartz
18,Liam McConnell
20,Anthony Johnson
26,Scott Sakow
26,John Beamish
32,Jonathan Locke
37,Daniel Siegel
50,Oscar Patterson
94,Sean Kaiser
b,r,e,a,k
Florida,2
0,Derek Pfeffer
02,Noah Sullivan
03,Alexander Janelle
05,Nathaniel Wilson
07,Jarett Cox
08,Munir Ben Jemaa
09,Benjamin Crosbie
10,Michael Arbutine
11,Ross Lynam
15,David Pincus
15,Kyle Stromberg
16,William  Field
18,Cooper Whisnant
19,Enrico Bautista
23,Logan Diehl
25,William Reed
27,Michael Heym
44,Robert Privette
55,Logan Storts
69,Ethan Hellinger
88,Luke Alexander
98,Will Marberry
b,r,e,a,k
Alabama,7
0,Aidan Joyce
0,Ben Anderson
0,Cannon Kvicala
0,Christopher Venturini
0,Devin Kelly
0,Adam Graff
0,Foster Palmer 
0,Grant Kern
0,Jacob Lipford
0,Jeffrey Martin
0,John Norris
0,Josh Van Cleave
0,Landon Sagle
0,LaNolan Billingsley
0,Nace Allen
0,Nathan Lyle
0,Stephen  Thomas
0,Steven Ladenberger
0,Thomas Orchanian
0,Tyler Hadeen
0,William Parker
1,Trip Crowley
2,Scott Landers
2,Garrett Murphy
3,Addison Wirt
4,Jacob Bultman
7,Jacob Ham
7,Joseph Gilroy
24,Noel Sarver
42,Watson Anderson
57,Dylan Doherty
84,Joshua Lewis
b,r,e,a,k
Emory,14
0,Austin Chuang
0,Ben Campion
0,Bryan Lipton
0,Carson Bell
0,Chance Harvey
0,Constantijn Steenbergen
0,Elijah Robison
0,Eric Zhang
0,Aidan Baris
0,Alex Killingsworth
0,Ethan Jampel
0,Harrison Coorey
0,Jacob Sencer
0,Jason Lebov
0,Kai Pylkkanen
0,Ki Greene
0,Lucas Kim
0,Josh Gelfond
0,Joshua Manuel
0,Miguel Urena
0,Ryan Spann
0,Sam Morphew
0,Sreekar Bommireddy
0,Will Hutchinson
0,Peter Loiselle
5,Justin Burnett
9,Nolan Baxendell
11,Matthew Shu
21,Isaac Gittleman
22,Ethan Heiss
43,Isaac Sencer
44,Connor Genschaw
50,William Johnson
81,Joel Lee
89,Jordan Leslie
95,Reed Karman
96,Andrew Taber
99,Xavier Stevens
b,r,e,a,k
Georgia State,11
0,Adam Goodwin
0,Ahmaad Daniel
0,Aly Jiwani
0,Chip Seidenberg
0,David Ordway
0,Jaden Medley-Fowlkes
0,Matthew Wheeler
0,Maxwell Lopez
0,Misael Hernandez
0,Nicholas Vigilante
0,Robert Mobley
0,Tabish Rayani
1,Lee Phan
3,Harrison  Briggs 
4,Vinny Nguyen
11,Robert Roper
14,Krishan Chib
21,Joshua Kimbell
24,Elliott Park
32,Zo Lightfoot
60,Sho Dixon
b,r,e,a,k
Tulane,3
0,Ryan Reynolds
1,Julian Saliba
3,Joseph Wagner
4,Jonah Golder
6,Blaise Noble-Schueller
7,Ryan Liberman
9,Samuel Butler
10,Josh Lane
11,Charles Lieberman
14,Andrew Lewis
15,Owen Harris
18,Darbhi Durvasula
18,Jacob Geisberg
20,Jaime Befeler
22,Matthew Testore
23,Everest Shapiro
24,Miles Mukamal
25,Charlie Smith
27,Abe Passman
28,Jacob Greenhill
29,Jeffrey Greenblatt
34,Henry Stewart
38,Nicolas Villamil
43,Kai Durvasula
45,James Morgan
52,Max Lang
69,Garrett Ettinger
b,r,e,a,k
Georgia Tech,6
02,Carter Tegen
03,Reid Barry
04,Zephren Collinson
05,Neil Barry
06,Raymond Jia
07,Christopher Zuo
08,Victor Pria
09,Amatheon Bohan
10,Arthur Shim
11,Daniel Palladino 
12,John White
13,Nathan Adair
14,Alden Rosakranse
15,Ryan Longley
16,Kevin Fan
17,Charlie Orth
18,Nicholas Huffman
22,Owen Cardwell
23,Christopher Maclin
24,Conor Brownell
25,Mark Farid
26,Keller Smith
28,Eric Shen
37,Owen Hammond-Lee
42,Carl Peterson
46,Brendan McCluskey
55,Stephen Mock
72,Matthew Dacey-Koo
76,Jeffrey Minowa
77,Flavius Penescu
b,r,e,a,k
Tennessee-Chattanooga,15
0,Bryan Lopez
0,David Harwood
0,Dwight Moss
0,Ethan Arnold
0,Franklin Beebe
0,Jackson Ricketts
0,Jackson Bushore
0,John Keaton Daniel
0,Matthew Cook
0,Michael Allen
0,Nicholas Gleason
0,Owen Williamson
0,Sean Roche
0,Stephen Lee
02,Andrew Barczak
05,Ben Cohen
10,Jared Beazley
17,Alexander Allen
17,Dylan Hendricks
19,Hunter Beard
20,Colin Flowers
20,David Wilkins
21,Andrew Sinor
22,Clayton Simons
25,Jacob Loschinskey
29,Jordan Hennessy
33,John Lazenby
48,Austin Tucker
88,Caleb Brewer
99,Mason Manley
b,r,e,a,k
South Florida,10
0,Aaron McAdams
0,Andrew Klotz
0,Barrett Strackbein
0,Brendan Camareno
0,Daniel McNamara
0,Garrett Knobel
0,Mahmoud Akinyode
0,Mitchell Blanchard
0,Timothy Chafin
0,Tuan Le
2,Parker Fernandez
7,Jay Coble
9,Patrick Maggio
15,Donovan Murphy
69,Stephen Smith
74,Charles Diamond
b,r,e,a,k
Central Florida,4
1,Connor Dowd
2,Alexander Mooney
3,Alex Nelson
4,Christian Walker
5,Wazan Hoshino
7,Julian Rodriguez
9,Cameron Genest
10,Adrian Arreaza
13,Kyle O'Connor
14,Caleb Washington 
15,Nolan McGinley
16,Justin King
17,Udaykiran Gudipudi
18,Taurean Perkins
