TCT Pro-Elite Challenge (Colorado Cup) 2021,Club - Men ,10,7,2021
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-Colorado-Cup-2021/schedule/Men/Club-Men/
PoNY,2
00,Drew Schnaudigel
00,Esteban Zuluaga Gonzalez
00,Jeffrey Holm
00,John Randolph
00,Mark Lin
00,Markian Kuzmowycz
00,Michael Bartell
00,Shashank Alladi
02,Sean Keegan
05,Joshua Stevens-Stein
06,Michael Brenner
09,Samuel Little
09,Harper Garvey
10,Clark Cofer
10,Grant Lindsley
13,Evan Padget
15,Kevin Norton
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
23,Jimmy Mickle
27,Jack Hatchett
31,Chris Kocher
60,William Dean
82,Marques Brownlee
97,Benjamin Spielman
b,r,e,a,k
SoCal Condors,3
0,Jonathan Helton
1,Michael Kiyoi
2,Bryce Lozinski
3,Michael Tran
4,Scott Radlauer
5,Grady Watkins
7,Elliot Warner
9,Maxwell Hume
12,Mitchell Steiner
13,Mark Leggio
14,William Turner
18,Kyle Rubin
19,Jeff Silverman
19,Clark Wang
20,Matt Miller
22,Jordan Queckboerner
22,Paul Lally
24,Daniel Mah
27,Kenrick Koo
42,Marcel Osborne
66,Garrett Santi
80,Travis Dunn
81,Calvin Brown
88,Samuel Fontaine
b,r,e,a,k
Johnny Bravo,4
00,Mark Rauls
01,Jack Hinchsliff
02,Jay Froude
03,Nicholas Purifico
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
08,Cole Wallin
09,Matt Jackson
11,Seth Faris
12,Justin Abel
14,Joseph Patterson
15,Dennison Bechis
20,Thomas Echols
23,Joshua Morris
24,David Miller
27,Cody Johnston
29,Sandy Brown
32,Jonathon Morris
34,Cody Spicer
35,Todd Wolma
42,Ben Lohre
45,Will Lohre
88,Quinn Finer
b,r,e,a,k
Sockeye,1
0,Jacob Janin
02,Brice Dixon
03,Thomas  Kulczak
04,Zachary Goulson
05,Nathan Kwon
07,Julian Childs-Walker
08,Brent Lo
09,Simon Montague
10,Dongyang Chen
11,Christian Foster
12,Garrett Martin
16,Trent Dillon
17,Martin Le
18,Chackgarin Brown
19,Stanley Birdsong
22,Declan Miller
24,Tony Venneri
30,Matthew Russell
31,Matthew Rehder
34,Zeppelin Raunig
51,Derek Mourad
59,Noah Coolman
70,Julian Hausman
74,Mac Hecht
77,Ben Snell
89,Milan Ravenell
b,r,e,a,k
Lotus,20
0,Girish Narayanswamy
0,Jonathan Nethercutt
1,Aylen Learned
2,Alex Tatum
4,Michael Lun
7,Seth Wells
8,Daniel Landesman
10,Saeed Semrin
11,Calvin Stoughton
15,Brendan Sheets
17,Nathan Buchholz
18,Zane Barber
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
28,Levi Tapper
32,Kevin Johnson
33,Sam Radack
39,Jack Ziemer
55,Isaac Chestler
62,Cole Besser
62,Walt Johnson
65,Joel Ives
77,Benjamin Harris
b,r,e,a,k
Clutch,5
0,Chris Brettell
0,Darrel  Francis III
0,Johnny Frohlichstein
0,Vikrant Pendharkar
3,Joseph Williams
5,Tyler Chiu
10,Lehlohonolo Mosola
10,Ibrahim El-sayed
11,Cullen Baker
12,Ismail Kassim
13,Ethan Downs
13,Alexander You
19,David Amparan
23,James Zuraw
25,Sharief Moghazy
26,Mark Baldauf
28,Christopher Perrotti
31,Brandon Lin
33,Aaron Barcio
34,Mitchell Lutz
69,Caleb Dixon
77,Destin Tate
80,Connor Cole
b,r,e,a,k
Battery,14
0,Hayden Mans
0,Ian Brown
0,Jackson Waite-Himmelwright
0,Joseph Schindler
0,Liam Jay
0,Matthias Broner
0,Raymond Mendoza
0,Simon Senter
0,Tyler Adams
3,Luke Garrison
6,Grayson Pangburn
7,Brian Bedord
8,Joseph Gu
10,Brian Culy
19,Joe McMinn
22,Ricardo Rosas
24,Andrew Riggs
30,JB Smith
30,Julian Stephanski
40,Stephen Guerin
44,Andrew Rodman
62,Thomas Mendoza
86,Jordan Seaberg
95,Glenn Poole
99,Maxwell Friedmann
b,r,e,a,k
Sawtooth,15
00,Aaron Maymin
00,Alex Ho
00,Connor Klitgaard
00,Dayne Meyer
00,Harper Poole
00,Jay Everett
00,Joseph  Martin
00,Justin Warnecke
00,Lucas Henken
00,Mathew Gossard
00,Micah Devaney
00,Mike Beacham
00,Nicholas Dayton
00,Phil Warnecke
00,Ryan Melvin
00,Shawn Moorhouse
00,Tanner Cleveland
00,Thayne Casper
00,Thomas Warnecke
00,Timothy Holland
b,r,e,a,k
Fungi,21
0,Aaron Wida
0,Eric Silverman
0,Greg Olson
0,Mark Donohue
0,Rex Fortgang
0,Stetson Roof
0,Will Sweeney
0,William Lynn
1,Adrian Cisneros
1,Andrew Muller
2,Rodrigo  Gould Rodriguez
6,Frederick Perlman
8,Brandon Galllagher
36,Bryan Downey
45,Patrick (Ted) Barnett
69,Stephen Krajeski
74,David Jensen
81,Ryan Wolfe
99,Brandon Mestnik
b,r,e,a,k
Raleigh-Durham United,16
1,Ty Naquin
01,Josiah Gamble
02,Jacob Ramsey
03,Bailey Laberteaux
03,Casey Degnan
04,Spencer Olmsted
05,George Lampron
09,Frederick Hennighausen
