Capital Mixed Club Sectional Championship 2021,Club - Mixed ,11,9,2021
Fredericksburg,VA,2021-09-11,2021-09-12
https://play.usaultimate.org/events/Capital-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Space Heater,1
01,Ashleigh Buch
02,Benjamin Preiss
03,Nikki Ross
04,Jackson Cochran
05,Dane Warner
06,Amber Sinicrope
07,David Boylan-Kolchin
08,Kelly Hyland
09,Kyle Khalifa
10,Jenny Fey
11,Nada Tramonte
13,Kathleen Ratcliff
16,AJ Merriman
19,Verena Woloson
22,Theresa Hackett
23,Gabriel Webster
24,Kelly Ross
32,Anthony McLean
33,Austin Bartenstein
37,Sandra Jorgensen
42,Lisi Lohre
43,Joe Freund
53,Jonny Malks
55,Molly Roy
77,Peter MacArthur
99,Alan Kolick
b,r,e,a,k
Fireball,9
0,Adam Hoehn
0,Aden Richards
0,Allison Hanson
0,Christina Chang
0,Claire Smullen
0,Corrie Willson
0,Jill Simmerman
0,Kevin Chiang
0,Mark Kresowik
0,Melissa Iwaszko
0,Natasha Sienitsky
0,Nathan (Nate) Miller
0,Nicole Kresowik
0,Calvin Oung
0,Caroline Loh
0,Tina Yen
0,Wei Lu
1,Becka Alper
4,Christian Heneghan
12,Oliver Platts-Mills
22,Robert Luhrs
42,Ellen Greytak
47,Thomas Nicholson
67,Benjamin Cohen
88,Aaron Swaney
b,r,e,a,k
Rat City,8
0,Kaitlyn Harper
0,Molly (Meredith) Finch
0,Tanner Marshall
3,Kelsey Dennis
7,Daniel Paoletti
8,Bridget Gallagher
11,Stephanie Coward
13,Echo Presgraves
22,Carla Tilchin
23,Annette Kukunas
25,Ian Piper
27,Edward Speyer
28,Stacy Lu
31,Christopher Cahoon
32,Brett Youngerman
33,Jesse Goldstein
44,Edgar Kunz
46,Tim Lee
55,Dylan McDonough
61,Carlos Lalimarmo
74,Andrew Creighton
b,r,e,a,k
Pumphouse,17
00,Andre Garcia
00,Andy Routzahn
00,Austyn Pedersen
00,Bryce Whitney
00,Caroline Little
00,Corey Vaccaro
00,Devin Li
00,Gunnar Olgren
00,Hope Martin
00,Jack Chisenhall
00,Katherine O'Neill
00,Kendall Barton
00,Kevin Dodd
00,Kristiana Preus
00,Kristin Lue Chee Lip
00,Mal Webb
00,Matthew Ondek
00,Meredith Miller
00,Ory Aguillard
00,Rabah Sbitani
00,Reilly Geritz
00,Sara Gilbertson
00,Sean Degrace
00,Sonia Meyer
00,Tre Williams
00,Veronica Creedle
b,r,e,a,k
Brackish,16
0,Laura  Cataño Silva
02,Michael Wong
03,Shawna Zielstorff
04,Kiya Vanier
05,Jennifer Gobin
06,Stephanie Lamb
12,Elizabeth Bradley
16,Isabella Burns
18,Levi Bradley
19,Margaret (Peggy) Whitney
20,Aaron Richards
21,Mae Kemsley-Kirn
22,Forrest Hannahs
42,Nikolas Zawodny
43,Nolan Randolph
49,Quinn Foley
50,Nat Choate
55,Katie Powell
66,Cara Wu
68,Daniel Shonk
73,Neville Fogarty
77,Jaime Benites
83,Audrey Kelly
99,Lawrence Wilson III
b,r,e,a,k
Rally,2
0,Ben Sadis
0,Brittany Taylor
0,Carolyn Ng
0,David Maniloff
0,Jillian Banner
0,Katina Russell
0,Lily Eisner
0,Matthew Cullom
0,Sami Smalling
0,Strat Stratton
0,Tsuki Hoshijima
4,Will Yetvin
4,Lucas Reichert
5,Cody Smith
6,Thomas Piper
7,"Jessica ""Marti"" Martinez"
17,Stephen Ng
18,Graham Turner
19,Noah Newberger
20,Samuel Brecker
29,O'Linda (Blaise) Sevier
32,Rebecca Driver
38,Maggie Soto
54,Genevieve Leo
70,Brian O'Hara
99,Emily Eisner
b,r,e,a,k
Ant Madness,7
0,Josh Weinstock
04,Nicholas Kwan
05,Emily Kreisel
06,Eliana Harnage
08,Cassandra Skapek
09,Meaghan McSorley
10,Sydney Kane
11,Benjamin Butcher
14,Jordan Tippitt
15,Fia Hargil
17,Paige Cassell
19,Bridgette Heine
20,Katrien Hinderdael
21,Harper James
24,Adam Shrager
25,Emily  McGuire
29,Matthew Dennin
30,Maximilian Cohen-Casado
31,Andrew Ferraro
33,Henry Kapp
35,Alexander Brewster
42,Madalyn  Sica
44,Samantha Clough
53,Jackson Gode
55,Kylie Auble
77,Donovan Hambley
b,r,e,a,k
Legion,10
0,Bethany Weldy
0,Caleb Weldy
0,Katherine Clark
0,Taylor Nelson
02,Kevin Habermas
03,Ashley Mast
06,Jake Norman
12,Jonathan Mast
14,Andrew Lewis
18,Krista Habermas
21,Daniel Mills
24,Victoria Dissmore
25,Elizabeth Ware
30,Mikayla DiSarle
33,Leah Hurt
33,Matthew Glasgow
37,Brandon Lison
68,Jennifer Schlabach
82,Hannah VerasAlba
87,Austin Heston
b,r,e,a,k
Heavy Flow,15
0,Cara Murray
0,Danica Palacio
0,Erica Yee
0,Heather Johnson
0,John Brun
0,Andrew Ryan
0,Russell Scrivens
0,Samuel Wood
0,Stephen Nichols
0,Timmy Gelles
4,Lyra Cooper
4,Paul Versluis
7,Derrick Fyfield
10,Elias White
11,Rachel White
16,Alec Hirschauer
16,Simeon Lee
25,Rachel Cawkwell
42,Emily Godwin
43,Anya Lagasse
78,Sam Shiao
88,Justin Chu
b,r,e,a,k
Swing,18
0,Luke Simon
00,Margot Nissen
