2021 U.S. Open Club Championships,Club - Men ,7,8,2021
Blaine,MN,2021-08-06,2021-08-09
https://play.usaultimate.org/events/2021-US-Open-Club-Championships/schedule/Men/Club-Men/
Sockeye,1
17,Moussa Dia
21,Codi Wood
24,Michael Xiao
25,Marcus Thaw
29,Christian Johnson
30,Christian Boxley
42,Adam Norrbom
43,Nathan Prior
45,Jeff Wodatch
69,Kevin Versteeg
72,Dylan Salzman
88,Duncan Fitzgerald
91,Troy Holland
b,r,e,a,k
Inception,13
0,Ed Dowling
0,Hayden McAdoo
0,Jonathan Stirk
0,Joseph Conerty
0,James Shanahan
0,Owen Welch
0,Sam Goldstein
2,Dylan Latham McGraw
5,Addison Hanson
8,Matt Bristol
12,Linus Mallett
15,Marc Kaylor
17,Tim Jackson
21,Sarang Mittal
21,Lucas Beal
23,Nick Banks
27,Michael Perry
69,Jens Suhr
74,Alexander Bork
74,Jakob Yedo
b,r,e,a,k
Cryptic,16
0,Tyler Barrett
02,Daniel Neese
03,Tony Murphy
05,Dillon Crowell
07,Nathan Bielecki
08,Jacob Knobloch
09,Anthony Newberry
10,Jacob Jahnke
11,Cade Zschiesche
12,David Lopez
14,Cole Davis
17,Reno Brinn
18,Jonathan Beavers
19,Michael (Max) Vinyon
21,Ben Masterson
23,Bobby Reding
24,Dominick Peluso
25,Adam Wong
29,Luke Gnatkowski
30,Nolan Cochran
31,Jacob Arnold
33,Ian Taylor
62,Blake Krapfl
64,Gabriel Weigel
84,Kegan Wakefield
b,r,e,a,k
Mallard II,20
0,Nathaniel Koch
0,Rahul Seshappa
01,Maximilian Dewberry
05,Owen Gin
07,Max Stillman
10,Alejandro Christenson
11,Austin King
14,Will Hager
15,Mercer Dilweg
16,Alex Zheng
17,Paul Liang
18,Thomas Tuchenhagen
27,Jake Hendrickson
28,Josh Kryzer
33,Matt Johnson
34,Hayden Ohlemacher-Lonetti
36,Reese Grailer
40,Joshua Pratt
43,Levi Dohman
46,Timothy Opdahl
55,Brandon Krekelberg
72,Clayton Phillips
84,Gavin Kritzeck
88,Evan Ellis
b,r,e,a,k
Surly,17
0,Nick Turco
00,Sean Breaux
00,Alex Kensgaard
00,Daniel Herrera
00,Ian Ehlert
00,John Groess
02,Clayton Thomas
07,Dan Monfre
08,John Bussey
09,Brian Thompson
12,Cloid Green
