South Central Club Men's Regional Championship 2021,Club - Men ,26,9,2021
https://play.usaultimate.org/events/South-Central-Club-Mens-Regional-Championship-2021/schedule/Men/Club-Men/
Johnny Bravo,1
0,Mark Rauls
01,Jack Hinchsliff
02,Jay Froude
03,Nicholas Purifico
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
08,Cole Wallin
09,Matt Jackson
11,Seth Faris
12,Justin Abel
14,Joseph Patterson
15,Dennison Bechis
20,Thomas Echols
23,Joshua Morris
24,David Miller
27,Cody Johnston
29,Sandy Brown
30,Steven Pearlman
31,Kai Marshall
32,Jonathon Morris
34,Cody Spicer
35,Todd Wolma
42,Ben Lohre
45,Will Lohre
88,Quinn Finer
b,r,e,a,k
Doublewide,2
00,Eric Brodbeck
00,Evan Swiatek
00,Hayden Stone
00,Jacob Radack
00,Jake Reinhardt
00,Jason Hustad
00,Joseph Wylie
00,Connor DeLuna
00,Keivaun Waugh
00,Noah Chambers
00,Reese Bowman
00,Zachary Slayton
01,Kolbe Bauer
02,Kaplan Maurer
06,Michael Matthis
07,Ben Lewis
08,Robert Coffin
11,Robert Lewis
14,Mark Evans
16,Mason Wuensch
17,Chris Larberg
21,Vinay Valsaraj
22,Connor Olson
23,Kyle Henke
24,Rory Orloff
50,Matthew Armour
b,r,e,a,k
Clutch,5
0,Chris Brettell
0,Darrel  Francis III
0,Doug Richardson
0,Parker Evans
0,Richard Young
0,Vikrant Pendharkar
3,Joseph Williams
5,Tyler Chiu
6,Ames Fegert
10,Ibrahim El-sayed
11,Cullen Baker
11,Michael Drewry
12,Ismail Kassim
13,Alexander You
14,Mutahir Ahmad
19,David Amparan
23,James Zuraw
24,Brian Gfroerer
26,Mark Baldauf
27,Elliot Sakach
28,Christopher Perrotti
31,Brandon Lin
34,Mitchell Lutz
69,Caleb Dixon
77,Destin Tate
80,Connor Cole
b,r,e,a,k
Lotus,3
0,Alex Atkins
1,Aylen Learned
2,Alex Tatum
3,Atkin Arnstein
4,Michael Lun
6,Matt Bristol
7,Seth Wells
8,Daniel Landesman
10,Saeed Semrin
11,Calvin Stoughton
15,Brendan Sheets
17,Nathan Buchholz
18,Zane Barber
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
28,Levi Tapper
32,Kevin Johnson
33,Sam Radack
39,Jack Ziemer
55,Isaac Chestler
62,Cole Besser
62,Walt Johnson
65,Joel Ives
77,Benjamin Harris
b,r,e,a,k
Flash Flood,8
0,Alexander Thompson
5,Christian Cortes
8,Darius Tse
01,Ryan Whisenhunt
02,Emmanuel Bilolo
03,Tyler Criss
04,Ryan Kyle
06,Andrew Lord
07,Manov Jain
08,Blake Duncan
10,Ryan Hoffman
12,"Sam ""Suds"" Ward"
14,Samuel Tagle
15,Abe Gambert
16,Dylan Swoboda
17,Benjamin Price
19,Jonathan Costello
20,JT Stancil
22,Colton Green
24,Gabriel Hernandez
25,Nick Phillips
31,Chris Doehring
32,Kenneth Xuan
34,Samuel Morrall
51,John Athens
69,Ryan Smith
b,r,e,a,k
Fungi,4
0,Aaron Wida
0,Eric Silverman
0,Greg Olson
0,Mark Donohue
0,Patrick Ellsworth
0,Rex Fortgang
0,Stetson Roof
0,Taylor Gilman
0,Will Sweeney
0,William Lynn
0,Zach Cartwright
1,Adrian Cisneros
1,Andrew Muller
2,Rodrigo  Gould Rodriguez
5,Son Nguyen
6,Frederick Perlman
8,Brandon Galllagher
28,Thomas Duke
36,Bryan Downey
45,Patrick (Ted) Barnett
51,Max Hamilton
69,Stephen Krajeski
74,David Jensen
81,Ryan Wolfe
99,Brandon Mestnik
b,r,e,a,k
H.I.P,6
00,Alexander Heath
00,Austin Walker
00,Brandon Dial
00,Brendan Adams
00,Cameron Albin
00,Carlos Vargas
00,Casey LeMay
00,Chris Brooks
00,Chris Bennett
00,Christopher Vandervoort
00,Ereckson Hillis
00,Jason Holleran
00,Jordan Taylor
00,Kevin Land
00,Kolby Janzen
00,Matthew Bierschenk
00,Matthew Bennett
00,Mick Walter
00,Mitchell Bennett
00,Patrick Marco
00,Peter Clarke
00,Reid Bacon
00,Richard Bovio
00,Robert Kern
b,r,e,a,k
ISO Atmo,7
0,Benjamin Page
0,Brian Ward
0,Christopher Ward
0,Daniel Lepsch
0,Gregory Pullen
0,Jordan Stern
0,Matthew Pollard
0,Nate Hopp
0,Shane Eckert
0,Theodore Carr
0,Tommy Harris
0,Vincent Chen
0,Zacary Parkhill
1,Sam Sincere
9,Preston Goulson
11,Jordan  Huntoon 
11,Caleb Bevers
14,Kyle Rogers
23,Christopher Smith
25,Chris Fox
25,Ryan Courtney
42,Tyler Carr
44,Matt Sehgal
64,Eric Gillwald
66,Parker Damon
71,Ryan Polka
b,r,e,a,k
