Founders Men's Club Sectional Championship 2021,Club - Men ,11,9,2021
Manheim,PA,2021-09-11,2021-09-12
https://play.usaultimate.org/events/Founders-Mens-Club-Sectional-Championship-2021/schedule/Men/Club-Men/
Pittsburgh Temper,1
02,Jonathan Mast
03,Patrick Earles
04,Casey Mann
05,Saul Graves
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
09,Patrick McMullen
10,Max Thorne
13,CJ Colicchio
14,Kenny Furdella
15,Dylan Best
18,Jed Farber
19,Ari Weitzman
22,Owen Watt
24,Alexander Thomas
25,Adam Burgess
32,Nasser Mbae Vogel
45,Brett Matzuka
46,Tristan Yarter
48,Jimmy Towle
49,Sam VanDusen
61,Brandon Matis
81,Kevin Quinlan
84,Brian Schoenrock
b,r,e,a,k
Pittsburgh Stealers,9
0,Connor Dickey
0,Mahith Edula
0,Reid Duncan
0,Ryan Mann
0,Ryan Harty
0,Spencer Matonis
0,Thomas Hansen
0,Tony Thomas
0,Zachary Hall
1,Max Sheppard
2,Matthew Booker
6,Zachary Esakof
8,Wyatt Krisky
11,Joey Wang
12,Eric Ricci
20,Peter Zaccardi
20,Samuel Moller
31,Max Barowski
32,Steven Mogielski
44,Andrew Gardner
69,Nicholas Nagel
72,Jackson Trone
88,Matt Reynolds
b,r,e,a,k
Helots,8
4,Robert Altieri
01,David Brewster
02,Mark Farnham
07,Andres felipe sanchez
08,Andrés  Rendón
11,Lukmanafis Babajide
14,Chris Kelly
15,Sean Maxcy
18,Jhonathan Salcedo
22,Jeff Perosi
23,Juan David Beltrán
25,Justin Li
27,Jason Pon
32,James Forbes
38,Prashant Baliga
45,San Montagno
51,Patrick Callahan
66,Oscar Sucre
70,Robert Patten
72,Adam Neu
75,Edgar  Prieto
80,Stephen Snelson
86,Andres Castrillon
88,Andrzej Porter
91,John Denman
97,Iván García
b,r,e,a,k
Rebels,17
0,Alex Jones
0,Andrew Cameron
0,Andrew Burgess
0,Andrew Schiff
0,Brennan Appleman
0,Colin Finnigan
0,Dallin Eggert
0,Jerome Malaran
0,Kyle Taylor
0,Matthew Lubicky
0,Nick Piotti
0,Scott Pleban
0,Shawn Lawson
0,David Robbins
0,Tyler Flockton
0,Walker Steven
0,Zachary Hunt
2,Stephen Rivera-Lau
5,Brian Rivera-Lau
55,Spencer Merman
61,Dante Acerbo
72,Eugene Grinberg
75,Brandon Bergman
b,r,e,a,k
Hazard,16
0,Joseph Wheeler
0,Patrick Gillen
0,Ryan  Spangenberg
2,Dylan Heun
3,Tristan Crooks
9,Justin Fraser
16,Edward Hoffman
16,Neal Donovan
17,Steven Bizon
18,Devin Christian
20,Andrew Miller
