East New England Mixed Club Sectional Championship 2021,Club - Mixed ,11,9,2021
Devens,MA,2021-09-11,2021-09-12
https://play.usaultimate.org/events/East-New-England-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Slow,1
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/SlowWhiteUltimate/,https://twitter.com/SlowWhite_
0,Chloe Rowse
0,Davis Whitehead
0,Dory Ziperstein
0,Emma Palacio
0,Gigi Downey
0,Jacob Taylor
0,Jon Cox
0,Kirsten Lundquist
0,Langston Lee
0,Rachael Westgate
0,Scott Gatto
4,Ryan Woodhouse
8,Peter Prial
10,Ryan Turner
12,Christopher Waite
15,Caitlin Fitzgerald
19,Olivia Hampton
24,Andy Schachter
52,Alexander Trahey
54,David Friedman
55,Hunter Lang
55,Ryan Cardinal
56,Amy Stoddard
58,Hannah Baranes
61,Caroline Collis
66,Emilia Scheemaker
b,r,e,a,k
Sprocket,2
teamInfo,,"Lexington, Massachusetts",,https://www.facebook.com/sprocket.ultimate,
coaches,Colby Clarkson
0,Aaron Rosenthal
0,Brett Tan
0,Caitlin Go
0,Colette Pellegrini
0,Hazel Ostrowski
0,Ian Hanson
0,Jodi Robert
0,Kayla Huddell
0,Lily Huang
0,Michael Shriver
0,Nolan Scheemaker
0,Rosanna Vitiello
0,Ryan Flamberg
0,Tahlia Quartin
0,Tess Johnson
0,Tomaso Mukai
0,Zachary  Hahn-Du Pont
6,Rocco Essex-Linehan
11,Anthony Goss
13,Clara Walsh
21,Patrick Barron
21,Tannor Johnson
22,Olivia Goss
25,Ivan Tran
30,Jean Huang
73,Clara Stewart
b,r,e,a,k
Darkwing,4
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Elle Burstein
0,James Sabean
0,Brian Barrows
0,Katherine Murray
0,Olivia Brissette
0,Suji Kim
0,Sydney Curran
2,Allison Pereira
00,Alexander Nagle
00,Alexander Donadio
00,Emet Schwartz
00,Eugene L'Heureux
00,Isabel Tripp
00,Joseph Sadok
00,Julianne Kloza
00,Justinne Guarin
00,Kat Brock
00,Yigit Demiralp
00,Sara Rudolph
00,Sophie Shen
00,Steven Her
00,Dean Bullock
05,Conor Dowling
35,Pierre-Yves Lavertu
40,Alex Jenkins
b,r,e,a,k
Wild Card,3
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
0,Caroline Passalacqua
0,Carter Thallon
0,Chase Drinkwater
0,Iris Rukshin
0,Jackson de Campos
0,Jaelee Cruz
0,Hannah Marr
0,Kelsey Devlin
0,Keziah Wilde
0,Natalie Wheeler
0,Nikki Chang
0,Ryan Brown
0,Tessa Bertozzi
3,Ian Engler
4,Hannah Crowley
4,Alexander Curreri
5,Andrew Pillsbury
