Northwest Club Mixed Regional Championship 2021,Club - Mixed ,25,9,2021
Olympia,WA,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Northwest-Club-Mixed-Regional-Championship-2021/schedule/Mixed/Club-Mixed
BFG,1
teamInfo,,"Seattle, Washington",,,https://twitter.com/SeattleBFG
2,Kimberly Schlesinger
7,Kerry Chang
8,Jennifer Ricaurte
03,Mario O'Brien
05,Reid Koss
11,Austin Barden
12,Kaitlynne Roling
14,Mohammud Tilmo
15,Eliana Moskovitz
17,Thomas Li
18,Conor Belfield
20,Alexa Kirkland
23,Linnea Soo
24,Jason Yun
24,Cheryl Hsu
25,Tommy Lin
26,Andi Coleman
27,Jeffrey Pape
28,Leah Bar-On Simmons
30,Sarah Benditt
32,Alissa Soo
33,AnnaMaria Pape
44,Stephen Gussin
66,Sam Pickel
81,Charlie Mercer
88,Linh Hoang
b,r,e,a,k
Bullet Train,8
teamInfo,,"Seattle, Washington",http://bullettrainultimate.com,,https://twitter.com/BulletTrainUlti
0,Devon Chapman
0,Janelle Heinig
0,Jessica Haga
0,Krysia Davis
0,Patrick Chen
0,Rachel Beaton
0,Vincent Chase
1,Emma Landsman
2,Tien La
7,Chenxia Liu
7,Corinne Barrett
7,Allen Rishel
9,John Mattes
9,Zac Nix
10,Alex Semaca
14,Brian Wandrei
15,Jake Dunoyer
17,Lindsay Frederick
20,Caitlin Durston
21,Ryan Shin
23,Minah Choi
23,Lauren Meyer
25,Ben Hecko
42,Chauncey Holland
63,Louie Bertoncin
b,r,e,a,k
Pegasus,14
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
0,Alexander Zaug
0,Bailey Bonaci
0,Brendan Wallace
0,Clara Amorosi
0,Eric Huynh
0,Jeanney Liu
0,Jon Fok
0,Jordan Listo
0,Kelly Tong
0,Kyra Wortley
0,Landon Hill
0,Livia Amorosi
0,Lorenzo Lalimarmo
0,Nathan Narita
0,Pauline Baculi
0,Samuel Stearns
0,Sarah Teichman
0,Adam Elder
0,Stephanie Huang
0,Tess Warner
3,Matthew Bricker-Mounts
9,Johnathan Hunter
10,Kent Wu
14,Sarah Hill
27,Marlie Somers
88,Alan Lin
b,r,e,a,k
Garage Sale,11
teamInfo,,"Eugene, Oregon",,,
0,Erin Maloney
00,India John
01,Paul Kempler
03,Caleb Holt
