Philly Open 2021,Club - Men ,7,8,2021
Allentown,PA,2021-08-07,2021-08-08
https://play.usaultimate.org/events/Philly-Open-2021/schedule/Men/Club-Men/
Sprout,1
teamInfo,,"Amherst, Massachusetts",,,
0,Ben Faust
0,Ben Ayres
0,Isaac Kaplan
0,Noel Sierra
3,Ben Sadok
5,Jeff Maskalunas
5,Raymond Tetreault
5,Wyatt Kellman
9,Dillon Monti
10,Rustin Ingold-Smith
12,Gabriel Franklin
14,Miles Montgomery-Butler
15,James Cairn
17,Reuben Philip
24,Cameron Wariner
26,William Thornton
27,Amos Adams
40,Holden Cookson
41,Oliver Fay
42,Liam Gallinagh
47,Ethan Smith
80,Anthony Coppola
b,r,e,a,k
Richmond Floodwall,9
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RichmondUltimateTeam/,
0,Bryan Frumkin
0,Douglas Self
0,Jameson Hinkle
0,Jay Kaul
0,Jonathan Coppage
0,Ryan Reynolds
0,Soham Shah
3,Jacob Tongier
5,Quinn Hermann
10,Ian Fletcher
17,Andrew Byers
19,Mitchell Parry
24,Christopher Letai
27,Joe Spaeth
29,Josh (Red) Reynolds
33,Tanner Dellett-Wion
b,r,e,a,k
JAWN,16
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/JAWN_Ultimate
0,Andrew Ngo
0,Avery Campbell
0,Benjamin Cozzolino
0,David Hutchins
0,Gregory Fallon
0,Igor Smola
0,Joseph Connolly
0,Matthew Kirk
0,Sandeep Dilip
0,William Shutt
2,Evan Maynard
3,Joshua Fieseher
8,Evan Kashan
9,Sam Gilden-Weiner
21,Paul Anouna
22,Evan Novacek
24,Vanshil Thakkar
25,Edward Brakoniecki
32,Robert Walker
39,Michael Facinelli
88,Jacob Kesselman
b,r,e,a,k
Oakgrove Boys,17
teamInfo,,"ARLINGTON, Virginia",n/a,https://www.facebook.com/OakgroveBoys/,https://twitter.com/OakGroveBoyz
0,Adel Al-Awadhi
0,Akram Abudheer
0,Bradford Patterson
0,Charles Stimpson
0,Dylan Hitt
0,Eric Wright
0,Jared Cooper
0,Matthew Radle
0,Mike Vignali
0,Tommaso Piccorossi
1,Gunnar Biebighauser
2,Haroon Matties
4,Jack Corcoran
5,Jonathan Fosbury
10,Lucas Fenstermacher
12,Sam Bean
12,Kyle Flynn
13,Nicholas Albright
16,Christopher Selwood
17,Christopher Lopez
21,Rhys Bergeron
28,Joe Novak
41,Austin Workman
66,Joseph Evans
72,Michael Gostomski
78,Maxwell Cannon
b,r,e,a,k
Town Hall Stars,8
teamInfo,,"College Park, Maryland",,,
0,Drew Herring
0,Ian Decker
0,Kevin Ludwig
0,Michael He
0,Taylor Knapp
0,Tom Noll
2,Luke Pascale
2,Jacob  Sheedy
4,Jacky Chung
5,Charles Boulton
6,Jonathan Gong
8,Joel Maiman
12,Jacob Schwartz
14,Mac Keller
15,Vincent Zhong
20,Isaac Kinton
25,Aaron Lavitsky
30,Tejas Mavanur
32,Austin Chau
41,Cole Atkins
b,r,e,a,k
Rebels,24
teamInfo,,"Haddonfield, New Jersey",,,
0,Andrew Cameron
0,Andrew Burgess
0,Andrew Schiff
0,Brandon Amster
0,Brennan Appleman
0,Dallin Eggert
0,Jonas Cameron
0,Kyle Taylor
0,Nick Piotti
0,Scott Pleban
0,Shawn Lawson
0,David Robbins
0,Domenico Moffa
0,Tyler Flockton
0,Zachary Hunt
2,Stephen Rivera-Lau
5,Brian Rivera-Lau
25,Jay Spangler
55,Spencer Merman
61,Dante Acerbo
72,Eugene Grinberg
75,Brandon Bergman
b,r,e,a,k
Vault,2
teamInfo,,"Fredericksburg, Virginia",,,https://twitter.com/vaultultimate
coaches,Thomas Owen
00,Jarrod Banks
01,Max Cassell
02,Justin Morrison
03,Cameron Guidry
04,Michael Snead
07,Steven Wartinbee
08,Kristopher Harrison
11,Peter Mancini
13,Frederick Farah
15,Garrett Braun
17,Alex Liu
18,Kevin Healey
20,David Zimmerman
21,Jack Field
23,Matthew Beaudet
24,Tim Jackson
25,Jeremy Knopf
26,Daniel Lynch
30,Cam Barnhardt
31,Kevin O'Malley
32,Alex Turney
48,Trent Cooper
76,Matt McGoogan
78,Leo Pierson
84,Daniel Friedman-Brown
99,Adam Weiss
b,r,e,a,k
Watchdogs,10
teamInfo,,"Bethesda, Maryland",,https://www.facebook.com/pages/Watch-Dogs-Ultimate/250140035159441?fref=nf,
coaches,Richard Boyle
00,Andrew Allen
00,Conor Tidgewell
01,Elan Azrieli
01,Nick Bravos
02,Bradley Tinney
03,Nathan Wells
04,Zachery Parker
05,Will Tober
09,Hyosam Jeon
13,Michael Newman
14,Devin Holland
15,Joshua Bransford
17,Christopher King
18,Joe Dweck
19,Kyle Morgan
22,Couper Turkewitz
24,Gregory Cho
24,James Zhu
28,Matthew Thornton
32,Sasha Frank-Stempel
34,Austin Do
51,Christopher Bond
82,Tyler Byrum
85,Gabe Vordick
b,r,e,a,k
Big Wrench,7
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.com,https://www.facebook.com/BigWrenchUlt,https://twitter.com/BigWrenchUlt
0,Conor McManamy
0,Eli Standard
0,Gabriele Kautz
0,Grant Kern
0,Jack Facey
0,Jacob Marsh
0,John Wellers
0,Andy Yu
0,Joseph Min
0,Michael Dillard
0,Walden Ng
0,Zach Jaromin
1,August Williams
3,Brian Wyer
4,Seho Young
5,Alexander Riahi
7,Alexander Roche
11,Samuel Letcher
12,Phillip Joyce
20,Jonah Kurman-Faber
27,Aaron Saylor
33,Nick Jewell
b,r,e,a,k
Ballston Booya,15
teamInfo,,"Arlington, Virginia",,,
0,Bobby Elston
0,Christopher Estes
0,Colin Dunn
0,Daniel Sablosky
0,Eitan Gerstle
0,Howard Shi
0,Jamie Staeben
0,Jonathan Nahmias
0,Joshua Zinger
0,Mehmet Kutlug
0,Thomas Callen
0,Will Reider
10,Steven Kingkiner
20,Jordan Parry
21,Sohail Syed
22,Ryan Kelly
27,Wilson Matsuo
41,Kiran Devine
b,r,e,a,k
Apollo 7,23
teamInfo,,"King of Prussia, Pennsylvania",,,
0,Ben Helpin
0,Thomas Dennis
00,Zane Thompson-Bradley
02,Thomas Buonanno
03,Jonathan Anthony
04,Brian  Murphy 
05,Cortize Hicks
07,Alan Guzzardo
08,Daniel Wolfinger
09,Nick Merson
11,Scott Cousens
13,Cheeto Zito
14,Shane McLaughlin
15,Rohit Bhosle
18,Zack LaBar
21,Andrew Nichols
25,Giovanni Ruggirello
32,Matthew Fowler
33,Tyler Dickinson
43,Nicholas Diehl
50,Barrett Doering
55,Andrew Chirichella
69,Lamar Seger
75,Abraham Schroeder
88,Robert Guio
99,John Simons
b,r,e,a,k
Adelphos,18
teamInfo,,"Philadelphia, Pennsylvania",,,https://twitter.com/philadelphosult?lang=en
0,Alex Wiersbitzky
0,Chen Zhou
0,Erik James
0,Howard Yuan
0,Jacob Arnold
0,Josh McGinnis
0,Michael Teitelman
0,Nathaniel Thorne
0,Geoffrey Cater
0,Sachin Desai
0,Thomas Wu
11,Eugene Chong
14,Harrison Schell
22,Shawon Nixon
27,James Leonard
33,Jeremy Fus
42,Ben Morgenstern
42,Patrick Shannon
82,John Protopapa-Henkel
b,r,e,a,k
CITYWIDE Special,6
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/citywidespecial/,https://twitter.com/cwultimate
coaches,David Brandolph,Tim Kreutzfeldt
00,Alex Howard
00,Chris Zaleski
00,Daniel Miller
01,Colin McIntyre
04,Roger Chu
07,Peter Cauchy
08,Joe Donovan
10,Josh Lane
12,Wilson Dodds
13,Jack Steketee
14,Chris Dixon
16,Matthew Michelson
17,Jeffrey Zhou
19,Brian Carney
22,Ferry Akbar Buchanan
23,Jordan Ciccarone
29,Chris Vanni
36,Boris Li
42,Joel Prushan
