USA Ultimate College Championships 2021,College - Women D-I Women,17,12,2021
Norco,CA,2021-12-17,2021-12-20
https://play.usaultimate.org/events/USA-Ultimate-College-Championships-2021/schedule/Women/CollegeWomen/d_iii_women/
Carleton College,1
teamInfo,Burning Skirts,"Goleta, California",,https://www.facebook.com/BSkirts/,https://twitter.com/BSkirts?lang=en
coaches,Hani Pajela,Samuel Fontaine
01,Robyn O'Halloran
04,Elsa Winslow
05,Felicia Cruz
06,Leah Forester
08,Laura Blume
09,Sophie Miller
11,Jasmine Childress
13,Marie Levisay
14,Devin Quinn
15,Yu Ishii
16,Mackenzie Miller
17,Lekha Haritsa
18,Kaitlyn Weaver
19,Alice Bentzer
22,Julia Hasbrook
31,Nicki Yang
32,Ziyue Gao
33,Vienna Lee
36,Victoria Hausch
42,Terra Dressler
47,Tessa Cortez
66,Maria Sutherland
93,Emma Liu
b,r,e,a,k
Texas,10
teamInfo,Melee,"Austin, Texas",https://texaswomensultimate.github.io/home/,,https://twitter.com/txmelee?lang=en
coaches,Bennett Wachob,Jaime Estes,Andrea Esparza
01,Abigail Koehn
02,Alysa Chiovatero
03,Lauren Gregorczyk
04,Rebecca Kroger
05,Tamiya Smith
06,Kaitlin Schaible
07,Madison Hiu
08,Mindy Radike
09,Summer Wilson
10,Victoria Shon
11,Emma Berrigan
12,Caroline OConnell
13,Olympia Walker
14,Karina Kumar
16,Juliana Thompson
18,Carolina Bayon
19,Georgia McDonald
20,Victoria Lowery
21,Julia O'Connell
23,MC Robbins
26,Briana Taylor
27,Sarah Piersall
33,Sanja Stojcic
72,Grace Updegrove
99,Kaitlyn Hoang
b,r,e,a,k
Pittsburgh,6
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://danger-ultimate.wixsite.com/pittultimatew,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerultimate
coaches,Lauren Boyle,Erica Baken,Lauren Franke
01,Helen Wu
02,Jessie Sun
06,Celeste Picone
07,Lily Nong
08,Yunge Xiao
09,Annelise Peters
12,Madison Pisone
13,Meghan McGrory
16,Jessie Chan
17,Kimaya Hayes
19,Belinda Lam
21,Elizabeth Manturuk
22,Ariana Bhatia
23,Hannah Boyd
24,Morgan Johnson
33,Caroline  Burns
37,Linn Bjanes
38,Celina Zhao
39,Daisy Mandl
47,Sophia Kosowsky
48,Yara El-Khatib
57,Charlotte (CJ) Dawson
70,Morgan Cioth
71,Miranda Kosowsky
b,r,e,a,k
Michigan,15
teamInfo,Flywheel,"Ann Arbor, Michigan",http://www.flywheelultimate.com,,https://www.twitter.com/UMichFlywheel
coaches,Aakar Mehra,Tracey Lo,Elizabeth Benedetto,Michael Jahn,Alex Kapiamba
00,Zoe Engle
02,Audrey McManus
03,Claire Blazewicz
04,Sophia Harvey
05,Bria Stocker
06,Caroline Faris
07,Abby Guimond
09,Emily Evans
11,Wen Chi Kwok
12,Emma Scznsny
13,Celia Flory
14,Jade Turner
15,Miranda Baltaxe
16,Riely Kuznicki
17,Nicole Kleinsorge
18,Hanna Schechter
19,Catherine Hildebrand
20,Madison Nightingale
22,Charlotte Andreasen
23,Loriann Hom
24,Kristina Nunez
25,Rebecca Zhang
30,Reegan Ketzenberger
31,Julia Kahn
32,Elizabeth Rott
34,Annie Mei
35,Hannah Cheng
36,Naomi Kantor
55,Anna Ceballos
77,Katrina McGuire
98,Katie Wagner
b,r,e,a,k
Boston University,19
teamInfo,Uprising,"Boston, Massachusetts",,,
coaches,Caitlin Fitzgerald,Sam Farnsworth,Nilos Makino
0,Presley Simmons
01,Elizabeth Diamond
02,Elizabeth Wu
03,Carmen Cheung
06,Jordyn Nickerson
07,Abigail Li
09,Tanvi Agarwal
11,Dasha Smolina
12,Eliana Bortman
13,Zirui Zhou
15,Jiamu Sun
19,Abigail Taylor
23,Sage Fuller
29,Sophie Bodine
32,Amanda Cintron Senturia
33,Phoebe Lesk
36,Jia Johnson
56,Zoe Thomas
69,Beverly Liu
88,Olivia Tom
b,r,e,a,k
Washington,4
teamInfo,Element,"Seattle, Washington",,https://www.facebook.com/ElementUltimate/,https://twitter.com/UWElement
coaches,Amanda Kostic,Kelley Hall,Jillian Goodreau
0,Megan Louie
02,Alexa Yadama
03,Kelly Tong
04,Peyton Pedrozo
05,Sienna Patton
07,Abby Hecko
08,Robyn Gamboa
09,Bridget Wipfler
10,Nicole Chan
11,Amy Nguyen
12,Stephanie Phillips
13,Sophia Palmer
15,Emily Nishiwaki
17,Molly Wieringa
18,Yeh-Sun Lee
20,Savanna Tucker
21,Maddy Grassy
22,Emma Pua’a
23,Qiqi Cai
25,Yenni Lee
26,Mae Browning
28,Amber Lee
31,Ikran Elmi
32,Penny Nguyen
33,Amy Ly
38,Lauren Nguyen
44,Grace Young
51,Kate Crawford
b,r,e,a,k
Virginia,9
teamInfo,Hydra,"Charlottesville, Virginia",https://sites.google.com/a/virginia.edu/womens-ultimate-frisbee-club-at-the-university-of-virginia/,https://www.facebook.com/HydraNFriends/,https://twitter.com/HydraNFriends
coaches,Emma Colavincenzo,Brittany Taylor,Keila Strick
01,Bridget Williams
02,Seanna Adam
03,Brooke Meinhart
04,Birgitta Taylor-Lillquist
05,Khin  Kyaw 
07,Kira Flores
09,Rachel Lisner
11,Erin Flores
12,Aubrey Leaser
13,Paulina (Syd) Kirk
14,Kelsey Schoeman
16,Caroline Bereuter
17,Shuchi Amin
18,Bryn Kabiri
19,Abby Herrod
20,Aviva Kosto
21,Sneha John
22,Shea Ruzich
23,Jane Frankel
24,Annabel Tripodi
27,Nora Wagner
29,O'Linda (Blaise) Sevier
33,Aydan Moskowitz
35,Megan Kenny
36,Maya Nir
44,Selina Cheng
47,Stephanie Skahen
54,Emma  Vorathiankul
91,Elena Lensink
99,Chandler Smith
b,r,e,a,k
Colorado,5
teamInfo,Quandary,"Boulder, Colorado",,https://www.facebook.com/ColoradoWomensUltimate,https://twitter.com/quandaryult
coaches,Christina Mickle,Cassandra Swafford,Claire Chastain
03,Emma Cortright
04,Mei Hecht
05,Rachel Wilmoth
06,Emma Capra
08,Clil Phillips
09,Mahalie Hill
10,Annie Geoghegan
11,Nori Catalano
12,Taylor Smith
14,Annie Scott
18,Sierra Petrash
19,Stella Meillon
21,Saioa Lostra
22,Jordan Stockdale
23,Elnaz Navid
24,Riley Swift
28,Tess Cartin
29,Elyse  DeBarros
35,Britta Bergstrom
58,Liana Bradley
66,Akane Kleinkopf
99,Sarah Nadler
b,r,e,a,k
Pennsylvania,16
teamInfo,Venus,"Philadelphia, Pennsylvania",https://www.dolphin.upenn.edu/ultimate/Venus/,https://www.facebook.com/VenusUltimate,https://twitter.com/venusultimate
coaches,Jackson Dolan,Emilie Mohler,Kelly Skewis
0,Caroline Bach
01,Julia Lasater
02,Shannon Lin
03,Amy Vidal
04,Michelle Paolicelli
07,Emma Francis
10,Catherine Huang
11,Lilian Liu
12,Sophie Ishiwari
14,Stephanie Walsh
16,Tillie Donover
17,Cassidy Bruner
18,Marisa Senkfor
20,Julia Frank
25,Dagny Lott
26,Lydia Mendoza
27,Van Truong
28,Sophia DeGrands
31,Michele Gross
32,Chaily Derecskey
33,Hannah Devlin
36,Emma Wennberg
37,Lila DiMasi
39,Amelia Marx
45,Ava Barish
53,Sophia McKee
72,Ashika Mani
98,Aubrey Luk
b,r,e,a,k
SUNY-Binghamton,20
teamInfo,Big Bear ,"Binghamton , New York",https://bigbearultimate.wordpress.com/,https://www.facebook.com/binghamtonultimate/,
coaches,Danica Vasa
01,Danielle Dattler
02,Sari Mamiye
08,Piper Van Kerkhove
14,Samantha Gonzalez
18,Arianna Edwards
19,Faith Summers
24,Jolie Krebs
25,Ancilla Marie Inocencio
26,Michole Vergeire
30,Anna Purtell
31,Alyssa Pelkey
34,Ava Champitto
47,Sarah Bases
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
California-San Diego,Chicago,11,12,"12/17/2021, 08:00",Pool A,Final
Vermont,Florida State,12,9,"12/17/2021, 08:00",Pool A,Final
Carleton College,Florida State,13,7,"12/17/2021, 10:15",Pool A,Final
Vermont,Chicago,13,12,"12/17/2021, 10:15",Pool A,Final
Carleton College,California-San Diego,15,12,"12/17/2021, 12:30",Pool A,Final
California-San Diego,Vermont,15,8,"12/18/2021, 08:00",Pool A,Final
Carleton College,Chicago,15,5,"12/18/2021, 08:00",Pool A,Final
Carleton College,Vermont,13,9,"12/18/2021, 10:15",Pool A,Final
California-San Diego,Florida State,12,11,"12/18/2021, 10:15",Pool A,Final
Chicago,Florida State,13,12,"12/18/2021, 12:30",Pool A,Final
pool,Pool B
Western Washington,California-Davis,12,8,"12/17/2021, 10:15",Pool B,Final
Georgia,Ohio,15,6,"12/17/2021, 10:15",Pool B,Final
North Carolina,Ohio,15,4,"12/17/2021, 12:30",Pool B,Final
Georgia,California-Davis,10,15,"12/17/2021, 12:30",Pool B,Final
North Carolina,Western Washington,15,9,"12/17/2021, 14:45",Pool B,Final
Western Washington,Georgia,10,8,"12/18/2021, 08:00",Pool B,Final
North Carolina,California-Davis,15,7,"12/18/2021, 08:00",Pool B,Final
North Carolina,Georgia,15,12,"12/18/2021, 10:15",Pool B,Final
Western Washington,Ohio,15,7,"12/18/2021, 10:15",Pool B,Final
California-Davis,Ohio,14,8,"12/18/2021, 12:30",Pool B,Final
pool,Pool C
Pittsburgh,Michigan,15,6,"12/17/2021, 10:15",Pool C,Final
Texas,Boston University,15,4,"12/17/2021, 10:15",Pool C,Final
California-Santa Barbara,Boston University,15,1,"12/17/2021, 12:30",Pool C,Final
Texas,Michigan,15,4,"12/17/2021, 12:30",Pool C,Final
California-Santa Barbara,Pittsburgh,15,9,"12/17/2021, 14:45",Pool C,Final
Pittsburgh,Texas,6,13,"12/18/2021, 08:00",Pool C,Final
California-Santa Barbara,Michigan,12,8,"12/18/2021, 08:00",Pool C,Final
California-Santa Barbara,Texas,15,9,"12/18/2021, 10:15",Pool C,Final
Pittsburgh,Boston University,15,9,"12/18/2021, 10:15",Pool C,Final
Michigan,Boston University,11,8,"12/18/2021, 12:30",Pool C,Final
pool,Pool D
Colorado,Pennsylvania,15,1,"12/17/2021, 08:00",Pool D,Final
Virginia,SUNY-Binghamton,14,5,"12/17/2021, 08:00",Pool D,Final
Washington,SUNY-Binghamton,15,3,"12/17/2021, 10:15",Pool D,Final
Virginia,Pennsylvania,11,7,"12/17/2021, 10:15",Pool D,Final
Washington,Colorado,15,11,"12/17/2021, 12:30",Pool D,Final
Colorado,Virginia,9,15,"12/18/2021, 08:00",Pool D,Final
Washington,Pennsylvania,15,7,"12/18/2021, 08:00",Pool D,Final
Washington,Virginia,14,13,"12/18/2021, 10:15",Pool D,Final
Colorado,SUNY-Binghamton,13,11,"12/18/2021, 10:15",Pool D,Final
Pennsylvania,SUNY-Binghamton,12,10,"12/18/2021, 12:30",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Washington,North Carolina,6,15,"12/20/2021, 18:00",Finals,Final
Carleton College,Washington,13,15,"12/19/2021, 20:00",Semifinals,Final
California-Santa Barbara,North Carolina,7,15,"12/19/2021, 14:30",Semifinals,Final
Carleton College,Pittsburgh,15,8,"12/19/2021, 10:15",Quarterfinals,Final
California-Davis,Washington,13,15,"12/19/2021, 10:15",Quarterfinals,Final
California-Santa Barbara,Virginia,15,9,"12/19/2021, 08:00",Quarterfinals,Final
California-San Diego,North Carolina,7,15,"12/19/2021, 08:00",Quarterfinals,Final
Pittsburgh,Western Washington,14,11,"12/18/2021, 14:45",Pre-Quarters,Final
Texas,California-Davis,13,15,"12/18/2021, 14:45",Pre-Quarters,Final
Chicago,Virginia,12,13,"12/18/2021, 14:45",Pre-Quarters,Final
California-San Diego,Colorado,15,11,"12/18/2021, 14:45",Pre-Quarters,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,9th Place
Western Washington,Chicago,15,4,"12/19/2021, 10:15",T-9th Place,Final
bracket,9th Place
Texas,Colorado,9,12,"12/19/2021, 10:15",T-9th Place,Final
bracket,13th Place
Vermont,Ohio,13,8,"12/19/2021, 10:15",T-13th Place,Final
Vermont,SUNY-Binghamton,13,7,"12/19/2021, 08:00",13th Semis A,Final
Ohio,Michigan,15,4,"12/19/2021, 08:00",13th Semis A,Final
bracket,13th Place
Florida State,Georgia,6,15,"12/19/2021, 10:15",T-13th Place,Final
Pennsylvania,Florida State,9,13,"12/19/2021, 08:00",13th Semis B,Final
Boston University,Georgia,5,15,"12/19/2021, 08:00",13th Semis B,Final
bracket,17th Place
SUNY-Binghamton,Michigan,10,9,"12/19/2021, 12:30",T-17th Place,Final
bracket,17th Place
Pennsylvania,Boston University,15,10,"12/19/2021, 12:30",T-17th Place,Final
b,r,e,a,k
