Great Lakes Mixed Club Regional Championship 2021,Club - Mixed ,2,10,2021
Cincinnati,OH,2021-10-02,2021-10-03
https://play.usaultimate.org/events/Great-Lakes-Mixed-Club-Regional-Championship-2021/schedule/Mixed/Club-Mixed
Hybrid,1
teamInfo,,"Ann Arbor, Michigan",,https://www.facebook.com/HybridUltimate/,https://twitter.com/HybridUltimate
01,Michael Mansfield
02,Justin Perticone
03,Sara Nitz
06,Nora Mertz
07,Elizabeth Benedetto
08,Dan Donovan
09,Anna McClurkan
10,Brittany Wright
11,Bridget Connor
13,David Yu
15,Jake Steslicki
16,Riely Kuznicki
17,Connor Lukas
19,Alexander Pan
20,Madalyn Simko
22,Michael Dagher-Margosian
24,Charlotte Wilson
27,Bailey Besser
30,James Highsmith
33,James Hill
35,Joseph Besser
42,Nathan Champoux
66,Mya Hernandez
73,Maya Grumeretz
76,Adam Stautberg
88,Mark Whitton
b,r,e,a,k
CHImera,13
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/chimeraultimate,https://twitter.com/chimeramixedult
0,Alicia Chu
0,Briana Morales
0,Cassandra Singler
0,Conrad Nguyen
0,Annie Phan
0,Ben Foster
0,Eric Hallow
0,Jules Daugherty
0,Matt Godfrey
0,Nathan King
0,Nick Longo
0,Victoria  Snyder
2,James Roush
4,Aaron Del Real
4,Joline Chang
10,Hector Rivera
12,Amy Copper
16,Allison Chmaj
18,Erika Wagner
23,Kathryn Kembitzky
25,Jordan Lange
25,Elaine Sundberg
30,Jessica Johnson
33,Sara Putnam
91,Jake Smith
99,Benjamin Zhang
b,r,e,a,k
Toast,8
teamInfo,,"Grand Rapids, Michigan",,https://www.facebook.com/toastultimate/,https://twitter.com/toastultimate
0,Amy Young
0,Brendan Schwalm
0,Carmella Vizza
0,Corie Auger
0,Edward Taylor
0,Hannah McCullough
0,Hunter Noorman
0,Jonna Frayer
0,Kaciana Champlin
0,Lourdes Pimentel Soto
0,Mitchell DeNooyer
5,Ryan Lee
7,Jesse Ellwood
9,Austin Riegel
14,Trevor Polisuk-Balfour
16,Samantha Phillips
19,Stephen Hoffman
20,Nicole Foy
22,Jamie Petroelje
22,Karmyn VonEhr
29,Jayleen Rossi
32,Justine Volz
54,Aaron Schwieterman
61,Caleb Stanish
84,Michael Weber
85,Michael Stephen
b,r,e,a,k
ELevate,12
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
0,Alexandra Moxley
0,Alyssa Dunbar
0,Benjamin Putano
0,John Lee
0,Jonathan Bauer
0,Joseph Roarty
0,Emily Williams
0,Kyle Bayes
0,Sam Widmayer
1,Will Hsieh
3,Bridget Doherty
3,Elliot Lee
4,William Horwitz
5,Lauren Brauer
5,Joel Willison
9,Stephanie Sauer
11,Lauren Miller
14,Kelly Hopps
19,Tim Hopps
20,Courtney Rachke
21,Benjamin Macalalad
23,Sonya Li 
32,Sandra Helquist
36,Talia Fishman-Strait
40,Alex Kowalczuk
99,Samuel Fishman-Strait
b,r,e,a,k
Cleveland Crocs,2
teamInfo,,"Cleveland, Ohio",,,CLEMixUltimate
0,Iris Javersak
3,Joseph Marmerstein
4,Zach Byrnes
5,Amir Kaghazwala
7,Suzy Becka
8,Jonathon Grgat
10,Eric Zarobila
11,Jackie Matonis
12,Mitch Cihon
13,Charlie Vukovic
14,Michael O'Brien
15,Elizabeth Lehman
17,Adam Davenport
19,AJ Uthe
21,Rachel Mast
22,Chelsea Zhu
23,Chris Graber
26,Milo Korman
28,Katherine Hoffman
29,Jocelyn Palyo
36,Griffin Binkley
38,Meghan Drews
41,Brad Kotecki
78,Sophia Vaccaro
82,Dutch Kirkman
88,Madeleine Pletzke
b,r,e,a,k
Petey's Pirates,7
teamInfo,,"Columbus, Ohio",http://peteyspirates.com/,https://www.facebook.com/groups/1812739332308469/,https://twitter.com/peteyspirates
0,Alexandria Hughes
0,Alora Reiff
0,Amanda Noonan
0,Andrew Bustle
0,Austin Eilbeck
0,Delaney Marsalek
0,Eric Border
0,Gordon (Gordy) Sjostrom
0,Hannah Grace Morrison
0,Jonathan Rosen
0,Kelly Ross
0,Logan Reimbold-Thomas
0,Nathan Morgan
0,Sarah Craycraft
0,Stephan Dober
0,Maxwell Devine
0,Tyler Higgins
5,Milo Eder
7,Luke Groom
12,Alec Mathena
16,Jennifer Dai
34,James (Drew) Barkley
37,Tony Donato
44,Chelsea Ardle
81,Ellie Holmgren
85,Chase Rawlins
b,r,e,a,k
POW!,11
teamInfo,,"East Lansing, Michigan",,,
0,Aiden Rudy
0,Alexander Krantz
0,David Zoldan
0,Matthew Martell
0,Megan Savoy
0,Megan Isherwood
0,Michael Parnas
0,Jessica Uganski
0,Ryan Radawiec
2,Maketa Mattimore
4,Connor Lang
7,Audrey Jesue
10,Brian Hough
12,Andrew Duquette
17,Jim Stratton
18,Sydney Miller
18,Neil Proefrock
19,Aiva Zoldan
22,Sara Millies-Lucke 
27,Jake Pruitt
28,Benjamin Clark
36,Phil Ewing
51,Sophia Whelpley
77,Garrison Gracey
92,David Mohan
b,r,e,a,k
Liquid Hustle,14
teamInfo,,"Indianapolis, Indiana",http://www.liquidhustle.com,https://www.facebook.com/LiquidHustle?ref_type=bookmark,https://twitter.com/LiquidHustle
0,Andrew Hall
0,Colby Parker
0,Daniela Escalante
0,Elissa  Hall
0,Eric Hannan
0,Kelsie Sparks
0,Kristen Stultz
0,Mason Schulman
0,Rechelle Frash
0,Richard Ware
0,Sarah Haynie
0,Tess McGrew
0,Jesse Jenkins
3,Jeffery  Schubert
