Southwest D-III College Men's CC,College - Men ,14,11,2021
Claremont,CA,2021-11-14,2021-11-14
https://play.usaultimate.org/events/Southwest-D-III-College-Mens-CC-2021/schedule/Men/CollegeMen/
Claremont,2
teamInfo,Braineaters,"Claremont , California",http://www.claremontultimate.org/,,https://twitter.com/BrainsUltimate
0,Cianan Gamble
0,Clay Rasmussen
0,Griffin Campion
0,Josh  Lillie 
0,Max Hui
0,Nicholas Lin
0,Rory Beals
0,Sloan Senofsky
0,Walter Bargeron
1,Gunnar  Mikko
2,Samin Zachariah
3,Lukas Karapin-Springorum
3,Jack Weber
4,Ezra Marcus-Tyler
5,Khaya Kingston
6,Cooper Nissenbaum
7,Ngaya Swai
9,August Cosinuke
9,Calder Altman
10,Siddharth Chandra
12,Will Howard
17,Logan Stouse
18,Gabriel Gluskin-Braun
20,Arya Goutam
23,Kip Macsai-Goren
34,Tristan Johnson
55,David DAttile
69,Michael Lu
87,Ta'ir (Ty) Rocker 
91,Simon Gilbert
95,Leo Kitchell
97,Andrew Baxter
b,r,e,a,k
Occidental,1
teamInfo,Detox,"Los Angeles, California",,https://www.facebook.com/detoxultimate/,
coaches,Nathan Warden
0,Aidan Trinity
0,Ari Wigder
0,August Draper
0,Evan Legrand
0,Gabe Schreiber
0,Ian Kenaston
0,Liam Schedler
0,Malcolm Holman
0,Max Craypo
0,Oliver Jackson
0,Samuel Monius
0,Teagan Jarvis
0,Theodore McGowan
6,Diogo Villas-Boas
10,Sam Hajduk
11,Cole Lewis
12,Benjamin Ventresca
12,Luca Van der Meer
31,Christopher Kuran
55,Samuel Maury-Holmes
73,Max Brown
99,Austin Bitterman
b,r,e,a,k
Caltech,3
teamInfo,Aftermath,"Pasadena, California",,,
00,Agnim Agarwal
00,Bruno Freeman
00,Chase Blanchette
00,Diego Chavez
00,Gabriel Fabre
00,Sahil Azad
00,Tyler Colenbrander
00,Zitian Ye
05,Lorenzo Shaikewitz
12,Maxwell Vale
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Caltech,Claremont,4,15,"11/14/2021, 09:00",Pool A,Final
Occidental,Claremont,6,11,"11/14/2021, 11:00",Pool A,Final
Occidental,Caltech,15,4,"11/14/2021, 13:00",Pool A,Final
b,r,e,a,k
