So Cal Mixed Club Sectional Championship 2021,Club - Mixed ,18,9,2021
Norco,CA,2021-09-18,2021-09-19
https://play.usaultimate.org/events/So-Cal-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Lawless,1
teamInfo,,"Phoenix, Arizona",,,
coaches,Harrison Schwarzer,Mark Borger
0,Andrew Kohl
0,Caden Sigerud
0,Carl Morgenstern
0,John Patinella
0,Joshua Kohl
0,Mark Mendelevitz
0,Merideth Byl
0,Nathan Bridges
0,Ryan Lacy
0,Ryan Irvin
0,Seam Ham
7,Cynthia Thomas
8,Helen Eifert
8,Shelby Petty
00,Megan Maxfield
00,Jordan Harn
05,Dakota Lippincott
11,Melissa Dunn
12,Christopher Bernard
18,Jamie Eriksson
19,Zac Petty
22,Lindsey Doyle
24,Benjamin Lacy
29,Marshall Crawford
49,Jake Hadziev
51,Kay Powell
b,r,e,a,k
Robot,7
teamInfo,,"Santa Barbara, California",,,
0,Andrew Lorentson
0,Andrew Kirchhoff
0,Emre Boz
0,Hannah Stepanek
0,Holly Ragan
0,Joy Kang
0,Kalin Hanson
0,Leilani Borrego
0,Sarah Conn
0,Steven Moliterno
0,Tom Drtina
11,Connor Cusi-Asquith
12,Trung Pham
12,Risa Lewis
19,Ann Lee
27,Kelsey McClung
42,Ben Durfee
52,Erick Lankey
99,Joel Conn
b,r,e,a,k
Altitude,16
teamInfo,,"Flagstaff, Arizona",,,
0,Nate Mann
0,Rachel Kanyur
0,Theodore Bahr
0,Lela Beer
5,Kylie McGinnis
6,Kathryn Braley
07,Victoria Lopez
10,Kristen Viscarra
15,Kate Martin
17,Will  Hopkins
17,Megan Ruby
19,Alejandro Marquez
19,Alexandra McGraw
23,Caleb Leaser
24,Issac Granados
33,Harry Bell
42,Maxwell Sewell
58,Kathryn Ryerse
65,Emily Nestel
74,Jesse Bitsie
b,r,e,a,k
Freeway,10
teamInfo,,"Inland Empire, California",,,
00,Andrew Brown
00,Brad Alldredge
00,Brendan Marshall
00,Caleb Cacho
00,Catherine Heggie
00,Chloe Levine
00,Melanie Harvey
00,Melissa Steller
00,Ricardo Flores
