East Coast Women's Club Sectional Championship 2021,Club - Women ,11,9,2021
Chattanooga,TN,2021-09-11,2021-09-11
https://play.usaultimate.org/events/East-Coast-Womens-Club-Sectional-Championship-2021/schedule/Women/Club-Women/
Ozone,1
teamInfo,,"Atlanta, Georgia",http://ozoneultimate.com/,https://www.facebook.com/OzoneUltimate,https://twitter.com/ozoneultimate/
coaches,Martin Aguilera
0,Anh Spinks
0,Ava Hess
0,Charlotte Purcell
0,Claire Haskell
0,Courtney Testa
0,Emily Yeend
0,Katherine Smith
0,Leah Tsinajinnie
0,Leah Gilbert-Odem
0,Madison Bolt
0,Mazie Switzer
0,Meredith Leahy
0,Michelle Yang
0,Mira Walker
0,Samantha Daugherty
0,Sophie Kay
4,Alyssa D'Costa
5,Leah Barlow
9,Soju Hokari
02,Claire Bidigare-Curtis
03,Paige Carver
10,Grace Roth
19,Stephanie Forbert
25,Sydney Taylor-Klaus
36,SophieMarie Morgan
47,Stacie Coleman
b,r,e,a,k
KnoxFusion,2
teamInfo,,"Knoxville, Tennessee",,,
01,Ellie Stanfield
03,Emily Bennett
04,Ashley West
11,Macy Hudson
15,Adriana  Ocegeura
17,Randi Lesler
21,Elizabeth  Bertelsen
22,Rebecca Hunter
24,Emma Lakatosh
26,Bethany Bailey
48,Nettie Stanfield
b,r,e,a,k
Huntsville Laika,3
teamInfo,,"Huntsville, Alabama",,https://www.facebook.com/hsvLaika/?ref=bookmarks,@hsv_Laika
0,Amanda Moss
0,Angela Harris
0,Ava Kazemi
0,Grace Liverett
0,Grace Blevins
0,Kendra Storz
0,Madison Oakman
0,Nesya Green
0,Reilly Cuccinelli
0,Lydia Lay
18,Allyson Smith
19,Sara Broach
22,Desiree Garcia
23,Madeleine Davie
37,Laura  Dunaway
42,Sarah Grace Smith
72,Liz Craig
b,r,e,a,k
s,t,a,g,e,s
pools,Sectionals Round Robin
pool,Pool A
KnoxFusion,Ozone,7,12,"09/11/2021, 10:30",Pool A,Final
Huntsville Laika,Ozone,3,13,"09/11/2021, 12:15",Pool A,Final
Huntsville Laika,KnoxFusion,6,13,"09/11/2021, 14:00",Pool A,Final
b,r,e,a,k
