Nor Cal Mixed Club Sectional Championship 2021,Club - Mixed ,18,9,2021
Tracy,CA,2021-09-18,2021-09-19
https://play.usaultimate.org/events/Nor-Cal-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Mischief,1
0,Alexi Zalk
0,Anna MacNaughton
0,Beth Daviess
0,Brett Petersen
0,Claire Toth
0,Cody Kirkland
0,Connie Chan
0,Cory Fauver
0,Devin Drewry
0,Gina Schumacher
0,Jordan Jeffery
0,Julia Ting
0,Julia Kwasnick
0,Kyle Johnson
0,Lily Steponaitis
0,Mac Taylor
0,Max de Visser
0,Piers MacNaughton
0,Robin Meyers
0,Vicki Chen
5,Matthew Crawford
14,Sean Childers
18,Nicholas Alexander
25,Han Chen
32,Vivian Chu
96,Patricia Anderson
b,r,e,a,k
DR,13
0,Cecilia Bao
0,Erica Pool
0,Iris Chow
0,Jacob Maynard
0,Jonathan Marr
0,Jules Fogarty
0,Kelly Billings
0,Nic Domek
0,Victoria Kaasa
1,Halleh Balch
2,Forrest Dodds
2,Marianne Olson
2,Katelyn Barrett
7,Samuel Miles
8,Joseph Gorelik
16,Danielle Ngo
18,Michael Suey
24,David Whiteneck
24,Joey Durkin
25,Jennifer Ames
44,Jacob Buckley
80,Scott Beamer
98,Kiana Hu
b,r,e,a,k
Davis Heatwave,12
0,Alexander Scott
0,Allyn Suzuki
0,Anders Eckburg
0,Benjamin Elliott
0,Benjamin Souvey
0,Chloe Diamond
0,Julianna Madigan
0,Payton  Walsh
0,Rani Shah
0,Wyatt Todd
01,Aidan McKelvey
07,Keenan McKelvey
11,Jenna Rickey
22,Jefferson Laird
23,Margo Donahue
36,Everett Quock
37,Logan Dolim
63,Alec Olslund
79,Austin Joseph
86,Daniel Speer
b,r,e,a,k
Polar Bears,2
0,Shane Earley
02,Molly Munson
03,Amanda Meroux
04,Gabriel Edwards
05,Aaron Shi
06,Qingyun Lu
07,Charles Cao
08,James Pollard
10,Steven Chang
11,Carolyn Drewry
12,Ziyue Chen
13,Robert Yeagle
14,Keaton Viadro
16,Vincenzo Vitiello
17,Margot Stert
19,Jason Shnipes
22,Andrew Ouyang
23,Ryan Messersmith
24,Allyson Tsuji
25,Jonah Malenfant
33,Molly Hallweaver
36,Sara Nolan
37,Paige Applegate
42,Matt Jaffe
52,Samantha Applegate
73,Kristen Pojunis
b,r,e,a,k
Mango,11
0,Jake Rifkin
0,Matthew Kissmann
0,Michael Dirda
0,Michelle Chen
2,Jack Lyon
3,Brieana Polk-Perez
7,Emily Paris
10,Sarah Tenpas
11,Tom Nudell
12,James (Jim)  Boley
15,Robert Barron
16,Thomas Konogeris
16,Katelyn Mann
17,Noelle Nelson
19,Rebecca Plotnick
23,Lauren Byrne
24,Jamie Lam
25,Kathryn Stoltz
27,Audrey Love
29,Eric Shaw
30,Nick Goelz
42,Taylor Love
44,Alexander Lloyd-Evans
66,Stephen Cockerill
87,Charlie Capron
99,Amanda Karakoudas
b,r,e,a,k
Megalodon,14
1,Laura Morell
6,Daniel Keating
7,Jack Kwon
9,Rahul Sridharan
00,Christopher Roberts
10,Vishnukarthik Lakshmanan
11,Robert Percival
12,Maya Gilliss-Chapman
13,Glen Dickey
14,Justin Cheng
17,Arundhati Suresh
18,Chelsea Verhasselt
20,Sarah Wright
21,Celia Tsao
23,Semona Igama
27,Maozhi Liu
38,Conor McNamara
51,Jamie Kalb
55,Thomas McCrone
67,Joe Lin
88,Brian Williammee
99,Xinzhi Zou
b,r,e,a,k
Donuts,3
02,Scott Miller
06,Christina Casler
07,Jonathan Goldsmith
08,Adam Koren
10,Annie Chen
12,Visakha Hoang
13,Trevor Hawks
15,Marissa Lerner
16,Thomas Murray
18,Joseph Gagliano
20,Jennifer Thomas
22,Karin  Lin
23,Caylin Gentile
27,Rachel Anderson
28,Judith Wang
34,Christina Stellwagen
37,Daniel Zakaria
48,Christopher Lung
53,Matthew Ferrari
55,Kwai Philpott
58,Jaclyn Wataoka
64,Marcello Molinaro
68,Juleon Robinson
77,Alec Surmani
94,Sarafina Angstadt-Leto
97,Jeremie Gabor
b,r,e,a,k
VU,10
0,Chris Yan
0,Ella Dzenitis
0,Spencer Herrick
2,Ginger Wong
6,Patrick Huston
8,Aseem Kishore
9,Nick Molzahn
03,Aldyn Markle
10,Maria Dumanis
11,Stephanie Rogers
15,Sophie Nadler
16,Sasha Baumann
17,Matthew Burkert
20,Satoru Ishii
21,Amy Sullivan
22,Tristan You
24,Gabor Boross
30,Angelica Arellano
31,Sofia Lavrentyeva
32,Guadalupe Arbelaez Uribe
33,Eric Lauterbach
44,Abigail Henderson
45,Orsolya Hrubo
64,Charles Boyd
88,James Gallerani Jr
b,r,e,a,k
AC Bandits,15
0,Colin Tardrew
0,Jon Stewart
0,Kara Ramos
0,Katelyn Sweeney
0,Konrad Chan
0,Melanie Hock
0,Owen Chang
0,Samantha Tseng
0,Shantanu Jain
0,Sicong Li
5,Caleb Tseng
9,Tiffany Bucher
23,"Emilie ""Shep"" Shepherd"
30,Aaron Gemmell
42,David Towey
82,Malcolm Deck
83,John Moore
b,r,e,a,k
Cutthroat,4
0,Aaron Nunn
0,Becca Reighard
0,Daniel Wang
0,Devin Mitchell
0,Eliza McCall
0,Justine Habibian
0,Monica Davis
0,Natalie Harmor
0,Rebecca Mills
0,Rodney Wolfgang
0,Sage Kruleski
2,R. Miguel Gonzales
3,Logan Greenwood
4,Pete Marshall
9,Thomas Fiock
10,Ryley Hill
12,Ryan Takayama
12,Daniel Ortiz
13,Brent Moore
21,Kathleen Mills
24,Krista Takayama
27,Morgan Greenwood
27,Evan Kerr
44,Giovanni Danforth
94,Ryan Schoenfeld
b,r,e,a,k
LIT Ultimate,9
0,Sam Kunz
01,Brian Bedord
02,Sophey Dong
03,Adele Zawada
04,Emily Loo
05,Kosuke Hasegawa
06,Geoffrey Iyer
07,Angela Louh
10,Nick James
11,Jade Bedley
12,Rebecca Culver
15,Joseph Barker
20,J Ishida
21,Nicole Love
23,Julia Raney
24,Christopher Hocutt
25,Sophie Chen
32,Myron Loke
34,Justin Chang
41,Yvonne Cheng
43,Chloe Li
47,Adam Koehler
59,Benjamin Sokolowsky
77,Sheneth Bell
78,Mauricio Bell'Albero
86,Jordan Seaberg
b,r,e,a,k
Honey Buckets,16
00,Daniel Bauman
00,Sarah Lee
01,Vienna Lee
02,Chuc Luu
03,Jasmine Der
04,Katherine Jordak
05,David Dumas
07,Maddy Fisher
08,Michael Peng
09,Devin Hom
10,Athena Lynch
12,Ethan Nikcevich
13,Robin Anthony-Petersen
16,Thalia Ward
21,Shankar Ramaswamy
24,Brendan Champlin
27,Aaron Hom
28,Adeleen Khem
30,Xaul  Starr
31,Lauren Yamasaki-Liske
33,Ashton Paulus
43,Elliot Shin
47,Tanya Bearson
49,Anna Reed
60,Francesca Clarke
88,Jasper Leto Niemetz
b,r,e,a,k
BW Ultimate,5
0,Gary Dixon
0,William Chang
01,Jacqueline Lee
03,Matthew Yee
06,Xia Liu
07,Michelle Slaughter
09,Melissa Slaughter
10,Cullen Coyne
12,Jeff Roeder
14,Hidemasa Kato
15,John Dugan
16,Max Herrmannsfeldt
17,Monica Hsiue
18,Sayako Uchida
23,Lauren Carden
24,Alireza Mirafzal
25,Bernadette Hsu
26,Christopher Leung
30,Rachel Roberts
35,Lucas Young
36,Pin-Wen Wang
43,Bettina Chen
73,Sarah Pihl
85,Benjamin Petroski
88,Jordan Gatti
b,r,e,a,k
Buckwild,8
0,Logan Hanagan
02,Raymond Hutten-Czapski
03,Kristina Geddert
04,Angela Haas
05,Nick Shepard
07,Kief Zangaro
08,Annie Mills
09,Jonathan Martindill
10,Sonny Zaccaro
12,Rachel Widner
13,Lucy Campbell
14,Daniela Jimenez
15,Jonathan Yeoh
19,Valorie Smart
21,Kevin Cocks
29,Zack Thompson
30,Amanda Hesterman
32,Connor Levesque
33,Adam Schobinger
42,Michael Corley
45,Larissa Wohl
64,Quinn Fujii
84,Morgan Morris
88,Paul Ramstad
89,Tiana Rangchi
95,Brandon Widner
b,r,e,a,k
Ravin’,17
0,Anthony Moreno
0,Emily Hunter
0,Leo Kepcke
0,Matt Kowalski
0,Raymond Dahlstrom
0,Robert Goode
1,Derrick Hirsch
7,Connor Cavassa
7,Melissa Collin
8,Kathleen Johnston
9,Elliot Davis
00,Derek Innes
01,Gina Contolini
11,Carley Blayney
13,Kenny Kurbat
14,Nat Israel
15,Hope Swank
16,Amy Nelson
19,Van Duong
34,Isaac Bortman
42,Jillian Snowhook
53,Jerry Swider
68,Galen Trexler
69,Emily Mandaville
69,James Anderson
79,Dan Hapgood
b,r,e,a,k
Classy,6
1,Matthew Zelin
2,Ashwin Anantharaman
6,Claudia Vasquez
7,Joseph Ricks
8,Justin Hinman
9,James Sheridan
10,Andrew Koerner
11,Zachary Bruno
14,Arianna Aldebot
15,Zhimin Xie
16,Sarah Kaufman
17,Sheila Robles
18,Cappy Pitts
19,Crystal Alton
20,Melissa Hassler
21,Anne Hemmelgarn
23,David Shipway
24,Camila Flowerman
30,Jeremy Kharrazi
31,Tim Records
32,Christy Cheung
43,Philip Chang
55,Tyler Condit
75,Riley O'Neill
82,Joel Anton
98,Janelle Lee
b,r,e,a,k
American Barbecue,7
0,Abigail Schuster
0,Abigail Lew
0,Alex Pien
0,Ashwin Vaidyanathan
0,Brandon Kwock
0,Cidney Weng
0,Elise Bruguera
0,Elizabeth Clark
0,Gabriel Miranda
0,Isabel Clayter
0,Jacqueline Martinez
0,Karen Reyes
0,Liam Kreiss
0,Mathilda Farrell
0,Molica Anderson
0,Nicholas Weiss
0,Noel Arsenault
0,Samuel Sohn
0,Solan Israel-Megerssa
0,Sydney Horanic
5,Elliot Goodrich
7,Andrea Brown
8,Chenxi Sun
11,Glenn Wysen
15,Audrey  Sheehy
16,Jason Seidler
b,r,e,a,k
Wolfpack,18
0,Adam Wulkan
0,Alexandra Taipale
0,Amanda Chan
0,Cathleen Hartge
0,Daniel Brome
0,Jordyn Dezago
0,Josh Wulkan
0,Kayla Hickey
0,Kripabindu Jason (KB) Barilla
0,Kristen LeFevre
0,Marcus Lee
0,Robert Briant
0,Selim Jones
0,Spencer Massey
0,Tucker Donahue
0,Goodness Nwakudu
0,Grant Farrington
0,Harris Masket
0,Delilah Masket
8,David Klunder
20,Eric Hartge
27,Jason Angell
42,Colin Smith
42,Brett Mitchell
80,Ally Mitchell
89,Geng (Ted) Li
b,r,e,a,k
s,t,a,g,e,s
pools,Stage 1 Pool
pool,Pool A
Mischief,DR,13,1,"09/18/2021, 08:30",Pool A,Final
Davis Heatwave,DR,6,8,"09/18/2021, 10:10",Pool A,Final
Mischief,Davis Heatwave,12,6,"09/18/2021, 11:50",Pool A,Final
pool,Pool B
