North Central Club Mixed Regional Championship 2021,Club - Mixed ,26,9,2021
Blaine,MN,2021-09-25,2021-09-26
https://play.usaultimate.org/events/North-Central-Club-Mixed-Regional-Championship-2021/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
0,Bret Bergmeier
02,Brett Sullivan
03,Patrick Niles
05,Ellie Sjordal 
06,Logan Weiss
07,Danielle Byers
08,Matt Zumbrum
11,Michelle McGhee
12,Marty Adams
13,Jacob Lien
14,Megan Pera
18,Sam Berglund
19,Tavis Leighton
20,Neal Hanke
21,Sarah Mondschein
22,Kathryn Ritzmann
30,Jane Koch
33,Jaime Glader
43,Bryan Vohnoutka
44,Sarah Meckstroth
47,Nariah-Belle Sims
49,Caleb Denecour
55,Charlie Schuweiler
72,Meg Lake
88,Billy Armstrong
91,Sadie Reding
b,r,e,a,k
NOISE,2
0,Ben Parrell
0,Brittney Kokinos
0,Donna Johnston
0,Emily Cohen
0,Ethan Parrish
0,Francis Kelley
0,Kevin Cannaday
0,Matthew Grinde
2,Tyler Williams
2,Clea Poklemba
2,Ashley Welsh
4,Robyn Fennig
7,Vanessa Cannaday
10,Tom Annen
10,Caitlin Murphy
11,Kimberly Reynolds
16,Margaret Walker
22,Rami Paust
32,Daniel Garlock
33,Katy Stanton
40,Amelia Cuarenta
42,James Sykora
55,Kelsen Alexander
77,Jack Kelly
95,Glenn Poole
99,Dylan DeClerck
b,r,e,a,k
Kansas City United,4
0,Brett Hidaka
0,Brock Hicks
0,Caitlin Lisk
0,Caleb Cauthon
0,Christian Simpson
0,Christina Baker
0,Clare Frantz
0,Janani Ragothaman
0,Jeffrey Rehm
0,Jordan Eissner
0,Nadine Rowen
0,Peter (PJ) Matulka
0,Sowmya Ragothaman
2,Zach Hunter
4,Joe Young
5,Courtney Walbe
5,Taylor Cauthon
8,Stephanie Rupp
11,Thomas Schreiber
17,Joe Wheelock
19,Jenna Galletta
24,Patrick Abeli
33,Ryan Tuschhoff
34,Sam Habel
69,Jia Yue Sum
77,Tim Robbins
b,r,e,a,k
The Chad Larson Experience,3
0,Adam Levine
0,Annee Rempel
0,Ashley Schlapper-Sevcik
0,Cathryn Klusmeier
0,Charlie Hubbard
0,Cody Rohlf
0,Jillian Olson
0,Joel Morton
0,Kiley Huber
0,Linda Morton
0,Lisa Hansen
0,Colin Lord
0,Ethan Levine
0,Presley Philipp
2,Logan Grothus
5,Sarah Stoker
9,Brad McKeen
18,Haley Johnson
19,Ben Joerger
20,Rebecca Crown
22,Nick Culver
24,Danny Kurz
25,Cody Sevcik
30,Tanner Boyle
33,Peter Miller
44,Chuan Jie Loy
b,r,e,a,k
Impact,8
0,Anna Christensen
0,Emily Buford
0,Noelle Wickham
