Mid-Atlantic Men's Club Regional Championship 2021,Club - Men ,25,9,2021
Frederica,DE,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Mid-Atlantic-Mens-Club-Regional-Championship-2021/schedule/Men/Club-Men/
Truck Stop,1
0,Charles Stimpson
0,Colum Bergeron
0,Dennis Maclaine
0,Dylan Hitt
0,Eric Wright
0,James Friscia
0,Matthew Radle
0,Mike Vignali
0,Nicholas Gigliotti
0,Tommaso Piccorossi
1,Gunnar Biebighauser
4,Jack Corcoran
12,Kyle Flynn
12,Sam Bean
13,Nicholas Albright
16,Christopher Selwood
17,Christopher Lopez
21,Rhys Bergeron
28,Joe Novak
41,Austin Workman
66,Joseph Evans
72,Michael Gostomski
78,Maxwell Cannon
b,r,e,a,k
Phoenix F.C.,5
teamInfo,,"Philadelphia, Pennsylvania",,,
00,Allan Michel
00,Andre Martinez
00,Andrew Seibert
00,Austin Lillis
00,Brandon Pastor
00,Casey Thornton
00,David Hampson
00,Derek Bigley
00,Dustin Damiano
00,Eric Witmer
00,Gavin Abrahamsson
00,Harry Chace
00,Himalaya Mehta
00,Isaiah Casiano
00,James Pollard
00,James  O'Connell
00,Jeff George
00,Joel Gatchell
00,Marc Sands
00,Michael Arcata
00,Mike Alexander
00,Morey Averill
00,Nicholas DiGiorgio
00,Nolan Boyle
00,Sam Grossberg
00,Sean Mott
b,r,e,a,k
Rumspringa,6
teamInfo,,"Virginville, Pennsylvania",,,
0,Dustin Sullivan
0,Greg Strouse
0,Greg Esser
0,Jake Rainwater
0,Jared Seyler
0,Kyle Wolf
0,Matt Esser
0,Breton Dietrich
0,Brett Sawyer
0,Andrew Landes
0,Owen Thomas
0,Richie McClatchy
0,Samuel Esser
0,Vincent Reydams
0,Zach Thurston
5,Nathan Ebling
6,Will Hoehne
13,Thomas Allen
16,Daniel O'Connor
18,Michael Reeves
24,Sean Johnston
35,Ryan Forster
48,Benjamin Broser
72,Michael Martin
74,David Kelly
b,r,e,a,k
Pittsburgh Temper,2
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,Lauren Boyle
