Western NY D-I College Women's CC,College - Women ,16,10,2021
Youngstown,NY,2021-10-16,2021-10-17
https://play.usaultimate.org/events/Western-NY-D-I-College-Womens-CC-2021/schedule/Women/CollegeWomen/
SUNY-Binghamton,3
teamInfo,Big Bear ,"Binghamton , New York",https://bigbearultimate.wordpress.com/,https://www.facebook.com/binghamtonultimate/,
0,Alexandra Barkan
0,Amanda Szutu
0,Christina Coulton
0,Eliza Klos
0,Hoyeon Yoo
0,Leah Rosenheim
0,Sarah Landman
4,Melissa Longo
5,Melissa Torchio
8,Piper Van Kerkhove
10,Danielle Dattler
11,Sari Mamiye
14,Samantha Gonzalez
18,Arianna Edwards
19,Faith Summers
22,Alyssa Pelkey
24,Jolie Krebs
25,Ancilla Marie Inocencio
26,Michole Vergeire
33,Anna Purtell
34,Ava Champitto
47,Sarah Bases
b,r,e,a,k
Cornell,1
teamInfo,Wild Roses,"Ithaca, New York",,,
0,Alice Roberts
0,Arushi Nety
0,Crystal Zhu
0,Eve Lesburg
0,Grace McCartney
0,Mary Isabel Mejia-Roberts
0,Rebecca Kalik
4,Kat Liang
5,Rachel Zhang
6,Amy Stephens
7,Annie Wu
8,Emily Lyndaker
11,Daria Pachucka
12,Claudia Buchard
12,Helen Lim
13,Anna Goodman
14,Hannah Davis
17,Celia Doherty
18,Rachel Hidek
18,Sheldon Ennis
21,Lydia Reiner
24,Angela Voo
55,Abigail  Parker-Blier
97,Adele Kong
b,r,e,a,k
Syracuse,2
teamInfo,Fox Force Seven,"Syracuse , New York",,https://www.facebook.com/FoxForceSeven,https://twitter.com/FoxForceSeven
0,Katie Wells
2,Rory Livingston
5,Rose Skylstad
7,Neeya Rostampour
04,Mira Sherif
08,Jaryn Lafond
12,Elizabeth Knapp
13,Lacey Robinson
15,Meris Rosenberg
16,Caroline Noone
20,Jodi Casey
22,Carlyn O’Leary
47,Daria Latvis
50,Tayara Romero
69,Anne Hanes
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Syracuse,SUNY-Binghamton,2,15,"10/16/2021, 09:00",Pool A,Final
Cornell,SUNY-Binghamton,2,11,"10/16/2021, 11:00",Pool A,Final
Cornell,Syracuse,8,5,"10/16/2021, 13:00",Pool A,Final
b,r,e,a,k
