Cooler Classic 32 (Redux),Club - Men ,14,8,2021
https://play.usaultimate.org/events/Cooler-Classic-32-Redux/schedule/Men/Club-Men/
Mad Men,1
0,Branavan Yogarajah
0,Colin Sunde
0,David Nester
0,Joseph Nelson
0,Liam McDonald
0,Sef van Kan
2,Austin Johnson
3,Jackson McCausland
3,Jake Carrico
8,Ryan Sokup
10,Will Casperson
12,Sam Hebert
13,Shane Otis 
15,Sam Stark
16,Matt Tucker
17,Sean Treacy
19,Simon Brooks
19,Andrew Everts
41,Jacob Schlaefer
71,Dylan Power
99,Zane Stein
b,r,e,a,k
DeMo,6
0,Andrew McCartan
0,Brett DeHoogh
0,Camden Boyde
0,Eric Olsen
0,Justin  Hua
0,Niko Beauchamp
4,Benton Habel
5,Matt Stoker
8,Chandler Good
9,Scott Wilson
10,Robert Mitchell McCarthy
11,Jacob Badger
11,Ben Ransom
11,Matt Adams
13,Neal Patel
13,Evan Ford
17,Timothy Swanson
20,Huynh Vo
21,Noah Werling
23,Hunter May
41,Brian Goode
42,Carter Genrick
69,Jacob Thomae
71,Dayton Wright
73,Jordan Wright
b,r,e,a,k
Knights of Ni,2
0,Esau Gotlieb
0,Ashton Robinson
0,Daniel Snyder
0,Matthew Racky
0,Max Seffren
0,Wyatt Mekler
2,Brian Wilson
4,Jason Finkelstein
4,Andrew Lawrence
5,Daniel Schultz
6,Corey Clifford
8,Tate Halberg
9,Joe Simonelli
10,Nick  Snyder
11,Justin Wollin
24,Brendan Gessner
30,Nick Budnik
32,Kenneth Xuan
41,Samuel Bumsted
47,Matthew Rodway
48,Andrew Dornbush
69,Danny Gollin
84,Jake Kretschmer
b,r,e,a,k
Chimney,9
0,Dmitriy Estrin
01,Daniel Estrin
03,Noah Bena
04,Malachi Marshall
06,Jacob Warmath
07,Gabriel Doringo
13,Benjamin March
16,Sean Lavelle
17,Osvaldo Velez-Martinez
21,Ben Alexander
23,Ken Haid
24,Pete Digre
27,Christian Narvios
41,Joseph Molina
42,Anthony Ricci
44,Josh Shamburger
55,Nicholas Waugh
61,Derek Lin
69,Adam Cox
77,Will Oltjen 
80,Kunwoo Shin
b,r,e,a,k
Haymaker,3
0,Joseph Sifakis
1,Willem Longendyke
5,Dale Decatur
6,Vedant Sachdeva
7,Brian Murphy
8,Joshuah Kapilivsky
11,Christopher Asta
12,WillIam Altschul
13,Milan Rivas
21,Patrick Kelly
24,Andrew Fischer
25,Hayden Mans
28,Tanner Graham
32,Mac Schmidt
44,Robert Dreier
55,Max Trotter
56,DeAngelo Barragan
66,Justin Bossenbroek
71,Wesley Green
82,Stewart Zondlak
84,Matthias Ling
b,r,e,a,k
Cryptic,5
0,Tyler Barrett
02,Daniel Neese
03,Tony Murphy
05,Dillon Crowell
07,Nathan Bielecki
08,Jacob Knobloch
09,Anthony Newberry
10,Jacob Jahnke
11,Cade Zschiesche
12,David Lopez
14,Cole Davis
17,Reno Brinn
18,Jonathan Beavers
19,Michael (Max) Vinyon
21,Ben Masterson
24,Dominick Peluso
26,Zach Ohnesorge
29,Luke Gnatkowski
31,Jacob Arnold
33,Ian Taylor
62,Blake Krapfl
64,Gabriel Weigel
81,Andrew Martin
84,Kegan Wakefield
88,Adam Wong
b,r,e,a,k
Scythe,8
0,Aaron Bowles
0,Michael Schwaderer
0,Nick Sedore
2,David Zheng
3,Sean Rock
4,Daniel Forsyth
8,Austin Heckel
11,Tristan Kelly
14,Daniel Sullivan
17,Nich Rush
19,Stewart Buckley
22,Travis Pratt
23,Nick Havill
24,Thomas Sitorius
42,Chas Busch
44,Timothy Hoarty
50,Dom Lincoln
55,Derek Vallis
66,William Schmitt
99,Grant Dunbar
b,r,e,a,k
Kansas City Smokestack,10
0,Everett Arruda
01,Stephen Karst
02,John Badgley
04,Kieu Duong
06,John Aucar
07,Darien Parr
08,Conner Chambers
09,Joseph Davis
10,Matthew Piontek
11,Robert Castaneda
12,Mark Yonker
13,Creighton Miller
15,Mark Stedem
17,Michael Montesano
18,Daniel Tixier
19,Branden Schneider
24,Cameron Hunter
25,Anthony Chartier
26,Luke Grieger
27,Kyle Thompson
29,Spencer Roberts
