2021 USA Ultimate Masters Championships,Grand Masters - Men ,16,7,2021
Aurora,CO,2021-07-16,2021-07-18
https://play.usaultimate.org/events/2021-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Surly GM,1
teamInfo,,"Minneapolis, Minnesota",,,
01,Robert Johnson
02,Brent Allen
03,Matt Wilken
04,Ryan Oesterreich
05,Todd Owens
07,Nate Bosscher
08,Dave Kuettner
09,Andrew Dikeman
11,John Klaus
12,Randy Gage
14,Sam O'Brien
16,John Sandahl
17,Matthew (Bronx) Brent
18,Donovan Wiebe
19,Ron Kubalanza
25,Trey (George) Katzenbach
28,Tim Jacobson
29,Nate Thibedeau
39,Reed Bailey
44,Jadon Scullion
61,John Reynolds
66,Scott Alsleben
71,Paul Ryan
75,Nick Turco
76,Aaron Hushagen
81,Kevin Ryan
85,Kevin Vollmers
89,Jonathan Dono
b,r,e,a,k
Bighorn,7
teamInfo,,"Boulder, Colorado",,,https://twitter.com/bighornultimate
00,Charles Stone
00,Gerald Chen
00,Jason Howard
00,Jonathan Rothman
00,Jordan Irvin
00,Joshua Wadsworth
00,Nick Voakes
00,Steve Limburg
01,Christopher Gutmann
05,Chris Tait
06,Tyson Nunemacher
07,Anshuman Boonapalli
09,Nathan Dauchy
10,Chad Underwood
11,Jake Frye
12,Jeffrey Kenney
14,Mike D'Onofrio
15,Jayson Ayers
18,Pete Clapp
23,Gabe Hamilton
25,Aaron Leavy
29,Jimmy Donnellon
31,Shane Skriletz
39,Gene Calo
42,Adam Verner
43,Yusuke Igarashi
75,Stanley Strunk
99,Bobby Lee
b,r,e,a,k
Sick Hammers,10
teamInfo,,"Austin/Houston, Texas",,,
01,Justin Childs
02,Jeremy Waters
03,Michael Porter
08,Reagan Mayces
10,Adam Tarr
12,Tim Allen
14,Venu Manne
16,Rocky Payne
18,Michael Buratti
20,Pedro Rivera
21,Joseph Alvarado
22,Josh McGee
23,Juan Novoa
26,Mike Welch
29,Chris Mihalyi
30,Shai Herman
33,John Giacalone
37,Jody Ayers
41,Matthew Macdonald
42,Joseph Knize
49,Stephen Vernon
73,Greg Lopp
74,Wayne Biever
75,Steve Pockross
78,Casey Spooner
99,Kevin Khristian Cosgriff Hernandez
b,r,e,a,k
Endless Sunset Blue,16
teamInfo,,"San Diego, California",http://www.dudeultimate.com/t/endless-sunset/,,
00,Daniel Klippert
02,Jesse Baird
20,Prince Morales
31,Jay Newman
33,Matthew Morris
35,Michael O'Brien
37,Chris Seawood
38,James Froeschner
39,Kristie Braselton
40,John Vorhaus
43,Andrew Grangaard
45,Frederick Klosterman
54,Alex Esqueda
55,Joseph Ramirez
56,Tyler Richins
57,Todd Trevillian
63,William Ford
73,Nathan Chowgule
75,Richard Kwun
80,Doug Hallack
87,Gary Paskewich
89,Brian Le
92,Ted Glenn
b,r,e,a,k
Johnny Walker,2
teamInfo,,"Denver, Colorado",,,
01,Eric Albright
03,Charlie Stavlo
04,Lenny Correll
05,Keith Borsheim
06,David Bacci
08,Van Le
09,James Beeby
10,Aaron Moredock
14,Kevin Broughton
15,Mitchell Schminke
16,Steven Rouisse
17,Ryan Pickens
18,Kevin Walsh
19,David Street
20,Brian Bogle
21,John Grzywinski
23,Jeff Berget
26,Joe Iannacone
28,Louis Abramowski
29,Bob Krier
30,Michael Kapoor
31,Christopher Spittal
33,Jamian Jacobs
37,Chris Gwinner
40,Chris Frost
47,Jeff Rodgers
77,Kelly Swiryn
b,r,e,a,k
Burnside 40,9
teamInfo,,"portland, Oregon",https://www.marxists.org/archive/marx/works/1867-c1/,,@burnsideulti
00,Alan Armstrong
00,Bill Freeman
00,Daniel Eisenberg
00,Hayden Harker
00,James Yang
00,James (Jim) Schoettler
00,Jeffrey Hsu
00,Jeremy Forrest
00,Jeremy Stevens
00,Jesse King
00,John Thornton
00,Justin Cole
00,Keith Bucher
00,Kyle Christoph
00,Mark Kilmer
00,Michael Freels
00,Michael Moren
00,Michael Whitaker
00,Mike Payne
00,Nate Semm
00,Nicholas Papaefthimiou
00,Noah Carolan
00,Ronald Dolen
00,Spencer Spetnagel
00,Steve Thoennes
00,Terry Cussen
00,Xi Xia
b,r,e,a,k
Chicago Archive,8
teamInfo,,"Chicago , Illinois",,,
02,Michael Gwinn
05,Martin Wasserman
06,Matt Watenpool
07,Benjamin Davis
08,Anand Parekh
09,Nathan Partenheimer
10,Brian Keefe
11,Andrew Delorenzo
12,Jeff Dritz
13,Joshua Kemmerling
17,Mark McCarthy
18,Kevin Reitz
21,Todd Grace
24,Jerry Parks
27,Joseph (Joey) Shapiro
31,Adam Zingsheim
32,Keith Allen
34,Joshua Cooper
35,Paul Avilez
44,John Conour
47,Dan Kang
71,Marc Furigay
73,Matthew Molter
77,Max Puchtel
79,Charles Cooper
88,Leo Wang
96,Daniel Baker
b,r,e,a,k
Creaky,15
