Northeast Club Men's Regional Championship 2021,Club - Men ,25,9,2021
Devens,MA,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Northeast-Club-Mens-Regional-Championship-2021/schedule/Men/Club-Men/
PoNY,1
0,Jeffrey Holm
1,Markian Kuzmowycz
2,Sean Keegan
5,Joshua Stevens-Stein
6,Michael Brenner
7,Clark Cofer
8,Harper Garvey
9,Samuel Little
10,Shashank Alladi
10,Grant Lindsley
13,Evan Padget
17,Benjamin Katz
18,Tyler Haskell
19,Isaac Saul
23,Jimmy Mickle
27,Jack Hatchett
31,Chris Kocher
34,John Randolph
43,Mark Lin
47,Conrad Schloer
60,William Dean
66,Jibran Mieser
69,Benjamin Jagt
82,Marques Brownlee
89,Esteban Zuluaga Gonzalez
97,Benjamin Spielman
b,r,e,a,k
Sprout,3
0,Ben Ayres
0,Ben Faust
0,Brent Anderson
0,Isaac Kaplan
0,Noel Sierra
3,Ben Goldman
3,Ben Sadok
5,Jeff Maskalunas
5,Raymond Tetreault
5,Wyatt Kellman
9,Dillon Monti
10,Rustin Ingold-Smith
12,Gabriel Franklin
14,Miles Montgomery-Butler
17,Reuben Philip
21,Jeff Graham
24,Cameron Wariner
26,William Thornton
27,Amos Adams
33,Russell Wallack
40,Holden Cookson
41,Oliver Fay
42,Liam Gallinagh
47,Ethan Smith
80,Anthony Coppola
80,Chris Bartoli
b,r,e,a,k
Iditarod,8
0,Alex Storrer
0,Alfred Maler
0,Allen Shen
0,Jeremy McDavid
0,Liam Henry
0,Mark Kharakh
0,Michael Busa
0,Owen Cordes
0,Peter Boerth
0,Timothy Bobrowski
1,Zach Wolfe
1,Noah Kurland
2,Jacob Kaplan
6,Andrew Pollis
14,Ben Field
23,Thomas Griffin
27,Simon Carapella
64,Benjamin Centracchio
81,Winston Ge
94,Daniel Krasnonosenkikh
b,r,e,a,k
Blueprint,6
0,Benjamin Toruño
0,Carter Wang
0,Daniel Thornton
0,Jeffrey Voss
0,Jesse Gan
0,John Kern
0,John (Jack) Flintermann
0,Jonathan Kwan
0,Max Cohen
0,Michael Sender
0,Owen Marschall
0,Rohith Rao
0,Ruozhou Ye
0,Samuel Ross
0,Samuel Pollack
0,Josh Imhoff
4,Jordan Richmond
10,Andrew Edelman
11,Patrick Stegemoeller
14,Ian McInerney
16,Jack McGovern
29,David Leibert
35,Gary Delia
55,Leo Jordan
69,Garrett Wibbelsman
89,Julian Quintero Rodriguez
b,r,e,a,k
2night,14
0,Andrew Lennon
0,Brandon DiGiulio
0,Jonathan Greenberg
0,Joshua Remington
0,Marc Gleason
0,Russell Brown
0,Zachary Guerrieo
7,Robert Thottam
10,Zachery Raso
15,Frank Noonan
15,Daniel Dimascio
18,Jeffrey Dao
20,Donnelly Roberts
23,Matthew Pacenka
69,Chris Higgins
96,Devin Kosowan
b,r,e,a,k
BAG,11
0,Aaron Epstein
0,Andrew  Polcari 
0,Benjamin Kass-Mullet
0,Conrad Walsh
0,Elias Benghiat
0,Ethan Cardi
0,Jerry  Wang
0,Matthew Shapiro
0,Matthew Bresler
0,Charles Caron
0,Cody Karjadi
0,Nilos Makino
0,Pierre Fabris
0,Samson Bienstock
0,Toshihiro Nagase
3,Colin Mclaughlin
4,Jacob Warshauer
6,Zach Singer
7,Brian Strothman
11,William Burke
38,Nikhil Bhatia-Lin
50,Roman Short
b,r,e,a,k
Lantern,9
0,Adam Logan
0,Andrew Fredrickson
0,Brendan Blaney
0,Griffin Smith
0,Jacob Saunders
0,John Repucci
0,Matt Rizzo
0,Matthew Silverman
0,Matthew LePere
0,Max Dyer
0,Michael Humbert
0,Stephen Panasuik
0,Topher Brown
1,Patrick Jerome
3,Derek Wiseman
8,Nathan Brown
12,Michael Carando
12,Daniel Benson
16,AJ Hutchins
25,Thomas Dougherty
29,Justin Palin
35,Russell Katz
37,Dylan Baroody
73,Eric Peters
77,Ryan Santos
b,r,e,a,k
Spring Break '93,16
00,Gregory Jositas
00,Jesse Shank
00,Jordan Greene
01,Avery Feingold
05,Michael Schriefer
11,Matt Seferian
13,Carlos Loaiza
14,Dominic D'Aurio
15,John Kuchachik
20,Jimmy Kearney
24,Dean Bhatt
25,Umang Gangwar
28,Jaquan Washington
30,Andong Li
31,Zachary Putney
39,Jesse Charpentier
43,Joshua Kish
64,Nicholas Saracco
77,Ryan Douty
78,Christian Cavanagh
81,Matthew Kearney
99,Joshua Friedman
b,r,e,a,k
Big Wrench,4
0,Alan Scarth
0,Andy Yu
0,Eli Standard
0,Gabriele Kautz
0,Gene Buonaccorsi
0,Jack Facey
0,Jacob Marsh
0,Conor McManamy
0,John Wellers
0,Joseph Min
0,Michael Dillard
0,Walden Ng
3,Brian Wyer
4,Seho Young
5,Alexander Riahi
7,Alexander Roche
8,Jared Schwallie
11,Samuel Letcher
12,Phillip Joyce
17,Andrew Zaccardi
20,Jonah Kurman-Faber
24,Benjamin Jafek
27,Aaron Saylor
28,Declan Kervick
33,Conor Eckert
33,Nick Jewell
b,r,e,a,k
DiG,2
01,Luke Webb
03,Gabriel Colton
04,Tanner Halkyard
05,Noah Backer
06,Cole Moore
07,Jason (Jay) Clark
08,Nick Patel
09,Solomon Rueschemeyer-Bailey
10,Tyler Chan
11,Ryan Dinger
13,Brendan McCann
16,Turner Allen
19,Jac Carreiro
22,Cole Davis-Brand
23,William Stewart
25,Ilya Yudkovich
26,Nathaniel Dick
27,Orion Cable
28,Ethan Fortin
31,Ben Krupp
32,Gus Norrbom
34,Gustav Haflin
48,Ben Horrisberger
55,Henry Babcock
65,Topher Davis
99,Josh Markette
b,r,e,a,k
Deathsquad,10
0,Collier Cobb
0,John Herman
0,Jordan Kaufman
0,Matthew Johnson
0,Patrick Leach
0,Richard Schaffer
0,Stephen Donahue
2,Henry Brecher
3,Jonathan Young
4,Matthew Barnes
5,Tianzhe Wang
5,Walker Mayerchak
7,Tom Bassett
8,Jason Freedman
11,Scott Dollen
12,Adam Newman
15,Ethan Nash
21,Brendan Chin
23,Manit Munshi
27,Bryan Rothenberg
29,Dan Hourigan
36,Ian Girelli
38,Matt Caswell
42,James Cataldo
44,Brian Clarkson
80,Joseph Kane
b,r,e,a,k
Magma Bears,7
0,Justin Ondrof
0,Owen Robinson
01,Andrew Purugganan
02,Lee Martel
03,Jacob Margolis
04,Mike Voelpel
06,John Maher
08,Martin Bustamante
09,Brandon Chan
10,Ian Soderlund
12,Xavier Schafer
15,Elan Kane
17,John Walsh
18,John Brancato
21,Andrew  Seiden
23,Tal Niv
26,Gabriel Hage
27,Jonathan Willman
34,Christopher Novielli
37,Daniel Katz
39,Steven Calebrese
43,William Suitt
44,Sal Pepe
49,Matteo Focchi
72,Johnny Jiang
87,Daniel Wekstein
b,r,e,a,k
TROUT,15
0,Alex Guarco
0,Bradford OBrien
0,Jason Johnson
1,Richard Dorff
1,Jamil Kisubi
2,Hobart Yeager
4,Adam Offit
5,Nicholas Komarovsky
7,Nelson de Witt
8,Mark Gross
9,Jack Kenslea
11,Henry Baker
12,Michael Ho
14,Eric Kedaigle
17,Jared Dorff
19,Aaron Taylor
20,Jacob Arons
21,Jordan Dorff
b,r,e,a,k
Shade,5
0,Chris Nelson
0,Dean Acheson
0,Dustin Becker
0,Elias Griffin
0,Eric Tagliaferre
0,Jacob Coonin
0,Jacob Price
0,Johnny Frohlichstein
0,Matthew Mclaughlin
0,Noriaki To
0,Oliver Feder
0,William Perry
0,Xaver Kandler
01,Taylor Rasco
03,Brandon Shaw
13,Nicholas Eng
13,Jay Sehgal
15,Alexander Isik
27,Eric Moore
28,Ryan Saffa
31,Aron Szanto
39,Brooks Wallace
40,Jordan Hupp
51,Calvin Vannoy
88,J. Zachary Saffa
99,Stefan Dicker
b,r,e,a,k
Log Jam,12
0,Austin Crisafulli
0,Brian Dahlben
0,Calvin Jungreis
0,Chris Lavery
0,Christopher Hummel
0,David Bowers
0,David Koch
0,Evan Creer
0,Jack Kirby
0,Matthew Reluzco
0,Timothy Lambert
10,Mathieu Savarit-Cosenza
28,Sacha Kaiser
83,Michael Protas
95,Nicholas Granados-Kramer
b,r,e,a,k
Duck and Cover,13
00,Alexander Hunkins
00,Andrew Zhu
00,Armando Feldman
00,Asa Thomson
00,Ben Feeney
00,Galen Harwood
00,Geir Hartl
00,Jae Lee
00,Joe Costello
00,Jonah Stang-Osborne
00,Leif Corp
00,Liam O'Connor
00,Louis Douville Beaudoin
00,Max Rogowski
00,Nico Christakos
00,Noah Zobel
00,Parker Lin-Butler
00,Patrick Como
00,Sam Green
00,Taylor Hanson
00,Timothy Barker Plotkin
00,Timothy Demling
00,Tyler Feeney
00,Wesley Killough-Hill
00,Zachary Watson-Stevens
b,r,e,a,k
s,t,a,g,e,s
brackets,Saturday Seeding Brackets
bracket,Prelim Bracket 1
PoNY,Sprout,15,6,"09/25/2021, 13:00",Championship ,Final
PoNY,Iditarod,15,5,"09/25/2021, 11:00",Semis 1,Final
