Cooler Classic 32 (Redux),Club - Mixed ,14,8,2021
Hartland,WI,2021-08-14,2021-08-15
https://play.usaultimate.org/events/Cooler-Classic-32-Redux/schedule/Mixed/Club-Mixed
No Touching!,1
0,Brent Novey
0,Brian Larson
0,Joe Andrighetti
0,Kathryn Cleveland
0,Patrick Cashman
0,Rebekah Swanson
3,Brenna Sund
4,Tony Michaelson
7,Brianna Andrighetti
9,Tyler McKean
10,Daniel Collom
14,Benjamin Nelson
15,Elisabeth Biehl
16,Lindsay Trosvig
17,Kristina Golling
19,Alyson Gagner
23,Michael (Mike) Petersen
29,Sam Pepe
33,Graham Brayshaw
38,Arthi Padmanabhan
41,Jenni Konigsburg
78,Jeremy Keiser
83,Jeremiah Gagner
88,Patrick Jensen
96,Brian Edgerton
b,r,e,a,k
Woodwork,5
0,Cody Rebholz
0,Paige Steinbauer
3,Meryl Davis
01,Vanessa Villasenor
03,Trevor Rice
05,Brad Ashley
07,Zachery Mahler
08,Grant Maynard
10,Margaret Punt
13,Cole Petsche
13,Colin Iglehart
15,Katie Bristol
16,Andy Woolard
23,Marah Miller
24,Ryan Dornbusch
25,Julianne Schmitt
25,Kyle Orians
27,Cat  Henning 
32,Nicole Lenczowski
33,Emily Wehrwein
34,Joshua Adams
47,James West
54,Anna West
77,Kayla Anderson
87,Amanda Borders
87,Emily Langland
b,r,e,a,k
NOISE,2
0,Ethan Parrish
0,Matthew Grinde
0,Nathan Kleinhans
0,Nora Mitchell
0,Peder Hopkins
2,Clea Poklemba
7,Jennifer Wu
8,Samuel Erickson
00,Kelsen Alexander
00,Kimberly Reynolds
00,Tyler Williams
00,Donna Johnston
00,Emily Cohen
00,Robyn Fennig
00,Ben Parrell
00,Brittney Kokinos
00,Caitlin Murphy
00,Francis Kelley
00,Glenn Poole
00,Jack Kelly
00,James Sykora
07,Vanessa Cannaday
10,Tom Annen
32,Daniel Garlock
33,Katy Stanton
52,Erynn Schroeder
b,r,e,a,k
Bird,8
03,Greta Friedrichs
04,Katherine Wilmes
06,Michael Ruble
07,John Anderson
09,Eva Clements
10,Adam Egemo
12,Aidan Clements
13,Kimberly Nissen
14,Jessica Hendrickson
15,Morgan Harris
17,Mikayla Yoder
18,Nathan Phillips
18,Anna Clements
19,Eva Fischer
22,Natalie Cooper
24,Sumaya Mohamed
25,Jacob Salzman
27,Leslie Boey
28,Cole Stiegler
29,Brian Paulus
32,Lilly Shapiro
41,Jacob Mutch
44,Jonathan Lovagnini
81,Tyler Meyer
90,Cody Rondeau
99,Sigurd Ostlie-Olson
b,r,e,a,k
Chalice,3
0,Blake Larson
0,Bryan Dunbar
0,Eliza Hutchings
0,Elizabeth Honigfort
0,Gabriella Lavezzi
0,Luke Carron
0,Mandy Side
0,Mason Zetsch
0,Michael Kasper
0,Neil Wessling
0,Patrick Austermann
0,Sarah Craig
0,Tim Side
0,Julia Hill
0,Kate Halloran
0,Katie Calfe
2,Devin Belvin
6,Emma Randolph
9,Kimberly Micotto
13,Andrew Hilliard
15,Ben Clark
21,William (Will) Imming
24,Loren Goodrich
26,Grant Eschmann
74,Collin McCartney
b,r,e,a,k
Pandamonium,7
0,Arbor Otalora-Fadner
0,Chuck  Dudek
0,Dan Distad
0,Erik Bredesen
0,Jesse Peterson-Brandt
0,Jessie Lambert
0,Julia Clare
0,Julie Bender-Awalt
0,Katelin Goebel
0,Kelsey Daly
0,Kevin Pochatila
0,Ryley Tennyson
0,Stephanie O'Connor
2,Ben Finkelstein
3,Matt Theisen
15,Eric Andersen
17,Raechell Nelson
22,Mikhail Golben
42,Meghin Davis
53,Katherine Frantz
89,Micah Peterson-Brandt
b,r,e,a,k
PanIC,9
0,Abigail Davison
0,David Dalton
0,Eric Streed
0,Frederick Moeslein
0,Gabe Etzel
0,Greg Brock
0,Jason Nell
0,Jessica Huang
0,Jimmy Wiesbrock
0,Katherine Kruser
0,Nicole Johnson
0,Ryan Spaulding
0,Samantha Bartlett
0,Zane Pennock
5,Ezra Schley
11,Lily Sronkoski
17,Shivam Patel
18,Peter Shayman
21,James Hean
24,Thomas Robinson
27,Lucas Boyle
29,Peter Scott
42,Raleke Hughes
64,Jacob Hoyle
77,Claire Meyer
99,Dana Demmert
b,r,e,a,k
Risky Business,12
0,Cody Holloway
0,Cristina Carreon
0,Christina Jones
0,Jasa Fuller
0,Kendric Harris
0,Meredith Wooley
0,Patrick Boyker
0,Slayter Marwitz
0,Yvette Tran
4,Joshua Curtis
5,Bryan Rowes
5,Hien Le
7,Christopher Schultz-Davis
7,Austin Reed
8,Abby Evans
9,Dalio Losch
19,Eric LaPietra
21,Blake Abbott
57,Kyle Stinson
65,Samuel Bondurant
78,Mitchell Zimmmermann
88,Zoey Clark
96,Austin Gould
b,r,e,a,k
Stripes,10
0,Allison Fish
0,Audrey Sanchez
0,Bradley Bolliger
0,Emily Muscat
0,Emily Molloy
0,Erin Newman
0,Gail Reich
0,Haley Hudson
0,Jeffrey Spetter
0,Jessica Sipperley
0,Alex Nimmer
0,Alex Birko
0,Karl Kingma
0,Larkin Johnson
0,MK Andersen
0,Nick Sanchez
0,Sarah Arnberger
1,Adam Klaus
3,Michael Egan
9,Jorge Duarte
12,Rodrigo Arcibar
16,Alison Ellis
71,Matt Gubernick
81,Michael McCafferty
b,r,e,a,k
Mad Udderburn,14
0,David Kurian
02,Hannah Nygard
03,Jake Wilson
04,Joey Knutson
05,Adam Klopfenstein
07,Kasey Kenealy
08,Ben Schewe
09,Grant Hellestad
10,Matt Coogan
12,Alyssa Rettler
13,Tessa Berry
14,Katherine Magruder
16,Thomas Guerin
17,Thom Kenealy
18,Julia Sauerhaft
21,Taylor Grace Zietz
22,Aaron Speiss
23,Allison Mueting
30,Carly Siewert
31,Amber Heffernan
32,Amanda Hellestad
46,Dominique  Maderal
59,Nicholas Gerber
84,Roman Ryan
99,Jane Zheng
b,r,e,a,k
CHImera,11
0,Annie Phan
0,Ben Foster
0,Ben Pavelka
0,Briana Morales
0,Cassandra Singler
0,Conrad Nguyen
0,Alicia Chu
0,Eric Hallow
0,Gina Stees
0,Jules Daugherty
0,Nathan King
0,Nick Longo
0,Victoria  Snyder
1,Trevor Cook
2,James Roush
4,Aaron Del Real
10,Hector Rivera
16,Allison Chmaj
18,Erika Wagner
23,Kathryn Kembitzky
25,Jordan Lange
25,Elaine Sundberg
30,Jessica Johnson
33,Sara Putnam
91,Jake Smith
99,Benjamin Zhang
b,r,e,a,k
Prion,17
0,Alex Liu
0,Alli Young
0,Andrew Mueller
0,Angela Gavic
0,Boyd Rinehart
0,Cora Wessman
0,Duorui Xu
0,Evalynn Trumbo
0,Gregory Schwarz
0,Katherine Koch
0,Kevin Zhou
0,Maria Janina Sarol
0,Rebecca Napoli
2,"Luisa ""RJ"" Ruge-Jones"
7,Laura Rolfes
9,Brittney Gorman
14,Claire Szilagyi
20,Scott Nelson
22,Andrew Almeter
29,Jake Corley
42,Brandon Carrel
52,John Wolff
69,Eric Badger
74,Anthony Ruzzo
b,r,e,a,k
Liquid Hustle,13
0,Benjamin Hannan
0,Colby Parker
0,Daniela Escalante
0,Eric Hannan
0,Freddie Dixson
0,Jesse Jenkins
0,Kelsie Sparks
0,Kristen Stultz
0,Mason Schulman
0,Rechelle Frash
0,Richard Ware
0,Sarah Haynie
0,Tess McGrew
3,Jeffery  Schubert
9,Nathan Partenheimer
10,Alan Field
13,Jared Saltsman
13,Dave Christopher
28,Joseph Cari
31,Jordanna Payne
32,Timothy Willer
33,Jalyn Baumgartner
35,Paul Avilez
42,Kelly Kerker
66,Collin Koury
69,Brittney Ballard
b,r,e,a,k
Point of No Return,15
0,Kathryn Dumke
0,Kelly Nielsen
0,Zackory Runke
3,Julie Edwards
4,Gerene Taylor
6,Kevin Reimer
7,Thomas Roltgen
8,Kylie Abel
13,Steve Piazza
16,Jacob Dreves
17,Katie Daily
21,Joel Hielema
22,Kaitlin Woyak
24,Ryan Koelemay
27,Emma LaRosa
31,Kyle Taylor
87,David Horgan
99,Isaiah Cherek
b,r,e,a,k
EMU,16
0,Collin Klenke
0,Grace Hauser
0,Isabelle Johnson
0,Jacob Wham
0,Jessica Esteves
0,Kate  Feldstein
0,Kenneth Allen
0,Kylie Chesner
0,Max Moore
0,Raul Rosenfeld
0,Sheridan Cleave
1,Sarah Johnson
8,Peter Walsh
11,Micah Thompkins
19,Anna Scarbrough
25,Hindeke Tewodros
29,Jade Hostein
33,Jakub Jezusek
88,Jason Paul
96,George Irving
b,r,e,a,k
POW!,20
0,Alexander Krantz
0,Lucie Roy
0,Matthew Martell
0,Megan Savoy
0,Michael Parnas
0,Ryan Radawiec
02,Maketa Mattimore
10,Brian Hough
12,Andrew Duquette
16,Megan Isherwood
17,Jim Stratton
18,Neil Proefrock
19,Aiva Zoldan
22,Sara Millies-Lucke 
27,Jake Pruitt
28,Benjamin Clark
45,Aiden Rudy
77,Garrison Gracey
81,Sydney Miller
92,David Mohan
98,Logan Kroczaleski
b,r,e,a,k
Jabba,18
0,Abby Jones
0,Alex Dudzik
0,Alyssa Bennett
0,Colleen DeVries
0,David Benda
0,David Musolf
0,David Lee
0,Jamie Fee 
0,Jessica Fairhurst
0,Anna Martinello
0,Josh Cahn
0,Leigh Abrams
0,Marissa Leff
0,Mike L'Hommedieu
0,Sachi Seilie
0,Steve Janda
7,Amber Waite
13,Timothy Burnett
20,Matt Afryl
27,Ryan Logan
28,Sofia Collins
41,Benjamin Wallerstedt
59,Joseph Cacciatore
64,Joe Leibforth
82,Steven Jeka
99,Lisa Johnson
b,r,e,a,k
Mastodon,22
0,Molly De Mars
0,Peter Lin
1,Caitlin Clevenger
2,Regina Barcio
3,Kye Hanson
4,Caroline Bantug
6,Courtney Botelho
7,David Cann
8,Annalise Ho
9,Sarah Mancina
12,Caitlin Hayner-Slattery
13,Daniel Huncosky
17,Laura Coleman
20,Noah Webster
23,Luke Bodnar
24,Veiga Goethel
25,Chris Baker
28,Isaac Fine
30,Kevin Lee
31,Thomas Jungbluth
33,Justin Chenevert
42,Lily Shu
69,Lauren Bradshaw
77,Vikas Biliyar
90,Samuel Perreth
99,Jessica Liu
b,r,e,a,k
Mousetrap,19
0,Alexander Gravatt
0,Ben Stanger
0,Camille O'Connell
0,Caroline Fallon
0,ELEANOR KNAUSS
0,Elizabeth Ebert
0,Heidi Umhoefer
0,Jacob Calbaum
0,Kevin Selm
0,Lily Mae Abels
0,Rebecca Pols
0,Spencer Olsson
8,Hans Kittleson
9,Peter Walker
15,Ken Adams
19,Jay Taves
29,Jack Mallmann
36,Catherine Morita
41,Marit McQuaig
49,Cadence Sawyer
69,Kyle Cleary
b,r,e,a,k
Pushovers,27
0,Erick Knudson
00,Eric Volkmeier
03,Carly Rasmussen
04,Arthur Harris
08,Derek Anderson
10,Kyra Anderson
10,Noah Linder
12,Joseph Ling
13,Sofie Netteberg
17,Kelly Mallon
18,Abigail Skerker
19,Kendra Anderson
20,Ryan Burger
27,Kim Wurl
28,Miriam Tibbetts
29,Rebecca Kline
31,Ross Screaton
35,David Vu
42,Sarah Perreth
47,Sam Berk-Hinckley
52,Kai Knudson
61,Erin Moeller
62,Marcus Cannon
77,Michael Scharlau
b,r,e,a,k
ELevate,21
0,Alexandra Moxley
0,Benjamin Putano
0,Emily Williams
0,John Lee
0,Jonathan Bauer
0,Joseph Roarty
0,Kyle Bayes
0,Megan Packer
0,Sam Widmayer
0,Smrithi Sharma
1,Will Hsieh
3,Elliot Lee
3,Bridget Doherty
4,William Horwitz
5,Joel Willison
9,Stephanie Sauer
14,Kelly Hopps
19,Tim Hopps
20,Courtney Rachke
21,Benjamin Macalalad
23,Sonya Li 
32,Sandra Helquist
40,Alex Kowalczuk
b,r,e,a,k
Madison United Mixed Ultimate,25
01,Kara Vogel
02,Theresa Olson
03,Jordan Speicher
05,Hannah Rapp
07,Stefanie Bugasch Scopoline
10,James Rosenberger
11,Alex Piff
12,Kevin Scopoline
13,Kylee Martens
16,Alec Li
17,Alex Bock
20,Zach Hallum
23,Jayd Phelps
27,Marta Weber
30,Aaron Michaud
33,Kendell Gilmore
50,Andrew Taber
71,Sean Cassidy
79,Amanda Strickland
80,Meghan Hawkins
86,Matt LaFever
89,Patrick Kopp
b,r,e,a,k
Stackcats,23
0,Abigail Moseman
0,Andrew Gubernick
0,Anthony Oplawski
0,Caden Canavan
0,Christopher Thomas
0,Clara  Mack
0,Daniel Lore
0,Judy Malas
0,Madeleine Kindler
0,Mark Valzonis
0,Matthew Mayorga
0,Monica Oplawski
0,Natalie Carter
0,Rachel Hunt
0,Jackson Todd
0,William Case
3,David Lindsey
6,Vincent Curkov
11,Abigail Peterson
12,Ashley Betke
14,Dennis Gisler
23,Elizabeth Thorsell
23,Ashley Wagner
42,Benton Fletcher
57,Jonathan Alton
