2021 USA Ultimate Masters Championships,Masters - Mixed ,16,7,2021
Aurora,CO,2021-07-16,2021-07-18
https://play.usaultimate.org/events/2021-USA-Ultimate-Masters-Championships/schedule/Mixed/Masters-Mixed/
Slower,1
33,Erin Schran
41,Brandon Harvill
42,Dave Gallander
91,Alex Hodgson
99,Mya Hernandez
b,r,e,a,k
Pittsburgh Iron City Ultimate,17
teamInfo,,"Pittsburgh, Pennsylvania",,,https://twitter.com/iron_ultimate/
02,Paige Creo
03,Taha Udyawar
05,Christina Poole
06,Gregory Close
07,Justin Krebs
08,Bradford OBrien
09,Charles Harrity
11,Scott Andrews
12,Lily Nguyen
13,Evan Gross
17,Kimberly Gomboz
18,Amanda Erlandson
23,Nicole Close
24,Mal Webb
29,Sonia Meyer
31,Anthony Erlandson
36,Nicolas LoPresto
37,Svetlana Romanova
38,Stephanie Clark
42,Kay Comer
43,Katherine Barrington
47,Daniel LeFever
71,Eric Swanson
71,Quinne Farenwald
86,Robert Paolini
b,r,e,a,k
Old Fashioned,13
teamInfo,,"Madison, Wisconsin",,,https://twitter.com/OldFashionedUlt
02,Kevin Pochatila
05,Jon Fok
07,Emily Buford
08,Kevin DeCoux
11,Heather Schmitt
17,Andrew Dolan
20,Chris Sykes
21,Trisha Denruiter
23,Jennifer Wu
24,Matt Coogan
25,Nina Nelsestuen
26,Andrew Landphier
28,Bradley Grzesiak
29,Sarah Doege
32,Amanda Hellestad
33,Kendell Gilmore
36,Anna Nikolich
37,Peter Nash
41,Molly Schelitzche
61,Anne Gardner
63,Kevin Lyles
71,Sean Cassidy
73,Brad Orego
77,Yujia Huo
82,Logan Campbell
88,Eric Lindgren
b,r,e,a,k
Members Only,5
teamInfo,,"Los Angeles, California",,,@membersonlyult
00,Aaron Jacobs
00,Alisha Stoun
00,Alison Forbes
00,Amanda Lobel
00,Amy Halvorsen
00,Ann Lee
00,Brian Stout
00,Chris Mazur
00,Christopher Feeney
00,Connie Wang
00,Daniel Oettinger
00,Dave Knight
00,Emma Frankel
00,Felicia Yang
00,Gary Molano
00,Jennifer Norris
00,Joseph Forbes
00,Katie Killebrew
00,Manisha Daryani
00,Misha (Michael) Horowitz
00,Peter Zhou
00,Peter Van Pelt
00,Russell Gaskamp
00,Sharon Tseng
00,Stephanie Pritchard
00,Trung Pham
00,Xavier Charles
b,r,e,a,k
Run Like The Winded,24
teamInfo,,"Littleton, Colorado",,,
0,Sean Narog
0,Nick Carvin
06,Kyle Root
07,Melissa Masek
08,Jonathan Brand
09,Matthew Cueva
11,Michael Thompson
12,Amy Rask
13,Jonathan Patterson
14,Meredith Merrill
15,Christopher Veasey
16,Tim Jackson
17,Justin Dowsett
19,Alicia Cymbala
21,Chelsea Verhasselt
21,Steven Tran
25,Scarlet Moody
26,Tessa Williams
30,Tiffany Lui
33,Ventana Harding
37,Eric Rask
44,Lukas Powers
49,Derek Belka
69,Nina Vollmer
96,John Jackson
b,r,e,a,k
Default,12
teamInfo,,"Burlington, Vermont",,,
01,Richard Raabe
02,Arthur Chukhman
06,Sarah Wittman
07,Kat McGorry
08,Karen Spach
10,Michelle Steele
12,Molly Smith
13,Scott Franklin
14,Claire Calise Raabe
15,Heng-Scheng Chuang
16,Amy Nelson
17,Kendra Smythe
19,Carlos Orr
21,Ryan Nielsen
23,Marisa Wilson
25,Jess Mizzi
27,Alex Vorce
36,Joe Wager
38,Neil Wacek
39,David Ross
42,Gregory Conway
44,Daron Byerly
51,Syrus Amedore
72,Emmett Wilson
77,David Seaver
b,r,e,a,k
Descent,6
teamInfo,,"Washington, DC, District of Columbia",,,
01,Peter MacArthur
02,Sean Keegan
04,Erica Baken
05,David Cranston
06,Ashley Daly Morgan
07,David Boylan-Kolchin
08,Kelly Hyland
09,Meg Tucker
10,Jenny Fey
13,Kathleen Ratcliff
17,Eric Miner
18,Crystal Davis
19,Claire Smullen
45,Jeff Wodatch
47,Thomas Nicholson
49,Caleb Denecour
50,Hannah Boone
55,Molly Roy
88,Calvin Oung
b,r,e,a,k
Old Money,11
teamInfo,,"Charlotte, North Carolina",http://charlotteultimate.com/t/old-money,,@OldMoneyUlti
01,Philip Hadwiger
02,Stephen Battise
04,Josh Greene
05,Helen Louise Hindal
07,Jeremy Hyman
08,Callie Auman
09,Tyler Wetzel
10,Andrew Hager
11,Marja Grillo
12,Eric Olson
13,Spencer Rhodes
17,Andrea Del Balso
18,Trevor O'Reilly
21,Morelva Campbell
22,Jason Heuay
24,Thomas Ditchfield
26,Matthew Lundstrom
30,Savannah Hadwiger
31,Rosalyn Rhodes
37,Mark Krasniewski
44,Anthony Grillo
54,Lauren Gardner
55,Daniel Lee
63,Andrew West
70,Danny Chao
86,Alyssa Irons
99,Kendra Frost
b,r,e,a,k
Bust,23
teamInfo,,"Tulsa, Oklahoma",https://okmixedmasters.com,,
0,Julian Morgan
01,Chris Passmore
02,Jonathan Summers
03,John Liaz
04,Chris Dellenbaugh
05,Miguel Matos
06,Elizabeth Horvath
07,Daniel Fritz
08,Craig Batchelder
09,Jarnail Bajwa
10,Liberty Galvin
11,Curtis Piper
12,Megan Downey
13,Brittany Wheaton
14,Chriscilla Fitzsimmons
15,Christine Brooks
16,Nelson Siliet Maldonado
17,Allison Matos
18,Bonnie Passmore
19,David Churchman
24,Allysa Lapine
30,Megan Shepherd
33,Keeahna Chambers
37,Daniel Searcy
87,Keerti Goorah
b,r,e,a,k
SOS,7
teamInfo,,"Seattle, Washington",,,
01,Colin Clauset
02,Christopher Vandervoort
05,Julia James
09,Kate Kingery
10,Lexi Garrity
11,Lindsey Miller
12,Uly Rivera
13,Trudy Philip
15,Cameron Hunter
17,Maria Herman
18,Anna Chute
21,Alex Fussell
22,David Hunzicker
23,Todd Sliva
26,Andi Coleman
28,Kimberly Schlesinger
30,Sarah Benditt
33,Cody Rebholz
36,Henry Arends
44,Stephen Gussin
51,Isaac Entz
77,Gavin McKibben
81,Charlie Mercer
93,Benjamin LaRoque
b,r,e,a,k
Distilled Fink,10
teamInfo,,"Lewisberry, Pennsylvania",,,
00,Ashley Confer
00,Christopher Cahoon
00,Derek Rabold
00,Laura VanArsdale
00,Rebecca Holmes
00,Rob Allan
02,Kristen Dietrick
04,Abbie Allan
05,Beth Johns
06,Stacey Daniels
08,Bridget Gallagher
09,Kristin Thomas
11,Charles Hoppes
13,Christopher Schulze
14,Josh Heindel
16,Adam Maust
18,Matthew Radhe
20,Timothy Holmes
21,Monika Krol
22,Kenny Johns
25,Andrea Schulze
33,Matt McAlonis
49,Jordan Winey
84,Iris Ng
88,Angela Tran
89,Benjamin Holmes
91,Vincent Reydams
b,r,e,a,k
Old Pueblo,22
teamInfo,,"Tucson, Arizona",,,
0,Ashley Stahl
0,Benjamin Gray
0,Brendan Shean
0,Alyssa Abbey
0,Courtney King
0,Dylan Cobean
0,Michelle Tanner
0,Nathan Brodie
0,Nicole Garnes
0,Noa Harnik
0,Peggy Monkemeier
0,Russell Knox
0,Ryan Nagel
0,Jodi McCloskey
0,Kareina Lee
0,Kelsey Bradley
0,Kyria Kershner
0,Laura Prelsnik
0,Steven Cook
3,James Weinstein
3,Ryan Blackman
4,Anita Richert
12,Christine Miller
22,Timothy Wood
30,Michael Simeone
49,Jake Hadziev
80,Thomas Sorensen
80,Ken Calello
b,r,e,a,k
Snowbirds,9
teamInfo,,"Phoenix, Arizona",,,@snowbirdsulti
03,Samantha Myland
05,Dakota Lippincott
07,Melissa Huegerich
09,Mark Davis
10,Emily Eddy
11,Emily Francia
12,Cole Cairl
18,Eric Bay
19,Alex Wendt
20,Adam Paicely
22,Lindsey Doyle
23,Jia Xie
25,Timothy San Pedro
27,Kari LaPlante
29,Vince Noe
30,Kate Cairl
33,Kaetlynn Daoust
37,John Barber
42,Joseph Huegerich
50,Kay Powell
51,Dustin Doyle
b,r,e,a,k
Shipwreck,8
teamInfo,,"Cincinnati, Ohio",https://cincyultimate.org/teams/shipwreck,https://www.facebook.com/shipwreckulty/,https://twitter.com/shipwreckulty
03,Eddie Mack
04,David Valentine-Elam
06,Stephanie Mack
07,Michael Partusch
