TCT Elite-Select Challenge 2021,Club - Mixed ,21,8,2021
Lebanon,OH,2021-08-21,2021-08-22
https://play.usaultimate.org/events/TCT-Elite-Select-Challenge-2021/schedule/Mixed/Club-Mixed
Cleveland Crocs,1
34,James (Drew) Barkley
37,Tony Donato
44,Chelsea Ardle
81,Ellie Holmgren
85,Chase Rawlins
b,r,e,a,k
Chestnut St,15
teamInfo,,"Binghamton, New York",,,
0,Danica Vasa
0,Ella Crowley
0,Florian Kuhn
0,Jack Lazenby
0,Jessie Chiello
0,Jonathan Ballard
0,Katie Bilicki
0,Paul Sperr
0,Talia Brewer
3,Patty Kerwan
4,Jacob Bultman
4,Benjamin Kammerman
4,Shane McCarthy
7,James Greeno
22,Bethany Ortquist
37,Danielle Callard
88,Martin Bustamante
88,Nate August
91,Daniel Vandam
95,Peter Carter
b,r,e,a,k
Hybrid,3
teamInfo,,"Ann Arbor, Michigan",,https://www.facebook.com/HybridUltimate/,https://twitter.com/HybridUltimate
01,Michael Mansfield
02,Justin Perticone
03,Sara Nitz
06,Nora Mertz
07,Elizabeth Benedetto
08,Dan Donovan
09,Anna McClurkan
10,Brittany Wright
11,Bridget Connor
15,Jake Steslicki
16,Riely Kuznicki
17,Connor Lukas
19,Alexander Pan
20,Madalyn Simko
22,Michael Dagher-Margosian
24,Charlotte Wilson
27,Bailey Besser
30,James Highsmith
33,James Hill
35,Joseph Besser
42,Nathan Champoux
55,Sean Clark
66,Mya Hernandez
73,Maya Grumeretz
76,Adam Stautberg
88,Mark Whitton
b,r,e,a,k
Columbus Cocktails,6
teamInfo,,"Columbus, Ohio",,,@cbusmixed
coaches,Jacob Rathjens
0,Caitlin Duffner
0,Cara Sieber
0,Christopher Wohl
0,Cody Petitt
0,David Picone
0,Eliot Alexander
0,Elizabeth Diamond
0,Emily Barrett
0,Jordan O'Neill
0,Lexie Thomas
0,Lloyd Furuta
0,Michael Kromer
0,Nic Gill
0,Riley Dickson
2,Sion Agami Contreras
3,David Braden
4,David Valentine-Elam
7,Todd Grace
9,Charles Furse
11,Sadie Jezierski
17,Benjamin Reith
18,Axel Agami Contreras
21,Kelsey Foster
22,Mallory Griffith
47,Penelope Wu
82,Katherine Sandstrom
b,r,e,a,k
Grand Army,11
teamInfo,,"Brooklyn, New York",,https://www.facebook.com/GrandArmyUltimate,https://www.twitter.com/grandarmymixed
0,Eli Koester
0,Ella Park-Chan
0,Gina Stees
0,Henry Zhang
0,Iris Malfetano
0,Jae Lee
0,Adrienne Wells
0,Alicia Monfre
0,Benjamin Nelson
0,Kevin Hsu
0,Tiffany Tai
0,Tom Sum
0,YiCheng Tsai
0,Zach Finkelstein
7,Walter Roosa
9,Stephenie Wang
10,Michal Pearl
12,Casey Banta-Ryan
13,John Sakon
14,Dylan Leitner
14,Brianna Dayer
24,Sean Petterson
31,Julie Paik
69,Peter Luo
b,r,e,a,k
Waterloo,14
teamInfo,,"Austin, Texas",modules/common/waterloo_ultimateatx,modules/common/Waterloo%20Ultimate,@ATXWaterlooUlt
00,Amy Broome
00,Bennett Wachob
00,Cameron Snook
00,Carly Atwell
00,Daniel Gimbel
00,Danielle Rowe
00,Emily Scholten
00,Erin Schran
00,Gaby Cuina
00,Jaime Estes
00,James Berry
00,Joe Emery
00,Kathryn Herbers
00,Kerry Younts
00,Kimberly Sabo
00,Kyle Teske
00,Meghan Rutledge
00,Mikayla Slimmer
00,Nash Mock
00,Nick Loughran
00,Paul Starkel
00,Robert Hausmann
00,Robert McDonald
00,Ryan Pickens
00,Sean Brady
00,Sydney Overman
b,r,e,a,k
Rally,4
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/DCRallyUltimate,https://twitter.com/RallyUltimate
coaches,Joseph Becker
0,Ben Sadis
0,Brittany Taylor
0,Carolyn Ng
0,David Maniloff
0,Jessica  Oh
0,Katina Russell
0,Sami Smalling
4,Lucas Reichert
6,Thomas Piper
05,Graham Turner
07,"Jessica ""Marti"" Martinez"
10,Jonathan McRae
13,Cody Smith
14,Lily Eisner
16,O'Linda (Blaise) Sevier
17,Tsuki Hoshijima
19,Noah Newberger
20,Samuel Brecker
22,Scott Campbell
32,Rebecca Driver
38,Maggie Soto
44,Will Yetvin
54,Genevieve Leo
55,Stephen Ng
70,Brian O'Hara
77,Strat Stratton
b,r,e,a,k
Steamboat,5
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
0,John Kammerer
4,Katherine Buckingham 
01,Scott Schriner
03,Mary Timmons
05,Ryan Gorman
07,Michael Partusch
08,Tim Settles
10,Jennifer Golan
12,Varun Pattani
13,Kristin Baxter
14,Tabetha Ridgway
20,Aaron Ho
22,Brittany Winner
23,Dorothy Chan
24,Michael Settles
25,Gabriella  Enders
28,Jeff Haney
32,Victoria Smith
33,Austin Winner
44,Aislinn DeSieghardt
50,Ryan Walker
54,Jacob Fields
66,Daniel Conrad
81,Kimberly Cooper
88,Janey Vandegrift
88,Chris Ellis
b,r,e,a,k
Hang Time,12
teamInfo,,"Dallas, Texas",,,
0,Joseph Welkener
3,Madeline Hill
04,Daniel Welkener
08,Mason Kelley
10,Andrew Maloney
11,Brianne Welkener
12,Leanne Parker
13,Tyler Reinhardt
15,Mark Hill
26,Jackson Gillenwaters
29,Tucker Bankston
32,Christina DeAmicis
36,Caroline Hammer
39,Mattina Maloney
50,Jon DeAmicis
87,David Hammer
b,r,e,a,k
POW!,13
teamInfo,,"East Lansing, Michigan",,,
0,Aiden Rudy
0,Alexander Krantz
0,David Zoldan
0,Matthew Martell
0,Megan Savoy
0,Megan Isherwood
0,Michael Parnas
0,Jessica Uganski
0,Lucie Roy
0,Ryan Radawiec
2,Maketa Mattimore
4,Connor Lang
7,Audrey Jesue
10,Brian Hough
18,Neil Proefrock
18,Sydney Miller
19,Aiva Zoldan
22,Sara Millies-Lucke 
27,Jake Pruitt
36,Phil Ewing
51,Sophia Whelpley
77,Garrison Gracey
92,David Mohan
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Cleveland Crocs,Toast,17,10,"08/21/2021, 09:00",Pool A,Final
Weird,Toast,14,15,"08/21/2021, 11:30",Pool A,Final
Cleveland Crocs,Weird,16,7,"08/21/2021, 14:00",Pool A,Final
pool,Pool B
Kansas City United,Petey's Pirates,15,9,"08/21/2021, 09:00",Pool B,Final
Alloy,Chestnut St,15,8,"08/21/2021, 09:00",Pool B,Final
Kansas City United,Chestnut St,15,7,"08/21/2021, 11:00",Pool B,Final
Alloy,Petey's Pirates,13,12,"08/21/2021, 11:00",Pool B,Final
Kansas City United,Alloy,12,10,"08/21/2021, 13:00",Pool B,Final
Petey's Pirates,Chestnut St,14,13,"08/21/2021, 13:00",Pool B,Final
pool,Pool C
Hybrid,Grand Army,15,10,"08/21/2021, 09:00",Pool C,Final
Columbus Cocktails,Waterloo,15,9,"08/21/2021, 09:00",Pool C,Final
Hybrid,Waterloo,15,10,"08/21/2021, 11:00",Pool C,Final
Columbus Cocktails,Grand Army,15,5,"08/21/2021, 11:00",Pool C,Final
Hybrid,Columbus Cocktails,12,10,"08/21/2021, 13:00",Pool C,Final
Grand Army,Waterloo,10,9,"08/21/2021, 13:00",Pool C,Final
pool,Pool D
Rally,Hang Time,13,7,"08/21/2021, 09:00",Pool D,Final
Steamboat,POW!,14,6,"08/21/2021, 09:00",Pool D,Final
Rally,POW!,15,6,"08/21/2021, 11:00",Pool D,Final
Steamboat,Hang Time,15,6,"08/21/2021, 11:00",Pool D,Final
Rally,Steamboat,15,10,"08/21/2021, 13:00",Pool D,Final
Hang Time,POW!,12,7,"08/21/2021, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Cleveland Crocs,Hybrid,6,12,"08/22/2021, 14:00",Finals,Scheduled
Cleveland Crocs,Columbus Cocktails,13,11,"08/22/2021, 10:00",Semifinals,Final
Hybrid,Kansas City United,13,11,"08/22/2021, 10:00",Semifinals,Final
Cleveland Crocs,Alloy,15,7,"08/22/2021, 08:00",Quarterfinals,Final
Rally,Columbus Cocktails,8,13,"08/22/2021, 08:00",Quarterfinals,Final
Hybrid,Steamboat,15,7,"08/22/2021, 08:00",Quarterfinals,Final
Kansas City United,Toast,15,5,"08/22/2021, 08:00",Quarterfinals,Final
bracket,3rd Place
Columbus Cocktails,Kansas City United,13,12,"08/22/2021, 12:00",3rd Place,Final
bracket,5th Place
Rally,Steamboat,13,8,"08/22/2021, 12:00",5th Place,Final
Alloy,Rally,11,12,"08/22/2021, 10:00",5th Semis,Final
Steamboat,Toast,13,10,"08/22/2021, 10:00",5th Semis,Final
bracket,7th Place
Alloy,Toast,8,12,"08/22/2021, 12:00",7th Place,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place
Waterloo,Grand Army,12,13,"08/22/2021, 12:00",9th Place,In Progress
Weird,Waterloo,7,14,"08/22/2021, 10:00",9th Semis,Final
Grand Army,Petey's Pirates,13,12,"08/22/2021, 10:00",9th Semis,Final
Weird,Chestnut St,14,9,"08/22/2021, 08:00",9th Quarters,Final
Hang Time,Waterloo,10,15,"08/22/2021, 08:00",9th Quarters,Final
Grand Army,POW!,15,9,"08/22/2021, 08:00",9th Quarters,Final
bracket,11th Place
Weird,Petey's Pirates,9,10,"08/22/2021, 12:00",11th Place,Final
b,r,e,a,k
pools,Consolation Pool Play
pool,Pool E
Cleveland Crocs,Hybrid,0,0,"08/22/2021, 10:00",Pool E,Scheduled
Kansas City United,Hybrid,0,0,"08/22/2021, 12:00",Pool E,Scheduled
Cleveland Crocs,Kansas City United,0,0,"08/22/2021, 14:00",Pool E,In Progress
b,r,e,a,k
