South Central Club Mixed Regional Championship 2021,Club - Mixed ,26,9,2021
https://play.usaultimate.org/events/South-Central-Club-Mixed-Regional-Championship-2021/schedule/Mixed/Club-Mixed
shame.,1
0,Kevin Herrera
02,Hugh Carey
03,Kelcie Glick
06,Ashley Daly Morgan
09,Kiera Lindgren
11,Nicholas Lance
14,Jade McLaughlin
15,Spencer Tibbs
18,Crystal Davis
19,Lorraine Guerin
20,C Ryan Morgan
21,Joseph Anderson
22,Elizabeth Murphy
24,Ethan Peck
25,Marilyn Reich
26,Owen Westbrook
27,Chris Gauen
30,Bart Watson
33,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
52,Nicholas Snuszka
56,Danielle Love
88,Kasey Anderson
91,Jon Snyder
97,Sarah Pesch
b,r,e,a,k
Public Enemy,3
7,Lindsey Kappen
02,Griffin Miller
03,Jason Christian
04,Eric Carter
05,Chris Casey
06,Preston Howell
07,Cacey-Jane Bunch
08,Chris Pleshek
09,Jacob Sames
10,Katie Metzler
11,Veronica Coombs
12,Kevin Christian
13,Megan Tormey
15,Jason Dick
16,Michael Hays
19,Emma Ackels
21,Chinwe Obi
22,Brian Casey
23,Carley Garrett
24,Jenna Bigbie
33,Brianna Stedman
35,Matt Chambers
42,Gregory Guggenmos
55,Bethani Eberhart
77,Maricar Lafita Navarro
97,Andrew Watson
b,r,e,a,k
Love Tractor,4
0,Britta Bergstrom
0,Dorothe Franklin
0,Heather Kraft
0,Hilary Walker
0,Jenna Hunt
0,Jesse Roehm
0,Justin Van Sant
0,Kristen Reed
0,Matt Gleason
0,Wil St. Charles
3,Maggie Chen
3,Eric Hubbard
4,David Protter
4,Jessica Shatkin
5,Jack (John) McShane
8,Julia Longinotti
9,James Cantwell
12,Joe Babbino
19,Christina Mickle
19,Garrett Moulder
24,Hilary Egan
27,Steve Schwab
33,David Kamin
34,Henry Konker
83,Zachary Nager
84,Hallie Dunham
b,r,e,a,k
Waterloo,2
02,Bennett Wachob
03,Kimberly Sabo
04,Sean Brady
05,Robert Hausmann
07,Kerry Younts
08,Mikayla Slimmer
09,Joe Emery
10,Gaby Cuina
13,Nash Mock
15,Emily Scholten
17,Kathryn Herbers
20,Nick Loughran
22,Sydney Overman
23,Ryan Pickens
26,Amy Broome
27,Carly Atwell
