TCT Pro-Elite Challenge (Colorado Cup) 2021,Club - Mixed ,10,7,2021
Aurora,CO,2021-07-10,2021-07-11
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-Colorado-Cup-2021/schedule/Mixed/Club-Mixed
shame.,1
0,Bart Watson
00,Craig Still
00,Crystal Davis
00,Ethan Peck
00,Kevin Herrera
02,Hugh Carey
03,Kelcie Glick
06,Ashley Daly Morgan
08,Jon Snyder
09,Kiera Lindgren
11,Nicholas Lance
14,Jade McLaughlin
15,Spencer Tibbs
19,Lorraine Guerin
20,C Ryan Morgan
21,Joseph Anderson
22,Elizabeth Murphy
23,Peter Raines
25,Marilyn Reich
27,Chris Gauen
33,Alexandra Daniels
35,Ryan Pesch
48,Aubree Dietrich
52,Nicholas Snuszka
56,Danielle Love
88,Kasey Anderson
97,Sarah Pesch
b,r,e,a,k
Lotus,9
00,Alexandra Diaz
00,Amy Lee
00,Avery Jones
00,Chris Mazur
00,Edwin Finley
00,Emily Ash
00,Erwin Davis Jr
00,Felicia Yang
00,Grant Boyd
00,Ian Geertsen
00,Jake Coleman
00,Jesse Cohen
00,Jorie Moore
00,Kelli Iwamoto
00,Kevin Christian
00,Leo Decter
00,Lu Wang
00,Madeline Spolin
00,Maria Kazantsev
00,Meg Hofner
00,Nathan Warden
00,Rebeca Ellis
00,Sharon Tseng
00,Stephanie Pritchard
00,Steven Wick
00,Zubair Abdulla
b,r,e,a,k
The Chad Larson Experience,8
0,Adam Levine
0,Alexandra Guy
0,Annee Rempel
0,Charlie Hubbard
0,Cody Rohlf
0,Colin Lord
0,Ethan Levine
0,Jillian Olson
0,Joel Morton
0,Linda Morton
0,Lisa Hansen
0,Presley Philipp
0,Rebekah Seyfert
2,Logan Grothus
9,Brad McKeen
18,Haley Johnson
19,Ben Joerger
20,Rebecca Crown
22,Nick Culver
24,Danny Kurz
25,Cody Sevcik
28,Alex Gustafson
33,Peter Miller
44,Chuan Jie Loy
73,Kaitlyn Christiansen
87,Amanda Borders
b,r,e,a,k
TEAM_NAME_NOT_FOUND,16
b,r,e,a,k
Arizona Mixed 1,15
0,Andrew Kohl
0,Caden Sigerud
0,Carl Morgenstern
0,John Patinella
0,Joshua Kohl
0,Mark Mendelevitz
0,Merideth Byl
0,Nathan Bridges
0,Ryan Lacy
0,Ryan Irvin
0,Seam Ham
7,Cynthia Thomas
8,Helen Eifert
8,Shelby Petty
05,Dakota Lippincott
11,Melissa Dunn
12,Christopher Bernard
