Mid-Atlantic Mixed Club Regional Championship 2021,Club - Mixed ,26,9,2021
https://play.usaultimate.org/events/Mid-Atlantic-Mixed-Club-Regional-Championship-2021/schedule/Mixed/Club-Mixed
Space Heater,1
01,Ashleigh Buch
02,Benjamin Preiss
03,Nikki Ross
04,Jackson Cochran
05,Dane Warner
06,Amber Sinicrope
07,David Boylan-Kolchin
08,Kelly Hyland
09,Kyle Khalifa
10,Jenny Fey
11,Nada Tramonte
13,Kathleen Ratcliff
16,AJ Merriman
19,Verena Woloson
22,Theresa Hackett
23,Gabriel Webster
24,Kelly Ross
32,Anthony McLean
33,Austin Bartenstein
37,Sandra Jorgensen
42,Lisi Lohre
43,Joe Freund
53,Jonny Malks
55,Molly Roy
77,Peter MacArthur
99,Alan Kolick
b,r,e,a,k
AMP,2
00,Ethan Holmgren
01,Robert Roos
03,Rachel Alfano
04,Raha Mozaffari
05,Lindsay McKenna
06,CeCe Collinson
07,Steve Rosso
08,Luke Ryan
09,Andrea Desabato
10,Spencer DeRoos
11,Jordan Rhyne
12,Malti McKinnon
18,Sumi Onoe
21,Linda Morse
22,Liz Hart
23,Natalie Bova
24,Danielle Walsh
33,Calvin Trisolini
36,Nick Spiva
42,Adam Grossberg
44,Max Charles
55,Michael Campanella
58,Simon Covington
70,Jake Butrica
88,Paul Owens
99,Eric Nardelli
b,r,e,a,k
Alloy,4
0,Benjamin Attal
0,Christie Lawry
0,Gabrielle Doran
0,Jake Murray
0,Allison Hill
0,Katy Holt
0,Scott Olinger
0,Thomas Merante
2,Sean Newell
3,Maria Bajzek
5,Kelsey Fink
8,James Keat
8,Jeremy Kanter
08,Vivian Shen
11,Leo Warren
12,Nicole Fiorentino
15,Connor Newell
20,Laramie Aspegren
22,Mark Pitts
24,Sam Schurer
30,Rachael Liu
34,Will Hoffenkamp
37,Svetlana Romanova
52,Ellis Baehr
99,Andrew Grogan
b,r,e,a,k
Rally,3
0,Ben Sadis
0,Brittany Taylor
0,Carolyn Ng
0,David Maniloff
0,Jillian Banner
0,Katina Russell
0,Lily Eisner
0,Matthew Cullom
0,Sami Smalling
0,Strat Stratton
0,Tsuki Hoshijima
4,Will Yetvin
4,Lucas Reichert
5,Cody Smith
6,Thomas Piper
7,"Jessica ""Marti"" Martinez"
17,Stephen Ng
18,Graham Turner
19,Noah Newberger
20,Samuel Brecker
29,O'Linda (Blaise) Sevier
32,Rebecca Driver
38,Maggie Soto
54,Genevieve Leo
70,Brian O'Hara
99,Emily Eisner
b,r,e,a,k
8 Bit Heroes,9
0,Max Cormier
1,Brady Twyman 
2,Spencer Santos
3,Jessika Turner
5,Robert Van Hassel
7,Juliet Chung
8,Justus Sturtevant
10,Jay Weir
11,Liz Grimes
12,Destiny Lim
13,Maria Packard
14,Nicole LaDue
16,Diana Burke
17,Celina Holler
18,Mike Randow
19,Eric Helm
21,Max Trifillis
23,Anna Tarren
24,Jordan Vanasdale
25,Ethan Krokonko
27,Scott Bennett
28,Lennart Knight
30,Chris Muller
73,Mark Flores
86,Justin Solis
88,Robert Pratt
b,r,e,a,k
Loco,5
0,Beata Artz
0,Ben Crescenzo
0,Brian Nevison
0,Chris Schauble
0,Elena López
0,Ian Coyne
0,Jackie Weiss
0,Alison Joyce
0,Amy Buck
0,Robert Catzen
0,Sabrina Bonaci
0,Samuel Barnett
0,Shane Jones
0,Stephen Magerr
3,Sarah Coyne
6,Sean Allan
6,Alexa Wing
6,Jessica Brand
6,Darra Reppermund
8,Santiago Oliveros Vidal
9,Angela Campanella
14,Joshua Norton
65,Robert Yu
71,Kevin Stewart-Mercurio
72,Justin Creighton
91,Kenneth Wells
b,r,e,a,k
Jughandle,6
01,Jessep Macfarlane
05,Andrew Misthos
06,Raymond Burns
07,Thomas Johnson
08,Jeff Shipkin
09,Ryan Lee
12,Daniel Lee
13,Summer Zheng
19,Andrew Auyeung
20,Rebecca Halleran
22,Megan Barlow
23,Otto Gomez
25,Laine Cravotta
26,Evan Feeney
27,Cara Silvestri
33,Jana Graham
42,Lucas  Richie
42,Alexander Jin
43,Marissa Coolidge
48,Mason Compton
55,Andrew Schachter
68,Kaitlyn Dermen
70,Benish Benjamin
73,Faith Geating
78,Emma Ignaszewski
99,Maya Kalinowski
b,r,e,a,k
Fleet,7
0,Adilina Malave
0,Alexandra Slaughter
0,Alexis Faccone
0,Chris Neitzey
0,Delrico Johnson
0,Emily Christ
0,Grace Champion
0,Jose Maldonado
0,Joseph DiPaula
0,Kara Schulden
0,Kelly Wallace
0,Kristen Dietrick
0,Lili Gu
0,Marie Collins
0,Matthew Radhe
0,Scott Wheeler
6,Stephanie Rolek
9,Casey Vaughn
25,Natalie Drake
36,David Jones
52,Aaron Collins
63,Jon Pressimone
69,Manuel Miranda
69,Ryan Bates
88,Eric Mooney
94,Daniel Selwyn
b,r,e,a,k
Blowin Heat,16
0,Andrea Schulze
0,Brian Turner
0,Caitlin Gleason
0,Caitlin Ferguson
0,David Bacigalupi
0,Dylan Leighton
0,Elise Colomb
0,Emilie Mohler
0,Isaac Smith
0,Jillian Cohen
0,Jonathan Cohen
0,Joseph Wheeler
0,Lora Waldman
0,Matt Hardie
0,Matthew Stilley
0,Nelly Fickett
0,Daniel Hoppes
0,Stayc Piecyk
10,David Boyer
13,Christopher Schulze
21,Kevin McCormick
