Desert D-I College Women's CC,College - Women ,11,4,2015
Arizona
01,Christine Tang
02,Kapri Cameli
04,Colleen Nakanishi
05,Michaela Webb
06,Eva Wilson
07,Claire Levenberg
08,Nancy Freitas
09,Annie Wilson
10,Nysa Swanson
11,Elizabeth Hannah
13,Catherine Krigbaum
14,"Eunhye ""Grace"" Kim"
16,Megan Mills-Novoa
21,Tegan  Cirulli
23,Courtney Collingwood
26,Kayla Patterson
32,Hannah Dinell
33,Emily Page
44,Devon Chapman
56,Rie Maruyama
b,r,e,a,k
Arizona State
 ,Kylie Capite
 ,Kristen Bennett
 ,ASHLEY HALL
 ,Cynthia Thomas
 ,Rachael Preschler
 ,Andrea Spence
0,Kirsten Chan
0,Jessie Davidson
12,Jennifer Dai
14,LINDSEY QUESNEL
15,Everett Johnson
18,BRITTNEY POTZLER
22,Melissa Dunn
23,Megan Mendieta
31,Krista Marble
42,Nithya Subramanian
69,YASMEINE ABBASSI
77,Alyson Schmid
b,r,e,a,k
Arizona,Arizona State,10,9,"04/11/2015, 10:45"
