Metro East D-I College Men's Regionals,College - Men ,27,4,2024
Middletown,NY,2024-04-27,2024-04-28
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2024/schedule/Men/CollegeMen/
Ottawa,1
teamInfo,Gee-Gees,"Ottawa, Ontario CA",,https://www.facebook.com/GeeGeeMensFrisbee,
coaches,Luke Phelan,Habib Atallah
0,Cameron Knox
0,Jaden Fielding
0,Kaeden Ireland
0,Mark Chow
0,Martin Gallant
0,Renaud St-Onge
0,Samuel Tremblay-Larochelle
0,Terron Ross
0,Theo Gobeil
0,Nicholas Gohar
0,Noah Berube
4,Ennio Ciambella
9,Logan Keillor
18,Mathis Turgeon-Roy
37,Philip Acimovic
83,Maxime Ayad
b,r,e,a,k
RIT,12
teamInfo,RIT Spudheds,"Rochester, New York",,http://www.facebook.com/ritspudheds,http://www.twitter.com/spudheds
0,Bailey Sweetser
0,Christopher Ventre
0,Daniel Pisetzner
0,Eamon O'Connor
0,Ethan Silver-Riskin
0,Ethan Denlinger
0,Ian Thompson
0,Logan Kelly
0,Max Deng
0,Michael McNeil
0,Nathan Templeman
0,Nathan Begly
0,Pau Drudis
0,Paul Anzelone 
0,Ross  Janezic 
0,Samuel Lloyd
0,Stephen Sampson
0,Tucker Routenberg
0,Tyler Gardner
0,William Chamberlin
2,Ryan McManus
7,Patrick Collins
8,Nicholas Deis
14,Kameron Kuszlyk
28,Jack Lowrey
30,Ethan Iannicelli
32,Isaac McClelland
34,Adrian Ricketts
37,James Murphy
47,Anthony Patti
50,Mark Behrend
57,Bryce Roman
67,Cooper Pinaud
b,r,e,a,k
SUNY-Albany,8
teamInfo,SCAM,"Albany, New York",https://www.instagram.com/ualbanyultimate/,,
00,Brandon  Patanjo
00,Christopher Bethea
00,Giovanni Scotti
00,John Ruoff
00,Jonathan Kelly
00,Justin Ault
00,Kazuma Lomanto
00,Jason San Lucas
00,Owen Castor
00,Pierce O'Connell
04,Daniel Bishop
05,Mason Hotaling
06,Matthew O'Brien
11,Jacob Buono
18,Cory Chin
19,jeremy Doornick
20,Spencer Li
21,William Vasoll Jr.
31,Eric Riemer
36,Nick Motto
57,Sean White
88,Evan Gorthy
99,Chris Cooney
b,r,e,a,k
Central Connecticut State,13
teamInfo,Yetis,"New Britain , Connecticut",,,
0,Logan Palardy
0,Noah Roy
0,Peter Nazario
0,Philip Mack
0,Quinn Cotton
0,Ricky McBride
0,Rodrigo  Portal 
0,Ryan Cappella
0,Sean LaFleur
0,Travis McClay
0,Tyler Santiago
0,Bobby Elston
0,Brendan Leone
0,CJ Rodgers
0,Darrell Gorneault
0,Gavin Fraczek
0,Holden Masterson
13,Leo White
26,Harrison Silverman
b,r,e,a,k
Columbia,11
teamInfo,Uptown Local,"New York, New York",http://www.columbia.edu/cu/ultimate/?DB_OEM_ID=9600,https://www.facebook.com/CU.uplo/,https://twitter.com/CU_Uplo
coaches,Chris Nelson,Emma Chin
0,Anil Kamdar
0,Benjamin Waltman
0,Carlos Cepeda-Diaz
0,Daniel Esler
0,Derek Chen
0,Gareth Goh
0,Jalaj Mehta
0,James Byrd
0,Kei Obata
0,Neal Ma
0,Stanley Jian
0,Victor Gelpi Marti
0,Vincent Harwood
0,William Chung Park
0,Matthew Ramirez
0,Zane Harbison
1,Bernard Wang
2,Ying-Chi Chen
3,Cole Donat
5,Isaac Stiepleman
9,Carl Gross
18,Albert Rosario-Pichardo
18,Minxi Yang
41,Luke Holtzman
42,Aaron Bruce
47,Derrick Aznar
b,r,e,a,k
Connecticut,2
teamInfo,UConn Huskies,"Storrs, Connecticut",https://www.instagram.com/uconnultimate/,,https://twitter.com/UConnMensUlti
coaches,Jeremy Bernier
0,Alexander Manos
0,Austin Rey
0,Christopher Fan
0,Coleman Ross
0,Dillon Burke
0,Dominic Rendero
0,Jiahao Wang
0,John Mathew
0,John Carrenard
0,Eviatar Ashkenazi
0,Krystian Pawlowski
0,Matteo Festa
0,Nicholas Lambert
0,Noah Arce-Caliskan 
0,Ryan Chan
0,Tim Ayers
0,Von Lindenthal
0,Will Dougherty
0,Zhanbo Wang
0,Sam O'Sullivan
4,Malcolm Ferguson
5,Sean Colello
6,Ryan Miller
12,Evan Card
20,Joshua Kaplan
37,James Tibolla
b,r,e,a,k
NYU,7
teamInfo,New York University,"New York, New York",,https://www.facebook.com/nyuhaze,https://twitter.com/NYUpurplehaze
coaches,Joseph Copeland
00,Alfardil Alam
00,Alejandro Simon
00,Andy Shi
00,Braden Dahl
00,Eddie Kim
00,Edward Delatorre
00,Eric Emmendorfer
00,Ethan Chi
00,Gavin Zhao
00,Grant Loehrke
00,Jack Tinker
00,Jason Li
00,Kane Fanning
00,Kyle  He
00,Maheen Rassell
00,Michael  Ji
00,Nicholas DeFilippis
00,Nicolas Wong
00,Reyen Bender
00,Rishi Gupta
00,Romeo Hendel
00,Sean Green
00,Tamir Gray
00,Ziming Wang
00,Ziqi Zhao
b,r,e,a,k
Rowan,14
teamInfo,Ruf Riders,"Glassboro, New Jersey",https://www.instagram.com/rowan.ultimate/,https://www.facebook.com/RowanUltimate,https://twitter.com/Rowan_Ultimate
00,Adam Smith
00,adam wyatt
00,Benjamin Rothlauf
00,Brendan Engelhardt
00,Kyle Cahill
00,Liam Liam Michael Mitchko
00,Logan Trayner
00,Robert Callahan
00,Russell Williams
00,Ryan McManus
00,Christopher Cocciadiferro
