Old Capitol Open 2024,College - Men ,30,3,2024
Cedar Rapids,IA,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Old-Capitol-Open-2024/schedule/Men/CollegeMen/
Colorado Mines,1
0,John Symeonidis 
0,Mike Cawiezell
0,Nathan Cole
0,Nathaniel Ferguson
0,Nicholas Francesconi
0,Nick Pehl
0,Noah Brooks
0,Noah Roy
0,Riley Wallace
0,Shawn Gregory
95,Mitchell Wood
b,r,e,a,k
Michigan State,3
teamInfo,ARC,"East Lansing, Michigan",,https://www.facebook.com/michiganstateultimate,https://www.twitter.com/MSUARCUltimate
0,Aiden Rudy
0,Ben Plumstead
0,Connor Griffin
0,David Zoldan
0,Dean Golminas
0,Elton Howard
0,Hayden Monk
0,James Kloss
0,Luke Hartfield
0,Marc Canellas-Salles
0,Matthew Martell
0,Noah Sawyer
0,Tyler Paparella
0,Will Zamsky
0,Zac Hintz
2,Joseph Sogno
7,Sam Metz
7,Jack Bembenek
21,Joseph Flynn
23,Joey Fishkind
32,Elliot Davis
44,Matthew Chamberlain
58,Samuel Pierson
b,r,e,a,k
Grinnell,11
teamInfo,Grinnellephants,"Grinnell, Iowa",,,https://twitter.com/Grinnellephants
coaches,Nick Culver
0,Benjamin Shulman
02,Joseph Barrows
03,Christopher  Stuckart
08,Jacob Unzicker
10,Sam Bigham
11,William Norry
15,Sam Emison
17,Eli Boeding
18,Ryan Lewis
20,Jack Connelly
21,Fergus Braun
23,Takeru Katayama
25,David Rhoades
31,Duncan Lambert
44,Duncan Steele-Maley
52,Solomon Golden
55,Benjamin Albrecht
69,Niko Vamvakides
81,Nolan McGrane-Moffitt
87,Colby Jaros
87,Dominic D’Ascenzo
97,Jacob Heinrich
b,r,e,a,k
Iowa (B),22
teamInfo,HUCititis,"Iowa City, Iowa",https://sites.google.com/site/iowahawkeyeultimateclub/home?authuser=0,https://www.facebook.com/UofIowaUltimate/,https://twitter.com/hbvultimate
coaches,Zach Frevert
0,Aidan Zander
0,Drew Dollison
0,Fernando Castillo Rodriguez
0,Jamison Stone
0,Josiah Power
0,Nathan Kurtz
0,Russell Jackson
21,Max Baum
29,Eddie Morelock-Hopson
40,Jackson Hoewing
41,John Lorenz
42,Charles Paxson
97,Michael Roper
b,r,e,a,k
Iowa,4
teamInfo,IHUC,"Iowa City, Iowa",https://sites.google.com/site/iowahawkeyeultimateclub/,https://www.facebook.com/groups/564875686867551/,https://twitter.com/UofIowaUltimate
coaches,Lucas Boyle
0,Jack McIntyre
2,Oliver Bostian
3,Max Swinton
4,Wyatt  Sailer
8,Luke Rubin
9,Chris Markiewicz
9,Joshua Vierke
10,Nathan Bielecki
10,Robert Goode
12,Jason Chen
14,Riley Dobush
17,Kaleb Owens
19,Justin Wheeler
20,Tony Abdel-Malek
22,Kyle Lavrisa
24,Connor DeNike
27,Mario Ortiz
32,William Walters
52,Noah Johnson
55,Nick Rider
91,Thomas Helm
b,r,e,a,k
Minnesota (C),21
teamInfo,Rubber Ducky,"Minneapolis, Minnesota",,,
0,Aiden Gorman
0,Avi Prager
0,Ben Christenson
0,Benjamin Dockerty
0,Caleb Fravel
0,Mason Overman 
0,Neil Roy
0,Nikolas Van Nelson
0,Dillon Steeves
0,Dylan Ringer
0,Will Beaumaster
7,Ty Sibinski
8,Ian Wang
10,Parker Jelen
13,Johannes Laurila
16,Peter Nuon
17,Sam Revermann
19,Ben Hunter
24,Jonathan Ip
27,Anders Bergren
32,Mason Hamar
37,Dev Patel
42,Vincent Norton
99,Ian Brudnak Voss
b,r,e,a,k
St Thomas,12
teamInfo,Purple Reign,"Saint Paul, Minnesota",,,
0,Brady Sullivan
0,CJ Aul
0,Dominick Navarre
0,Eric Nowak
0,Isaiah Horsager
0,Jordan Williams
0,Joseph Hintgen
0,Leo Klein
0,Liam Laskow
0,Michael Kisch
0,Owen Dam
0,Thomas Liechty
2,Tyler Wolf Williams
9,Riley Vang
11,Joel Thomas
14,Chris Nygard
18,Brendan Kelley
21,Aidan Huber
21,Mateo Wegner
25,Ben Silvernale
36,Quintin Knuth
42,Michael Vogel
65,Peter Rauh
69,Albert Dohrer
74,Kenneth Richards
87,Alex  Cahill
b,r,e,a,k
Davenport,5
