2024 USA Ultimate Club Championships,Club - Women ,24,10,2024
San Diego,CA,2024-10-24,2024-10-27
https://play.usaultimate.org/events/2024-USA-Ultimate-Club-Championships/schedule/Women/Club-Women/
Fury,1
teamInfo,,"San Francisco, California",http://furyultimate.com/,https://www.facebook.com/furyultimate/,https://twitter.com/furyultimate
coaches,Idris Nolan,Matt Tsang,Sarah Griffith,Meeri Chang
01,Magon Liu
02,Marisa Mead
03,Sharon Lin
05,Julianna Werffeli
06,McKinley McQuaide
07,Amanda Meroux
09,Kirstin Johnson
10,Nicki Yang
11,Carolyn Finney
12,Kanari Imanishi
13,Cree Howard
14,Calise Cardenas
16,Sarah VonDoepp
18,Irene Scazzieri
19,Anna Thompson
21,Olivia Goss
22,Allyson Tsuji
25,Han Chen
29,Rachel  Chang
33,Anna Nazarov
44,Maggie Ruden
46,Dena Elimelech
51,Shayla Harris
53,Esther Filipek
71,Margot Stert
b,r,e,a,k
Flipside,5
teamInfo,,"San Diego, California",https://beultimate.com/collections/california-flipside-fan-store-2022,https://www.instagram.com/flipsideultimate/,https://twitter.com/flipsideulti
coaches,Carlo Mosca
01,Maggie O'Connor
04,Kristen Pojunis
05,Kaela Helton
09,Rebeca Ellis
11,Avery Jones
15,Megan Maxfield
18,Kaitlyn Weaver
20,Kelli Iwamoto
22,Camille Wilson
24,Avalon Igawa
25,Samantha Wool
26,Ava Hanna
30,Merideth Byl
38,Abigail Shilts
47,Tori Gray
49,Denika Hallin
71,Georgia Cardosa
77,Charlotte Sue
88,Laura Blume
93,Anna Sivinski
94,Tanya Bearson
95,Áine Gilheany
96,Julia Peden
b,r,e,a,k
Traffic,11
teamInfo,,"Vancouver, British Columbia CA",,https://www.facebook.com/TrafficUltimate,https://twitter.com/traffic_ulti/
coaches,Robbie Brennan,Derek Cheng
02,Laurel Jay
03,Alicia Brolly
04,Selina Liang 
07,Grace Liu
08,Andrea Moir
09,Jessica Rockliff
10,Alicia Zhang
11,Ericka Edgell
12,Daisy Lin
13,Denise Su
14,Sarah Norton
15,Monica Hsu
18,Avery  Sims 
23,Brianne Wager
24,Mijoo Lee
27,Claire Weng
33,Laura Mason
36,Juli Ohsada
51,Ella Bolan
71,Jada Lim
77,Sophia  Chan
78,Stephanie Siu
87,Nicola Parker
90,Catherine Menzies
91,Marie-Ève Beauchemin
b,r,e,a,k
Nemesis,15
teamInfo,,"Chicago, Illinois",http://www.chicago-nemesis.com/,https://www.facebook.com/Nemesis-471825896168151/,https://twitter.com/ChicagoNemesis
coaches,Christina Sur,Daniel O'Connor
05,Anna Thorn
06,Kylie Chesner
07,Sydney Stelzer
08,Madison Lang
10,Stephanie Rupp
12,Jennifer Corcoran
14,Sarah Helding
15,Hannah Cheng
16,Sarah Kim
17,Caitlin Duffner
18,Kendra Griesman
20,Shirley Saunders
23,Clara Zaragoza
24,Anna Stubbs
25,Hindeke Tewodros
27,Connie Chan
29,Jade Hostein
31,Abby Shure
41,Lina  Montenegro 
72,Jacqueline Jarik
82,Claire Schmitt
88,Catherine Chen
99,Dana Demmert
b,r,e,a,k
Scandal,2
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/scandalultimate,https://twitter.com/ScandalUltimate
coaches,Michael Aderhold,Kathleen Ratcliff
01,Ashleigh Jentilet
02,Laurel Oldershaw
04,Allison Wallace
05,Marie Perivier
06,Lauren Johnson
07,Annelise Peters
08,Kathryn Ritzmann
09,Kameryn Groom
11,Nada Tramonte
13,Tyler Smith
15,Florence Brooks
16,Margaret Walker
19,Verena Woloson
20,Kira Flores
23,Malisa Dang
24,Kelly Ross
26,Jessica Sourbeer
33,Amanda Murphy
36,Maddy Boyle
37,Claire Trop
