Atlantic Coast Open 2024,College - Men ,30,3,2024
Fredericksburg,VA,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Atlantic-Coast-Open-2024/schedule/Men/CollegeMen/
Duke,1
teamInfo,Brimstone,"Durham, North Carolina",,https://www.facebook.com/dukeBrimstoneUltimate/,https://twitter.com/Duke_Brimstone
0,Jerry He
00,Myles Powicki
01,Ryan Zhu
02,Connor Flannery
03,Xander Wilcox
04,William Shi
05,John Lee
06,Bo Chi
07,Shaan Narayan
08,Julian Alvarez
09,Jack Duhon
10,Boaz Shames
11,Nicholas Bayer
12,Andrew Ploskunak
13,Ryan Rowell
15,Alex Whang
16,Philip Sophocleous
17,Aahan Mehta
20,Nick Bos
23,Matthew Lu
24,Matthew Bloom
25,James Chilton
28,Justin Maynard
30,Asher Wallen
32,Albert Yuan
33,Nathaniel Croce
36,Christopher Li
55,Jaime Chueca Arteaga
88,Alec Hutchinson
b,r,e,a,k
William & Mary,7
teamInfo,Merry Men,"Williamsburg, Virginia",,https://www.facebook.com/WMUltimateM/,https://twitter.com/WMultimateM
0,Atticus Nafziger
0,Braxton Breed
0,Christopher Kornblum
0,Declan Walsh
0,George Hoak
0,Harrison Greenberg
0,Jacob Barnard
0,Joshua Yoo
0,Langston Lee
0,Mark Edwards
0,Qicheng Sun
0,Sam Brothers
0,Torsten shockey
0,Wyatt Travers
1,Griffin Must
2,Erik Quam
3,Kent Grantz
4,Benjamin Greenberg
7,Jacob Herz
9,Jonah Moran
11,Jack Hayes
12,Leif Schuster
14,Mark Strand
21,Benjamin O'Neill
27,Joseph Amsbary
33,Anders Carlson
53,Ian Wissel
66,Charles Tai
99,Jacques Worth
b,r,e,a,k
Florida State,9
teamInfo,DUF,"Tallahassee, Florida",,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
0,Clayton Partlow
0,Evan Thompson
0,Hunter  Strayhorn
0,Jonathan Larios
0,Sam Barbaro
0,Ulysses Ellis
1,Alexandro Garcia
3,August Specht
5,Dominic Pawlusiak
7,Owen Peronto
8,Nicolai Riekerk
10,Trevor Janik
11,Colton Turner 
12,Michael Berg
13,Bradley Gonzalez
15,Nathan Lowrie
17,Sam Swartz
18,Zachary Fisher
19,Bodie Cole
26,Scott Sakow
37,Daniel Siegel
50,Oscar Patterson
94,Joey Fishback
b,r,e,a,k
Appalachian State,10
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
0,Alexander Reese
0,Andrew Hanson
0,Cyrus Ager
0,Ethan Pilgrim
0,Evan McGinn
0,Ian Stone
0,James Russell
0,Kai Norris
0,Kevin Runkle
0,Liam Raska
0,Matthew Holder
0,Miles Schramm
0,Samuel Crosbie
0,Shepherd Cowan
0,Johnny Campione
0,Joseph Xarlacos
5,Vincent Alspaugh
9,Jacob Langenbach
07,Alex Ballentine
10,Joshua Pollard
14,Carter Kletch
21,Chase Viscuse
24,Nate Sutherland
25,Daniel Huggins
27,Nick Talone
28,Caleb Sizemore
33,Evan Miller
35,Mateo Rimer-Surles
72,John Christiansen
77,Pete Cheatham
95,Sam Howard 
99,Zachary Abbott
b,r,e,a,k
Richmond,8
teamInfo,Spidermonkeys,"Richmond, Virginia",https://sites.google.com/view/richmondspidermonkeys/home?authuser=0,,https://twitter.com/urspidermonkeys?s=21
coaches,Matthew Graves,Keys Pattie
0,Eli Beech-Brown
0,Jeffy Joshy
1,Maxwell Caputo
4,Alexander Ertel
6,Miles Goldman
9,Sam Hussey
10,Ethan Greeley
12,Luke Howey
13,Nicolas Moreira
14,Liam Gilpin
18,Michael Stein
20,Henry Groves
21,Eric Harnisher
24,Matt Fliegel
25,Sassan Fahim
27,Rowan Keller
30,Matthew Timoney
31,Devon Shepherd
35,Clay Rosselot
36,Anthony Longo
38,Christopher Elvin
40,Calvin Ciorba
44,Gabriel Graceffo
55,Nathan Winiarski
b,r,e,a,k
Tennessee-Chattanooga,2
teamInfo,Swamp Donkeys,"Chattanooga, Tennessee",,https://www.facebook.com/pages/UTC-Ultimate-Frisbee/688460324541637,https://twitter.com/UTCSwamp
coaches,Bryan Sansbury
0,Austin Reynolds
0,Tyler Davis
1,Sterling Grant
2,Pryce Bevins
4,Braden Beebe
9,Landon Kyle
03,Jared Beazley
10,Jackson Bushore
13,Blake Webber
16,Davis Camp
20,David Wilkins
23,Aiden Holman
33,Charles Wheeler
b,r,e,a,k
Virginia Tech,5
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,https://twitter.com/VTBurn?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Alex Winsness
0,Alper Kutlug
