2024 USA Ultimate Masters Championships,Masters - Women ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Women/Masters-Women/
Soar! *sore,1
teamInfo,,"Dallas/Fort Worth, Texas",,,
00,Brooke Wooldridge
01,Chinwe Obi
02,Ivy Byun
04,Rachel Hundley
05,Hien Le
06,Meredith Wooley
07,Lindsey Kappen
09,Krystina Morris
11,Veronica Coombs
12,Megan Tormey
13,Julie Eagle Malecek
14,Stephanie Hockett
15,Wendy Hogg
18,Elizabeth McCullagh
19,Emma Ackels
21,Danielle Runzo
22,Justine Cherwink
24,Jenna Bigbie
31,Christen McClure
42,Allegra Donadio
56,Laura Brewer
77,Maria del Carmen Lafita Navarro
b,r,e,a,k
Big Tendinitis,7
teamInfo,,"Indianapolis, Indiana",,,
0,Brittney Ballard
1,Molly Cheviron-Hamilton
2,Jody Kissane
4,Sarah Butts
7,Luisa (RJ) Ruge-Jones
8,Jamie Smets
10,Abbey Geib
11,Tracey Lo
12,Sydney Olund
13,Jessica Sipperley
16,Jacqueline Lai
17,Kristin Dudley
19,Ariel Choi
21,Anne Hemmelgarn
22,Emily Wyckoff
24,Charlotte Wilson
25,Michaela Ward
27,Leslie Boey
30,Jean Huang
31,Rachel Foster
34,Geri McInerney
35,Tess McGrew
38,Jennifer Perry
40,Claire Milton
42,Kelly Kerker
44,Anastasia Foster
45,Kristen Kaweck
66,Mya Hernandez
b,r,e,a,k
Old Bae,10
teamInfo,,"Oakland, California",,,
00,Allegra Mayer
00,Amanda Loh
00,Bettina Chen
00,Cathleen Hartge
00,Emily Tucci
00,Erica Messner
00,Frances Hamkins-Indik
00,Katie Ogden
00,Lauren Carden
00,Malachi Wickman
00,Marcela Vazquez
00,Monica Donegan
00,Sarah Kaufman
01,Stephanie Rogers
02,Jennifer Pashley
05,Suk lyn Lim
06,Christina Casler
10,Sarah Tenpas
11,Doris Chang
20,Jennifer Thomas
22,Caylin Gentile
28,Katie Palmer
31,Abigail Karp
78,Cappy Pitts
b,r,e,a,k
Hurkle Durkle,16
teamInfo,,"Harrisburg, Pennsylvania",,,
00,Angela Martin
00,Anna Imperatrice
00,Beth Johns
00,Emilie Mohler
00,Haley Stottlemyre
00,Jackie Weiss
00,Jen Kim
00,Jordan Roof
00,Jordan Vanasdale
00,Kerianne Durkin
00,Kristen Dietrick
00,Molly Fisher
00,Natalie Gustafson
00,Rebecca Canetti
00,Stacey Daniels
00,Stacey Spencer
00,Victoria Spofford
13,Kristin Thomas
b,r,e,a,k
StellO,2
teamInfo,,"Ottawa, Ontario CA",,,
00,Adria Quigley
02,Alisha Zhao
03,Karine Lukenda
04,Stephanie Cole
06,Samantha Green
10,Ashlin Kelly
11,Kristie Ellis
14,Julie Vachon
17,Siyoung (Kashi) Lee
22,Carrie Hartley
23,Marie-Christine Jacques
24,Rachel Ng
44,Kimberly Morin Coulombe
67,Jessie Robinson
71,Jessie Brown
73,Jacqueline Man
89,Brianna Jaffray
91,Virginie Côté
92,Vivianne Fortin
93,Naomi Redmond
99,Justine Dagenais
b,r,e,a,k
Night Cheese,8
teamInfo,,"Seattle, Washington",,,
00,Anna Meyendorff
00,Arianna Aldebot
00,Claudia Vasquez
00,Eden Marsicek
00,Elizabeth Wisdom
00,Emily Berman
00,Gabrielle Davis
00,Jennifer Ng
00,Josette (Josie) Pratt
00,Kaitlin Webster
00,Lauren Louderback
00,Meagan Brown
00,Melissa Ostendorf
00,Molly Sinnott
00,Natalie Valentine
