New York Unvite,Club - Mixed ,14,7,2024
New York,NY,2024-07-14,2024-07-14
https://play.usaultimate.org/events/New-York-Unvite/schedule/Mixed/Club-Mixed
Starfire,4
teamInfo,,"Westbury, New York",,,
0,Daisy Delgado
0,Ethan Chi
0,Gavin Zhao
0,Geoffrey Zheng
0,Han Zhang
0,Joseph Cicione
0,Kelly Lukito
0,Kim Duong
0,Kristin Velazquez
0,Laura Jowett
0,Melanie Galeano
0,Nicole Coveny
0,Scott Mulderig
0,Sean O'Sullivan
0,Stacey Ng
0,Victor  Jiang
0,Yaying Liang Li
4,Johnny Jiang
7,Seewing Zheng
12,April Zhang
13,Henry Lin
16,Blake Reino
18,Jaisy Lau
29,Acero Liang Li
42,Maggie Mai
87,Brandon Chan
b,r,e,a,k
Brooklyn Hive,1
teamInfo,,"New York, New York",https://www.instagram.com/brooklyn_hive_ultimate/,,
0,Adam Cusner
0,Callie Zane
0,Candela de Amorrortu
0,Chris Pliszak
0,Dana Waxenberg
0,Daniel Katz
0,Daniel Aronov
0,Katharina Gries
0,Laura Kidder
0,Marguerite Maloney
0,Maria Duke
0,Reed Jordan
0,Renee Heller
0,Sarah Tang
0,Sasha Harrison
0,David Hill
0,Eri Okuma
0,Jeremy Doll
0,Jessica Sacks
0,Jimmy Chen
0,Jimmy Phillip
0,Xiyu Wan
47,Yeshim Kayim-Yanko
58,Tyler Curtis
65,David Gallagher
86,Jonathan Seidenwurm
b,r,e,a,k
ColorBomb,2
teamInfo,,"Philadelphia, Pennsylvania",https://www.colorbombulti.com/home,,https://twitter.com/ColorBombUlti
coaches,Jy Francis
0,Angelina Ngo
0,Ava Paulson
0,Bee Eldridge
0,Bethany Winters
0,Eva Taberski
0,Gwendolyn (Chimichanga) Balogh
0,Jakob Lehmann
0,Jy Francis
0,Levy Morrison
0,Mihir Patel
0,Morgann Thain
0,Natalie Soord
0,Pax D'Alba
0,Ryan Jin
0,Sophie Ishiwari
0,Chor In Lam
0,Tony Van
5,Linda Liu
8,Melissa Wolfgang
8,Danny Le
12,Brandon Daniel-Morales
14,Sophie Redila
33,Tyler Dickinson
69,J'Lynn Matthews
75,Abraham Schroeder
96,Jacob Prunes
b,r,e,a,k
Domino Effect,3
teamInfo,,"New York, New York",https://www.instagram.com/dominoeffect_ultimate,,
0,Caleb Kaufman
0,Caroline Sun
0,Edward Fenster
0,Ella Sherman
0,Emma Alatzas
0,Isabella Rubin
0,Jack Monness
0,James McIntyre
0,Jed Higdon
0,Justin Tsang
0,Kyra Ramesh Krishna
0,Lily Liu
0,Lissa Geida
0,Maribel Mendoza
0,Micaela Aylward-Pigott
0,Sahil Hansalia
0,Sara Allen
0,Sophie Krichevsky
0,WeiBang Huang
0,William Jaffe
15,Hakeem Adeyemi
17,Jason Valverde
18,Gil Benhamou
18,Albert Rosario-Pichardo
98,Grainne Casey
b,r,e,a,k
s,t,a,g,e,s
pools,Round Robin
pool,Pool A
Brooklyn Hive,Domino Effect,11,4,"07/14/2024, 10:00",Pool A,Final
ColorBomb,Starfire,7,8,"07/14/2024, 10:00",Pool A,Final
Brooklyn Hive,Starfire,3,11,"07/14/2024, 11:30",Pool A,Final
ColorBomb,Domino Effect,9,0,"07/14/2024, 11:30",Pool A,Final
Brooklyn Hive,ColorBomb,8,5,"07/14/2024, 13:00",Pool A,Final
Domino Effect,Starfire,3,9,"07/14/2024, 13:00",Pool A,Final
b,r,e,a,k
