Cooler Classic 35,Club - Men ,17,8,2024
North Lake,WI,2024-08-17,2024-08-18
https://play.usaultimate.org/events/Cooler-Classic-35/schedule/Men/Club-Men/
Florida Untied,5
teamInfo,,"Ocala, Florida",https://www.instagram.com/untiedultimate?igsh=MWVmYTJtcDJ2YjB4cQ==,,https://twitter.com/UntiedUltimate
0,Anthony Lopez
0,David Witte
7,Ryan Hiser
01,Adam Vinson
02,William OBryan
05,Justin Montalbano
06,Alex Nelson
08,Jaime Perez
10,Michael Arbutine
11,Jacob Clary
13,Bhagya Patel
18,Jacob Gaines
19,Bodie Cole
20,Joshua Webb
22,Joel Fromkin
24,Stephen Krajeski
25,Unmil Patel
26,Scott Sakow
28,Ryan Thomas
54,Jack Clydesdale
66,Matthew Mcdonald
87,Lucas de Almeida Neves Aguiar
91,Garrett Knobel
b,r,e,a,k
Omen,8
teamInfo,,"Cincinnati, Ohio",,,https://twitter.com/omen_ultimate
0,Brady Smith
0,Ian Hailey
0,Landon Sagle
0,Nathan Ploeger
0,Steven Kolp
0,Zachary Robinson
2,Nicholas Betsch
3,Nate Berman
8,Tim Settles
11,David Collins
12,Mike Finke
13,Kyle Romard
16,Dylan Hall
18,Michael Bruggeman
26,Jack Havey
30,Zachary Ford
32,Chris Ellis
35,Jared Regruth
45,Trey Dynes
58,Kydan Young
69,Michel Domenella
69,Nick Loughran
78,Michael Ames
b,r,e,a,k
Flying Dutchmen,4
teamInfo,,"Columbus, Ohio",,,
0,Camron Chambers
0,Ephraim Connor
1,Lloyd Furuta
2,Sion Agami Contreras
3,David Braden
4,Joe Spofforth
5,Eliot Alexander
8,Michael Kromer
9,Austin Riegel
11,Jason Wherry
12,Alec Mathena
16,Anthony Sanderell
17,Nicholas Ondrejko
18,Andrew DePuy
20,Zachary Wigington
21,Alex Rudy
23,Kyle Murray
24,Tanion Misawayee
25,Nick Sophocleous
31,Lucas Nestor
50,Kenton Lawson
55,Eric Coglianese
81,Eric Wright
91,Tyler McCarthy
96,Aaron Lott
99,Alex Warrington
b,r,e,a,k
Pittsburgh Temper,1
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,Christie Lawry,Hensley Sejour
0,Aiden Landis
0,Alex Mullen
0,Anson Reppermund
0,Danilo Balaguer Garcia
0,Eric Johnson
0,Henry Everett
0,Michael Dillard
0,Morey Averill
0,Joe Molder
3,Ben Chamis
6,Noah Celuch
10,Reid Duncan
10,Robin Maillard
11,Timothy  Chango Gasset 
20,Peter Zaccardi
24,Will Hoffenkamp
26,Connor Newell
29,JJ McMonigal
46,Tristan Yarter
47,Marcel Oliart
49,Dan Nichols
b,r,e,a,k
Mad Men,2
teamInfo,,"Madison, Wisconsin",https://sites.google.com/view/madmenultimate,https://www.facebook.com/madmenultimate/,https://twitter.com/MadMenUltimate
coaches,Bill Everhart
0,Branavan Yogarajah
0,Colin Sunde
3,Jake Carrico
8,Benjy Keren
12,Sam Hebert
13,Jacob Wham
14,Cade White
15,Samuel Stark
22,Liam McDonald
24,Alex Liu
25,Daniel Miller
27,Shane Otis 
29,Jack Nelson
35,Valentin Post
41,Jacob Schlaefer
42,Maddox Hill
49,John Tan
59,Robert Mitchell McCarthy
66,Ted Schewe
66,Anthony Gutowsky
71,Dylan Power
74,Luke Marks
77,Jack Walters-Medaris
85,Gabe Vordick
88,Mac Weber
99,Eric Blais
b,r,e,a,k
Trident,6
