TCT Select Flight Invite East 2024,Club - Mixed ,27,7,2024
Sylvania,OH,2024-07-27,2024-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-East-2024/schedule/Mixed/Club-Mixed
Toro,1
teamInfo,,"Durham, North Carolina",,https://www.facebook.com/ToroUltimate/,https://twitter.com/ToroUltimate
coaches,Matthew Raskind
2,Player Pierce
3,Kyle Newman
7,Grayson Sanner
9,Jinny Riedel
11,Ethan Baughman
13,Yusuf Abdullah
14,Kiron Allen
15,Carmen Tormey
16,Jacob Mouw
17,Tatiana Proksch
18,Jacob McGoogan
19,Sarah Spall
21,Julia Hoffmann
22,Macy Hudson
23,Aston King
26,Georgia Paulig
27,Eric Zhu
32,Annie Bocko
34,Matthew Wilson
37,Vincent Zhang
48,Natalie Baumgarten
77,Anna Tortorici
99,Georgia Tse
b,r,e,a,k
Garbage Plates,7
teamInfo,,"Rochester, New York",,,https://twitter.com/gplatesulti?s=17
0,Benjamin Kelley
0,Christine Purtell
0,Jack Kirby
0,Kathryn Toffolo
0,Ken (KJ) Dziak
0,Kevin Mirabal
0,Matthew Rybak
0,Marisa Wilson
0,Sarah Sheldon
3,Matt Bandes
4,Matthew Hall
17,Michael Sheldon
20,David Brown
21,Sarah Johnson
23,Emily Xu
24,Maggie MacAdam
28,Angela Dana
29,Jacob Trokel
30,Ethan Iannicelli
30,Anna Purtell
36,Andrew Gallagher
37,Danielle Callard
39,Noelle Evans
47,Patrick Voorhees
88,Nate August
95,Peter Carter
b,r,e,a,k
Darkwing,10
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
coaches,Camila Flowerman
0,Adrian Staples
0,Alicia Chang
0,Chloe de Campos
0,Elle Burstein
0,Emet Schwartz
0,En Le Samborski
0,Grace Erlinger
0,Jacob Arwe
0,James Sabean
0,Nikki Chang
0,Nilos Makino
0,Sydney Lombardi
3,Steven Her
5,Conor Dowling
7,Jacob Herz
9,Dillon Monti
14,Wes Chalfant
17,Magdalene Pizzo
20,David Friedman
20,Prosser Friedman
31,Alyssa Pelkey
33,Nick Jewell
35,Pierre-Yves Lavertu
36,Lilly Yang-Schmidt
99,Jordan Kaufman
99,Kunzang Namgyal
b,r,e,a,k
Spectre,16
teamInfo,,"Indianapolis, Indiana",,,https://twitter.com/indyspectre
3,Samuel Ingham
4,Sophie Nichols
6,Jacob Mock
10,Colby Parker
11,Kelsen Bartley
12,Colin Ringwood
13,Jared Saltsman
14,Jenna  Parker
15,Mason Schulman
17,Randi Lesler
21,John Jones
22,Sarah Haynie
23,Dara Weaver
24,Abby Swensen
26,Hannah Hainje
33,Jalyn Baumgartner
42,Kelly Kerker
49,Zachery Berg
51,Chris Ginet
56,Cullen Booth
71,Gabriel Wray
96,Shannon Jones
b,r,e,a,k
Pittsburgh Port Authority,9
teamInfo,,"Pittsburgh, Pennsylvania",https://tinyurl.com/xteamvalues,,https://twitter.com/portauth0rity
0,Dylan Best
0,Benjamin Attal
0,Jake Murray
0,Katy Holt
0,Kristin Dudley
0,Patrick McMullen
0,Shani Rosenthal
0,Tony Thomas
0,Valeria Duque Villegas
2,Jessie Sun
3,Emily Rittenhouse
5,Caroline Nofzinger
8,Vivian Shen
9,Ryan Kindell
11,Harry Park
11,Owen Watt
12,Phil Martone
14,Jenna Nold
18,Jed Farber
22,Mallory Griffith
24,Alexander Thomas
27,Kit Asterin
37,Svetlana Romanova
82,Isaac Smith
b,r,e,a,k
Wild Card,8
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
coaches,Eliot Fenton,Kristi Huang
0,Charlie Bushman
0,Christopher Layden
0,Emma Bushman
0,Fernanda Brena
0,Hannah Marr
0,Iris Rukshin
0,Katherine Connelly
0,Lucas Lytel
0,Matthew Yee
0,Nadine Meister
0,Natalie Wheeler
0,Scott Dollen
0,Shelly Tsirulik
0,Tamar Austin
0,Thomas White
4,Alexander Curreri
8,Connor Fortin
8,Jason Freedman
10,Annika Chan
13,Carolina Brager
13,Tenley Abbott
22,Jack Simmons
22,Gina Pryciak
24,Pablo Reimers
24,Wyatt Brooks
78,Tiffany Lim
b,r,e,a,k
Chicago Parlay,2
teamInfo,,"Chicago, Illinois",https://parlay-ultimate-2024.notion.site/Parlay-Ultimate-2024-96484c11d649494e9142e1933b28fce2,https://www.instagram.com/parlayultimate/,https://twitter.com/ParlayUltimate
0,Alexandra Moxley
0,Aubree Zenone
0,Cassandra Skapek
0,Emily Molloy
0,Kenneth Allen
0,Larkin Johnson
0,Lucy Petersen
0,Sammi Wong
0,Tavis Leighton
0,Ricky Ramirez
1,Adam Klaus
3,Elliot Lee
3,Meryl Davis
6,Risa Umeno
11,Anthony Ji
13,Nico Lake
15,Zach Kieffer
20,Laramie Aspegren
25,Jordan Lange
25,Elaine Sundberg
45,Jeff Robinson
51,Miki Ling
58,Lanie O'Neill
88,Julia Kasner
96,George Irving
99,Benjamin Zhang
b,r,e,a,k
Mad Udderburn,15
teamInfo,,"Madison, Wisconsin",https://www.Instagram.com/madudderburn,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
01,Grace Compton
02,Hannah Nygard
05,Adam Klopfenstein
07,Alex Larsen
08,Paul Kim
11,Brittany Hoegh
12,Lauren Bradshaw
13,Tino Magazzolo
15,Preet Talwar
16,Thomas Guerin
21,Taylor Grace Zietz
22,Yiran Li
24,Bo Strauss
25,Abby Davison
28,Grace Allas
33,Justin Chenevert
44,Henry Mans
49,Isaac Griffin-Wiesner
51,Kylee Martens
59,Nicholas Gerber
77,Jacob Waltz
b,r,e,a,k
Roma Ultima,12
teamInfo,,"ATL, Georgia",,,
1,Megan Jarriel
3,Karsen Brantley
4,Malia Ellard
5,Weaver Ellard
6,Morgan Dale
7,Katherine Mittleider
9,Sarah Lang
10,Mikey Curtis
11,Walter Ellard
12,Aidan Meek
13,Nicholas Smith
16,Gloria Wu
17,Nicholas Huffman
19,Lilli Popovich
23,Ivan Khoo
25,Robert Bradham
28,Chris Gmeiner
44,Ryan Shaw
47,Anna Graham
50,Miles Lally
51,Chad Gerber
72,Annalise Paul
72,Hari Sridhara
b,r,e,a,k
Revival,5
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RevivalFlatball,
0,Brittany Taylor
8,Kris Harrison
03,Jacob Harnage
05,Emma Colavincenzo
10,Matthew Reynolds
11,Skye Whitlow
12,Tyler Davis
15,Jack Field
16,Donald Clark
17,Cullen Monahan
18,Matthew Neeley
24,Tim Jackson
25,Crystal Lowery
29,Rachel Shannon
31,Hannah Elledge
32,Dominique Gibson
33,Laura  Catano
38,Ariel Vogel
40,Calvin Ciorba
42,Garrett Braun
44,Keila Strick
55,Molly Roy
57,Austin Bartenstein
64,Victoria Davis
87,Griffin Lang
b,r,e,a,k
League of Shadows,14
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
0,Eliza Knapp
0,Evan Hu
0,Jack Deschler
0,Julia Leung
0,Karissa  Tabtieng
0,Kevin O'Brien
0,Abby Ritterband
0,Alex Mitsopoulos
0,Christina Stellwagen
0,Connor Coale
0,Matthew Cote
0,Sadie  Schmitz
0,Sam VanNoy
0,Terren Moore
0,Theodore Prince
0,Zoe Honigberg
2,Theodore Bisdikian
5,David Huang
9,Kyle Jannak-Huang
17,Lillian Huang
29,Tate Tabtieng
33,Sara Putnam
35,Corey Flynn
96,Mina Bozeman
b,r,e,a,k
RAMP,3
teamInfo,,"Chicago, Illinois",http://rampultimate.com/,,https://twitter.com/RAMP_ultimate
0,Andriana Tompary
0,Ben Brink
0,Conrad Nguyen
0,DeAngelo Barragan
0,Ellie Lind
0,Eric Wong
0,Eva Verner
0,Eva Verner
0,Gina Stees
0,Hannah Weisbecker
0,Jake Blatt
0,Katy Ross
0,Leon Tan
0,Manhua Zhu
0,Molly Cowley
0,Nathan King
2,Annie Phan
20,Courtney Rachke
23,Jonathan Burrell
23,Zachary Cole
30,Caleb Moran
31,Justin Forman
32,Sean McSweeney
88,Ellie Cloe
b,r,e,a,k
UNION,6
teamInfo,,"Toronto, Ontario CA",,https://www.facebook.com/pages/Union-Ultimate/190712307636599,@unionultimate
0,Noah Nishizaki
7,Andrew Kay
05,Erich Phang-Lyn
06,Sarah Burke
08,Jan Dick
10,Hugo Lynch
11,Nelson Le
12,Thomas Panayiotopoulos
13,Kelsi Mallany
18,Brianna Prentice
19,Tasha McFarland
21,Isabelle Pacleb
22,Samantha Mok
24,Jamee Nepom
25,Jordan Atchison
26,Kelsey Priestman
28,Emilija Rudzitis
66,Mackinley Szumlanski
71,Bryan Yue
90,Ian Hanson
96,Oren Binnun
b,r,e,a,k
Steamboat,11
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
02,Trevor Russell
03,Lauren DeMarks
05,Ryan Gorman
07,Michael Partusch
09,Mary Cagle
10,Brennan Nelson
11,Landon Hunter
13,Kristin Baxter
17,Elsa Mabey
20,Liam Mulligan
21,Julia Desrosiers
22,Brittany Winner
27,Sydney Yearout
28,Jeff Haney
29,Jocelyn Palyo
35,Adithya Deepak
42,Zach Thompson
51,Zion Oh
54,Jacob Fields
59,Maple Adkins-Threats
72,Jake Montgomery
78,Aidan Stevens
79,Jessica Honerlaw
88,Samantha Montgomery
b,r,e,a,k
The Chad Larson Experience,4
teamInfo,,"Ames, Iowa",https://clx-ultimate.com,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Adam Levine
0,Ethan Levine
9,Charlie Hubbard
02,Logan Grothus
04,Cassidy Krawczak-Kummrow
10,David Dalton
11,Jacob Badger
14,Cole Davis
15,Scott Wilson
17,Emily Wilson
19,Ben Joerger
20,Rebecca Crown
22,Nick Culver
23,Lucy Leither
25,Anna Erickson
31,Meredith Neid
33,Kelli Bormann
37,Jacob Thomae
40,Taylor Hanson
41,Brian Goode
56,Kate Blankenship
61,Jayna Wanamaker
62,Justin  Hua
71,Dayton Wright
99,Kaira Carter
b,r,e,a,k
Northern Comfort,13
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
0,Francis Kelley
0,Hayden Kozmer
0,Kyle Gasiorowicz
0,Leann Malenke
0,Morgan Klug
0,Olivia Casper
0,Peter Kuenzle
0,Robbie McChesney
1,Elliott Blackburn
2,Rhea Arora
6,Finwe Wiedenhoeft
8,Rozelynn Becker
9,Greg Maddox
13,Hanna Leight
13,Damon Woodward
18,Asa Hatcher
24,Andrew Fischer
30,Jessica Johnson
33,Joe Rogers
42,Raleke Hughes
59,Todd Miller
82,Jeremy Schuetz
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Toro,Darkwing,14,5,"07/27/2024, 08:30",Pool A,Final
Garbage Plates,Spectre,13,7,"07/27/2024, 08:30",Pool A,Final
Toro,Spectre,15,5,"07/27/2024, 10:15",Pool A,Final
Garbage Plates,Darkwing,12,11,"07/27/2024, 10:15",Pool A,Final
Toro,Garbage Plates,11,9,"07/27/2024, 12:00",Pool A,Final
Darkwing,Spectre,14,9,"07/27/2024, 12:00",Pool A,Final
pool,Pool B
Chicago Parlay,Pittsburgh Port Authority,10,15,"07/27/2024, 08:30",Pool B,Final
Wild Card,Mad Udderburn,15,6,"07/27/2024, 08:30",Pool B,Final
Chicago Parlay,Mad Udderburn,15,6,"07/27/2024, 10:15",Pool B,Final
Wild Card,Pittsburgh Port Authority,6,13,"07/27/2024, 10:15",Pool B,Final
Chicago Parlay,Wild Card,9,11,"07/27/2024, 13:45",Pool B,Final
Pittsburgh Port Authority,Mad Udderburn,15,6,"07/27/2024, 13:45",Pool B,Final
pool,Pool C
RAMP,Roma Ultima,9,13,"07/27/2024, 08:30",Pool C,Final
Revival,League of Shadows,11,10,"07/27/2024, 08:30",Pool C,Final
RAMP,League of Shadows,11,13,"07/27/2024, 12:00",Pool C,Final
Revival,Roma Ultima,13,14,"07/27/2024, 12:00",Pool C,Final
RAMP,Revival,9,13,"07/27/2024, 13:45",Pool C,Final
Roma Ultima,League of Shadows,15,9,"07/27/2024, 13:45",Pool C,Final
pool,Pool D
The Chad Larson Experience,Steamboat,10,13,"07/27/2024, 10:15",Pool D,Final
UNION,Northern Comfort,15,4,"07/27/2024, 10:15",Pool D,Final
The Chad Larson Experience,Northern Comfort,13,7,"07/27/2024, 12:00",Pool D,Final
UNION,Steamboat,15,11,"07/27/2024, 12:00",Pool D,Final
The Chad Larson Experience,UNION,13,12,"07/27/2024, 13:45",Pool D,Final
Steamboat,Northern Comfort,15,6,"07/27/2024, 13:45",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,Championship Bracket
Toro,UNION,0,0,"07/28/2024, 11:30",Semifinal,Scheduled
Toro,Wild Card,12,7,"07/28/2024, 09:45",Quarterfinal,Final
Revival,UNION,10,15,"07/28/2024, 09:45",Quarterfinal,Final
Roma Ultima,Steamboat,8,5,"07/28/2024, 09:45",Quarterfinal,In Progress
Garbage Plates,Pittsburgh Port Authority,14,11,"07/28/2024, 09:45",Quarterfinal,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third
bracket,Fifth Place Bracket
Wild Card,Revival,0,0,"07/28/2024, 11:30",Fifth Semifinal,Scheduled
bracket,Seventh Place
bracket,Ninth Place Bracket
Chicago Parlay,League of Shadows,0,0,"07/28/2024, 09:45",Ninth Place Semifinal,Scheduled
The Chad Larson Experience,Darkwing,0,0,"07/28/2024, 09:45",Ninth Place Semifinal,Scheduled
Chicago Parlay,Spectre,15,8,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
Northern Comfort,League of Shadows,9,13,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
The Chad Larson Experience,RAMP,12,11,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
Mad Udderburn,Darkwing,9,12,"07/28/2024, 08:00",Ninth Place Quarterfinal,Final
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
Spectre,Northern Comfort,0,0,"07/28/2024, 09:45",Thirteenth Semifinal,Scheduled
RAMP,Mad Udderburn,12,9,"07/28/2024, 09:45",Thirteenth Semifinal,Final
bracket,Fifteenth Place
b,r,e,a,k
