2024 U.S. Open Club Championships - Youth Divisions (YCC),Youth Club U-20 - Boys ,3,8,2024
Aurora,CO,2024-08-03,2024-08-05
https://play.usaultimate.org/events/2024-US-Open-Club-Championships---YCC/schedule/Boys/youth-club-u-20-boys/
Utah Swarm U20 Boys,1
teamInfo,,"Salt Lake City, Utah",,,
coaches,Paul De Morgan,Howard (Jim) de St. Germain,Mike Holt,Kimball Pew,Sam Pew
01,Braeden  Bybee
02,Jacob Hoffman
03,Blake Holt
04,Henri de St. Germain
05,Riley  Hamilton
07,Maxwell Majersik
11,Jackson Allen
12,Benjamin Baird
13,Jonas Kirk
18,Eli Bloch
22,George Taylor
23,Merick Moar
24,Sam Nichols
26,Asher Iacob
28,Silas Bell
29,Zachary Eakins
31,Nathan De Morgan
33,Truman Abbott
39,Aaron Rawlings
42,Spencer Moore
57,Landen Bybee
59,Graeson Kerr
66,Miles Phillips
69,Owen Pieper
b,r,e,a,k
ATLiens,16
teamInfo,,"Atlanta, Georgia",,,@ATLiensYCC
coaches,Zachary Hollis,Paige Carver,Collin Hill
01,Sawyer Morgan
02,Cooper Deschenes-Worboy
03,Will Roberts
05,Ethan Austin-Cruse
06,David Baker
07,Javier Emilio Henriquez
08,John Baggenstoss
09,Zeke Dameron
11,Peter Goldsmith
12,Jon'Tell Masbad
15,Lucas Ruffin
16,Theodore (Cisco) Harrison
17,Liam Mitchell
20,Bryce Jackson
21,Grover Grendzinski
22,Jacob Walls-Foster
30,Jeremiah McCoy
33,Elijah Downs
57,Pearce Becker
63,Ethan Rehg
88,Thomas Langloh
98,Samuel Shapiro
b,r,e,a,k
Moon Pigs,20
teamInfo,,"St. Louis, Missouri",,,
coaches,Trevor Spohr
00,Ricardo Rodriguez
01,Jake Hanson
03,Jesse Zawitkowski
05,Nathan Thompson
07,Lucas Marsh
08,Judah Kesselring
09,Charlie Dorsch
10,Caleb Dorsch
11,Theo Agniel
12,Eli Dorsch
15,Andrew Block
16,Ian Clawson
17,Eric Wilson
18,Timmy Fry
21,Robby Thompson
23,Alec Screnchuk
24,Nolan Wright
26,Sam Dawson
32,Cameron Schleeper
33,Linden Long
44,Christopher Roberts
58,Elijah Hawk
88,Malikye Isaiah
b,r,e,a,k
Foggy Bottom Boys,2
teamInfo,,"Washington, District of Columbia",,,
coaches,Zachary Norrbom,Mina Kim,Andrew Roy
00,Ari Pincus
03,Taye Bradford
05,Abe Palmer
07,Peter Strauss
09,Felix Ko
12,Niko Epstein
13,Jener Balk
19,Coby Stephens
21,Gabriel Dowd
23,Morrison Sachs
26,Elias Baldwin
27,Henry Viechnicki
30,Finn Farrell
32,Marcus Lee
33,Andreas Jackson
34,Mitchell Blaha
36,Malachi Merriam
44,Harrison  Ertz
65,Henry Meehan
71,Travis Tiller
83,Zach Bensky
91,Owen Hall
b,r,e,a,k
Texas United,15
teamInfo,,"Austin, Texas",IG:%20texasunitedfrisbee,,
coaches,Noah Chambers,Joe Feeney,Darryl Grimm
01,Kenny Sabisch
02,Charlie Gaynor
03,Dillon Doubrava
04,Akash McMinnn
05,Isaiah Manewitz
06,Tombe Jurkin
07,Tomas Jimenez-Williams
09,Oliver Wells
10,Iago Ansede De Veylder
12,Tyler Grimm
13,Solomon Moon
17,William Basham
18,River Tompkins
19,Jackson Mead
22,Jules Langert
24,Ben Martinez
25,George Gust
27,Isaac Boothe
28,Zander Rafferty
33,Mario Bellavia
38,Andy  Zhou
42,Joseph Sunukjian
43,Vance Mader
70,Kenan Mearig
73,Beck Buskirk
b,r,e,a,k
Impulse,19
teamInfo,,"Pittsburgh, Pennsylvania",http://pittsburgh-ultimate.org/youth-club-teams,https://www.instagram.com/impulseultimate/,https://twitter.com/impulseultimate
coaches,Ben Morgenstern,Dan Nichols,Ayuna Uemura
00,Jackson Hugus
01,Alex  Lemoncelli
02,Ben Pickels
05,Drew Girard
06,Marco Butera
11,William Chou
12,Andrew Dietrich
13,Aman Guruacharya
14,Timothy Ye
16,Jin Zhang
17,Peter Ricci
22,Caleb Stites
23,Brendan Taylor
25,Joshua Freshly
26,Hayden  Daley
27,Ben Waldo
28,Quincy Leczo
30,Jimmy Yin
31,Matthew Chou
47,Xing Carlough
b,r,e,a,k
Triforce,3
teamInfo,,"Raleigh/Durham/Chapel Hill, North Carolina",,,https://twitter.com/TriforceTYUL
coaches,Matt Gouchoe-Hanas,Claire Revere,Michael Lee,Kevin Pignone,Alexander Lerner
0,Brayden Morrison
01,Eric Du
02,Drew Grinnell
03,Henry Mullen
05,William Basden
06,Maxwell Shearer
08,Benjamin Kinnaird
11,Kyler Wieties
13,Colin Zeng
15,Derek Castiglione
17,Cole Zemon
18,Linwood Ding
19,Endymion Ashton Liu
20,Tate Wilson
22,Willem Boshoff
23,Tanner Plentl
24,Milo Ciccone
26,Jackson Boulware-Johnson
40,Alex Tanner
44,JD Woodruff
55,Xander Tzendzalian
59,Harrison Berg
69,Andy Chin
95,Clemens Liu
b,r,e,a,k
BUDA U20B,14
teamInfo,,"Boston, Massachusetts",buda.org/yc,,
coaches,John Rice,Braden Eberhard,Tyler Chan,Jonah Stang-Osborne
0,Cooper Whitney
01,Cameron Levine
02,Bodhi Brenner
03,Ben Feeney
04,Mark Tytell
05,Russell Herbert
06,Roan Dunkerley
07,Luke Hedlund
08,Harry Malloy
10,Dashiell Brenner
11,Vivek Manchala
12,Max Coe
13,Kolin Broderick
14,Calvin Guswa
15,Caleb Bird-Richards
17,Aidan Martin-Weinbaum
18,Ethan Phan
22,Everett Woo
23,Andres Granofsky
24,Sanjeev Sridhar
25,Sam Agranat
27,Zareh Dechkounian
29,Malcolm Cooper
34,Sam Whitney
42,Sean Jaffe
b,r,e,a,k
Third Rail U20B,18
teamInfo,,"New York, New York",discny.org/tryu,,
coaches,Cameron Albert-Deitch,Bernard Wang,Matt Norden,Sam Harris,Leo Jordan
0,Isaac Silberman
02,Carlos Sofge-Osorio
06,Sam Karmarkar
07,Jacob Lukose
08,Evan Tan
09,Daniel McGuire
10,Caden Walker
12,Alex Siener
13,Benjamin Wang
14,Jinu Oh
18,James White
28,Aaron Miller
29,Kevin Zhou
34,Adam Drevitch
42,Cyrus Ginsberg
44,Ben Drucker
59,Jonathan Metzler
64,Aidan Falter
69,Andy Zheng
71,Nate Alberto
81,Ethan Leonard
b,r,e,a,k
Rising Tide U20B,13
teamInfo,,"Portland, Maine",www.maineultimate.org,https://www.facebook.com/groups/229767653726266/,
coaches,Michael Leding,Henry Babcock,Olivia Hampton
0,Grant Kelley
01,Sully McFarland
02,Charlie Lennig
03,Rylan Siegel
04,Colin Cieniawski
05,Wyatt Stoughton
06,Zachary Doane
