TCT Select Flight Invite West 2024,Club - Mixed ,27,7,2024
Burlington,WA,2024-07-27,2024-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-West-2024/schedule/Mixed/Club-Mixed
Red Flag,1
teamInfo,,"Vancouver, British Columbia CA",,https://www.instagram.com/redflagultimate/,https://twitter.com/redflagulti
coaches,Jonathan He,Alexander Lam
0,Koji Suzuki
01,William Vu
05,Tiffany Zhang
06,Brayden Gee
08,Justin Podnar
09,Julia Zhou
10,Gagan Chatha
11,Julie Lee
12,Rvee  Brillantes
14,Avery Lee-Pii
15,Davis Toth
17,Madison Ong
19,Jake Yuen
20,Collefas Mot
21,Ellen Au-Yeung
24,Peter Yu
25,Bryn McColl
48,Zellema Mot
71,Victor Tiet
73,Jamie Jung
86,Samson Hoy
87,Neo Debroux
88,Devon Bringeland-Powell
93,Mika Kurahashi
b,r,e,a,k
LIT Ultimate,7
teamInfo,,"South Bay, California",https://instagram.com/lit.ulti?igshid=MjEwN2IyYWYwYw==,,
0,Allison Doami
0,Andrew Ma
0,Anne Hemmelgarn
0,Doris Chang
0,Emma Morimoto
0,Justin Hinman
0,Rebecca Zhang
0,Roselene  Chen
0,Tristan Johnson
0,Veeral Shah
6,Myron Loke
9,James Yang
13,Jean Tuvilla
15,Kriti Arunkundrum
16,Nicholas Yun
24,Christopher Hocutt
25,Julia Tang
34,Justin Chang
43,Chloe Li
59,Benjamin Sokolowsky
77,Sheneth BellAlbero
80,Matthew See
b,r,e,a,k
Classy,10
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Drew Vetteth
0,Erica Messner
0,Gabe Doble
0,Janelle Lee
0,Jayna Wu 
0,Caitlyn Wagner
0,Cappy Pitts
0,Joseph Gu
0,Kayli Stowe
0,Monica Donegan
0,Nathaniel Henning
0,Taylor Love
8,Jenna Ray
9,Dana (Zuul) Nelson
13,Robert Barron
19,Miles Burnette
21,Anthony Zasada
82,Joel Anton
b,r,e,a,k
Smack!,16
teamInfo,,"Seattle, Washington",,,
0,Anna Pettis
0,Calvin Dodge
0,Dexter Shafer-White
0,Molly Gallagher
0,Quinton Yap
0,Samuel  Hannah
0,Sarah Benditt
0,Kayla Pianh
0,Sophia Dellapenta
0,Zach Sadow-Hasenberg
3,Goda Raslan
7,Graham Manson
10,Evan Reding
17,Sheila Robles
18,Caleb Akiyama
22,Jack Verzuh
23,Greta Eisenbrey
24,Bre Gauthier
27,Marlie Somers
31,Connor Dougherty
36,Kamal Raslan
47,Alyssa Kelly
95,Jamie Kauffman
96,Julien Butwin
b,r,e,a,k
Sunshine,2
teamInfo,,"Bay Area, California",,,https://twitter.com/sunshineult
01,Goodness Nwakudu
02,Ethan Kleinman
03,Johnny Chen
04,Alex Pien
05,Grady Watkins
06,Trey Scheid
07,Zachary Purdy
10,Karl Kingma
11,Cara Tinson
12,Devy Weir
14,Keaton Viadro
16,Sarah Kaufman
17,Noelle Nelson
19,Anika Quon
20,Reeve Grobecker
22,Alexi Zalk
23,Ryan Messersmith
24,Benjamin Jafek
25,Carmen Resnick
26,Eric Hytönen
28,Catherine Chen
31,Adam Park
32,Cassidy Bruner
33,Vienna Lee
90,Markham Shofner
94,Justine Martinez
b,r,e,a,k
Donuts,8
teamInfo,,"Bay Area, California",http://www.instagram.com/donutsultimate,https://www.facebook.com/DonutsUltimate/?pnref=story,https://twitter.com/donuts_ultimate
0,Chris Yan
01,Maxwell Tomsick
06,Christina Casler
07,Jonathan Goldsmith
09,Victor Zhou
10,Karen Ying
11,Stephanie Rogers
13,Trevor Hawks
16,Annette Chen
17,Robert Gallagher
18,Joseph Gagliano
19,Isabel Tripp
20,Jennifer Thomas
21,Alexander You
23,Caylin Gentile
25,Jenna Borges
27,Rachel Anderson
28,Katie Palmer
32,Michael Chen
44,Ella Dzenitis
64,Matthew Ferrari
76,Xinran Wang
77,Alec Surmani
88,Isabelle Deputy
97,Jeremie Gabor
b,r,e,a,k
Lights Out,9
teamInfo,,"Seattle, Washington",,https://www.facebook.com/Lights-Out-Ultimate-982520691925825/,https://twitter.com/LightsOutUlti
0,Anna Chute
0,Bridget Wipfler
0,Claudia Vasquez
0,Dharma Khalsa
0,Emily Traylor
0,Julia Downing
0,Kristine Kornmann
0,Krysia Davis
0,Kyra Wortley
0,Maya Kalmus
0,Nathaniel Wipfler
0,Olivia Napadensky
0,Paka Ferrer
0,Roy Fang
0,Scott Glickman
0,Tyler Spector
3,Casey Brandon
8,Jacob Cohen
9,John Mattes
10,Benjamin Ostman
15,Jake Shoyer
25,Gavin Sing
25,Spencer Land
37,Daniel Zakaria
47,Aakar Mehra
b,r,e,a,k
Seattle Soft Serve,15
teamInfo,,"Central District, Washington",,,https://twitter.com/SeattleSofties
0,Diane Simunek
