Metro East D-III College Men's Regionals,College - Men ,27,4,2024
Batavia,NY,2024-04-27,2024-04-28
https://play.usaultimate.org/events/Metro-East-D-III-College-Mens-Regionals-2024/schedule/Men/CollegeMen/
Wesleyan,1
teamInfo,Nietzsch Factor,"Middletown, Connecticut",,https://www.facebook.com/nietzschfactor/,https://twitter.com/nietzschfactor
coaches,Bryan Jones
00,Denis Cha
02,Sy Schoen
03,Benjamin Schietinger
04,Ezekiel Appel
05,Oliver Wang
06,Alexander Rubenstein
07,Giancarlo Fedolfi
09,Trevor Gold
10,Aran Sheehan
11,Theodore Businger
13,Amit Piryatinsky
14,Jesse Herzog
15,Elliot Miller
17,Adam Sussbauer
19,Daniel Becker
21,Thomas Kan
22,Dash Merrill
23,Isaac Janiak Stein
27,Jonah  Yas
29,Daniel Gessel
30,Daniel Glickman
32,Julian Fried
36,Ethan King
42,Chase Yahn-Krafft
50,Judah Hoffenberg
52,Eli Fellus
59,Jack Noble
66,Thomas Lyons
67,Ulysses Conrad
77,Dylan McCaleb
88,Will Clemans
b,r,e,a,k
Ithaca,13
teamInfo,Nawshus Ultimate,"Ithaca, New York",,,
03,Bodhi Williams
04,Thomas Cronin
07,Sydney Assile
08,Carter Cigan
09,Evan Mandell
11,Jamie Falkovich 
14,Benji Turansky
15,Ben McKelvey
16,Khai Geller
17,Zebadiah Staples
19,Calvin LaPierre
20,Jack Butler
22,Jaden Fitch
24,Joshua Krizar
25,Jalen Bolton-Steiner
27,Noah Kamens
30,Noah Holmgren
32,Michael Colombo
34,Ian Donahue
35,Tim McCall
50,Christopher Saam
77,Cyrus Edlund-Farsad
97,Vincent  Masotti
b,r,e,a,k
SUNY-Geneseo,12
teamInfo,Snail,"Geneseo, New York",,,@geneseoultimate
00,Justin Blakesslee
01,Brian Gonzalez
02,John McKiernan
03,Benjamin Campbell
04,Noah Ofri-Akman
06,Danny Fox
07,Ben Michlinski
08,Samuel Bonesteel
09,Zay Chaw
11,Andrew Thompson
12,George Privitera
13,Donovan Grey
14,David Sweeney
17,Jake Park
17,Jake Park
19,Spencer Wagner
20,Christian Arriaga
21,Colden Grossman
23,Collin McEnroe
24,Sam Moritz
25,Jason Strickland
26,Colby Drechsler
29,Mason Michel
35,Lucas Rosa
47,Bradley Casto
62,John Marple
77,Nicholas Smolinski
99,Ethan Mevs
b,r,e,a,k
Colgate,8
teamInfo,Jabberwock,"Hamilton, New York",,https://www.facebook.com/Jabbervibe,https://twitter.com/jabberwockult
00,David Ye
00,Mark Attar
00,Rob Vanderhoef
01,Max Kiefer
02,Sam Kresch
03,Jack Forstadt
04,Eric Barber
05,John Maher
06,Danny Molyneux 
07,Jack Gross
08,Ben Hackett
09,Justin Ben-Ari
10,Henry Burdorf
11,Andrew Lass
12,Jackson Lowell
13,Benjamin Coddington
14,Josh Miller
15,Chris Mendina
17,Cameron Swaney
18,Ayden Simpson
19,Sawyer Fisher
20,Jonathan Van Magness
21,Nathan Kwon
22,Brady Johnson 
23,Noah Packman
24,Jiaming Hu
28,Keon Hanrahan
29,Charlie Mehos
30,Sid Wadhera
32,Geordie Waldman
33,William McCarthy
43,Samuel Witonsky
80,Chris Vanderhoef
82,Drew Hindall
87,Jackson Kustell
89,Drew  Klauber
b,r,e,a,k
Connecticut College,7
teamInfo,Deimos,"New London, Connecticut",https://www.instagram.com/conncollulti/,https://www.facebook.com/ConnCollUltimate/,https://twitter.com/DaseinUltimate
0,Hayden Myers
0,Joe LaMalfa
0,Johnny Andreasen
0,Kazi Stanton-Thomas
0,Leo Claney
0,Liam Kohler
0,Matthew Greenberg
0,Nathan Vanech
0,Owen Kadrofske
0, Roman Munichiello
0,Andy Duan
0,Declan Hunter
0,Samuel Kalman
0,Sean Melvin
0,Theodore Taussig
0,Will Shultz
0,Edwin Smilack
0,Elvin  Li
1,Zachary Wheat
13,Dylan Swift
20,Prosser Friedman
25,Evan Strouse
b,r,e,a,k
College of New Jersey,2
teamInfo,Revolution,"Ewing, New Jersey",http://www.tcnj.edu/~frisbee/revolution/index.php,,https://twitter.com/TCNJ_Revolution
0,Brayden Messinger
0,Christian Alino
0,Christian Cota
0,Dominick Brown
0,Joseph Pappone
0,Nick Caporuscio
0,Philip Aufiero
0,Raymond Wright
0,Ryan Whitmore
4,John Supple
8,James Fencik
10,Matt Demareski
13,Marco Guadagno
18,Shawn McStravock
27,Cormac Riley
31,Nathanael Moore
36,Macy Desmond
37,Evan Sapirman 
61,Ryan Boyle
99,Christopher Bonadio-Cappiello
b,r,e,a,k
Hamilton,11
teamInfo,Hot Saucers,"Clinton, New York",https://hotsaucersultimate.wordpress.com/,,https://twitter.com/HCSTATE
0,Adam Koplik
3,yuze li
5,Andreas Molnar
6,Forrest Schmitt
7,Andrew Brennan
8,Luke Hanson
10,John Carbone
11,Henry Pomerance
13,Nicholas Hollander
14,Rudy Cipollone
15,Peter Hinkle
16,Noah Bridgeman
18,Carter Lefkowitz
19,Jared Maidman
20,William Swartz
21,Austin Cipriano
22,Ian Brassard
23,Simon Le
26,Robert Aronson
27,Andrew Hohmann
29,Cade Boiney
32,James Kaeser
33,Luke Struthers
36,Paul Lyons
37,Maxwell Karpinski
42,Kian Hudiburg
80,Connor Whynott
88,Calvin Doherty
92,Nathaniel Koplik
99,Ryan Crist
b,r,e,a,k
Rensselaer Polytech,14
teamInfo,Trudge,"Troy, New York",http://frisbee.union.rpi.edu/,https://www.facebook.com/pages/RPI-Trudge-Ultimate/150465975037160,https://twitter.com/rpitrudge
0,Ben Froling
00,Gabriella Barros
00,Jaedon Alleyne
00,Nathan Crowell
00,Nicco Tebbano
00,Ryan Baio
00,Tristan Guan
00,Tyler Dean
01,Matteo Rathgeber
02,Katherine Wright
02,Jeremiah D’Imperio
03,Samantha Heinzman
04,Leighton Scott
05,Nick Mendes
06,Somber Xie
07,Nyssa Gandhi
07,Joseph  Jacobs
09,Ethan Mihlstin
10,Christopher Toko
12,William McPherson
13,Rowan Smith
14,Benjamin Driscoll
14,Ashley Woodson
15,Evan Maseto
16,Aaron Hamilton
17,Aaron Gilbert
18,Daniel Krupp
20,David Tacuri
21,Jiahui Xiao
22,William Curtiss
23,Andrew Ebinger
24,Moiz Steenhuis
25,Celina Ohiwa
26,Andreas Spiratos
27,Matthew Newell
27,Reilly Prendergast
28,Jack Gest
31,Peter Crisileo
32,CJ Tien
37,Dimitri Lopez
39,Phoenix Werba
42,Cole Speare
44,Ava Lesser
47,Audrey Kling
48,Ellen Lorentz
60,Colby Thompson
65,Ethan Han
72,Bram Wegener
73,Aidan Reed
77,Ethan Nelson
88,Andrew Gervia
95,Charlie Heffernan
99,Raj Vishnu
99,Orestis Narliotis
b,r,e,a,k
Rochester,3
teamInfo,Piggies,"Rochester, New York",,https://www.facebook.com/RochesterUltimate,https://twitter.com/piggiesultimate
0,Benjamin Perry
0,Benjamin Goldstein
0,Cameron Lowe
0,Daniel Kesler
0,Adam Cummings
0,Allen Wu
0,Emerson Jenen
0,Ezra Tock
0,John Mogyordy
0,Luciano Rienecker
0,Miles Frank
0,Mitch Whisner
0,Niels Weisbeek
0,Noah Robison
0,Steven Wang
0,Sumedh Anantha Krishna 
0,Teddy Schwartz
0,Tyler Liao
2,Dylan McKellips
3,Avi Skolnick
4,Ian Hill
6,Raffael Venterea
10,Noah Paradise
22,Joel Escobar
23,Ruben Mendoza
29,Jacob Trokel
32,Timothy Loftus
42,Isaac Degenholtz
42,David Leder
43,Noah Bryan
47,SopheakDey  Bov
50,Jack Ringel
88,Abraham Lovich
b,r,e,a,k
Vassar,6
teamInfo,Swinging Monks,"Poughkeepsie, New York",,,
0,Benjamin Vick
0,Cole Smith
0,Damon Chen
0,Daniel Smith
0,Jackson Chidiac
0,Alexander Southern
0,Ken Portillo
0,Owen McGarry
0,Phil Xu
0,Reza Hall
0,Ryan Miller
0,Samuel Tarrant
0,Max Andelman
0,Nathan Strope
0,Vishnu Lakshman
6,Jose Calles
8,Luca Reeder
9,Soren Fischer
12,Jasper Smith
13,Allen Hale
17,Jonah Taranta
27,Luke Seashore
84,Nicholas  D’Introno 
b,r,e,a,k
Skidmore,10
teamInfo,Wombats,"Saratoga Springs, New York",,,
00,Bodhi Smith
00,Ciaran Healey
00,Abraham Baer-Benson
00,Gordon Sather
00,Josiah Espinoza
00,Nathaniel Peters
00,Wyatt Craig-Michaels
00,Zak Maxey
00,zeke kimball
02,Angus O’Connor
03,Jack Oren
08,Dakota Bartley
09,Samuel Donohoe
10,Samuel Lubarr
11,George Weiler
13,Jonah Levy
18,Mason Anapolle
19,Zachary Padrick
20,Theo Taylor
21,Ezra Shamy
22,Taylor  LeClair
23,Mateo Edwards
25,Nico Markham
28,Lucas Gutierrez-Arnold
31,Parker Stern
32,Heiki Kuhrt
37,Elliot Jackson-Ontkush
50,Emmett Doty
71,Benjamin Frank
88,Jakob Shonbrun-Siege
95,Auley Romanyshyn
b,r,e,a,k
SUNY-Fredonia,15
