North Central D-I College Men's Regionals,College - Men ,27,4,2024
Des Moines,IA,2024-04-27,2024-04-28
https://play.usaultimate.org/events/North-Central-D-I-College-Mens-Regionals-2024/schedule/Men/CollegeMen/
Carleton College,1
teamInfo,CUT,"Northfield, Minnesota",https://www.carleton.edu/student/orgs/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
coaches,Dillon Lanier,Joe White,Tim Schoch
01,Ian Rock-Jones
02,Jonah Barry
03,Tej Murthy
05,Max Posner
06,Will Troop
07,Jasper Priest
10,Fin Fuhrmann
11,Cullen Baker
11,Ryan duSaire
12,Mauricio Badillo Moorman
13,Nathan Parker
15,Benjamin Scott-Lewis
17,Leo Cogan-Drew
22,Declan Miller
23,Bobby Eleveld
24,Sam Elliott
27,Adam Rothman
29,Daniel Chen
35,Nobi (Masao) Lorenz
38,Conor Babcock O'Neill
39,Nathan Kallin
44,George Lefkowicz
45,Quinn Lander
50,Colin Brown
55,Leo Jordan
64,Leo Xiao
66,Dexter  Pakula
68,Julian Walston
88,Alden Harcourt
99,Clay Haddock
b,r,e,a,k
Iowa State (B),16
teamInfo,BSUC,"Ames, Iowa",,,
00,Alexander Ireland
00,Alexander Kovar
00,Brayden Schmitz
00,Brian Cacioppo
00,Bryce Vining
00,Clayton Burkhalter
00,Eli Davis
00,Hunter Rose
00,Isaac Kohls
00,Jackson Grant
00,John Symeonidis 
00,Mike Cawiezell
00,Mitchell Wood
00,Nathan Cole
00,Nathaniel Ferguson
00,Nicholas Francesconi
00,Nick Pehl
00,Noah Brooks
00,Noah Roy
00,Riley Wallace
00,Shawn Gregory
b,r,e,a,k
Marquette,9
teamInfo,Birdhouse,"Milwaukee, Wisconsin",https://www.birdhouseultimate.com/home,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
1,Isaac  Shimek
3,Robbie McChesney
4,Gabe Gonzalez
7,Luke Marciniak
9,Jonathan Snell
14,Jackson Seltzer
27,Ben Hanson
28,Kyle Reader
29,Matthew Munson
30,Sean Habash
33,nathan shannon
35,Robert Sedlack
